Year,SeriesCode,GeoAreaName,Sampling Stations,Value
2010,ER_OAW_MNACD,Australia,NRSROT,8.092
2010,ER_OAW_MNACD,Australia,NRSPHB,8.099
2010,ER_OAW_MNACD,Australia,NRSYON,8.063
2010,ER_OAW_MNACD,Australia,NRSKAI,8.072
2010,ER_OAW_MNACD,Australia,NRSNSI,8.083999999999998
2010,ER_OAW_MNACD,Australia,NRSMAI,8.093999999999998
2011,ER_OAW_MNACD,Australia,NRSNSI,8.09
2011,ER_OAW_MNACD,Australia,NRSYON,8.051999999999998
2011,ER_OAW_MNACD,Australia,NRSMAI,8.088
2011,ER_OAW_MNACD,Australia,NRSKAI,8.08
2011,ER_OAW_MNACD,Australia,NRSPHB,8.112999999999998
2011,ER_OAW_MNACD,Australia,NRSROT,8.09
2012,ER_OAW_MNACD,Australia,NRSROT,8.077999999999998
2012,ER_OAW_MNACD,Australia,NRSPHB,8.103
2012,ER_OAW_MNACD,Australia,NRSYON,8.058
2012,ER_OAW_MNACD,Australia,NRSDAR,8.048
2012,ER_OAW_MNACD,Australia,NRSKAI,8.061999999999998
2012,ER_OAW_MNACD,Australia,NRSNSI,8.086999999999998
2012,ER_OAW_MNACD,Australia,NRSMAI,8.09
2013,ER_OAW_MNACD,Australia,NRSMAI,8.088
2013,ER_OAW_MNACD,Australia,NRSDAR,7.979
2013,ER_OAW_MNACD,Australia,NRSNSI,8.074999999999998
2013,ER_OAW_MNACD,Australia,NRSKAI,8.067
2013,ER_OAW_MNACD,Australia,NRSYON,8.056
2013,ER_OAW_MNACD,Australia,NRSPHB,8.093999999999998
2013,ER_OAW_MNACD,Australia,NRSROT,8.077
2014,ER_OAW_MNACD,Australia,NRSROT,8.085
2014,ER_OAW_MNACD,Australia,NRSPHB,8.099
2014,ER_OAW_MNACD,Australia,NRSYON,8.058
2014,ER_OAW_MNACD,Australia,NRSKAI,8.067
2014,ER_OAW_MNACD,Australia,NRSNSI,8.08
2014,ER_OAW_MNACD,Australia,NRSDAR,7.973
2014,ER_OAW_MNACD,Australia,NRSMAI,8.076
2015,ER_OAW_MNACD,Australia,NRSMAI,8.086999999999998
2015,ER_OAW_MNACD,Australia,NRSDAR,7.987
2015,ER_OAW_MNACD,Australia,NRSNSI,8.076
2015,ER_OAW_MNACD,Australia,NRSKAI,8.069
2015,ER_OAW_MNACD,Australia,NRSYON,8.051
2015,ER_OAW_MNACD,Australia,NRSPHB,8.086
2015,ER_OAW_MNACD,Australia,NRSROT,8.08
2016,ER_OAW_MNACD,Australia,NRSROT,8.069
2016,ER_OAW_MNACD,Australia,NRSPHB,8.093
2016,ER_OAW_MNACD,Australia,NRSYON,8.035999999999998
2016,ER_OAW_MNACD,Australia,NRSNSI,8.074999999999998
2016,ER_OAW_MNACD,Australia,NRSKAI,8.063
2016,ER_OAW_MNACD,Australia,NRSDAR,7.955
2016,ER_OAW_MNACD,Australia,NRSMAI,8.086
2017,ER_OAW_MNACD,Australia,NRSMAI,8.08
2017,ER_OAW_MNACD,Australia,NRSDAR,7.981
2017,ER_OAW_MNACD,Australia,NRSKAI,8.06
2017,ER_OAW_MNACD,Australia,NRSNSI,8.076
2017,ER_OAW_MNACD,Australia,NRSROT,8.073
2017,ER_OAW_MNACD,Australia,NRSYON,8.048999999999998
2017,ER_OAW_MNACD,Australia,NRSPHB,8.077
2018,ER_OAW_MNACD,Australia,NRSPHB,8.077
2018,ER_OAW_MNACD,Australia,NRSYON,8.06
2018,ER_OAW_MNACD,Australia,NRSNSI,8.083
2018,ER_OAW_MNACD,Australia,NRSROT,8.083
2018,ER_OAW_MNACD,Australia,NRSKAI,8.061999999999998
2018,ER_OAW_MNACD,Australia,NRSDAR,7.982
2018,ER_OAW_MNACD,Australia,NRSMAI,8.085
2019,ER_OAW_MNACD,Australia,NRSMAI,8.083999999999998
2019,ER_OAW_MNACD,Australia,NRSDAR,7.974
2019,ER_OAW_MNACD,Australia,NRSROT,8.070999999999998
2019,ER_OAW_MNACD,Australia,NRSKAI,8.05
2019,ER_OAW_MNACD,Australia,NRSNSI,8.09
2020,ER_OAW_MNACD,Australia,NRSROT,8.079
2020,ER_OAW_MNACD,Australia,NRSYON,8.048
2020,ER_OAW_MNACD,Australia,NRSPHB,8.04
2020,ER_OAW_MNACD,Australia,NRSNSI,8.043
2020,ER_OAW_MNACD,Australia,NRSDAR,7.96
2020,ER_OAW_MNACD,Australia,NRSMAI,8.066
2020,ER_OAW_MNACD,Australia,NRSKAI,8.032999999999998
2021,ER_OAW_MNACD,Australia,NRSMAI,8.051999999999998
2021,ER_OAW_MNACD,Australia,NRSROT,8.05
2021,ER_OAW_MNACD,Australia,NRSNSI,8.034
2021,ER_OAW_MNACD,Australia,NRSPHB,8.024
2021,ER_OAW_MNACD,Australia,NRSYON,8.022
2011,ER_OAW_MNACD,Belgium,R-VBELGICA,8.102
2012,ER_OAW_MNACD,Belgium,R-VBELGICA,8.160999999999998
2013,ER_OAW_MNACD,Belgium,S01,8.165
2013,ER_OAW_MNACD,Belgium,R-VBELGICA,8.477
2013,ER_OAW_MNACD,Belgium,S03,8.17
2013,ER_OAW_MNACD,Belgium,W06,8.037
2013,ER_OAW_MNACD,Belgium,W05,8.032999999999998
2013,ER_OAW_MNACD,Belgium,W10,7.985
2013,ER_OAW_MNACD,Belgium,W09,8.005
2013,ER_OAW_MNACD,Belgium,W08,8.179999999999998
2013,ER_OAW_MNACD,Belgium,W03,7.91
2013,ER_OAW_MNACD,Belgium,W02,7.91
2013,ER_OAW_MNACD,Belgium,W01,8.115
2013,ER_OAW_MNACD,Belgium,W04,8.045
2013,ER_OAW_MNACD,Belgium,W07,7.95
2014,ER_OAW_MNACD,Belgium,W08,8.322
2014,ER_OAW_MNACD,Belgium,W01,8.304
2014,ER_OAW_MNACD,Belgium,W02,8.288
2014,ER_OAW_MNACD,Belgium,W03,8.342
2014,ER_OAW_MNACD,Belgium,S03,8.314999999999998
2014,ER_OAW_MNACD,Belgium,W10,8.34
2014,ER_OAW_MNACD,Belgium,W09,8.359999999999998
2014,ER_OAW_MNACD,Belgium,R-VBELGICA,8.503
2014,ER_OAW_MNACD,Belgium,W06,8.356
2014,ER_OAW_MNACD,Belgium,W07,8.404
2014,ER_OAW_MNACD,Belgium,W05,8.396
2014,ER_OAW_MNACD,Belgium,W04,8.338
2014,ER_OAW_MNACD,Belgium,S01,8.29
2015,ER_OAW_MNACD,Belgium,R-VBELGICA,8.502
2015,ER_OAW_MNACD,Belgium,W09,8.25
2015,ER_OAW_MNACD,Belgium,W10,8.213
2015,ER_OAW_MNACD,Belgium,W08,8.25
2015,ER_OAW_MNACD,Belgium,S03,8.3
2015,ER_OAW_MNACD,Belgium,S01,8.64
2015,ER_OAW_MNACD,Belgium,W03,8.26
2015,ER_OAW_MNACD,Belgium,W02,8.295
2015,ER_OAW_MNACD,Belgium,W01,8.13
2015,ER_OAW_MNACD,Belgium,W07,8.233
2015,ER_OAW_MNACD,Belgium,W04,8.188
2015,ER_OAW_MNACD,Belgium,W06,8.26
2015,ER_OAW_MNACD,Belgium,W05,8.268
2016,ER_OAW_MNACD,Belgium,W10,8.165
2016,ER_OAW_MNACD,Belgium,W09,8.165
2016,ER_OAW_MNACD,Belgium,W06,8.189999999999998
2016,ER_OAW_MNACD,Belgium,W04,8.175
2016,ER_OAW_MNACD,Belgium,W07,8.199999999999998
2016,ER_OAW_MNACD,Belgium,W02,8.25
2016,ER_OAW_MNACD,Belgium,W03,8.21
2016,ER_OAW_MNACD,Belgium,W08,8.189999999999998
2017,ER_OAW_MNACD,Belgium,VLIZLWSTATION,7.881999999999999
2017,ER_OAW_MNACD,Belgium,W01,8.279999999999998
2017,ER_OAW_MNACD,Belgium,W06,8.385
2017,ER_OAW_MNACD,Belgium,W05,8.279999999999998
2017,ER_OAW_MNACD,Belgium,W04,8.304999999999998
2017,ER_OAW_MNACD,Belgium,W09,8.335
2017,ER_OAW_MNACD,Belgium,W08,8.335
2017,ER_OAW_MNACD,Belgium,W10,8.345
2017,ER_OAW_MNACD,Belgium,W03,8.355
2017,ER_OAW_MNACD,Belgium,W02,8.32
2017,ER_OAW_MNACD,Belgium,W07,8.345
2018,ER_OAW_MNACD,Belgium,W05,8.234999999999998
2018,ER_OAW_MNACD,Belgium,W06,8.385
2018,ER_OAW_MNACD,Belgium,VLIZLWSTATION,7.905999999999999
2018,ER_OAW_MNACD,Belgium,W07,8.404999999999998
2018,ER_OAW_MNACD,Belgium,W02,8.42
2018,ER_OAW_MNACD,Belgium,W01,8.291
2018,ER_OAW_MNACD,Belgium,W03,8.324
2018,ER_OAW_MNACD,Belgium,W10,8.404999999999998
2018,ER_OAW_MNACD,Belgium,W04,8.335
2018,ER_OAW_MNACD,Belgium,MOW1,8.34
2018,ER_OAW_MNACD,Belgium,W08,8.202999999999998
2018,ER_OAW_MNACD,Belgium,W09,8.359999999999998
2019,ER_OAW_MNACD,Belgium,W08,7.875
2019,ER_OAW_MNACD,Belgium,MOW1,7.888
2019,ER_OAW_MNACD,Belgium,W03,7.817999999999999
2019,ER_OAW_MNACD,Belgium,VLIZLWSTATION,7.944
2019,ER_OAW_MNACD,Belgium,W05,7.984
2020,ER_OAW_MNACD,Belgium,W05,8.201
2020,ER_OAW_MNACD,Belgium,VLIZLWSTATION,7.942999999999999
2020,ER_OAW_MNACD,Belgium,W03,8.253999999999998
2020,ER_OAW_MNACD,Belgium,W08,8.265
2020,ER_OAW_MNACD,Belgium,MOW1,8.159
2021,ER_OAW_MNACD,Belgium,MOW1,8.173
2021,ER_OAW_MNACD,Belgium,W08,8.179
2021,ER_OAW_MNACD,Belgium,VLIZLWSTATION,7.871
2021,ER_OAW_MNACD,Belgium,W05,8.19
2016,ER_OAW_MNACD,Canada,QU39,8.009
2016,ER_OAW_MNACD,Canada,KC10,8.034
2017,ER_OAW_MNACD,Canada,QU39,7.995
2017,ER_OAW_MNACD,Canada,KC10,8.073
2018,ER_OAW_MNACD,Canada,KC10,8.044
2018,ER_OAW_MNACD,Canada,QU39,7.937999999999999
2019,ER_OAW_MNACD,Canada,QU39,7.913
2019,ER_OAW_MNACD,Canada,KC10,8.064
2020,ER_OAW_MNACD,Canada,CANADA,7.977
2020,ER_OAW_MNACD,Canada,BEAUFORTGYRE,8.074
2022,ER_OAW_MNACD,Canada,AR7W_20,7.71
2022,ER_OAW_MNACD,Canada,AR7W_19,7.709
2022,ER_OAW_MNACD,Canada,AR7W_18,7.707
2022,ER_OAW_MNACD,Canada,AR7W_17,7.707
2022,ER_OAW_MNACD,Canada,AR7W_16,7.699
2022,ER_OAW_MNACD,Canada,AR7W_15,7.704
2022,ER_OAW_MNACD,Canada,AR7W_14,7.702
2022,ER_OAW_MNACD,Canada,AR7W_13,7.704
2015,ER_OAW_MNACD,Chile,CHILE,8.056
2016,ER_OAW_MNACD,Chile,CHILE,8.102
2019,ER_OAW_MNACD,Colombia,BAHIASANTAMARTA,7.993
2019,ER_OAW_MNACD,Colombia,BAHIACHENGUE,7.985
2020,ER_OAW_MNACD,Colombia,GUAOFF13,8.005
2021,ER_OAW_MNACD,Colombia,AS,8.066
2021,ER_OAW_MNACD,Colombia,BOYA,8.007
2021,ER_OAW_MNACD,Colombia,AN,8.07
2021,ER_OAW_MNACD,Colombia,GN,8.044
2021,ER_OAW_MNACD,Colombia,FRENTE_PLAYA_BLANCA,7.964
2021,ER_OAW_MNACD,Colombia,FRENTE_A_JUANCHACO,7.973
2021,ER_OAW_MNACD,Colombia,ESTACION_AO_EN_GORGONILLA,8.022
2021,ER_OAW_MNACD,Colombia,COLOMBIA,8.003999999999998
2021,ER_OAW_MNACD,Colombia,CABO_DE_LA_VELA,7.967
2021,ER_OAW_MNACD,Colombia,BOYA_AKUARA,7.973
2021,ER_OAW_MNACD,Colombia,REDCAM,7.981
2021,ER_OAW_MNACD,Colombia,PLAYA_MAYAPO,7.983
2021,ER_OAW_MNACD,Colombia,OS,8.088
2021,ER_OAW_MNACD,Colombia,ON,8.098
2021,ER_OAW_MNACD,Colombia,MUELLE_MANAURE_SALINA,7.959
2021,ER_OAW_MNACD,Colombia,HORNO_GORGONA,8.027
2021,ER_OAW_MNACD,Colombia,GS,8.024
2021,ER_OAW_MNACD,Colombia,FRENTE_PLAYA_BOCAGRANDE,7.993
2022,ER_OAW_MNACD,Colombia,BOYA,8.03
2022,ER_OAW_MNACD,Colombia,CHO_OFF_5,7.823
2022,ER_OAW_MNACD,Colombia,CABO_DE_LA_VELA,7.99
2022,ER_OAW_MNACD,Colombia,CORDILLERA_BEATA,8.023
2022,ER_OAW_MNACD,Colombia,HORNO_GORGONA,7.947
2022,ER_OAW_MNACD,Colombia,MUELLE_MANAURE_SALINA,7.902
2022,ER_OAW_MNACD,Colombia,PUERTO_BOLIVAR,8.059
2022,ER_OAW_MNACD,Colombia,PLAYA_MAYAPO,7.865
