Year,SeriesCode,Страна ,Age,Sex,Value
2014,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,12.64
2014,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,10.76
2014,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,8.8
2015,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,11.04
2015,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,9.01
2015,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,12.97
2016,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,12.6
2016,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,10.91
2016,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,9.11
2017,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,10.45
2017,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,7.54
2017,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,13.19
2018,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,12.01
2018,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,10.42
2018,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,8.75
2019,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,9.22
2019,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,12.72
2019,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,11.01
2020,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,8.5
2020,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,11.42
2020,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,14.21
2021,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,14.07
2021,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,10.34
2021,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,12.26
2018,SL_TLF_NEET_19ICLS,Armenia,15-24,FEMALE,34.26
2018,SL_TLF_NEET_19ICLS,Armenia,15-24,BOTHSEX,33.59
2018,SL_TLF_NEET_19ICLS,Armenia,15-24,MALE,32.87
2010,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,17.81
2010,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,18.7
2010,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,16.9
2011,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,16.07
2011,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,16.0
2011,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,16.03
2012,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,15.14
2012,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,14.64
2012,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,14.89
2013,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,13.03
2013,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,13.45
2013,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,12.64
2014,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,12.02
2014,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,12.78
2014,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,11.31
2015,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,11.73
2015,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,10.52
2015,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,9.37
2016,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,11.21
2016,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,9.71
2016,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,12.63
2017,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,12.04
2017,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,11.96
2017,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,11.87
2018,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,7.09
2018,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,8.66
2018,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,7.9
2019,SL_TLF_NEET_19ICLS,Armenia,15-24,FEMALE,29.28
2019,SL_TLF_NEET_19ICLS,Armenia,15-24,BOTHSEX,30.85
2019,SL_TLF_NEET_19ICLS,Armenia,15-24,MALE,32.29
2020,SL_TLF_NEET_19ICLS,Armenia,15-24,MALE,31.0
2020,SL_TLF_NEET_19ICLS,Armenia,15-24,FEMALE,28.79
2020,SL_TLF_NEET_19ICLS,Armenia,15-24,BOTHSEX,29.94
2004,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,8.28
2004,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,8.82
2019,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,9.84
2019,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,9.24
2019,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,8.61
2020,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,8.55
2020,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,8.55
2020,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,8.54
2021,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,8.91
2021,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,8.69
2021,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,8.48
2004,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,9.34
2004,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,9.88
2004,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,10.43
2005,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,9.32
2005,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,8.77
2005,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,8.23
2006,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,8.48
2006,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,8.16
2006,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,8.32
2007,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,7.88
2007,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,6.28
2007,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,7.07
2008,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,8.57
2008,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,9.14
2008,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,8.85
2009,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,13.65
2009,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,12.12
2009,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,10.54
2010,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,11.6
2010,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,14.69
2010,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,13.17
2011,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,11.82
2011,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,13.14
2011,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,10.45
2012,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,9.5
2012,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,12.76
2012,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,11.17
2013,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,11.14
2013,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,11.64
2013,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,10.62
2014,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,9.91
2014,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,10.34
2014,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,9.51
2015,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,9.2
2015,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,9.08
2015,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,9.32
2016,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,8.78
2016,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,9.41
2016,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,10.0
2017,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,9.07
2017,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,9.23
2017,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,9.15
2018,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,8.45
2018,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,8.04
2018,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,7.61
2019,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,9.71
2019,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,7.53
2019,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,8.65
2020,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,10.76
2020,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,9.19
2020,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,12.25
2021,SL_TLF_NEET_19ICLS,Lithuania,15-24,FEMALE,10.9
2021,SL_TLF_NEET_19ICLS,Lithuania,15-24,BOTHSEX,11.31
2021,SL_TLF_NEET_19ICLS,Lithuania,15-24,MALE,11.7
2004,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,7.93
2004,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,4.63
2004,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,6.25
2005,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,5.5
2005,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,4.27
2005,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,6.74
2006,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,6.69
2006,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,6.08
2006,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,7.31
2004,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,8.55
2005,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,12.49
2005,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,13.56
2005,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,13.02
2006,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,10.16
2006,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,12.36
2006,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,11.25
2007,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,10.19
2007,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,12.17
2007,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,6.58
2007,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,5.66
2007,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,4.74
2008,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,4.61
2008,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,7.83
2008,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,6.21
2009,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,6.35
2009,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,6.12
2009,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,5.9
2010,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,5.67
2010,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,4.75
2010,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,5.21
2011,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,5.0
2011,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,5.4
2011,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,4.61
2012,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,6.09
2012,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,5.73
2012,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,5.37
2013,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,5.08
2013,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,5.54
2013,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,5.99
2014,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,7.53
2014,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,6.18
2014,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,4.83
2015,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,5.81
2015,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,5.42
2015,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,6.18
2016,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,5.62
2016,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,6.22
2016,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,6.84
2017,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,5.82
2017,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,6.56
2017,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,6.19
2018,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,4.46
2018,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,5.6
2018,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,6.78
2019,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,4.77
2019,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,5.08
2019,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,4.45
2020,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,8.21
2020,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,5.15
2020,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,6.71
2021,SL_TLF_NEET_19ICLS,Luxembourg,15-24,BOTHSEX,9.83
2021,SL_TLF_NEET_19ICLS,Luxembourg,15-24,FEMALE,8.59
2021,SL_TLF_NEET_19ICLS,Luxembourg,15-24,MALE,10.99
2007,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,11.16
2008,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,11.1
2008,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,9.19
2008,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,10.14
2009,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,11.68
2009,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,11.08
2009,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,10.49
2010,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,10.79
2010,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,10.95
2010,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,10.86
2011,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,12.03
2011,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,11.61
2011,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,11.81
2012,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,12.18
2012,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,12.35
2012,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,12.5
2013,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,12.1
2013,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,13.24
2009,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,9.39
2009,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,9.88
2009,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,10.4
2010,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,8.22
2010,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,9.53
2010,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,10.92
2011,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,10.67
2011,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,9.71
2011,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,10.18
2012,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,11.46
2012,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,10.21
2012,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,10.82
2013,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,10.1
2013,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,9.91
2013,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,9.74
2014,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,8.77
2014,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,10.27
2014,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,11.87
2013,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,12.68
2014,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,12.58
2014,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,12.05
2014,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,11.49
2015,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,12.18
2015,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,11.82
2015,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,12.54
2016,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,10.05
2016,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,9.89
2015,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,11.87
2015,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,9.3
2015,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,10.54
2016,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,8.76
2016,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,10.8
2016,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,6.85
2017,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,8.77
2017,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,8.59
2017,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,8.41
2018,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,7.76
2018,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,7.28
2018,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,6.85
2019,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,8.56
2019,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,8.19
2019,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,8.97
2020,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,7.98
2020,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,10.48
2020,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,9.3
2016,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,9.71
2017,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,9.43
2017,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,10.27
2017,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,9.85
2018,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,9.8
2018,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,9.59
2018,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,10.02
2019,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,8.72
2019,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,9.76
2019,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,9.25
2020,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,9.99
2020,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,10.45
2020,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,9.52
2021,SL_TLF_NEET_19ICLS,Belgium,15-24,MALE,7.6
2021,SL_TLF_NEET_19ICLS,Belgium,15-24,FEMALE,5.67
2021,SL_TLF_NEET_19ICLS,Belgium,15-24,BOTHSEX,6.65
2021,SL_TLF_NEET_19ICLS,Bosnia and Herzegovina,15-24,FEMALE,20.63
2021,SL_TLF_NEET_19ICLS,Bosnia and Herzegovina,15-24,BOTHSEX,20.16
2021,SL_TLF_NEET_19ICLS,Malta,15-24,FEMALE,13.74
2021,SL_TLF_NEET_19ICLS,Malta,15-24,MALE,13.29
2021,SL_TLF_NEET_19ICLS,Malta,15-24,BOTHSEX,13.5
2006,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,MALE,31.97
2006,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,BOTHSEX,29.41
2006,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,FEMALE,26.77
2007,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,FEMALE,24.37
2007,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,BOTHSEX,28.2
2007,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,MALE,31.92
2008,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,BOTHSEX,26.61
2008,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,FEMALE,23.26
2008,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,MALE,29.87
2009,SL_TLF_NEET_19ICLS,Republic of Moldova,15-24,MALE,32.36
