Year,SeriesCode,Страна ,Type of renewable technology,Value
2006,EG_EGY_RNEW,Azerbaijan,SOLAR,0.0
2006,EG_EGY_RNEW,Azerbaijan,ALL,116.964
2006,EG_EGY_RNEW,Azerbaijan,BIOENERGY,0.0
2006,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,116.964
2006,EG_EGY_RNEW,Azerbaijan,WIND,0.0
2007,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,115.449
2007,EG_EGY_RNEW,Azerbaijan,BIOENERGY,0.0
2007,EG_EGY_RNEW,Azerbaijan,ALL,115.46
2007,EG_EGY_RNEW,Azerbaijan,SOLAR,0.011
2007,EG_EGY_RNEW,Azerbaijan,WIND,0.0
2008,EG_EGY_RNEW,Azerbaijan,SOLAR,0.011
2008,EG_EGY_RNEW,Azerbaijan,ALL,113.904
2008,EG_EGY_RNEW,Azerbaijan,BIOENERGY,0.0
2008,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,113.893
2008,EG_EGY_RNEW,Azerbaijan,WIND,0.0
2009,EG_EGY_RNEW,Azerbaijan,BIOENERGY,0.0
2009,EG_EGY_RNEW,Azerbaijan,ALL,108.458
2009,EG_EGY_RNEW,Azerbaijan,SOLAR,0.011
2009,EG_EGY_RNEW,Azerbaijan,WIND,0.219
2009,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,108.228
2010,EG_EGY_RNEW,Azerbaijan,SOLAR,0.032
2010,EG_EGY_RNEW,Azerbaijan,ALL,107.966
2010,EG_EGY_RNEW,Azerbaijan,BIOENERGY,0.0
2010,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,107.717
2010,EG_EGY_RNEW,Azerbaijan,WIND,0.217
2011,EG_EGY_RNEW,Azerbaijan,ALL,106.956
2011,EG_EGY_RNEW,Azerbaijan,SOLAR,0.107
2011,EG_EGY_RNEW,Azerbaijan,WIND,0.214
2011,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,106.635
2011,EG_EGY_RNEW,Azerbaijan,BIOENERGY,0.0
2012,EG_EGY_RNEW,Azerbaijan,SOLAR,0.105
2012,EG_EGY_RNEW,Azerbaijan,ALL,108.164
2012,EG_EGY_RNEW,Azerbaijan,BIOENERGY,0.0
2012,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,107.848
2012,EG_EGY_RNEW,Azerbaijan,WIND,0.211
2013,EG_EGY_RNEW,Azerbaijan,SOLAR,0.104
2013,EG_EGY_RNEW,Azerbaijan,WIND,0.281
2013,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,112.747
2013,EG_EGY_RNEW,Azerbaijan,BIOENERGY,3.848
2013,EG_EGY_RNEW,Azerbaijan,ALL,116.98
2014,EG_EGY_RNEW,Azerbaijan,SOLAR,0.246
2014,EG_EGY_RNEW,Azerbaijan,ALL,114.978
2014,EG_EGY_RNEW,Azerbaijan,BIOENERGY,3.798
2014,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,110.656
2014,EG_EGY_RNEW,Azerbaijan,WIND,0.277
2015,EG_EGY_RNEW,Azerbaijan,WIND,0.811
2015,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,111.827
2015,EG_EGY_RNEW,Azerbaijan,BIOENERGY,3.858
2015,EG_EGY_RNEW,Azerbaijan,ALL,116.982
2015,EG_EGY_RNEW,Azerbaijan,SOLAR,0.487
2016,EG_EGY_RNEW,Azerbaijan,SOLAR,2.496
2016,EG_EGY_RNEW,Azerbaijan,ALL,118.647
