Year,SeriesCode,Страна ,Age,Disability status,Population Group,Sex,Type of occupation,Value
2022,SG_DMK_JDC_LWR,Казахстан,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.09
2022,SG_DMK_JDC_LWR,Казахстан,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.41
2022,SG_DMK_JDC_LWR,Казахстан,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.89
2020,SG_DMK_JDC_LWR,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.67
2020,SG_DMK_JDC_LWR,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.91
2021,SG_DMK_JDC_LWR,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2021,SG_DMK_JDC_LWR,Latvia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.33
2021,SG_DMK_JDC_LWR,Latvia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.51
2021,SG_DMK_JDC_LWR,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.66
2020,SG_DMK_JDC_LWR,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.33
2020,SG_DMK_JDC_LWR,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.34
2021,SG_DMK_JDC_LWR,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.5
2021,SG_DMK_JDC_LWR,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.39
2021,SG_DMK_JDC_LWR,Lithuania,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.13
2021,SG_DMK_JDC_LWR,Lithuania,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.75
2020,SG_DMK_JDC_LWR,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.38
2021,SG_DMK_JDC_LWR,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.57
2021,SG_DMK_JDC_LWR,Malta,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.42
2019,SG_DMK_JDC_LWR,Mexico,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.51
2020,SG_DMK_JDC_LWR,Mexico,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.29
2020,SG_DMK_JDC_LWR,Mexico,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.82
2020,SG_DMK_JDC_LWR,Mexico,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.5
2019,SG_DMK_JDC_LWR,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.02
2019,SG_DMK_JDC_LWR,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.68
2021,SG_DMK_JDC_LWR,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.98
2021,SG_DMK_JDC_LWR,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,2.0
2021,SG_DMK_JDC_LWR,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.25
2021,SG_DMK_JDC_LWR,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.03
2021,SG_DMK_JDC_LWR,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.06
2021,SG_DMK_JDC_LWR,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.71
2018,SG_DMK_JDC_LWR,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.26
2018,SG_DMK_JDC_LWR,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.69
2020,SG_DMK_JDC_LWR,Poland,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.41
2020,SG_DMK_JDC_LWR,Poland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.46
2020,SG_DMK_JDC_LWR,Poland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.83
2020,SG_DMK_JDC_LWR,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.69
2020,SG_DMK_JDC_LWR,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.26
2020,SG_DMK_JDC_LWR,Poland,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.1
2020,SG_DMK_JDC_LWR,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.36
2020,SG_DMK_JDC_LWR,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2021,SG_DMK_JDC_LWR,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.37
2021,SG_DMK_JDC_LWR,Slovakia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.58
2021,SG_DMK_JDC_LWR,Slovakia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.87
2021,SG_DMK_JDC_LWR,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2022,SG_DMK_JDC_LWR,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.34
2022,SG_DMK_JDC_LWR,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.34
