Year,SeriesCode,Страна ,Age,Location,Sex,Value
2011,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,16.4
2012,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,15.9
2013,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,15.6
2014,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,15.3
2015,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,14.9
2016,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,14.3
2017,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,13.6
2018,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,13.0
2019,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,12.5
2018,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.3
2019,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.4
2020,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.4
2021,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.4
2000,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,3.1
2001,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,3.1
2002,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,3.0
2003,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,3.0
2004,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.9
2005,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.8
2006,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.7
2007,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.7
2008,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.6
2009,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.6
2010,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.5
2011,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.5
2012,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.4
2013,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.3
2014,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.3
2015,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.2
2016,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.2
2017,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.2
2020,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,12.2
2021,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,11.9
2000,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,7.2
2001,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,6.6
2002,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,6.2
2003,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,5.8
2004,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,5.6
2005,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,5.4
2006,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,5.2
2007,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,5.0
2008,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,4.8
2009,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,4.5
2010,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,4.2
2011,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,3.9
2012,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,3.5
2013,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,3.2
2014,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,2.9
2015,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,2.7
2016,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,2.6
2017,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,2.4
2018,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,2.3
2019,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,2.2
2018,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.2
2019,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.3
2020,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.3
2021,SH_DYN_NMRT,Austria,<1M,,BOTHSEX,2.3
2000,SH_DYN_NMRT,Armenia,<1M,,BOTHSEX,16.0
2001,SH_DYN_NMRT,Armenia,<1M,,BOTHSEX,15.3
2002,SH_DYN_NMRT,Armenia,<1M,,BOTHSEX,14.6
2003,SH_DYN_NMRT,Armenia,<1M,,BOTHSEX,13.9
2004,SH_DYN_NMRT,Armenia,<1M,,BOTHSEX,13.2
2005,SH_DYN_NMRT,Armenia,<1M,,BOTHSEX,12.6
2006,SH_DYN_NMRT,Armenia,<1M,,BOTHSEX,11.9
2020,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,2.1
2021,SH_DYN_NMRT,Latvia,<1M,,BOTHSEX,2.1
2000,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,4.5
2001,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,4.4
2002,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,4.3
2003,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,4.3
2004,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,4.4
2005,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,4.3
2006,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,4.0
2007,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,3.7
2008,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,3.4
2009,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,3.1
2010,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.8
2011,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.7
2012,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.5
2013,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.4
2014,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.4
2015,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.3
2016,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.3
2017,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.2
2018,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.2
2019,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.1
2020,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,2.0
2021,SH_DYN_NMRT,Lithuania,<1M,,BOTHSEX,1.9
2000,SH_DYN_NMRT,Luxembourg,<1M,,BOTHSEX,2.3
2001,SH_DYN_NMRT,Luxembourg,<1M,,BOTHSEX,2.1
