Year,SeriesCode,GeoAreaName,Age,Value
2018,VC_VAW_PHYPYV,Albania,2-14,47.5
2006,VC_VAW_PHYPYV,Azerbaijan,2-14,76.8
2016,VC_VAW_PHYPYV,Armenia,1-14,68.9
2012,VC_VAW_PHYPYV,Bosnia and Herzegovina,2-14,55.2
2019,VC_VAW_PHYPYV,Belarus,1-14,57.0
2017,VC_VAW_PHYPYV,Chile,5-12,62.5
2018,VC_VAW_PHYPYV,Costa Rica,1-14,49.3
2018,VC_VAW_PHYPYV,Georgia,1-14,68.8
2015,VC_VAW_PHYPYV,Kazakhstan,1-14,52.7
2018,VC_VAW_PHYPYV,Kyrgyzstan,1-14,74.3
2021,VC_VAW_PHYPYV,Mexico,1-14,54.753
2012,VC_VAW_PHYPYV,Republic of Moldova,2-14,75.6
2018,VC_VAW_PHYPYV,Montenegro,1-14,65.8
2019,VC_VAW_PHYPYV,Serbia,1-14,44.5
2021,VC_VAW_PHYPYV,Viet Nam,1-14,72.392
2017,VC_VAW_PHYPYV,Tajikistan,1-14,69.0
2019,VC_VAW_PHYPYV,Turkmenistan,1-14,68.6
2012,VC_VAW_PHYPYV,Ukraine,2-14,61.2
2019,VC_VAW_PHYPYV,North Macedonia,1-14,73.1
2022,VC_VAW_PHYPYV,Uzbekistan,1-14,62.21
2022,VC_VAW_PHYPYV,Uzbekistan,1-14,62.21
