Year,SeriesCode,GeoAreaName,Age,Sex,Value
2007,SE_ADT_EDUCTRN,Austria,25-54,FEMALE,16.0
2007,SE_ADT_EDUCTRN,Austria,15-24,MALE,63.0
2007,SE_ADT_EDUCTRN,Austria,25-54,BOTHSEX,14.7
2007,SE_ADT_EDUCTRN,Austria,15-24,BOTHSEX,63.7
2007,SE_ADT_EDUCTRN,Austria,15-64,FEMALE,23.1
2007,SE_ADT_EDUCTRN,Austria,15-64,MALE,20.9
2007,SE_ADT_EDUCTRN,Austria,15-64,BOTHSEX,22.0
2007,SE_ADT_EDUCTRN,Austria,55-64,FEMALE,6.9
2008,SE_ADT_EDUCTRN,Austria,25-54,BOTHSEX,15.2
2008,SE_ADT_EDUCTRN,Austria,15-64,FEMALE,23.3
2008,SE_ADT_EDUCTRN,Austria,15-24,BOTHSEX,63.3
2008,SE_ADT_EDUCTRN,Austria,55-64,MALE,4.9
2008,SE_ADT_EDUCTRN,Austria,15-24,FEMALE,65.0
2008,SE_ADT_EDUCTRN,Austria,25-54,FEMALE,16.3
2008,SE_ADT_EDUCTRN,Austria,15-24,MALE,61.7
2008,SE_ADT_EDUCTRN,Austria,55-64,FEMALE,6.4
2007,SE_ADT_EDUCTRN,Bulgaria,25-54,MALE,2.2
2007,SE_ADT_EDUCTRN,Bulgaria,55-64,MALE,0.1
2007,SE_ADT_EDUCTRN,Bulgaria,15-24,BOTHSEX,59.8
2007,SE_ADT_EDUCTRN,Bulgaria,25-54,BOTHSEX,2.1
2007,SE_ADT_EDUCTRN,Bulgaria,15-24,MALE,57.6
2007,SE_ADT_EDUCTRN,Bulgaria,25-54,FEMALE,2.1
2007,SE_ADT_EDUCTRN,Bulgaria,15-64,FEMALE,13.1
2008,SE_ADT_EDUCTRN,Austria,15-64,BOTHSEX,22.2
2008,SE_ADT_EDUCTRN,Austria,15-64,MALE,21.2
2008,SE_ADT_EDUCTRN,Austria,55-64,BOTHSEX,5.7
2008,SE_ADT_EDUCTRN,Austria,25-54,MALE,14.2
2009,SE_ADT_EDUCTRN,Austria,55-64,MALE,5.6
2009,SE_ADT_EDUCTRN,Austria,15-24,BOTHSEX,64.3
2009,SE_ADT_EDUCTRN,Austria,15-64,FEMALE,23.7
2007,SE_ADT_EDUCTRN,Albania,15-24,FEMALE,46.4
2007,SE_ADT_EDUCTRN,Albania,55-64,FEMALE,0.8
2007,SE_ADT_EDUCTRN,Albania,15-64,BOTHSEX,14.1
2007,SE_ADT_EDUCTRN,Albania,15-64,MALE,13.8
2007,SE_ADT_EDUCTRN,Albania,15-64,FEMALE,14.3
2008,SE_ADT_EDUCTRN,Albania,25-54,BOTHSEX,2.1
2008,SE_ADT_EDUCTRN,Albania,55-64,FEMALE,1.3
2015,SE_ADT_EDUCTRN,Croatia,15-64,MALE,12.8
2015,SE_ADT_EDUCTRN,Croatia,55-64,FEMALE,0.2
2015,SE_ADT_EDUCTRN,Croatia,55-64,BOTHSEX,0.1
2015,SE_ADT_EDUCTRN,Croatia,25-54,MALE,3.5
2015,SE_ADT_EDUCTRN,Croatia,15-24,FEMALE,72.0
2015,SE_ADT_EDUCTRN,Croatia,25-54,BOTHSEX,4.2
2015,SE_ADT_EDUCTRN,Croatia,15-24,MALE,59.7
2008,SE_ADT_EDUCTRN,Albania,15-24,FEMALE,49.1
2008,SE_ADT_EDUCTRN,Albania,55-64,BOTHSEX,1.2
2008,SE_ADT_EDUCTRN,Albania,25-54,MALE,1.8
2008,SE_ADT_EDUCTRN,Albania,25-54,FEMALE,2.3
2008,SE_ADT_EDUCTRN,Albania,15-24,MALE,48.7
