Year,SeriesCode,GeoAreaName,Location,Value
2010,EN_ATM_PM25,Chile,URBAN,24.11704
2010,EN_ATM_PM25,Chile,TSUB,21.16421
2010,EN_ATM_PM25,Chile,RURAL,20.3846
2010,EN_ATM_PM25,Chile,CITY,24.65934
2010,EN_ATM_PM25,Chile,ALLAREA,22.25415
2011,EN_ATM_PM25,Chile,URBAN,24.30911
2011,EN_ATM_PM25,Chile,TSUB,21.41105
2011,EN_ATM_PM25,Chile,RURAL,20.69009
2011,EN_ATM_PM25,Chile,ALLAREA,22.50082
2011,EN_ATM_PM25,Chile,CITY,24.84194
2012,EN_ATM_PM25,Chile,TSUB,20.97065
2012,EN_ATM_PM25,Chile,URBAN,23.79966
2012,EN_ATM_PM25,Chile,CITY,24.32009
2012,EN_ATM_PM25,Chile,ALLAREA,22.0063
2012,EN_ATM_PM25,Chile,RURAL,20.21381
2013,EN_ATM_PM25,Chile,ALLAREA,23.82929
2013,EN_ATM_PM25,Chile,CITY,26.39534
2013,EN_ATM_PM25,Chile,URBAN,25.81432
2013,EN_ATM_PM25,Chile,TSUB,22.6558
2013,EN_ATM_PM25,Chile,RURAL,21.84805
2014,EN_ATM_PM25,Chile,ALLAREA,23.14193
2014,EN_ATM_PM25,Chile,URBAN,25.05918
2014,EN_ATM_PM25,Chile,TSUB,22.02788
2014,EN_ATM_PM25,Chile,CITY,25.61641
2014,EN_ATM_PM25,Chile,RURAL,21.23022
2015,EN_ATM_PM25,Chile,ALLAREA,24.15233
2015,EN_ATM_PM25,Chile,CITY,26.56714
2015,EN_ATM_PM25,Chile,URBAN,26.02619
2015,EN_ATM_PM25,Chile,TSUB,23.07936
2015,EN_ATM_PM25,Chile,RURAL,22.28481
2016,EN_ATM_PM25,Chile,RURAL,21.85589
2016,EN_ATM_PM25,Chile,CITY,26.18842
2016,EN_ATM_PM25,Chile,ALLAREA,23.74832
2016,EN_ATM_PM25,Chile,TSUB,22.69246
2016,EN_ATM_PM25,Chile,URBAN,25.64718
2017,EN_ATM_PM25,Chile,ALLAREA,22.69373
2017,EN_ATM_PM25,Chile,URBAN,24.58381
2017,EN_ATM_PM25,Chile,TSUB,21.6538
2017,EN_ATM_PM25,Chile,RURAL,20.80932
2017,EN_ATM_PM25,Chile,CITY,25.11907
2018,EN_ATM_PM25,Chile,ALLAREA,21.46726
2018,EN_ATM_PM25,Chile,URBAN,23.23924
2018,EN_ATM_PM25,Chile,TSUB,20.469
2018,EN_ATM_PM25,Chile,RURAL,19.6994
2018,EN_ATM_PM25,Chile,CITY,23.74373
2019,EN_ATM_PM25,Chile,CITY,22.62515
2019,EN_ATM_PM25,Chile,RURAL,18.82031
2019,EN_ATM_PM25,Chile,URBAN,22.15511
2019,EN_ATM_PM25,Chile,ALLAREA,20.48648
2019,EN_ATM_PM25,Chile,TSUB,19.56522
2010,EN_ATM_PM25,China,TSUB,51.05961
2010,EN_ATM_PM25,China,RURAL,39.34282
2010,EN_ATM_PM25,China,CITY,48.14974
2010,EN_ATM_PM25,China,ALLAREA,47.18253
2010,EN_ATM_PM25,China,URBAN,49.53367
2011,EN_ATM_PM25,China,URBAN,54.57907
2011,EN_ATM_PM25,China,TSUB,56.44492
2011,EN_ATM_PM25,China,RURAL,43.01333
2011,EN_ATM_PM25,China,CITY,52.90041
2011,EN_ATM_PM25,China,ALLAREA,51.9203
2012,EN_ATM_PM25,China,ALLAREA,53.43098
2012,EN_ATM_PM25,China,URBAN,56.15441
2012,EN_ATM_PM25,China,TSUB,58.12906
2012,EN_ATM_PM25,China,RURAL,44.26417
2012,EN_ATM_PM25,China,CITY,54.3922
2013,EN_ATM_PM25,China,RURAL,53.81766
2013,EN_ATM_PM25,China,URBAN,68.20949
2013,EN_ATM_PM25,China,TSUB,70.42684
2013,EN_ATM_PM25,China,CITY,66.24682
2013,EN_ATM_PM25,China,ALLAREA,64.92525
2014,EN_ATM_PM25,China,URBAN,58.21961
2014,EN_ATM_PM25,China,TSUB,60.07949
2010,EN_ATM_PM25,Azerbaijan,TSUB,29.57853
2010,EN_ATM_PM25,Azerbaijan,RURAL,28.50277
2010,EN_ATM_PM25,Azerbaijan,CITY,33.38792
2010,EN_ATM_PM25,Azerbaijan,ALLAREA,30.1081
2010,EN_ATM_PM25,Azerbaijan,URBAN,32.10206
2011,EN_ATM_PM25,Azerbaijan,URBAN,36.07442
2011,EN_ATM_PM25,Azerbaijan,TSUB,33.39423
2011,EN_ATM_PM25,Azerbaijan,RURAL,32.18854
2011,EN_ATM_PM25,Azerbaijan,CITY,37.43776
2011,EN_ATM_PM25,Azerbaijan,ALLAREA,33.92017
2012,EN_ATM_PM25,Azerbaijan,URBAN,35.72314
2012,EN_ATM_PM25,Azerbaijan,RURAL,31.86333
2010,EN_ATM_PM25,Ireland,ALLAREA,9.902
2010,EN_ATM_PM25,Ireland,CITY,10.54697
2010,EN_ATM_PM25,Ireland,RURAL,8.97833
2010,EN_ATM_PM25,Ireland,TSUB,10.52656
2010,EN_ATM_PM25,Ireland,URBAN,10.5377
2011,EN_ATM_PM25,Ireland,ALLAREA,10.60182
2011,EN_ATM_PM25,Ireland,CITY,11.25987
2011,EN_ATM_PM25,Ireland,RURAL,9.64187
2011,EN_ATM_PM25,Ireland,TSUB,11.26921
2011,EN_ATM_PM25,Ireland,URBAN,11.26412
2012,EN_ATM_PM25,Ireland,ALLAREA,9.42652
2012,EN_ATM_PM25,Ireland,CITY,10.05169
2010,EN_ATM_PM25,Albania,TSUB,22.36809
2010,EN_ATM_PM25,Albania,RURAL,21.38432
2010,EN_ATM_PM25,Albania,CITY,22.2429
2010,EN_ATM_PM25,Albania,ALLAREA,21.9487
2010,EN_ATM_PM25,Albania,URBAN,22.3013
2011,EN_ATM_PM25,Albania,CITY,23.40579
2011,EN_ATM_PM25,Albania,ALLAREA,22.9965
2011,EN_ATM_PM25,Albania,URBAN,23.39359
2011,EN_ATM_PM25,Albania,TSUB,23.37923
2011,EN_ATM_PM25,Albania,RURAL,22.34071
2012,EN_ATM_PM25,Albania,ALLAREA,21.70175
2012,EN_ATM_PM25,Albania,CITY,21.87917
2014,EN_ATM_PM25,China,RURAL,45.82853
2014,EN_ATM_PM25,China,CITY,56.58691
2014,EN_ATM_PM25,China,ALLAREA,55.40258
2015,EN_ATM_PM25,China,URBAN,54.46805
2015,EN_ATM_PM25,China,TSUB,56.12269
2015,EN_ATM_PM25,China,RURAL,42.52184
2015,EN_ATM_PM25,China,CITY,53.02765
2015,EN_ATM_PM25,China,ALLAREA,51.76256
2016,EN_ATM_PM25,China,CITY,48.80766
2016,EN_ATM_PM25,China,URBAN,50.0897
2016,EN_ATM_PM25,China,TSUB,51.57501
2016,EN_ATM_PM25,China,RURAL,39.11036
2012,EN_ATM_PM25,Azerbaijan,TSUB,33.05422
2012,EN_ATM_PM25,Azerbaijan,ALLAREA,33.58166
2012,EN_ATM_PM25,Azerbaijan,CITY,37.0785
2013,EN_ATM_PM25,Azerbaijan,RURAL,29.744
2013,EN_ATM_PM25,Azerbaijan,CITY,34.64708
2013,EN_ATM_PM25,Azerbaijan,ALLAREA,31.35332
2013,EN_ATM_PM25,Azerbaijan,TSUB,30.83021
2013,EN_ATM_PM25,Azerbaijan,URBAN,33.36297
2014,EN_ATM_PM25,Azerbaijan,TSUB,29.38942
2014,EN_ATM_PM25,Azerbaijan,RURAL,28.36138
2014,EN_ATM_PM25,Azerbaijan,CITY,33.15734
2014,EN_ATM_PM25,Azerbaijan,ALLAREA,29.929
2014,EN_ATM_PM25,Azerbaijan,URBAN,31.89102
2015,EN_ATM_PM25,Azerbaijan,TSUB,29.18564
2015,EN_ATM_PM25,Azerbaijan,RURAL,28.17802
2015,EN_ATM_PM25,Azerbaijan,CITY,32.72397
2015,EN_ATM_PM25,Azerbaijan,ALLAREA,29.66727
2015,EN_ATM_PM25,Azerbaijan,URBAN,31.53602
2016,EN_ATM_PM25,Azerbaijan,URBAN,30.59647
2016,EN_ATM_PM25,Azerbaijan,RURAL,27.44532
2016,EN_ATM_PM25,Azerbaijan,TSUB,28.39898
2016,EN_ATM_PM25,Azerbaijan,CITY,31.70551
2016,EN_ATM_PM25,Azerbaijan,ALLAREA,28.84057
2017,EN_ATM_PM25,Azerbaijan,RURAL,26.093
2016,EN_ATM_PM25,China,ALLAREA,47.61291
2017,EN_ATM_PM25,China,ALLAREA,46.89996
2017,EN_ATM_PM25,China,CITY,48.07124
2017,EN_ATM_PM25,China,RURAL,38.37905
2017,EN_ATM_PM25,China,URBAN,49.36935
2017,EN_ATM_PM25,China,TSUB,50.88626
2018,EN_ATM_PM25,China,URBAN,42.65252
2018,EN_ATM_PM25,China,TSUB,43.95137
2018,EN_ATM_PM25,China,RURAL,33.22108
2018,EN_ATM_PM25,China,CITY,41.5506
2018,EN_ATM_PM25,China,ALLAREA,40.54193
2019,EN_ATM_PM25,China,URBAN,40.16787
2017,EN_ATM_PM25,Azerbaijan,CITY,30.33718
2017,EN_ATM_PM25,Azerbaijan,ALLAREA,27.47704
2017,EN_ATM_PM25,Azerbaijan,TSUB,27.0163
2017,EN_ATM_PM25,Azerbaijan,URBAN,29.2244
