Year,SeriesCode,Country,Mode of transportation,Value
2018,IS_RDP_PFVOL,Finland,AIR,34854984690
2019,IS_RDP_PFVOL,Finland,AIR,38538660640
2020,IS_RDP_PFVOL,Finland,AIR,8147942770
2021,IS_RDP_PFVOL,Finland,AIR,5081702160
2017,IS_RDP_PFVOL,France,AIR,192909942000
2018,IS_RDP_PFVOL,France,AIR,201954980000
2019,IS_RDP_PFVOL,France,AIR,210879943000
2020,IS_RDP_PFVOL,France,AIR,69373912000
2021,IS_RDP_PFVOL,France,AIR,85544736000
2017,IS_RDP_PFVOL,Georgia,AIR,599995000
2018,IS_RDP_PFVOL,Georgia,AIR,1039669300
2019,IS_RDP_PFVOL,Georgia,AIR,1058932944
2020,IS_RDP_PFVOL,Georgia,AIR,190366500
2021,IS_RDP_PFVOL,Georgia,AIR,192854140
2017,IS_RDP_PFVOL,Germany,AIR,248023598072
2018,IS_RDP_PFVOL,Germany,AIR,242053891260
2019,IS_RDP_PFVOL,Germany,AIR,250461723852
2020,IS_RDP_PFVOL,Germany,AIR,53328630590
2021,IS_RDP_PFVOL,Germany,AIR,70226016260
2017,IS_RDP_PFVOL,Greece,AIR,13367658582
2018,IS_RDP_PFVOL,Greece,AIR,14141438533
2019,IS_RDP_PFVOL,Greece,AIR,14957215784
2020,IS_RDP_PFVOL,Greece,AIR,4810487673
2021,IS_RDP_PFVOL,Greece,AIR,7579598700
2017,IS_RDP_PFVOL,Hungary,AIR,37151967000
2018,IS_RDP_PFVOL,Hungary,AIR,45225202520
2019,IS_RDP_PFVOL,Hungary,AIR,64986692000
2020,IS_RDP_PFVOL,Hungary,AIR,23808402000
2021,IS_RDP_PFVOL,Hungary,AIR,31124340850
2017,IS_RDP_PFVOL,Iceland,AIR,21638481370
2018,IS_RDP_PFVOL,Iceland,AIR,24228765677
2019,IS_RDP_PFVOL,Iceland,AIR,13676591920
2020,IS_RDP_PFVOL,Iceland,AIR,2129771031
2021,IS_RDP_PFVOL,Iceland,AIR,3912870008
2017,IS_RDP_PFVOL,India,AIR,190343511177
2018,IS_RDP_PFVOL,India,AIR,221193698478
2019,IS_RDP_PFVOL,India,AIR,220199541615
2020,IS_RDP_PFVOL,India,AIR,85618822825
2021,IS_RDP_PFVOL,India,AIR,88509873563
2017,IS_RDP_PFVOL,Ireland,AIR,204660046097
2018,IS_RDP_PFVOL,Ireland,AIR,224622979353
2019,IS_RDP_PFVOL,Ireland,AIR,232491414535
2020,IS_RDP_PFVOL,Ireland,AIR,75429302960
2021,IS_RDP_PFVOL,Ireland,AIR,95000062520
2017,IS_RDP_PFVOL,Israel,AIR,22784538890
2018,IS_RDP_PFVOL,Israel,AIR,23917538000
