Year,SeriesCode,Country,Age,Sex,Value
2000,SH_ALC_CONSPT,Albania,15+,Male,7.30242
2000,SH_ALC_CONSPT,Albania,15+,Both sexes,4.431
2000,SH_ALC_CONSPT,Albania,15+,Female,1.6685
2005,SH_ALC_CONSPT,Albania,15+,Female,2.03405
2005,SH_ALC_CONSPT,Albania,15+,Male,8.66422
2005,SH_ALC_CONSPT,Albania,15+,Both sexes,5.2974
2010,SH_ALC_CONSPT,Albania,15+,Both sexes,5.90031
2010,SH_ALC_CONSPT,Albania,15+,Male,9.59663
2010,SH_ALC_CONSPT,Albania,15+,Female,2.26229
2019,SH_ALC_CONSPT,Tajikistan,15+,Female,0.23745
2019,SH_ALC_CONSPT,Tajikistan,15+,Both sexes,0.86628
2019,SH_ALC_CONSPT,Tajikistan,15+,Male,1.50271
2000,SH_ALC_CONSPT,United Arab Emirates,15+,Both sexes,1.75983
2000,SH_ALC_CONSPT,United Arab Emirates,15+,Female,0.3104
2000,SH_ALC_CONSPT,United Arab Emirates,15+,Male,2.29788
2005,SH_ALC_CONSPT,United Arab Emirates,15+,Male,2.3011
2005,SH_ALC_CONSPT,United Arab Emirates,15+,Female,0.31887
2005,SH_ALC_CONSPT,United Arab Emirates,15+,Both sexes,1.76984
2000,SH_ALC_CONSPT,Chile,15+,Both sexes,6.55045
2000,SH_ALC_CONSPT,Chile,15+,Female,3.03996
2000,SH_ALC_CONSPT,Chile,15+,Male,10.17948
2005,SH_ALC_CONSPT,Chile,15+,Female,3.46764
2005,SH_ALC_CONSPT,Chile,15+,Male,11.60771
2005,SH_ALC_CONSPT,Chile,15+,Both sexes,7.47088
2010,SH_ALC_CONSPT,Chile,15+,Male,12.1059
2010,SH_ALC_CONSPT,Chile,15+,Both sexes,7.79076
2010,SH_ALC_CONSPT,Chile,15+,Female,3.60686
2010,SH_ALC_CONSPT,United Arab Emirates,15+,Female,0.34175
2010,SH_ALC_CONSPT,United Arab Emirates,15+,Male,2.47825
2010,SH_ALC_CONSPT,United Arab Emirates,15+,Both sexes,1.95895
2015,SH_ALC_CONSPT,United Arab Emirates,15+,Male,3.04376
2015,SH_ALC_CONSPT,United Arab Emirates,15+,Both sexes,2.36656
2015,SH_ALC_CONSPT,United Arab Emirates,15+,Female,0.41572
2019,SH_ALC_CONSPT,United Arab Emirates,15+,Male,3.07588
2019,SH_ALC_CONSPT,United Arab Emirates,15+,Female,0.4113
2019,SH_ALC_CONSPT,United Arab Emirates,15+,Both sexes,2.36873
2015,SH_ALC_CONSPT,Chile,15+,Male,12.06405
2015,SH_ALC_CONSPT,Chile,15+,Female,3.56817
2015,SH_ALC_CONSPT,Chile,15+,Both sexes,7.75342
2019,SH_ALC_CONSPT,Chile,15+,Female,3.08514
2019,SH_ALC_CONSPT,Chile,15+,Both sexes,6.74572
2019,SH_ALC_CONSPT,Chile,15+,Male,10.50898
2000,SH_ALC_CONSPT,China,15+,Female,1.43189
2000,SH_ALC_CONSPT,China,15+,Male,5.77001
2000,SH_ALC_CONSPT,China,15+,Both sexes,3.62488
2000,SH_ALC_CONSPT,Türkiye,15+,Female,0.61079
2000,SH_ALC_CONSPT,Türkiye,15+,Both sexes,2.46224
2000,SH_ALC_CONSPT,Türkiye,15+,Male,4.32384
2005,SH_ALC_CONSPT,Türkiye,15+,Male,3.61795
2005,SH_ALC_CONSPT,Türkiye,15+,Both sexes,2.0562
2005,SH_ALC_CONSPT,Türkiye,15+,Female,0.50434
2010,SH_ALC_CONSPT,Türkiye,15+,Male,3.73617
2010,SH_ALC_CONSPT,Türkiye,15+,Both sexes,2.12205
2010,SH_ALC_CONSPT,Türkiye,15+,Female,0.51957
2015,SH_ALC_CONSPT,Albania,15+,Male,8.24812
2015,SH_ALC_CONSPT,Albania,15+,Female,1.85286
2015,SH_ALC_CONSPT,Albania,15+,Both sexes,5.03752
2019,SH_ALC_CONSPT,Albania,15+,Both sexes,5.10935
2019,SH_ALC_CONSPT,Albania,15+,Male,8.3623
2019,SH_ALC_CONSPT,Albania,15+,Female,1.87937
2000,SH_ALC_CONSPT,Azerbaijan,15+,Female,0.45202
2000,SH_ALC_CONSPT,Azerbaijan,15+,Male,2.83316
2000,SH_ALC_CONSPT,Azerbaijan,15+,Both sexes,1.56995
2005,SH_ALC_CONSPT,China,15+,Both sexes,3.45674
2005,SH_ALC_CONSPT,China,15+,Female,1.35972
2005,SH_ALC_CONSPT,China,15+,Male,5.50672
2010,SH_ALC_CONSPT,China,15+,Female,2.39453
2010,SH_ALC_CONSPT,China,15+,Both sexes,5.90146
2010,SH_ALC_CONSPT,China,15+,Male,9.32792
2015,SH_ALC_CONSPT,China,15+,Both sexes,7.34536
2015,SH_ALC_CONSPT,China,15+,Female,2.99265
2015,SH_ALC_CONSPT,China,15+,Male,11.59976
2015,SH_ALC_CONSPT,Türkiye,15+,Both sexes,1.89513
2015,SH_ALC_CONSPT,Türkiye,15+,Female,0.46521
2015,SH_ALC_CONSPT,Türkiye,15+,Male,3.33536
2019,SH_ALC_CONSPT,Türkiye,15+,Female,0.44445
2019,SH_ALC_CONSPT,Türkiye,15+,Male,3.20718
2019,SH_ALC_CONSPT,Türkiye,15+,Both sexes,1.82036
2000,SH_ALC_CONSPT,Turkmenistan,15+,Both sexes,2.63152
2000,SH_ALC_CONSPT,Turkmenistan,15+,Male,4.61925
