Year,SeriesCode,GeoAreaName,Age,Education level,Location,Quantile,Sex,Value
2011,FB_BNK_ACCSS,Albania,15-24,_T,ALLAREA,_T,BOTHSEX,26.40366
2011,FB_BNK_ACCSS,Albania,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,36.24445
2021,FB_BNK_ACCSS,Estonia,15+,_T,ALLAREA,R60,BOTHSEX,99.32228
2021,FB_BNK_ACCSS,Estonia,15-24,_T,ALLAREA,_T,BOTHSEX,100.0
2021,FB_BNK_ACCSS,Estonia,15+,_T,ALLAREA,B40,BOTHSEX,99.45826
2021,FB_BNK_ACCSS,Estonia,15+,_T,ALLAREA,_T,MALE,99.12108
2021,FB_BNK_ACCSS,Estonia,25+,_T,ALLAREA,_T,BOTHSEX,99.29225
2021,FB_BNK_ACCSS,Estonia,15+,_T,ALLAREA,_T,BOTHSEX,99.37656
2021,FB_BNK_ACCSS,Estonia,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,98.38579
2021,FB_BNK_ACCSS,Estonia,15+,_T,ALLAREA,_T,FEMALE,99.59705
2011,FB_BNK_ACCSS,Finland,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,99.18926
2011,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,BOTHSEX,99.65125
2011,FB_BNK_ACCSS,Finland,25+,_T,ALLAREA,_T,BOTHSEX,99.60315
2011,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,MALE,99.45905
2011,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,B40,BOTHSEX,99.92288
2011,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,R60,BOTHSEX,99.47057
2014,FB_BNK_ACCSS,Australia,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,98.79622
2014,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,_T,FEMALE,99.03623
2014,FB_BNK_ACCSS,Australia,15-24,_T,ALLAREA,_T,BOTHSEX,94.77867
2017,FB_BNK_ACCSS,Australia,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,99.50149
2017,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,_T,MALE,99.85454
2017,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,_T,BOTHSEX,99.51937
2017,FB_BNK_ACCSS,Australia,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,100.0
2011,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,B40,BOTHSEX,13.36583
