Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2010,SH_PRV_SMOK,Australia,15+,,MALE,20.3
2010,SH_PRV_SMOK,Australia,15+,,FEMALE,16.0
2010,SH_PRV_SMOK,Australia,15+,,BOTHSEX,18.2
2015,SH_PRV_SMOK,Australia,15+,,MALE,17.8
2015,SH_PRV_SMOK,Australia,15+,,FEMALE,13.5
2015,SH_PRV_SMOK,Australia,15+,,BOTHSEX,15.7
2018,SH_PRV_SMOK,Australia,15+,,MALE,16.5
2018,SH_PRV_SMOK,Australia,15+,,FEMALE,12.2
2000,SH_PRV_SMOK,Serbia,15+,,BOTHSEX,45.1
2000,SH_PRV_SMOK,Serbia,15+,,MALE,51.0
2000,SH_PRV_SMOK,Serbia,15+,,FEMALE,39.1
2005,SH_PRV_SMOK,Serbia,15+,,MALE,48.0
2005,SH_PRV_SMOK,Serbia,15+,,FEMALE,39.3
2005,SH_PRV_SMOK,Serbia,15+,,BOTHSEX,43.7
2010,SH_PRV_SMOK,Serbia,15+,,FEMALE,39.1
2010,SH_PRV_SMOK,Serbia,15+,,MALE,45.4
2018,SH_PRV_SMOK,Australia,15+,,BOTHSEX,14.0
2019,SH_PRV_SMOK,Australia,15+,,FEMALE,11.9
2019,SH_PRV_SMOK,Australia,15+,,BOTHSEX,14.0
2019,SH_PRV_SMOK,Australia,15+,,MALE,16.0
2020,SH_PRV_SMOK,Australia,15+,,MALE,15.6
2020,SH_PRV_SMOK,Australia,15+,,FEMALE,11.5
2020,SH_PRV_SMOK,Australia,15+,,BOTHSEX,13.6
2000,SH_PRV_SMOK,Austria,15+,,MALE,56.8
2010,SH_PRV_SMOK,Serbia,15+,,BOTHSEX,42.3
2015,SH_PRV_SMOK,Serbia,15+,,FEMALE,39.1
2015,SH_PRV_SMOK,Serbia,15+,,BOTHSEX,40.9
2015,SH_PRV_SMOK,Serbia,15+,,MALE,42.7
2018,SH_PRV_SMOK,Serbia,15+,,FEMALE,39.0
2018,SH_PRV_SMOK,Serbia,15+,,MALE,41.4
2018,SH_PRV_SMOK,Serbia,15+,,BOTHSEX,40.1
2019,SH_PRV_SMOK,Serbia,15+,,MALE,41.1
2018,SH_PRV_SMOK,Cyprus,15+,,BOTHSEX,35.5
2019,SH_PRV_SMOK,Cyprus,15+,,BOTHSEX,35.5
2019,SH_PRV_SMOK,Cyprus,15+,,FEMALE,23.2
2019,SH_PRV_SMOK,Cyprus,15+,,MALE,47.7
2020,SH_PRV_SMOK,Cyprus,15+,,BOTHSEX,35.1
2020,SH_PRV_SMOK,Cyprus,15+,,FEMALE,23.2
2020,SH_PRV_SMOK,Cyprus,15+,,MALE,47.0
2000,SH_PRV_SMOK,Czechia,15+,,MALE,40.1
2019,SH_PRV_SMOK,Serbia,15+,,BOTHSEX,40.1
2019,SH_PRV_SMOK,Serbia,15+,,FEMALE,39.0
2020,SH_PRV_SMOK,Serbia,15+,,BOTHSEX,39.8
2020,SH_PRV_SMOK,Serbia,15+,,FEMALE,39.1
2020,SH_PRV_SMOK,Serbia,15+,,MALE,40.5
2000,SH_PRV_SMOK,Slovakia,15+,,MALE,43.2
2000,SH_PRV_SMOK,Slovakia,15+,,FEMALE,20.7
2000,SH_PRV_SMOK,Slovakia,15+,,BOTHSEX,32.0
2000,SH_PRV_SMOK,Czechia,15+,,FEMALE,28.2
2000,SH_PRV_SMOK,Czechia,15+,,BOTHSEX,34.2
2005,SH_PRV_SMOK,Czechia,15+,,MALE,38.8
2005,SH_PRV_SMOK,Czechia,15+,,FEMALE,28.0
2005,SH_PRV_SMOK,Czechia,15+,,BOTHSEX,33.4
