Year,SeriesCode,GeoAreaName,Education level,Value
2017,SE_INF_DSBL,Albania,UPPSEC,11.90476
2018,SE_INF_DSBL,Albania,LOWSEC,7.13755
2018,SE_INF_DSBL,Albania,PRIMAR,5.06266
2018,SE_INF_DSBL,Albania,UPPSEC,9.49495
2019,SE_INF_DSBL,Albania,UPPSEC,11.0664
2019,SE_INF_DSBL,Albania,PRIMAR,7.17878
2019,SE_INF_DSBL,Albania,LOWSEC,7.95902
2020,SE_INF_DSBL,Albania,LOWSEC,8.79479
2020,SE_INF_DSBL,Albania,PRIMAR,8.1297
2020,SE_INF_DSBL,Albania,UPPSEC,23.15369
2016,SE_INF_DSBL,Costa Rica,LOWSEC,61.10582
2016,SE_INF_DSBL,Costa Rica,PRIMAR,60.45116
2016,SE_INF_DSBL,Costa Rica,UPPSEC,60.65141
2017,SE_INF_DSBL,Costa Rica,UPPSEC,63.01131
2017,SE_INF_DSBL,Costa Rica,PRIMAR,69.15435
2017,SE_INF_DSBL,Costa Rica,LOWSEC,63.19773
2018,SE_INF_DSBL,Costa Rica,LOWSEC,61.11111
2018,SE_INF_DSBL,Costa Rica,PRIMAR,55.39345
2018,SE_INF_DSBL,Costa Rica,UPPSEC,60.46916
2019,SE_INF_DSBL,Costa Rica,UPPSEC,83.40426
2019,SE_INF_DSBL,Costa Rica,PRIMAR,64.88513
2019,SE_INF_DSBL,Costa Rica,LOWSEC,84.55056
2020,SE_INF_DSBL,Costa Rica,LOWSEC,76.19048
2020,SE_INF_DSBL,Costa Rica,PRIMAR,71.71864
2020,SE_INF_DSBL,Costa Rica,UPPSEC,75.08475
2000,SE_INF_DSBL,Finland,PRIMAR,100.0
2000,SE_INF_DSBL,Finland,UPPSEC,100.0
2000,SE_INF_DSBL,Finland,LOWSEC,100.0
2001,SE_INF_DSBL,Finland,LOWSEC,100.0
2001,SE_INF_DSBL,Finland,UPPSEC,100.0
2001,SE_INF_DSBL,Finland,PRIMAR,100.0
2002,SE_INF_DSBL,Finland,PRIMAR,100.0
2002,SE_INF_DSBL,Finland,UPPSEC,100.0
2002,SE_INF_DSBL,Finland,LOWSEC,100.0
2003,SE_INF_DSBL,Finland,LOWSEC,100.0
2003,SE_INF_DSBL,Finland,PRIMAR,100.0
2003,SE_INF_DSBL,Finland,UPPSEC,100.0
2004,SE_INF_DSBL,Finland,UPPSEC,100.0
2004,SE_INF_DSBL,Finland,PRIMAR,100.0
2004,SE_INF_DSBL,Finland,LOWSEC,100.0
2005,SE_INF_DSBL,Finland,PRIMAR,100.0
2005,SE_INF_DSBL,Finland,UPPSEC,100.0
2005,SE_INF_DSBL,Finland,LOWSEC,100.0
2006,SE_INF_DSBL,Finland,UPPSEC,100.0
2006,SE_INF_DSBL,Finland,PRIMAR,100.0
