Year,SeriesCode,GeoAreaName,Migratory status,Sex,Value
2002,SL_EMP_FTLINJUR,Australia,_T,MALE,4.3
2002,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.3
2003,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.3
2003,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.4
2018,SL_EMP_FTLINJUR,Türkiye,MIGPER,FEMALE,0.0
2018,SL_EMP_FTLINJUR,Türkiye,NONMIG,FEMALE,0.81
2018,SL_EMP_FTLINJUR,Türkiye,NONMIG,BOTHSEX,7.87
2018,SL_EMP_FTLINJUR,Türkiye,_T,FEMALE,0.8
2018,SL_EMP_FTLINJUR,Türkiye,NONMIG,MALE,10.81
2018,SL_EMP_FTLINJUR,Türkiye,_T,BOTHSEX,7.88
2018,SL_EMP_FTLINJUR,Türkiye,MIGPER,MALE,12.97
2018,SL_EMP_FTLINJUR,Türkiye,_T,MALE,10.83
2018,SL_EMP_FTLINJUR,Türkiye,MIGPER,BOTHSEX,8.66
2019,SL_EMP_FTLINJUR,Türkiye,_T,MALE,8.25
2019,SL_EMP_FTLINJUR,Türkiye,NONMIG,MALE,8.27
2019,SL_EMP_FTLINJUR,Türkiye,_T,BOTHSEX,5.9
2003,SL_EMP_FTLINJUR,Australia,_T,MALE,4.0
2004,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.1
2004,SL_EMP_FTLINJUR,Australia,_T,MALE,3.6
2004,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.3
2005,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.3
2005,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.0
2005,SL_EMP_FTLINJUR,Australia,_T,MALE,3.6
2019,SL_EMP_FTLINJUR,Türkiye,NONMIG,FEMALE,0.37
2019,SL_EMP_FTLINJUR,Türkiye,MIGPER,MALE,6.67
2019,SL_EMP_FTLINJUR,Türkiye,_T,FEMALE,0.36
2019,SL_EMP_FTLINJUR,Türkiye,NONMIG,BOTHSEX,5.91
2019,SL_EMP_FTLINJUR,Türkiye,MIGPER,FEMALE,0.0
2019,SL_EMP_FTLINJUR,Türkiye,MIGPER,BOTHSEX,4.77
2006,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.1
2006,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.3
2006,SL_EMP_FTLINJUR,Australia,_T,MALE,3.7
2007,SL_EMP_FTLINJUR,Australia,_T,MALE,3.5
2007,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.5
2007,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.0
2008,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.1
2008,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.3
2008,SL_EMP_FTLINJUR,Australia,_T,MALE,3.8
2009,SL_EMP_FTLINJUR,Australia,_T,MALE,4.5
2009,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.44
2009,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.65
2010,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,1.96
2010,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.24
2010,SL_EMP_FTLINJUR,Australia,_T,MALE,3.39
2011,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.33
2011,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.0
2011,SL_EMP_FTLINJUR,Australia,_T,MALE,3.37
2012,SL_EMP_FTLINJUR,Belgium,_T,MALE,3.26
2012,SL_EMP_FTLINJUR,Belgium,_T,FEMALE,0.0
2012,SL_EMP_FTLINJUR,Belgium,NONMIG,MALE,2.86
2013,SL_EMP_FTLINJUR,Belgium,_T,FEMALE,0.16
2013,SL_EMP_FTLINJUR,Belgium,_T,MALE,4.34
2013,SL_EMP_FTLINJUR,Belgium,NONMIG,BOTHSEX,2.3
2000,SL_EMP_FTLINJUR,Lithuania,_T,MALE,12.9
2000,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,0.7
2000,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,8.6
2001,SL_EMP_FTLINJUR,Lithuania,_T,MALE,17.4
2001,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,8.9
2001,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,0.6
2002,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,0.7
2002,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,8.1
2012,SL_EMP_FTLINJUR,Australia,_T,MALE,3.5
2012,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.01
2012,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.23
2013,SL_EMP_FTLINJUR,Australia,_T,MALE,2.92
2013,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.31
2002,SL_EMP_FTLINJUR,Lithuania,_T,MALE,16.2
2003,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,11.3
2003,SL_EMP_FTLINJUR,Lithuania,_T,MALE,23.3
2003,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,0.5
2004,SL_EMP_FTLINJUR,Lithuania,_T,MALE,17.7
2004,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,9.0
2004,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,1.1
2005,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,10.9
2013,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,1.71
2014,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,1.61
2014,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.23
2014,SL_EMP_FTLINJUR,Australia,_T,MALE,2.81
2015,SL_EMP_FTLINJUR,Australia,_T,MALE,2.92
2013,SL_EMP_FTLINJUR,Belgium,NONMIG,MALE,4.07
2013,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,2.46
2013,SL_EMP_FTLINJUR,Belgium,NONMIG,FEMALE,0.18
2014,SL_EMP_FTLINJUR,Belgium,_T,MALE,2.86
2014,SL_EMP_FTLINJUR,Belgium,NONMIG,FEMALE,0.14
2014,SL_EMP_FTLINJUR,Belgium,NONMIG,MALE,2.44
2020,SL_EMP_FTLINJUR,Türkiye,_T,FEMALE,0.55
2020,SL_EMP_FTLINJUR,Türkiye,MIGPER,MALE,5.7
2020,SL_EMP_FTLINJUR,Türkiye,MIGPER,BOTHSEX,3.96
2020,SL_EMP_FTLINJUR,Türkiye,_T,MALE,8.21
2020,SL_EMP_FTLINJUR,Türkiye,MIGPER,FEMALE,0.0
2020,SL_EMP_FTLINJUR,Türkiye,_T,BOTHSEX,5.95
2005,SL_EMP_FTLINJUR,Lithuania,_T,MALE,21.6
2005,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,1.2
2006,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,1.0
2006,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,9.6
2006,SL_EMP_FTLINJUR,Lithuania,_T,MALE,19.1
2007,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,8.7
2007,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,0.7
2007,SL_EMP_FTLINJUR,Lithuania,_T,MALE,17.5
2014,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,1.56
2014,SL_EMP_FTLINJUR,Belgium,NONMIG,BOTHSEX,1.33
2014,SL_EMP_FTLINJUR,Belgium,_T,FEMALE,0.12
2015,SL_EMP_FTLINJUR,Belgium,NONMIG,MALE,3.0
2015,SL_EMP_FTLINJUR,Belgium,_T,FEMALE,0.09
2015,SL_EMP_FTLINJUR,Belgium,NONMIG,BOTHSEX,1.64
2008,SL_EMP_FTLINJUR,Lithuania,_T,MALE,12.5
2008,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,6.8
2008,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,1.3
2009,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,0.95
2009,SL_EMP_FTLINJUR,Lithuania,NONMIG,MALE,8.16
2009,SL_EMP_FTLINJUR,Lithuania,NONMIG,BOTHSEX,4.2
2009,SL_EMP_FTLINJUR,Lithuania,NONMIG,FEMALE,0.96
2009,SL_EMP_FTLINJUR,Lithuania,_T,MALE,8.51
2009,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,4.36
2010,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,4.02
2010,SL_EMP_FTLINJUR,Lithuania,NONMIG,BOTHSEX,3.89
2010,SL_EMP_FTLINJUR,Lithuania,NONMIG,MALE,7.08
2010,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,0.93
2010,SL_EMP_FTLINJUR,Lithuania,NONMIG,FEMALE,0.94
2010,SL_EMP_FTLINJUR,Lithuania,_T,MALE,7.36
2011,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,4.06
2015,SL_EMP_FTLINJUR,Belgium,_T,MALE,2.96
2015,SL_EMP_FTLINJUR,Belgium,NONMIG,FEMALE,0.1
2015,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,1.63
2016,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,1.8
2017,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,1.68
2018,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,1.91
2011,SL_EMP_FTLINJUR,Lithuania,_T,MALE,7.59
2011,SL_EMP_FTLINJUR,Lithuania,_T,FEMALE,0.77
2011,SL_EMP_FTLINJUR,Lithuania,NONMIG,FEMALE,0.77
2011,SL_EMP_FTLINJUR,Lithuania,NONMIG,BOTHSEX,3.92
2011,SL_EMP_FTLINJUR,Lithuania,NONMIG,MALE,7.31
2012,SL_EMP_FTLINJUR,Lithuania,NONMIG,FEMALE,0.33
2012,SL_EMP_FTLINJUR,Lithuania,_T,MALE,10.01
2012,SL_EMP_FTLINJUR,Lithuania,_T,BOTHSEX,4.98
2020,SL_EMP_FTLINJUR,Türkiye,NONMIG,MALE,8.24
2020,SL_EMP_FTLINJUR,Türkiye,NONMIG,BOTHSEX,5.98
2020,SL_EMP_FTLINJUR,Türkiye,NONMIG,FEMALE,0.56
2021,SL_EMP_FTLINJUR,Türkiye,NONMIG,MALE,8.78
