Year,SeriesCode,GeoAreaName,Location,Value
2000,SP_ACS_BSRVSAN,Albania,ALLAREA,89.48867
2000,SP_ACS_BSRVSAN,Albania,RURAL,84.15572
2000,SP_ACS_BSRVSAN,Albania,URBAN,96.93201
2001,SP_ACS_BSRVSAN,Albania,RURAL,84.91295
2001,SP_ACS_BSRVSAN,Albania,URBAN,96.97376
2001,SP_ACS_BSRVSAN,Albania,ALLAREA,90.03095
2002,SP_ACS_BSRVSAN,Albania,URBAN,97.01551
2002,SP_ACS_BSRVSAN,Albania,ALLAREA,90.60551
2002,SP_ACS_BSRVSAN,Albania,RURAL,85.67019
2003,SP_ACS_BSRVSAN,Albania,ALLAREA,91.16546
2003,SP_ACS_BSRVSAN,Albania,RURAL,86.42742
2003,SP_ACS_BSRVSAN,Albania,URBAN,97.05725
2004,SP_ACS_BSRVSAN,Albania,RURAL,87.18465
2004,SP_ACS_BSRVSAN,Albania,URBAN,97.099
2004,SP_ACS_BSRVSAN,Albania,ALLAREA,91.71065
2005,SP_ACS_BSRVSAN,Albania,RURAL,88.01249
2005,SP_ACS_BSRVSAN,Albania,URBAN,97.23654
2005,SP_ACS_BSRVSAN,Albania,ALLAREA,92.32297
2006,SP_ACS_BSRVSAN,Albania,ALLAREA,92.92141
2006,SP_ACS_BSRVSAN,Albania,RURAL,88.84153
2006,SP_ACS_BSRVSAN,Albania,URBAN,97.37416
2007,SP_ACS_BSRVSAN,Albania,URBAN,97.51186
2000,SP_ACS_BSRVSAN,Austria,ALLAREA,99.99998
2000,SP_ACS_BSRVSAN,Austria,RURAL,99.99995
2000,SP_ACS_BSRVSAN,Austria,URBAN,100.0
2001,SP_ACS_BSRVSAN,Austria,ALLAREA,99.99999
2001,SP_ACS_BSRVSAN,Austria,RURAL,99.99997
2001,SP_ACS_BSRVSAN,Austria,URBAN,100.0
2002,SP_ACS_BSRVSAN,Austria,URBAN,100.0
2002,SP_ACS_BSRVSAN,Austria,RURAL,100.0
2002,SP_ACS_BSRVSAN,Austria,ALLAREA,100.0
2003,SP_ACS_BSRVSAN,Austria,RURAL,100.0
2003,SP_ACS_BSRVSAN,Austria,ALLAREA,99.99838
2007,SP_ACS_BSRVSAN,Albania,RURAL,89.67179
2007,SP_ACS_BSRVSAN,Albania,ALLAREA,93.50575
2008,SP_ACS_BSRVSAN,Albania,ALLAREA,94.07581
2008,SP_ACS_BSRVSAN,Albania,RURAL,90.50327
2008,SP_ACS_BSRVSAN,Albania,URBAN,97.64964
2009,SP_ACS_BSRVSAN,Albania,ALLAREA,94.63115
2009,SP_ACS_BSRVSAN,Albania,RURAL,91.33596
2009,SP_ACS_BSRVSAN,Albania,URBAN,97.78751
2010,SP_ACS_BSRVSAN,Albania,ALLAREA,95.17216
2010,SP_ACS_BSRVSAN,Albania,RURAL,92.16987
2010,SP_ACS_BSRVSAN,Albania,URBAN,97.92546
2003,SP_ACS_BSRVSAN,Austria,URBAN,99.99727
2004,SP_ACS_BSRVSAN,Austria,ALLAREA,99.99653
2004,SP_ACS_BSRVSAN,Austria,RURAL,100.0
2004,SP_ACS_BSRVSAN,Austria,URBAN,99.99413
2005,SP_ACS_BSRVSAN,Austria,RURAL,100.0
2005,SP_ACS_BSRVSAN,Austria,URBAN,99.991
2005,SP_ACS_BSRVSAN,Austria,ALLAREA,99.9947
2006,SP_ACS_BSRVSAN,Austria,ALLAREA,99.9929
2006,SP_ACS_BSRVSAN,Austria,RURAL,100.0
2006,SP_ACS_BSRVSAN,Austria,URBAN,99.98786
2007,SP_ACS_BSRVSAN,Austria,ALLAREA,99.9911
2011,SP_ACS_BSRVSAN,Albania,RURAL,93.005
