Year,SeriesCode,Страна ,Activity,Value
2009,NV_IND_SSIS,Albania,ISIC4_C,25.83
2010,NV_IND_SSIS,Albania,ISIC4_C,22.29
2011,NV_IND_SSIS,Albania,ISIC4_C,23.43
2012,NV_IND_SSIS,Albania,ISIC4_C,21.19
2013,NV_IND_SSIS,Albania,ISIC4_C,21.05
2019,NV_IND_SSIS,Albania,ISIC4_C,17.21
2020,NV_IND_SSIS,Albania,ISIC4_C,17.37
2000,NV_IND_SSIS,Australia,ISIC3_D,16.75
2001,NV_IND_SSIS,Australia,ISIC3_D,16.94
2002,NV_IND_SSIS,Australia,ISIC3_D,21.37
2003,NV_IND_SSIS,Australia,ISIC3_D,20.08
2004,NV_IND_SSIS,Australia,ISIC3_D,20.65
2005,NV_IND_SSIS,Australia,ISIC3_D,19.35
2006,NV_IND_SSIS,Australia,ISIC3_D,19.56
2008,NV_IND_SSIS,Australia,ISIC4_C,20.81
2009,NV_IND_SSIS,Australia,ISIC4_C,19.4
2010,NV_IND_SSIS,Australia,ISIC4_C,20.73
2011,NV_IND_SSIS,Australia,ISIC4_C,19.79
2012,NV_IND_SSIS,Australia,ISIC4_C,20.19
2013,NV_IND_SSIS,Australia,ISIC4_C,19.01
2014,NV_IND_SSIS,Australia,ISIC4_C,21.56
2015,NV_IND_SSIS,Australia,ISIC4_C,20.17
2000,NV_IND_SSIS,Austria,ISIC3_D,11.16
2001,NV_IND_SSIS,Austria,ISIC3_D,11.9
2002,NV_IND_SSIS,Austria,ISIC3_D,11.4
2003,NV_IND_SSIS,Austria,ISIC3_D,11.86
2004,NV_IND_SSIS,Austria,ISIC3_D,11.5
2005,NV_IND_SSIS,Austria,ISIC4_C,10.45
2006,NV_IND_SSIS,Austria,ISIC4_C,10.19
2007,NV_IND_SSIS,Austria,ISIC4_C,9.87
2008,NV_IND_SSIS,Austria,ISIC4_C,8.64
2009,NV_IND_SSIS,Austria,ISIC4_C,9.23
2010,NV_IND_SSIS,Austria,ISIC4_C,8.75
2011,NV_IND_SSIS,Austria,ISIC4_C,8.47
2012,NV_IND_SSIS,Austria,ISIC4_C,8.35
2013,NV_IND_SSIS,Austria,ISIC4_C,8.57
2014,NV_IND_SSIS,Austria,ISIC4_C,8.54
2015,NV_IND_SSIS,Austria,ISIC4_C,8.19
2016,NV_IND_SSIS,Austria,ISIC4_C,7.91
2017,NV_IND_SSIS,Austria,ISIC4_C,7.91
2018,NV_IND_SSIS,Austria,ISIC4_C,7.35
2019,NV_IND_SSIS,Austria,ISIC4_C,7.36
2020,NV_IND_SSIS,Austria,ISIC4_C,7.64
2017,NV_IND_SSIS,Armenia,ISIC4_C,12.15
2000,NV_IND_SSIS,Belgium,ISIC3_D,9.51
2001,NV_IND_SSIS,Belgium,ISIC3_D,10.37
2003,NV_IND_SSIS,Belgium,ISIC3_D,11.51
2004,NV_IND_SSIS,Belgium,ISIC3_D,9.81
2005,NV_IND_SSIS,Belgium,ISIC4_C,9.53
2006,NV_IND_SSIS,Belgium,ISIC4_C,8.97
2007,NV_IND_SSIS,Belgium,ISIC4_C,10.0
2008,NV_IND_SSIS,Belgium,ISIC4_C,10.67
2009,NV_IND_SSIS,Belgium,ISIC4_C,11.18
2010,NV_IND_SSIS,Belgium,ISIC4_C,10.24
2011,NV_IND_SSIS,Belgium,ISIC4_C,9.92
2012,NV_IND_SSIS,Belgium,ISIC4_C,9.7
2013,NV_IND_SSIS,Belgium,ISIC4_C,8.97
2014,NV_IND_SSIS,Belgium,ISIC4_C,9.5
2015,NV_IND_SSIS,Belgium,ISIC4_C,8.94
2016,NV_IND_SSIS,Belgium,ISIC4_C,9.13
2017,NV_IND_SSIS,Belgium,ISIC4_C,9.41
2018,NV_IND_SSIS,Belgium,ISIC4_C,7.4
2019,NV_IND_SSIS,Belgium,ISIC4_C,8.97
