Year,SeriesCode,Страна ,Type of product,Value
2004,EN_MAT_DOMCMPT,Albania,COL,67000.0
2004,EN_MAT_DOMCMPT,Albania,WOD,139223.24
2005,EN_MAT_DOMCMPT,Albania,FOF,483542.0
2005,EN_MAT_DOMCMPT,Albania,CRO,2455379.0
2005,EN_MAT_DOMCMPT,Albania,WOD,139223.24
2005,EN_MAT_DOMCMPT,Albania,ONT,0.0
2005,EN_MAT_DOMCMPT,Albania,NFO,281472.60061
2005,EN_MAT_DOMCMPT,Albania,PET,418000.0
2005,EN_MAT_DOMCMPT,Albania,WCH,9853.0
2005,EN_MAT_DOMCMPT,Albania,CPR,762958.5
2005,EN_MAT_DOMCMPT,Albania,GBO,5011058.0
2005,EN_MAT_DOMCMPT,Albania,FEO,177401.55126
2005,EN_MAT_DOMCMPT,Albania,MEO,458874.15186
2005,EN_MAT_DOMCMPT,Albania,ALP,31031614.27706
2005,EN_MAT_DOMCMPT,Albania,COL,58000.0
2005,EN_MAT_DOMCMPT,Albania,NMA,105283.002
2005,EN_MAT_DOMCMPT,Albania,BIM,8378471.74
2005,EN_MAT_DOMCMPT,Albania,NMC,17862531.6972
2005,EN_MAT_DOMCMPT,Albania,GAS,7542.0
2005,EN_MAT_DOMCMPT,Albania,NMM,17967814.6992
2006,EN_MAT_DOMCMPT,Albania,GBO,4914021.0
2006,EN_MAT_DOMCMPT,Albania,WCH,10452.3
2006,EN_MAT_DOMCMPT,Albania,CRO,2525319.0
2006,EN_MAT_DOMCMPT,Albania,NFO,212214.6047
2006,EN_MAT_DOMCMPT,Albania,GAS,7542.0
2006,EN_MAT_DOMCMPT,Albania,NMC,17140084.1361
2006,EN_MAT_DOMCMPT,Albania,ALP,29988815.25068
2006,EN_MAT_DOMCMPT,Albania,WOD,139223.24
2006,EN_MAT_DOMCMPT,Albania,COL,58000.0
2006,EN_MAT_DOMCMPT,Albania,ONT,0.0
2006,EN_MAT_DOMCMPT,Albania,MEO,424469.25458
2006,EN_MAT_DOMCMPT,Albania,BIM,8374124.54
2006,EN_MAT_DOMCMPT,Albania,NMM,17260524.9621
2006,EN_MAT_DOMCMPT,Albania,FEO,212254.64988
2006,EN_MAT_DOMCMPT,Albania,FOF,502542.0
2006,EN_MAT_DOMCMPT,Albania,NMA,120440.826
2006,EN_MAT_DOMCMPT,Albania,CPR,785109.0
2006,EN_MAT_DOMCMPT,Albania,PET,437000.0
2007,EN_MAT_DOMCMPT,Albania,ALP,27052062.76808
2007,EN_MAT_DOMCMPT,Albania,ONT,0.0
2007,EN_MAT_DOMCMPT,Albania,MEO,641810.23068
2007,EN_MAT_DOMCMPT,Albania,PET,320000.0
2007,EN_MAT_DOMCMPT,Albania,NFO,588282.59371
2007,EN_MAT_DOMCMPT,Albania,NMA,129732.078
2007,EN_MAT_DOMCMPT,Albania,CPR,731889.0
2007,EN_MAT_DOMCMPT,Albania,BIM,8099025.92
2007,EN_MAT_DOMCMPT,Albania,NMM,14876735.4754
2007,EN_MAT_DOMCMPT,Albania,FEO,53527.63697
2007,EN_MAT_DOMCMPT,Albania,CRO,2474075.0
2007,EN_MAT_DOMCMPT,Albania,COL,58000.0
2007,EN_MAT_DOMCMPT,Albania,WOD,280768.52
2007,EN_MAT_DOMCMPT,Albania,NMC,14747003.3974
2007,EN_MAT_DOMCMPT,Albania,FOF,390060.0
2007,EN_MAT_DOMCMPT,Albania,GAS,12060.0
2007,EN_MAT_DOMCMPT,Albania,WCH,11429.4
2007,EN_MAT_DOMCMPT,Albania,GBO,4600864.0
2008,EN_MAT_DOMCMPT,Albania,GBO,4347085.0
2008,EN_MAT_DOMCMPT,Albania,BIM,8259572.27
2008,EN_MAT_DOMCMPT,Albania,ONT,0.0
2008,EN_MAT_DOMCMPT,Albania,CPR,932515.75
2008,EN_MAT_DOMCMPT,Albania,NFO,752210.07932
2008,EN_MAT_DOMCMPT,Albania,NMA,110648.058
2008,EN_MAT_DOMCMPT,Albania,ALP,29895781.05603
2008,EN_MAT_DOMCMPT,Albania,CRO,2688180.0
2008,EN_MAT_DOMCMPT,Albania,FOF,417480.0
2008,EN_MAT_DOMCMPT,Albania,PET,337700.0
2008,EN_MAT_DOMCMPT,Albania,WCH,11023.0
2008,EN_MAT_DOMCMPT,Albania,NMM,17426636.008
2008,EN_MAT_DOMCMPT,Albania,FEO,-65126.18829
2008,EN_MAT_DOMCMPT,Albania,COL,73750.0
2008,EN_MAT_DOMCMPT,Albania,NMC,17315987.95
2008,EN_MAT_DOMCMPT,Albania,WOD,280768.52
2008,EN_MAT_DOMCMPT,Albania,GAS,6030.0
2008,EN_MAT_DOMCMPT,Albania,MEO,687083.89103
2009,EN_MAT_DOMCMPT,Albania,COL,222290.0
2009,EN_MAT_DOMCMPT,Albania,FOF,583848.16
2009,EN_MAT_DOMCMPT,Albania,ALP,35533200.01737
2009,EN_MAT_DOMCMPT,Albania,NMM,22882361.4276
2009,EN_MAT_DOMCMPT,Albania,BIM,8057457.47
2009,EN_MAT_DOMCMPT,Albania,NMC,22750184.5186
2009,EN_MAT_DOMCMPT,Albania,CPR,1007715.95
2009,EN_MAT_DOMCMPT,Albania,WCH,11197.0
2009,EN_MAT_DOMCMPT,Albania,PET,355400.0
2009,EN_MAT_DOMCMPT,Albania,NFO,419651.72111
2009,EN_MAT_DOMCMPT,Albania,NMA,132176.909
2009,EN_MAT_DOMCMPT,Albania,GBO,4053150.0
2009,EN_MAT_DOMCMPT,Albania,WOD,268464.52
2009,EN_MAT_DOMCMPT,Albania,FEO,210588.00466
2009,EN_MAT_DOMCMPT,Albania,GAS,6158.16
2009,EN_MAT_DOMCMPT,Albania,ONT,0.0
2009,EN_MAT_DOMCMPT,Albania,CRO,2716930.0
2009,EN_MAT_DOMCMPT,Albania,MEO,630239.72577
2010,EN_MAT_DOMCMPT,Albania,WOD,269320.92
2010,EN_MAT_DOMCMPT,Albania,COL,243710.0
2010,EN_MAT_DOMCMPT,Albania,GAS,9683.82
2010,EN_MAT_DOMCMPT,Albania,GBO,4058847.0
2010,EN_MAT_DOMCMPT,Albania,NFO,573349.18053
2010,EN_MAT_DOMCMPT,Albania,ONT,0.0
2010,EN_MAT_DOMCMPT,Albania,CRO,2967960.0
2010,EN_MAT_DOMCMPT,Albania,BIM,8401112.545
2010,EN_MAT_DOMCMPT,Albania,MEO,371763.08024
2010,EN_MAT_DOMCMPT,Albania,NMA,137959.258
2010,EN_MAT_DOMCMPT,Albania,PET,157480.0
2010,EN_MAT_DOMCMPT,Albania,FEO,-201586.1003
2010,EN_MAT_DOMCMPT,Albania,NMM,15060326.364
2010,EN_MAT_DOMCMPT,Albania,NMC,14922367.106
2010,EN_MAT_DOMCMPT,Albania,ALP,26722158.34624
2010,EN_MAT_DOMCMPT,Albania,FOF,410873.82
2010,EN_MAT_DOMCMPT,Albania,CPR,1095454.425
2010,EN_MAT_DOMCMPT,Albania,WCH,9530.2
2011,EN_MAT_DOMCMPT,Albania,NMA,1100677.24
2011,EN_MAT_DOMCMPT,Albania,MEO,384869.87021
2011,EN_MAT_DOMCMPT,Albania,FOF,609701.4
2011,EN_MAT_DOMCMPT,Albania,ONT,0.0
2011,EN_MAT_DOMCMPT,Albania,CPR,1103267.725
