Year,SeriesCode,Страна ,Age,Sex,Value
2005,VC_HTF_DETVFL,Albania,ALLAGE,BOTHSEX,7
2006,VC_HTF_DETVFL,Albania,ALLAGE,BOTHSEX,6
2017,VC_HTF_DETVFL,Albania,<18Y,FEMALE,18
2017,VC_HTF_DETVFL,Albania,<18Y,BOTHSEX,22
2018,VC_HTF_DETVFL,Albania,18+,BOTHSEX,5
2018,VC_HTF_DETVFL,Albania,<18Y,MALE,14
2018,VC_HTF_DETVFL,Albania,<18Y,FEMALE,11
2018,VC_HTF_DETVFL,Albania,<18Y,BOTHSEX,25
2019,VC_HTF_DETVFL,Albania,<18Y,FEMALE,15
2019,VC_HTF_DETVFL,Albania,<18Y,MALE,8
2019,VC_HTF_DETVFL,Albania,<18Y,BOTHSEX,23
2020,VC_HTF_DETVFL,Albania,<18Y,BOTHSEX,25
2020,VC_HTF_DETVFL,Albania,<18Y,MALE,8
2020,VC_HTF_DETVFL,Albania,<18Y,FEMALE,17
2021,VC_HTF_DETVFL,Albania,ALLAGE,BOTHSEX,16
2006,VC_HTF_DETVFL,Azerbaijan,ALLAGE,BOTHSEX,9
2009,VC_HTF_DETVFL,Azerbaijan,ALLAGE,BOTHSEX,11
2012,VC_HTF_DETVFL,Azerbaijan,ALLAGE,BOTHSEX,17
2013,VC_HTF_DETVFL,Azerbaijan,ALLAGE,BOTHSEX,16
2012,VC_HTF_DETVFL,Latvia,ALLAGE,BOTHSEX,5
2014,VC_HTF_DETVFL,Latvia,ALLAGE,BOTHSEX,12
2014,VC_HTF_DETVFL,Latvia,18+,FEMALE,8
2017,VC_HTF_DETVFL,Latvia,ALLAGE,BOTHSEX,9
2017,VC_HTF_DETVFL,Latvia,18+,FEMALE,7
2017,VC_HTF_DETVFL,Latvia,18+,BOTHSEX,7
2018,VC_HTF_DETVFL,Latvia,ALLAGE,BOTHSEX,11
2018,VC_HTF_DETVFL,Latvia,18+,FEMALE,10
2018,VC_HTF_DETVFL,Latvia,18+,BOTHSEX,11
2019,VC_HTF_DETVFL,Latvia,18+,MALE,23
2019,VC_HTF_DETVFL,Latvia,18+,FEMALE,5
2019,VC_HTF_DETVFL,Latvia,ALLAGE,BOTHSEX,28
2019,VC_HTF_DETVFL,Latvia,18+,BOTHSEX,27
2020,VC_HTF_DETVFL,Latvia,18+,FEMALE,34
2020,VC_HTF_DETVFL,Latvia,ALLAGE,BOTHSEX,37
2020,VC_HTF_DETVFL,Latvia,18+,BOTHSEX,37
2010,VC_HTF_DETVFL,Australia,ALLAGE,BOTHSEX,10
2011,VC_HTF_DETVFL,Australia,ALLAGE,BOTHSEX,6
2012,VC_HTF_DETVFL,Australia,ALLAGE,BOTHSEX,5
2013,VC_HTF_DETVFL,Australia,ALLAGE,BOTHSEX,9
2014,VC_HTF_DETVFL,Lithuania,ALLAGE,BOTHSEX,6
2014,VC_HTF_DETVFL,Lithuania,18+,FEMALE,5
2014,VC_HTF_DETVFL,Australia,ALLAGE,BOTHSEX,16
2015,VC_HTF_DETVFL,Australia,ALLAGE,BOTHSEX,7
2016,VC_HTF_DETVFL,Australia,ALLAGE,BOTHSEX,7
2017,VC_HTF_DETVFL,Australia,18+,FEMALE,13
