Year,SeriesCode,Страна ,Activity,Value
2017,ER_H2O_STRESS,Latvia,ISIC4_GTT,0.52
2017,ER_H2O_STRESS,Latvia,ISIC4_A01_A0210_A0322,0.33
2017,ER_H2O_STRESS,Latvia,INDUSTRIES,0.22
2017,ER_H2O_STRESS,Latvia,TOTAL,1.07
2018,ER_H2O_STRESS,Latvia,ISIC4_A01_A0210_A0322,0.32
2018,ER_H2O_STRESS,Latvia,TOTAL,1.08
2018,ER_H2O_STRESS,Latvia,ISIC4_GTT,0.54
2018,ER_H2O_STRESS,Latvia,INDUSTRIES,0.23
2019,ER_H2O_STRESS,Latvia,ISIC4_GTT,0.52
2019,ER_H2O_STRESS,Latvia,ISIC4_A01_A0210_A0322,0.31
2019,ER_H2O_STRESS,Latvia,TOTAL,1.05
2003,ER_H2O_STRESS,Bulgaria,INDUSTRIES,33.04
2003,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,7.4
2003,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,7.68
2004,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,6.48
2004,ER_H2O_STRESS,Bulgaria,TOTAL,47.56
2004,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,7.52
2004,ER_H2O_STRESS,Bulgaria,INDUSTRIES,33.56
2005,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,6.39
2005,ER_H2O_STRESS,Bulgaria,TOTAL,46.98
2005,ER_H2O_STRESS,Bulgaria,INDUSTRIES,33.16
2005,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,7.43
2006,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,6.31
2006,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,7.34
2006,ER_H2O_STRESS,Bulgaria,TOTAL,46.41
2006,ER_H2O_STRESS,Bulgaria,INDUSTRIES,32.77
2007,ER_H2O_STRESS,Bulgaria,TOTAL,45.84
2007,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,7.44
2007,ER_H2O_STRESS,Bulgaria,INDUSTRIES,33.23
2007,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,5.17
2008,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,7.51
2008,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,7.56
2008,ER_H2O_STRESS,Bulgaria,TOTAL,47.49
2008,ER_H2O_STRESS,Bulgaria,INDUSTRIES,32.42
2009,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,7.23
2009,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,7.36
2009,ER_H2O_STRESS,Bulgaria,INDUSTRIES,31.16
2009,ER_H2O_STRESS,Bulgaria,TOTAL,45.24
2010,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,6.94
2010,ER_H2O_STRESS,Bulgaria,TOTAL,44.05
2010,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.98
2010,ER_H2O_STRESS,Bulgaria,INDUSTRIES,30.13
2011,ER_H2O_STRESS,Bulgaria,TOTAL,47.19
2011,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.87
2011,ER_H2O_STRESS,Bulgaria,INDUSTRIES,32.56
2011,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,7.76
2012,ER_H2O_STRESS,Bulgaria,TOTAL,42.24
2012,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,7.02
2012,ER_H2O_STRESS,Bulgaria,INDUSTRIES,28.21
2012,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,7.01
2013,ER_H2O_STRESS,Bulgaria,TOTAL,40.42
2013,ER_H2O_STRESS,Bulgaria,INDUSTRIES,27.36
2013,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,6.1
2013,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.96
2014,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,5.37
2014,ER_H2O_STRESS,Bulgaria,INDUSTRIES,27.81
2014,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.56
2014,ER_H2O_STRESS,Bulgaria,TOTAL,39.74
2015,ER_H2O_STRESS,Bulgaria,TOTAL,41.61
2015,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.65
2015,ER_H2O_STRESS,Bulgaria,INDUSTRIES,28.83
2019,ER_H2O_STRESS,Latvia,INDUSTRIES,0.21
2020,ER_H2O_STRESS,Latvia,INDUSTRIES,0.22
2020,ER_H2O_STRESS,Latvia,TOTAL,1.07
2020,ER_H2O_STRESS,Latvia,ISIC4_GTT,0.52
2020,ER_H2O_STRESS,Latvia,ISIC4_A01_A0210_A0322,0.33
2000,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.15
2000,ER_H2O_STRESS,Lithuania,ISIC4_GTT,1.29
2000,ER_H2O_STRESS,Lithuania,TOTAL,21.85
2000,ER_H2O_STRESS,Lithuania,INDUSTRIES,20.42
2001,ER_H2O_STRESS,Lithuania,INDUSTRIES,18.33
2001,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.38
2001,ER_H2O_STRESS,Lithuania,ISIC4_GTT,1.24
2001,ER_H2O_STRESS,Lithuania,TOTAL,19.96
2002,ER_H2O_STRESS,Lithuania,INDUSTRIES,17.49
2002,ER_H2O_STRESS,Lithuania,TOTAL,19.22
2002,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.51
2002,ER_H2O_STRESS,Lithuania,ISIC4_GTT,1.23
2003,ER_H2O_STRESS,Lithuania,INDUSTRIES,16.63
2003,ER_H2O_STRESS,Lithuania,TOTAL,18.49
2003,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.64
2015,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,6.13
2016,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,6.71
2016,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.61
2016,ER_H2O_STRESS,Bulgaria,TOTAL,42.05
2016,ER_H2O_STRESS,Bulgaria,INDUSTRIES,28.74
2017,ER_H2O_STRESS,Bulgaria,INDUSTRIES,28.97
2017,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.69
2017,ER_H2O_STRESS,Bulgaria,TOTAL,41.82
2017,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,6.17
2018,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,5.35
2003,ER_H2O_STRESS,Lithuania,ISIC4_GTT,1.22
2004,ER_H2O_STRESS,Lithuania,ISIC4_GTT,1.22
2004,ER_H2O_STRESS,Lithuania,TOTAL,17.75
2004,ER_H2O_STRESS,Lithuania,INDUSTRIES,15.88
2004,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.65
2005,ER_H2O_STRESS,Lithuania,TOTAL,17.02
2005,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.58
2005,ER_H2O_STRESS,Lithuania,INDUSTRIES,13.04
2005,ER_H2O_STRESS,Lithuania,ISIC4_GTT,1.06
2006,ER_H2O_STRESS,Lithuania,TOTAL,16.67
2018,ER_H2O_STRESS,Bulgaria,TOTAL,40.1
2018,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.39
2018,ER_H2O_STRESS,Bulgaria,INDUSTRIES,28.35
2019,ER_H2O_STRESS,Bulgaria,TOTAL,40.08
2019,ER_H2O_STRESS,Bulgaria,INDUSTRIES,27.76
2019,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.41
2019,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,5.9
2020,ER_H2O_STRESS,Bulgaria,TOTAL,37.52
2020,ER_H2O_STRESS,Bulgaria,ISIC4_A01_A0210_A0322,5.61
2020,ER_H2O_STRESS,Bulgaria,ISIC4_GTT,6.19
2006,ER_H2O_STRESS,Lithuania,ISIC4_GTT,1.27
2006,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.75
2006,ER_H2O_STRESS,Lithuania,INDUSTRIES,14.66
2007,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.59
2007,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.97
2007,ER_H2O_STRESS,Lithuania,INDUSTRIES,10.41
2007,ER_H2O_STRESS,Lithuania,TOTAL,16.32
2008,ER_H2O_STRESS,Lithuania,INDUSTRIES,11.47
2008,ER_H2O_STRESS,Lithuania,TOTAL,13.37
2008,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.74
2003,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.42
2003,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,1.14
2004,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,1.02
2004,ER_H2O_STRESS,Hungary,TOTAL,9.76
2004,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.41
2004,ER_H2O_STRESS,Hungary,INDUSTRIES,7.33
2005,ER_H2O_STRESS,Hungary,INDUSTRIES,7.67
2005,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.55
2005,ER_H2O_STRESS,Hungary,TOTAL,9.66
2005,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.45
2006,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.53
2006,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.4
2006,ER_H2O_STRESS,Hungary,TOTAL,9.57
2006,ER_H2O_STRESS,Hungary,INDUSTRIES,7.64
2007,ER_H2O_STRESS,Hungary,TOTAL,9.48
2007,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.34
2007,ER_H2O_STRESS,Hungary,INDUSTRIES,7.61
2007,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.52
2008,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.53
2008,ER_H2O_STRESS,Hungary,INDUSTRIES,7.52
2004,ER_H2O_STRESS,China,ISIC4_GTT,4.79
2004,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,26.45
2004,ER_H2O_STRESS,China,INDUSTRIES,9.18
2004,ER_H2O_STRESS,China,TOTAL,40.42
2005,ER_H2O_STRESS,China,INDUSTRIES,9.39
2005,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,26.14
2005,ER_H2O_STRESS,China,ISIC4_GTT,4.93
2005,ER_H2O_STRESS,China,TOTAL,40.47
2006,ER_H2O_STRESS,China,ISIC4_GTT,5.05
2006,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,26.66
2006,ER_H2O_STRESS,China,TOTAL,41.48
2006,ER_H2O_STRESS,China,INDUSTRIES,9.78
2007,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,26.17
2007,ER_H2O_STRESS,China,INDUSTRIES,10.2
2007,ER_H2O_STRESS,China,ISIC4_GTT,5.16
2007,ER_H2O_STRESS,China,TOTAL,41.53
2008,ER_H2O_STRESS,China,TOTAL,42.08
2008,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,26.63
2008,ER_H2O_STRESS,China,ISIC4_GTT,5.3
2008,ER_H2O_STRESS,China,INDUSTRIES,10.15
2020,ER_H2O_STRESS,Bulgaria,INDUSTRIES,25.72
2000,ER_H2O_STRESS,Belarus,TOTAL,6.05
2000,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.8
2000,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.46
2000,ER_H2O_STRESS,Belarus,INDUSTRIES,1.79
2001,ER_H2O_STRESS,Belarus,TOTAL,5.97
2001,ER_H2O_STRESS,Belarus,INDUSTRIES,1.76
2001,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.44
2001,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.77
2002,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.74
2009,ER_H2O_STRESS,China,ISIC4_GTT,5.44
2009,ER_H2O_STRESS,China,TOTAL,42.59
2009,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,27.05
2009,ER_H2O_STRESS,China,INDUSTRIES,10.11
2010,ER_H2O_STRESS,China,TOTAL,42.86
2010,ER_H2O_STRESS,China,ISIC4_GTT,5.56
2010,ER_H2O_STRESS,China,INDUSTRIES,10.51
2010,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,26.79
2011,ER_H2O_STRESS,China,INDUSTRIES,10.6
2011,ER_H2O_STRESS,China,ISIC4_GTT,5.73
2011,ER_H2O_STRESS,China,TOTAL,43.46
2011,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,27.13
2012,ER_H2O_STRESS,China,ISIC4_GTT,5.28
2012,ER_H2O_STRESS,China,TOTAL,43.73
2012,ER_H2O_STRESS,China,INDUSTRIES,10.32
2012,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,28.13
2013,ER_H2O_STRESS,China,ISIC4_A01_A0210_A0322,28.41
2013,ER_H2O_STRESS,China,ISIC4_GTT,5.43
2013,ER_H2O_STRESS,China,TOTAL,44.03
2013,ER_H2O_STRESS,China,INDUSTRIES,10.18
2008,ER_H2O_STRESS,Lithuania,ISIC4_GTT,1.17
2009,ER_H2O_STRESS,Lithuania,INDUSTRIES,8.78
2009,ER_H2O_STRESS,Lithuania,TOTAL,10.42
2009,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.64
2009,ER_H2O_STRESS,Lithuania,ISIC4_GTT,1.0
2010,ER_H2O_STRESS,Lithuania,INDUSTRIES,6.16
2010,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.51
2010,ER_H2O_STRESS,Lithuania,TOTAL,7.47
2010,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.8
2011,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.56
2011,ER_H2O_STRESS,Lithuania,TOTAL,4.52
2011,ER_H2O_STRESS,Lithuania,INDUSTRIES,3.61
2011,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.35
2012,ER_H2O_STRESS,Lithuania,INDUSTRIES,2.94
2012,ER_H2O_STRESS,Lithuania,TOTAL,3.87
2012,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.35
2012,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.57
2013,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.62
2013,ER_H2O_STRESS,Lithuania,TOTAL,3.22
2013,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.37
2002,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.41
2002,ER_H2O_STRESS,Belarus,INDUSTRIES,1.73
2002,ER_H2O_STRESS,Belarus,TOTAL,5.88
2003,ER_H2O_STRESS,Belarus,TOTAL,5.8
2003,ER_H2O_STRESS,Belarus,INDUSTRIES,1.69
2003,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.39
2003,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.71
2004,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.68
2004,ER_H2O_STRESS,Belarus,TOTAL,5.71
2004,ER_H2O_STRESS,Belarus,INDUSTRIES,1.66
2013,ER_H2O_STRESS,Lithuania,INDUSTRIES,2.23
2014,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.42
2014,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.96
2014,ER_H2O_STRESS,Lithuania,INDUSTRIES,1.2
2014,ER_H2O_STRESS,Lithuania,TOTAL,2.58
2015,ER_H2O_STRESS,Lithuania,INDUSTRIES,1.32
2015,ER_H2O_STRESS,Lithuania,TOTAL,2.75
2015,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.92
2015,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.43
2016,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.95
2016,ER_H2O_STRESS,Lithuania,INDUSTRIES,0.84
2016,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.43
2016,ER_H2O_STRESS,Lithuania,TOTAL,2.22
2017,ER_H2O_STRESS,Lithuania,TOTAL,1.87
2017,ER_H2O_STRESS,Lithuania,INDUSTRIES,0.5
2017,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.42
2017,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.94
2018,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.41
2018,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.99
2018,ER_H2O_STRESS,Lithuania,INDUSTRIES,0.44
2008,ER_H2O_STRESS,Hungary,TOTAL,9.38
2008,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.33
2009,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.55
2009,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.64
2009,ER_H2O_STRESS,Hungary,INDUSTRIES,8.76
2009,ER_H2O_STRESS,Hungary,TOTAL,10.95
2010,ER_H2O_STRESS,Hungary,INDUSTRIES,7.4
2010,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.56
2010,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.32
2010,ER_H2O_STRESS,Hungary,TOTAL,9.27
2011,ER_H2O_STRESS,Hungary,TOTAL,9.02
2011,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.28
2011,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.56
2011,ER_H2O_STRESS,Hungary,INDUSTRIES,7.19
2012,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.24
2012,ER_H2O_STRESS,Hungary,TOTAL,8.72
2012,ER_H2O_STRESS,Hungary,INDUSTRIES,6.93
2012,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.56
2013,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.78
2013,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.17
2004,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.37
2005,ER_H2O_STRESS,Belarus,TOTAL,5.62
2005,ER_H2O_STRESS,Belarus,INDUSTRIES,1.63
2005,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.35
2005,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.65
2006,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.51
2006,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.39
2006,ER_H2O_STRESS,Belarus,TOTAL,5.52
2006,ER_H2O_STRESS,Belarus,INDUSTRIES,1.62
2007,ER_H2O_STRESS,Belarus,TOTAL,5.41
2013,ER_H2O_STRESS,Hungary,INDUSTRIES,7.11
2013,ER_H2O_STRESS,Hungary,TOTAL,9.07
2014,ER_H2O_STRESS,Hungary,TOTAL,6.78
2014,ER_H2O_STRESS,Hungary,INDUSTRIES,5.1
2014,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.76
2014,ER_H2O_STRESS,Hungary,ISIC4_GTT,0.92
2015,ER_H2O_STRESS,Hungary,TOTAL,6.96
2015,ER_H2O_STRESS,Hungary,ISIC4_GTT,0.98
2015,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.88
2015,ER_H2O_STRESS,Hungary,INDUSTRIES,5.1
2016,ER_H2O_STRESS,Hungary,INDUSTRIES,5.22
2016,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.68
2016,ER_H2O_STRESS,Hungary,ISIC4_GTT,0.93
2016,ER_H2O_STRESS,Hungary,TOTAL,6.84
2017,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.14
2017,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.9
2017,ER_H2O_STRESS,Hungary,TOTAL,8.18
2017,ER_H2O_STRESS,Hungary,INDUSTRIES,6.13
2018,ER_H2O_STRESS,Hungary,INDUSTRIES,6.44
2018,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.92
2007,ER_H2O_STRESS,Belarus,INDUSTRIES,1.62
2007,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.43
2007,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.37
2008,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.22
2008,ER_H2O_STRESS,Belarus,TOTAL,5.31
2008,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.47
2008,ER_H2O_STRESS,Belarus,INDUSTRIES,1.62
2009,ER_H2O_STRESS,Belarus,TOTAL,5.21
2009,ER_H2O_STRESS,Belarus,INDUSTRIES,1.61
2009,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.51
2018,ER_H2O_STRESS,Hungary,TOTAL,8.49
2018,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.14
2019,ER_H2O_STRESS,Hungary,INDUSTRIES,5.7
2019,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.13
2019,ER_H2O_STRESS,Hungary,TOTAL,7.71
2019,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.86
2020,ER_H2O_STRESS,Hungary,ISIC4_A01_A0210_A0322,0.95
2020,ER_H2O_STRESS,Hungary,ISIC4_GTT,1.14
2020,ER_H2O_STRESS,Hungary,INDUSTRIES,5.98
2020,ER_H2O_STRESS,Hungary,TOTAL,8.07
2000,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.1
2000,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.11
2000,ER_H2O_STRESS,Iceland,INDUSTRIES,0.02
2000,ER_H2O_STRESS,Iceland,TOTAL,0.22
2001,ER_H2O_STRESS,Iceland,TOTAL,0.22
2001,ER_H2O_STRESS,Iceland,INDUSTRIES,0.02
2001,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.1
2001,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.11
2002,ER_H2O_STRESS,Iceland,TOTAL,0.22
2002,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.11
2018,ER_H2O_STRESS,Lithuania,TOTAL,1.83
2019,ER_H2O_STRESS,Lithuania,INDUSTRIES,0.44
2019,ER_H2O_STRESS,Lithuania,TOTAL,1.83
2019,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.41
2019,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.99
2020,ER_H2O_STRESS,Lithuania,ISIC4_A01_A0210_A0322,0.41
2020,ER_H2O_STRESS,Lithuania,ISIC4_GTT,0.99
2020,ER_H2O_STRESS,Lithuania,INDUSTRIES,0.44
2020,ER_H2O_STRESS,Lithuania,TOTAL,1.83
2000,ER_H2O_STRESS,Luxembourg,ISIC4_A01_A0210_A0322,0.02
2009,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.08
2010,ER_H2O_STRESS,Belarus,ISIC4_GTT,1.94
2010,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.55
2010,ER_H2O_STRESS,Belarus,INDUSTRIES,1.61
2010,ER_H2O_STRESS,Belarus,TOTAL,5.1
2011,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.57
2011,ER_H2O_STRESS,Belarus,INDUSTRIES,1.6
2011,ER_H2O_STRESS,Belarus,ISIC4_GTT,1.9
2011,ER_H2O_STRESS,Belarus,TOTAL,5.06
2012,ER_H2O_STRESS,Belarus,TOTAL,5.03
2000,ER_H2O_STRESS,Luxembourg,ISIC4_GTT,3.8
2000,ER_H2O_STRESS,Luxembourg,TOTAL,4.93
2000,ER_H2O_STRESS,Luxembourg,INDUSTRIES,1.09
2001,ER_H2O_STRESS,Luxembourg,TOTAL,4.81
2001,ER_H2O_STRESS,Luxembourg,ISIC4_A01_A0210_A0322,0.02
2001,ER_H2O_STRESS,Luxembourg,ISIC4_GTT,3.76
2001,ER_H2O_STRESS,Luxembourg,INDUSTRIES,1.01
2002,ER_H2O_STRESS,Luxembourg,TOTAL,4.7
2002,ER_H2O_STRESS,Luxembourg,INDUSTRIES,0.93
2002,ER_H2O_STRESS,Luxembourg,ISIC4_GTT,3.76
2002,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.1
2002,ER_H2O_STRESS,Iceland,INDUSTRIES,0.02
2003,ER_H2O_STRESS,Iceland,INDUSTRIES,0.02
2003,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.1
2003,ER_H2O_STRESS,Iceland,TOTAL,0.22
2003,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.11
2004,ER_H2O_STRESS,Iceland,TOTAL,0.22
2004,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.11
2004,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.1
2004,ER_H2O_STRESS,Iceland,INDUSTRIES,0.02
2012,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.59
2012,ER_H2O_STRESS,Belarus,ISIC4_GTT,1.85
2012,ER_H2O_STRESS,Belarus,INDUSTRIES,1.59
2013,ER_H2O_STRESS,Belarus,TOTAL,4.99
2013,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.61
2013,ER_H2O_STRESS,Belarus,INDUSTRIES,1.58
2013,ER_H2O_STRESS,Belarus,ISIC4_GTT,1.8
2014,ER_H2O_STRESS,Belarus,INDUSTRIES,1.05
2014,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.42
2014,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.71
2005,ER_H2O_STRESS,Iceland,TOTAL,0.25
2005,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.11
2005,ER_H2O_STRESS,Iceland,INDUSTRIES,0.06
2005,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.08
2006,ER_H2O_STRESS,Iceland,TOTAL,0.27
2006,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.11
2006,ER_H2O_STRESS,Iceland,INDUSTRIES,0.09
2006,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.06
2007,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.05
2007,ER_H2O_STRESS,Iceland,INDUSTRIES,0.13
2014,ER_H2O_STRESS,Belarus,TOTAL,5.18
2015,ER_H2O_STRESS,Belarus,TOTAL,4.77
2015,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.43
2015,ER_H2O_STRESS,Belarus,INDUSTRIES,1.01
2015,ER_H2O_STRESS,Belarus,ISIC4_GTT,2.33
2016,ER_H2O_STRESS,Belarus,ISIC4_GTT,1.87
2016,ER_H2O_STRESS,Belarus,TOTAL,4.79
2016,ER_H2O_STRESS,Belarus,ISIC4_A01_A0210_A0322,1.41
2016,ER_H2O_STRESS,Belarus,INDUSTRIES,1.51
2017,ER_H2O_STRESS,Belarus,INDUSTRIES,1.46
2007,ER_H2O_STRESS,Iceland,TOTAL,0.29
2007,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.11
2008,ER_H2O_STRESS,Iceland,TOTAL,0.31
2008,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.03
2008,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.12
2008,ER_H2O_STRESS,Iceland,INDUSTRIES,0.17
2009,ER_H2O_STRESS,Iceland,INDUSTRIES,0.2
2009,ER_H2O_STRESS,Iceland,ISIC4_A01_A0210_A0322,0.02
2009,ER_H2O_STRESS,Iceland,TOTAL,0.34
2009,ER_H2O_STRESS,Iceland,ISIC4_GTT,0.12
