Year,SeriesCode,Country,Type of product,Value
2003,EN_MAT_DOMCMPG,Albania,MEO,0.04011
2003,EN_MAT_DOMCMPG,Albania,NMA,0.01409
2003,EN_MAT_DOMCMPG,Albania,ONT,0.0
2003,EN_MAT_DOMCMPG,Albania,CPR,0.09983
2003,EN_MAT_DOMCMPG,Albania,COL,0.00926
2003,EN_MAT_DOMCMPG,Albania,ALP,3.73813
2003,EN_MAT_DOMCMPG,Albania,NFO,0.00454
2003,EN_MAT_DOMCMPG,Albania,NMC,2.05085
2003,EN_MAT_DOMCMPG,Albania,WOD,0.01924
2003,EN_MAT_DOMCMPG,Albania,FOF,0.06243
2003,EN_MAT_DOMCMPG,Albania,PET,0.05182
2003,EN_MAT_DOMCMPG,Albania,WCH,0.00085
2004,EN_MAT_DOMCMPG,Albania,WOD,0.01823
2004,EN_MAT_DOMCMPG,Albania,FOF,0.06528
2004,EN_MAT_DOMCMPG,Albania,NMC,2.77776
2004,EN_MAT_DOMCMPG,Albania,ALP,4.40123
2004,EN_MAT_DOMCMPG,Albania,GAS,0.0015
2004,EN_MAT_DOMCMPG,Albania,FEO,0.01919
2004,EN_MAT_DOMCMPG,Albania,MEO,0.04317
2004,EN_MAT_DOMCMPG,Albania,NFO,0.02398
2004,EN_MAT_DOMCMPG,Albania,COL,0.00877
2004,EN_MAT_DOMCMPG,Albania,ONT,0.0
2004,EN_MAT_DOMCMPG,Albania,NMM,2.79326
2004,EN_MAT_DOMCMPG,Albania,BIM,1.1112
2004,EN_MAT_DOMCMPG,Albania,WCH,0.00119
2004,EN_MAT_DOMCMPG,Albania,GBO,0.66193
2004,EN_MAT_DOMCMPG,Albania,NMA,0.01549
2004,EN_MAT_DOMCMPG,Albania,CPR,0.10455
2004,EN_MAT_DOMCMPG,Albania,PET,0.05501
2004,EN_MAT_DOMCMPG,Albania,CRO,0.32529
2005,EN_MAT_DOMCMPG,Albania,GAS,0.00094
2005,EN_MAT_DOMCMPG,Albania,WCH,0.00122
2005,EN_MAT_DOMCMPG,Albania,COL,0.0072
2005,EN_MAT_DOMCMPG,Albania,NMM,2.23
2005,EN_MAT_DOMCMPG,Albania,FOF,0.06001
2005,EN_MAT_DOMCMPG,Albania,MEO,0.05695
2005,EN_MAT_DOMCMPG,Albania,ALP,3.85136
2005,EN_MAT_DOMCMPG,Albania,NMA,0.01307
2005,EN_MAT_DOMCMPG,Albania,PET,0.05188
2005,EN_MAT_DOMCMPG,Albania,CRO,0.30474
2005,EN_MAT_DOMCMPG,Albania,NFO,0.03493
2005,EN_MAT_DOMCMPG,Albania,GBO,0.62193
2005,EN_MAT_DOMCMPG,Albania,NMC,2.21693
2005,EN_MAT_DOMCMPG,Albania,CPR,0.09469
2005,EN_MAT_DOMCMPG,Albania,WOD,0.01728
2005,EN_MAT_DOMCMPG,Albania,BIM,1.03986
2005,EN_MAT_DOMCMPG,Albania,FEO,0.02202
2005,EN_MAT_DOMCMPG,Albania,ONT,0.0
2006,EN_MAT_DOMCMPG,Albania,FOF,0.05889
2006,EN_MAT_DOMCMPG,Albania,NFO,0.02487
2006,EN_MAT_DOMCMPG,Albania,WOD,0.01632
2006,EN_MAT_DOMCMPG,Albania,WCH,0.00122
2006,EN_MAT_DOMCMPG,Albania,NMM,2.02282
2006,EN_MAT_DOMCMPG,Albania,MEO,0.04975
2006,EN_MAT_DOMCMPG,Albania,FEO,0.02487
2006,EN_MAT_DOMCMPG,Albania,CRO,0.29595
2006,EN_MAT_DOMCMPG,Albania,PET,0.05121
2006,EN_MAT_DOMCMPG,Albania,GBO,0.57589
2006,EN_MAT_DOMCMPG,Albania,CPR,0.09201
2006,EN_MAT_DOMCMPG,Albania,ALP,3.51449
2006,EN_MAT_DOMCMPG,Albania,NMC,2.0087
2006,EN_MAT_DOMCMPG,Albania,NMA,0.01411
2006,EN_MAT_DOMCMPG,Albania,ONT,0.0
2006,EN_MAT_DOMCMPG,Albania,COL,0.0068
2006,EN_MAT_DOMCMPG,Albania,BIM,0.98139
2006,EN_MAT_DOMCMPG,Albania,GAS,0.00088
2007,EN_MAT_DOMCMPG,Albania,FEO,0.00592
2007,EN_MAT_DOMCMPG,Albania,CRO,0.27358
2007,EN_MAT_DOMCMPG,Albania,ONT,0.0
2007,EN_MAT_DOMCMPG,Albania,MEO,0.07097
2007,EN_MAT_DOMCMPG,Albania,WOD,0.03105
2007,EN_MAT_DOMCMPG,Albania,GBO,0.50875
2007,EN_MAT_DOMCMPG,Albania,PET,0.03538
2007,EN_MAT_DOMCMPG,Albania,ALP,2.99134
2007,EN_MAT_DOMCMPG,Albania,COL,0.00641
2007,EN_MAT_DOMCMPG,Albania,GAS,0.00133
2007,EN_MAT_DOMCMPG,Albania,NMM,1.64503
2007,EN_MAT_DOMCMPG,Albania,NFO,0.06505
2007,EN_MAT_DOMCMPG,Albania,WCH,0.00126
2007,EN_MAT_DOMCMPG,Albania,CPR,0.08093
2007,EN_MAT_DOMCMPG,Albania,NMC,1.63068
2007,EN_MAT_DOMCMPG,Albania,FOF,0.04313
2007,EN_MAT_DOMCMPG,Albania,NMA,0.01435
2007,EN_MAT_DOMCMPG,Albania,BIM,0.89557
2008,EN_MAT_DOMCMPG,Albania,NMA,0.01138
2008,EN_MAT_DOMCMPG,Albania,MEO,0.07068
2008,EN_MAT_DOMCMPG,Albania,PET,0.03474
2008,EN_MAT_DOMCMPG,Albania,GAS,0.00062
2008,EN_MAT_DOMCMPG,Albania,ONT,0.0
2008,EN_MAT_DOMCMPG,Albania,NFO,0.07737
2008,EN_MAT_DOMCMPG,Albania,BIM,0.8496
2008,EN_MAT_DOMCMPG,Albania,GBO,0.44715
2008,EN_MAT_DOMCMPG,Albania,FOF,0.04294
2008,EN_MAT_DOMCMPG,Albania,CPR,0.09592
2008,EN_MAT_DOMCMPG,Albania,NMC,1.78117
2008,EN_MAT_DOMCMPG,Albania,WCH,0.00113
2008,EN_MAT_DOMCMPG,Albania,NMM,1.79255
2008,EN_MAT_DOMCMPG,Albania,ALP,3.07516
2008,EN_MAT_DOMCMPG,Albania,FEO,-0.0067
2008,EN_MAT_DOMCMPG,Albania,COL,0.00759
2008,EN_MAT_DOMCMPG,Albania,WOD,0.02888
2008,EN_MAT_DOMCMPG,Albania,CRO,0.27651
2009,EN_MAT_DOMCMPG,Albania,NMM,2.27735
2009,EN_MAT_DOMCMPG,Albania,WCH,0.00111
2009,EN_MAT_DOMCMPG,Albania,CPR,0.10029
2009,EN_MAT_DOMCMPG,Albania,ALP,3.53641
2009,EN_MAT_DOMCMPG,Albania,FEO,0.02096
2009,EN_MAT_DOMCMPG,Albania,GAS,0.00061
2009,EN_MAT_DOMCMPG,Albania,COL,0.02212
2009,EN_MAT_DOMCMPG,Albania,CRO,0.2704
2009,EN_MAT_DOMCMPG,Albania,GBO,0.40339
2009,EN_MAT_DOMCMPG,Albania,NFO,0.04177
2009,EN_MAT_DOMCMPG,Albania,WOD,0.02672
2009,EN_MAT_DOMCMPG,Albania,ONT,0.0
2009,EN_MAT_DOMCMPG,Albania,PET,0.03537
2009,EN_MAT_DOMCMPG,Albania,MEO,0.06272
2009,EN_MAT_DOMCMPG,Albania,NMC,2.26419
2009,EN_MAT_DOMCMPG,Albania,FOF,0.05811
2009,EN_MAT_DOMCMPG,Albania,NMA,0.01315
2009,EN_MAT_DOMCMPG,Albania,BIM,0.80191
2010,EN_MAT_DOMCMPG,Albania,BIM,0.80623
2010,EN_MAT_DOMCMPG,Albania,ALP,2.56444
2010,EN_MAT_DOMCMPG,Albania,WCH,0.00091
2010,EN_MAT_DOMCMPG,Albania,FOF,0.03943
2010,EN_MAT_DOMCMPG,Albania,NFO,0.05502
2010,EN_MAT_DOMCMPG,Albania,GAS,0.00093
2010,EN_MAT_DOMCMPG,Albania,GBO,0.38951
2010,EN_MAT_DOMCMPG,Albania,ONT,0.0
2010,EN_MAT_DOMCMPG,Albania,MEO,0.03568
2010,EN_MAT_DOMCMPG,Albania,NMA,0.01324
2010,EN_MAT_DOMCMPG,Albania,FEO,-0.01935
2010,EN_MAT_DOMCMPG,Albania,CPR,0.10513
2010,EN_MAT_DOMCMPG,Albania,CRO,0.28483
2010,EN_MAT_DOMCMPG,Albania,PET,0.01511
2010,EN_MAT_DOMCMPG,Albania,NMC,1.43205
2010,EN_MAT_DOMCMPG,Albania,COL,0.02339
2010,EN_MAT_DOMCMPG,Albania,WOD,0.02585
2010,EN_MAT_DOMCMPG,Albania,NMM,1.44529
2011,EN_MAT_DOMCMPG,Albania,NMC,1.35738
2011,EN_MAT_DOMCMPG,Albania,ONT,0.0
2011,EN_MAT_DOMCMPG,Albania,FOF,0.05706
2011,EN_MAT_DOMCMPG,Albania,GBO,0.37339
2011,EN_MAT_DOMCMPG,Albania,BIM,0.84497
2011,EN_MAT_DOMCMPG,Albania,WCH,0.00101
2011,EN_MAT_DOMCMPG,Albania,COL,0.02823
2011,EN_MAT_DOMCMPG,Albania,CPR,0.10325
2011,EN_MAT_DOMCMPG,Albania,MEO,0.03602
2011,EN_MAT_DOMCMPG,Albania,NMM,1.46039
2011,EN_MAT_DOMCMPG,Albania,FEO,-0.05561
2011,EN_MAT_DOMCMPG,Albania,PET,0.02777
2011,EN_MAT_DOMCMPG,Albania,NMA,0.10301
2011,EN_MAT_DOMCMPG,Albania,ALP,2.59244
2011,EN_MAT_DOMCMPG,Albania,NFO,0.09163
2011,EN_MAT_DOMCMPG,Albania,CRO,0.28637
2011,EN_MAT_DOMCMPG,Albania,GAS,0.00106
2011,EN_MAT_DOMCMPG,Albania,WOD,0.08095
2012,EN_MAT_DOMCMPG,Albania,WCH,0.00119
2012,EN_MAT_DOMCMPG,Albania,BIM,0.84876
2012,EN_MAT_DOMCMPG,Albania,PET,0.01021
2012,EN_MAT_DOMCMPG,Albania,COL,0.03256
2012,EN_MAT_DOMCMPG,Albania,MEO,0.04803
2012,EN_MAT_DOMCMPG,Albania,NMM,1.43088
2012,EN_MAT_DOMCMPG,Albania,CPR,0.10866
2012,EN_MAT_DOMCMPG,Albania,NFO,0.06698
2012,EN_MAT_DOMCMPG,Albania,FEO,-0.01895
2012,EN_MAT_DOMCMPG,Albania,GBO,0.37835
2012,EN_MAT_DOMCMPG,Albania,WOD,0.07232
2012,EN_MAT_DOMCMPG,Albania,FOF,0.04379
2012,EN_MAT_DOMCMPG,Albania,NMC,1.3329
2012,EN_MAT_DOMCMPG,Albania,NMA,0.09798
2012,EN_MAT_DOMCMPG,Albania,ALP,2.50989
2012,EN_MAT_DOMCMPG,Albania,ONT,0.0
2012,EN_MAT_DOMCMPG,Albania,GAS,0.00102
2012,EN_MAT_DOMCMPG,Albania,CRO,0.28825
2013,EN_MAT_DOMCMPG,Albania,NMM,1.04187
2013,EN_MAT_DOMCMPG,Albania,GAS,0.00112
2013,EN_MAT_DOMCMPG,Albania,ONT,0.0
2013,EN_MAT_DOMCMPG,Albania,ALP,2.14504
2013,EN_MAT_DOMCMPG,Albania,GBO,0.37834
2013,EN_MAT_DOMCMPG,Albania,CRO,0.28341
2013,EN_MAT_DOMCMPG,Albania,MEO,0.03086
2013,EN_MAT_DOMCMPG,Albania,WOD,0.07668
2013,EN_MAT_DOMCMPG,Albania,NMA,0.07825
2013,EN_MAT_DOMCMPG,Albania,COL,0.0467
2013,EN_MAT_DOMCMPG,Albania,FEO,-0.02103
2013,EN_MAT_DOMCMPG,Albania,BIM,0.84565
2013,EN_MAT_DOMCMPG,Albania,PET,0.00362
2013,EN_MAT_DOMCMPG,Albania,CPR,0.10584
2013,EN_MAT_DOMCMPG,Albania,NMC,0.96362
2013,EN_MAT_DOMCMPG,Albania,NFO,0.05189
2013,EN_MAT_DOMCMPG,Albania,WCH,0.00139
2013,EN_MAT_DOMCMPG,Albania,FOF,0.05143
2014,EN_MAT_DOMCMPG,Albania,GAS,0.00187
2014,EN_MAT_DOMCMPG,Albania,FEO,-0.02198
2014,EN_MAT_DOMCMPG,Albania,CPR,0.10511
2014,EN_MAT_DOMCMPG,Albania,NFO,0.09413
2014,EN_MAT_DOMCMPG,Albania,ALP,2.65068
2014,EN_MAT_DOMCMPG,Albania,BIM,0.83473
2014,EN_MAT_DOMCMPG,Albania,CRO,0.27636
2014,EN_MAT_DOMCMPG,Albania,NMC,1.34341
2014,EN_MAT_DOMCMPG,Albania,NMA,0.08046
2014,EN_MAT_DOMCMPG,Albania,NMM,1.42387
2014,EN_MAT_DOMCMPG,Albania,COL,0.05922
2014,EN_MAT_DOMCMPG,Albania,GBO,0.37682
2014,EN_MAT_DOMCMPG,Albania,MEO,0.07215
2014,EN_MAT_DOMCMPG,Albania,WOD,0.07506
2014,EN_MAT_DOMCMPG,Albania,PET,0.03241
2014,EN_MAT_DOMCMPG,Albania,FOF,0.0935
2014,EN_MAT_DOMCMPG,Albania,ONT,0.0
2014,EN_MAT_DOMCMPG,Albania,WCH,0.00138
2015,EN_MAT_DOMCMPG,Albania,CRO,0.2754
2015,EN_MAT_DOMCMPG,Albania,NMA,0.11417
2015,EN_MAT_DOMCMPG,Albania,BIM,0.82514
2015,EN_MAT_DOMCMPG,Albania,COL,0.06345
2015,EN_MAT_DOMCMPG,Albania,NMC,1.17386
2015,EN_MAT_DOMCMPG,Albania,PET,0.02564
2015,EN_MAT_DOMCMPG,Albania,GAS,0.00201
2015,EN_MAT_DOMCMPG,Albania,NMM,1.28802
2015,EN_MAT_DOMCMPG,Albania,ONT,0.0
2015,EN_MAT_DOMCMPG,Albania,GBO,0.37301
2015,EN_MAT_DOMCMPG,Albania,ALP,2.41145
2015,EN_MAT_DOMCMPG,Albania,MEO,0.07408
2015,EN_MAT_DOMCMPG,Albania,WCH,0.00155
2015,EN_MAT_DOMCMPG,Albania,FOF,0.09111
2015,EN_MAT_DOMCMPG,Albania,CPR,0.10198
2015,EN_MAT_DOMCMPG,Albania,WOD,0.0732
2015,EN_MAT_DOMCMPG,Albania,NFO,0.08285
2015,EN_MAT_DOMCMPG,Albania,FEO,-0.00878
2016,EN_MAT_DOMCMPG,Albania,ONT,0.0
2016,EN_MAT_DOMCMPG,Albania,FOF,0.07128
2016,EN_MAT_DOMCMPG,Albania,NFO,0.07083
2016,EN_MAT_DOMCMPG,Albania,GAS,0.00506
2016,EN_MAT_DOMCMPG,Albania,WOD,0.07133
2016,EN_MAT_DOMCMPG,Albania,CPR,0.09925
2016,EN_MAT_DOMCMPG,Albania,FEO,0.01227
2016,EN_MAT_DOMCMPG,Albania,NMC,1.55615
2016,EN_MAT_DOMCMPG,Albania,MEO,0.0831
2016,EN_MAT_DOMCMPG,Albania,GBO,0.36037
2016,EN_MAT_DOMCMPG,Albania,BIM,0.80996
2016,EN_MAT_DOMCMPG,Albania,WCH,0.00133
2016,EN_MAT_DOMCMPG,Albania,PET,0.01428
2016,EN_MAT_DOMCMPG,Albania,ALP,2.83855
2016,EN_MAT_DOMCMPG,Albania,COL,0.05194
2016,EN_MAT_DOMCMPG,Albania,NMA,0.10942
2016,EN_MAT_DOMCMPG,Albania,NMM,1.66558
2016,EN_MAT_DOMCMPG,Albania,CRO,0.27767
