Year,SeriesCode,Страна ,Value
2000,EG_EGY_PRIM,Hungary,5.28
2001,EG_EGY_PRIM,Hungary,5.2
2002,EG_EGY_PRIM,Hungary,4.96
2003,EG_EGY_PRIM,Hungary,4.87
2004,EG_EGY_PRIM,Hungary,4.62
2005,EG_EGY_PRIM,Hungary,4.77
2006,EG_EGY_PRIM,Hungary,4.55
2007,EG_EGY_PRIM,Hungary,4.44
2008,EG_EGY_PRIM,Hungary,4.34
2009,EG_EGY_PRIM,Hungary,4.42
2010,EG_EGY_PRIM,Hungary,4.53
2011,EG_EGY_PRIM,Hungary,4.35
2000,EG_EGY_PRIM,Albania,4.13
2001,EG_EGY_PRIM,Albania,3.89
2002,EG_EGY_PRIM,Albania,4.1
2003,EG_EGY_PRIM,Albania,3.8
2004,EG_EGY_PRIM,Albania,3.96
2005,EG_EGY_PRIM,Albania,3.76
2006,EG_EGY_PRIM,Albania,3.46
2007,EG_EGY_PRIM,Albania,3.12
2008,EG_EGY_PRIM,Albania,3.01
2009,EG_EGY_PRIM,Albania,2.98
2010,EG_EGY_PRIM,Albania,2.85
2011,EG_EGY_PRIM,Albania,2.91
2012,EG_EGY_PRIM,Hungary,4.2
2013,EG_EGY_PRIM,Hungary,3.99
2014,EG_EGY_PRIM,Hungary,3.82
2015,EG_EGY_PRIM,Hungary,3.89
2016,EG_EGY_PRIM,Hungary,3.86
2017,EG_EGY_PRIM,Hungary,3.86
2018,EG_EGY_PRIM,Hungary,3.66
2019,EG_EGY_PRIM,Hungary,3.51
2020,EG_EGY_PRIM,Hungary,3.62
2000,EG_EGY_PRIM,Iceland,11.18
2001,EG_EGY_PRIM,Iceland,10.4
2002,EG_EGY_PRIM,Iceland,10.65
2003,EG_EGY_PRIM,Iceland,10.43
2004,EG_EGY_PRIM,Iceland,9.57
2005,EG_EGY_PRIM,Iceland,9.16
2006,EG_EGY_PRIM,Iceland,10.67
2007,EG_EGY_PRIM,Iceland,11.69
2008,EG_EGY_PRIM,Iceland,12.92
2009,EG_EGY_PRIM,Iceland,14.52
2010,EG_EGY_PRIM,Iceland,15.02
2011,EG_EGY_PRIM,Iceland,15.78
2012,EG_EGY_PRIM,Iceland,15.24
2013,EG_EGY_PRIM,Iceland,15.2
2014,EG_EGY_PRIM,Iceland,14.89
2015,EG_EGY_PRIM,Iceland,13.58
2016,EG_EGY_PRIM,Iceland,12.05
2017,EG_EGY_PRIM,Iceland,12.18
2018,EG_EGY_PRIM,Iceland,12.73
2019,EG_EGY_PRIM,Iceland,12.26
2020,EG_EGY_PRIM,Iceland,12.89
2000,EG_EGY_PRIM,India,6.42
2001,EG_EGY_PRIM,India,6.22
2002,EG_EGY_PRIM,India,6.16
2003,EG_EGY_PRIM,India,5.84
2004,EG_EGY_PRIM,India,5.73
2005,EG_EGY_PRIM,India,5.52
2006,EG_EGY_PRIM,India,5.39
2007,EG_EGY_PRIM,India,5.31
2008,EG_EGY_PRIM,India,5.43
2009,EG_EGY_PRIM,India,5.5
2010,EG_EGY_PRIM,India,5.34
2011,EG_EGY_PRIM,India,5.28
2012,EG_EGY_PRIM,India,5.29
2013,EG_EGY_PRIM,India,5.11
2014,EG_EGY_PRIM,India,5.08
2015,EG_EGY_PRIM,India,4.82
2016,EG_EGY_PRIM,India,4.54
2017,EG_EGY_PRIM,India,4.46
2011,EG_EGY_PRIM,Ukraine,8.96
2012,EG_EGY_PRIM,Ukraine,8.66
2013,EG_EGY_PRIM,Ukraine,8.21
2014,EG_EGY_PRIM,Ukraine,8.31
2015,EG_EGY_PRIM,Ukraine,8.09
2016,EG_EGY_PRIM,Ukraine,7.79
2017,EG_EGY_PRIM,Ukraine,7.43
2018,EG_EGY_PRIM,Ukraine,7.51
2019,EG_EGY_PRIM,Ukraine,6.95
2020,EG_EGY_PRIM,Ukraine,6.98
2000,EG_EGY_PRIM,North Macedonia,5.39
2001,EG_EGY_PRIM,North Macedonia,5.37
2018,EG_EGY_PRIM,India,4.4
2019,EG_EGY_PRIM,India,4.25
2020,EG_EGY_PRIM,India,4.28
2000,EG_EGY_PRIM,Ireland,3.16
2001,EG_EGY_PRIM,Ireland,3.13
2002,EG_EGY_PRIM,Ireland,2.96
2003,EG_EGY_PRIM,Ireland,2.8
2004,EG_EGY_PRIM,Ireland,2.71
2005,EG_EGY_PRIM,Ireland,2.58
2006,EG_EGY_PRIM,Ireland,2.47
2007,EG_EGY_PRIM,Ireland,2.4
2008,EG_EGY_PRIM,Ireland,2.49
2009,EG_EGY_PRIM,Ireland,2.54
2010,EG_EGY_PRIM,Ireland,2.49
2011,EG_EGY_PRIM,Ireland,2.26
2012,EG_EGY_PRIM,Ireland,2.26
2013,EG_EGY_PRIM,Ireland,2.22
2014,EG_EGY_PRIM,Ireland,2.0
2015,EG_EGY_PRIM,Ireland,1.66
2016,EG_EGY_PRIM,Ireland,1.71
2017,EG_EGY_PRIM,Ireland,1.52
2018,EG_EGY_PRIM,Ireland,1.42
2019,EG_EGY_PRIM,Ireland,1.34
2020,EG_EGY_PRIM,Ireland,1.22
2002,EG_EGY_PRIM,North Macedonia,5.19
2003,EG_EGY_PRIM,North Macedonia,5.61
2004,EG_EGY_PRIM,North Macedonia,5.27
2005,EG_EGY_PRIM,North Macedonia,5.34
2006,EG_EGY_PRIM,North Macedonia,5.17
2007,EG_EGY_PRIM,North Macedonia,5.03
2008,EG_EGY_PRIM,North Macedonia,4.72
2009,EG_EGY_PRIM,North Macedonia,4.39
2010,EG_EGY_PRIM,North Macedonia,4.33
2011,EG_EGY_PRIM,North Macedonia,4.62
2012,EG_EGY_PRIM,North Macedonia,4.42
2000,EG_EGY_PRIM,Israel,4.05
2001,EG_EGY_PRIM,Israel,4.25
2002,EG_EGY_PRIM,Israel,4.18
2003,EG_EGY_PRIM,Israel,4.34
2004,EG_EGY_PRIM,Israel,4.03
2005,EG_EGY_PRIM,Israel,3.71
2006,EG_EGY_PRIM,Israel,3.87
2007,EG_EGY_PRIM,Israel,3.73
2008,EG_EGY_PRIM,Israel,3.97
2009,EG_EGY_PRIM,Israel,3.69
2010,EG_EGY_PRIM,Israel,3.76
2011,EG_EGY_PRIM,Israel,3.56
2012,EG_EGY_PRIM,Israel,3.51
2013,EG_EGY_PRIM,Israel,3.06
2014,EG_EGY_PRIM,Israel,2.84
2015,EG_EGY_PRIM,Israel,2.93
2016,EG_EGY_PRIM,Israel,2.81
2017,EG_EGY_PRIM,Israel,2.66
2018,EG_EGY_PRIM,Israel,2.61
2019,EG_EGY_PRIM,Israel,2.48
2020,EG_EGY_PRIM,Israel,2.45
2000,EG_EGY_PRIM,Italy,2.93
2001,EG_EGY_PRIM,Italy,2.88
2002,EG_EGY_PRIM,Italy,2.9
2012,EG_EGY_PRIM,Albania,2.57
