Year,SeriesCode,Страна ,Age,Value
2019,FB_CBK_BRCH,Australia,15+,26.4255642011793
2020,FB_CBK_BRCH,Australia,15+,25.4238763473702
2021,FB_CBK_BRCH,Australia,15+,24.0642964097197
2004,FB_CBK_BRCH,Austria,15+,13.9281662853697
2005,FB_CBK_BRCH,Austria,15+,13.3213763975874
2006,FB_CBK_BRCH,Austria,15+,13.0933667597033
2007,FB_CBK_BRCH,Austria,15+,12.8816050679629
2008,FB_CBK_BRCH,Austria,15+,12.5702613126329
2009,FB_CBK_BRCH,Austria,15+,11.7650456969874
2010,FB_CBK_BRCH,Austria,15+,11.2862228166767
2011,FB_CBK_BRCH,Austria,15+,15.1261549202663
2012,FB_CBK_BRCH,Austria,15+,15.9719868251195
2013,FB_CBK_BRCH,Austria,15+,15.5409922552222
2014,FB_CBK_BRCH,Austria,15+,14.8330248573139
2015,FB_CBK_BRCH,Austria,15+,13.7961659592539
2016,FB_CBK_BRCH,Austria,15+,12.6556535364817
2017,FB_CBK_BRCH,Austria,15+,12.0600228663335
2018,FB_CBK_BRCH,Austria,15+,11.9448167942276
2019,FB_CBK_BRCH,Austria,15+,11.8743933769552
2020,FB_CBK_BRCH,Austria,15+,7.41638549480787
2021,FB_CBK_BRCH,Austria,15+,12.349426097627
2004,FB_CBK_BRCH,Armenia,15+,10.8383158884999
2005,FB_CBK_BRCH,Armenia,15+,12.30012300123
2006,FB_CBK_BRCH,Armenia,15+,13.679937345887
2007,FB_CBK_BRCH,Armenia,15+,15.8089355188223
2008,FB_CBK_BRCH,Armenia,15+,17.3138003877776
2009,FB_CBK_BRCH,Armenia,15+,17.7902065128525
2010,FB_CBK_BRCH,Armenia,15+,18.5555256845155
2011,FB_CBK_BRCH,Armenia,15+,19.9797871872171
2012,FB_CBK_BRCH,Armenia,15+,21.2788869505287
2013,FB_CBK_BRCH,Armenia,15+,21.7374587536016
2014,FB_CBK_BRCH,Armenia,15+,22.7099967691816
2015,FB_CBK_BRCH,Armenia,15+,23.3950043325666
2016,FB_CBK_BRCH,Armenia,15+,23.1070479913312
2017,FB_CBK_BRCH,Armenia,15+,23.1381673034643
2018,FB_CBK_BRCH,Armenia,15+,23.6052821194043
2019,FB_CBK_BRCH,Armenia,15+,24.2369623917444
2020,FB_CBK_BRCH,Armenia,15+,24.5532355495044
2021,FB_CBK_BRCH,Armenia,15+,24.2453527613755
2004,FB_CBK_BRCH,Belgium,15+,57.2776526386844
2005,FB_CBK_BRCH,Belgium,15+,53.7693426513561
2006,FB_CBK_BRCH,Belgium,15+,53.5079988111367
2007,FB_CBK_BRCH,Belgium,15+,51.4429900503472
2008,FB_CBK_BRCH,Belgium,15+,49.7399420843993
2009,FB_CBK_BRCH,Belgium,15+,47.995066040319
2010,FB_CBK_BRCH,Belgium,15+,45.0524463478367
2011,FB_CBK_BRCH,Belgium,15+,43.4970825659462
2012,FB_CBK_BRCH,Belgium,15+,42.5336714059264
