Year,SeriesCode,Страна ,Age,Sex,Value
2011,FB_BNK_ACCSS_ILF,Albania,15+,BOTHSEX,36.05745
2014,FB_BNK_ACCSS_ILF,Albania,15+,BOTHSEX,44.08454
2017,FB_BNK_ACCSS_ILF,Albania,15+,BOTHSEX,53.14428
2021,FB_BNK_ACCSS_ILF,Albania,15+,BOTHSEX,61.06778
2011,FB_BNK_ACCSS_ILF,Azerbaijan,15+,BOTHSEX,16.84401
2014,FB_BNK_ACCSS_ILF,Azerbaijan,15+,BOTHSEX,36.59474
2017,FB_BNK_ACCSS_ILF,Azerbaijan,15+,BOTHSEX,31.87307
2011,FB_BNK_ACCSS_ILF,Australia,15+,BOTHSEX,99.6954
2014,FB_BNK_ACCSS_ILF,Australia,15+,BOTHSEX,98.577
2017,FB_BNK_ACCSS_ILF,Australia,15+,BOTHSEX,100.0
2021,FB_BNK_ACCSS_ILF,Australia,15+,BOTHSEX,100.0
2011,FB_BNK_ACCSS_ILF,Austria,15+,BOTHSEX,97.7551
2014,FB_BNK_ACCSS_ILF,Austria,15+,BOTHSEX,98.09224
2017,FB_BNK_ACCSS_ILF,Austria,15+,BOTHSEX,98.91395
2021,FB_BNK_ACCSS_ILF,Austria,15+,BOTHSEX,99.91674
2011,FB_BNK_ACCSS_ILF,Armenia,15+,BOTHSEX,23.91852
2014,FB_BNK_ACCSS_ILF,Armenia,15+,BOTHSEX,27.90048
2017,FB_BNK_ACCSS_ILF,Armenia,15+,BOTHSEX,61.28325
2021,FB_BNK_ACCSS_ILF,Armenia,15+,BOTHSEX,66.4476
2011,FB_BNK_ACCSS_ILF,Belgium,15+,BOTHSEX,97.26776
2014,FB_BNK_ACCSS_ILF,Belgium,15+,BOTHSEX,98.55419
2017,FB_BNK_ACCSS_ILF,Belgium,15+,BOTHSEX,99.89507
2021,FB_BNK_ACCSS_ILF,Belgium,15+,BOTHSEX,99.48689
2011,FB_BNK_ACCSS_ILF,Bosnia and Herzegovina,15+,BOTHSEX,71.23821
2014,FB_BNK_ACCSS_ILF,Bosnia and Herzegovina,15+,BOTHSEX,69.08089
2017,FB_BNK_ACCSS_ILF,Bosnia and Herzegovina,15+,BOTHSEX,77.60302
2021,FB_BNK_ACCSS_ILF,Bosnia and Herzegovina,15+,BOTHSEX,91.01046
2011,FB_BNK_ACCSS_ILF,Bulgaria,15+,BOTHSEX,65.80623
2014,FB_BNK_ACCSS_ILF,Bulgaria,15+,BOTHSEX,77.9123
2017,FB_BNK_ACCSS_ILF,Bulgaria,15+,BOTHSEX,88.16267
2021,FB_BNK_ACCSS_ILF,Bulgaria,15+,BOTHSEX,84.99643
2011,FB_BNK_ACCSS_ILF,Belarus,15+,BOTHSEX,69.4656
2014,FB_BNK_ACCSS_ILF,Belarus,15+,BOTHSEX,81.13759
2017,FB_BNK_ACCSS_ILF,Belarus,15+,BOTHSEX,93.68441
2011,FB_BNK_ACCSS_ILF,Canada,15+,BOTHSEX,96.39551
