Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2010,SL_DOM_TSPDCW,Switzerland,55-64,ALLAREA,FEMALE,0.25417
2010,SL_DOM_TSPDCW,Switzerland,65+,ALLAREA,FEMALE,0.11667
2010,SL_DOM_TSPDCW,Switzerland,15+,ALLAREA,MALE,1.8125
2010,SL_DOM_TSPDCW,Switzerland,25-44,ALLAREA,FEMALE,6.62917
2010,SL_DOM_TSPDCW,Switzerland,45-54,ALLAREA,FEMALE,2.09167
2010,SL_DOM_TSPDCW,Switzerland,15-24,ALLAREA,MALE,1.1125
2010,SL_DOM_TSPDCW,Switzerland,45-54,ALLAREA,MALE,1.9
2010,SL_DOM_TSPDCW,Switzerland,65+,RURAL,FEMALE,0.12917
2010,SL_DOM_TSPDCW,Switzerland,55-64,URBAN,FEMALE,0.24167
2013,SL_DOM_TSPDCW,Switzerland,15-24,URBAN,FEMALE,1.28333
2013,SL_DOM_TSPDCW,Switzerland,55-64,URBAN,FEMALE,0.325
2013,SL_DOM_TSPDCW,Switzerland,15-24,RURAL,FEMALE,1.79167
2013,SL_DOM_TSPDCW,Switzerland,55-64,RURAL,FEMALE,0.1125
2013,SL_DOM_TSPDCW,Switzerland,45-54,RURAL,FEMALE,1.62083
2013,SL_DOM_TSPDCW,Switzerland,65+,RURAL,FEMALE,0.13333
2013,SL_DOM_TSPDCW,Switzerland,55-64,RURAL,MALE,0.3375
2013,SL_DOM_TSPDCW,Switzerland,15+,RURAL,MALE,1.86667
2013,SL_DOM_TSPDCW,Switzerland,25-44,RURAL,FEMALE,8.15833
2013,SL_DOM_TSPDCW,Switzerland,15+,RURAL,FEMALE,3.02083
2013,SL_DOM_TSPDCW,Switzerland,65+,ALLAREA,FEMALE,0.16667
2011,SL_DOM_TSPDCW,Albania,10+,RURAL,FEMALE,3.33333
2011,SL_DOM_TSPDCW,Albania,10+,URBAN,MALE,0.41667
2011,SL_DOM_TSPDCW,Albania,65+,URBAN,MALE,0.55556
2011,SL_DOM_TSPDCW,Albania,65+,RURAL,FEMALE,1.11111
2011,SL_DOM_TSPDCW,Albania,10+,RURAL,MALE,0.34722
2011,SL_DOM_TSPDCW,Albania,65+,RURAL,MALE,0.27778
2011,SL_DOM_TSPDCW,Albania,65+,ALLAREA,FEMALE,1.38889
2011,SL_DOM_TSPDCW,Albania,10+,ALLAREA,MALE,0.34722
2011,SL_DOM_TSPDCW,Albania,65+,ALLAREA,MALE,0.34722
2013,SL_DOM_TSPDCW,Switzerland,15+,ALLAREA,MALE,1.92083
2013,SL_DOM_TSPDCW,Switzerland,25-44,ALLAREA,MALE,3.62083
2013,SL_DOM_TSPDCW,Switzerland,15-24,RURAL,MALE,0.975
2013,SL_DOM_TSPDCW,Switzerland,25-44,URBAN,FEMALE,6.6625
2013,SL_DOM_TSPDCW,Switzerland,15+,ALLAREA,FEMALE,3.0125
2013,SL_DOM_TSPDCW,Switzerland,25-44,ALLAREA,FEMALE,7.35833
2013,SL_DOM_TSPDCW,Switzerland,45-54,URBAN,FEMALE,2.025
2013,SL_DOM_TSPDCW,Switzerland,15+,URBAN,FEMALE,2.82083
2013,SL_DOM_TSPDCW,Switzerland,65+,RURAL,MALE,0.16667
2013,SL_DOM_TSPDCW,Switzerland,15+,URBAN,MALE,1.8875
2011,SL_DOM_TSPDCW,Albania,10+,URBAN,FEMALE,2.70833
2011,SL_DOM_TSPDCW,Albania,65+,URBAN,FEMALE,1.59722
2011,SL_DOM_TSPDCW,Albania,10+,ALLAREA,FEMALE,2.98611
2006,SL_DOM_TSPDCW,Australia,15+,ALLAREA,FEMALE,4.86111
2006,SL_DOM_TSPDCW,Australia,15+,ALLAREA,MALE,2.01389
2021,SL_DOM_TSPDCW,Australia,15+,ALLAREA,MALE,2.15278
2021,SL_DOM_TSPDCW,Australia,15+,ALLAREA,FEMALE,4.23611
2009,SL_DOM_TSPDCW,Austria,10+,ALLAREA,FEMALE,2.89381
2013,SL_DOM_TSPDCW,Switzerland,15-24,URBAN,MALE,1.73333
2013,SL_DOM_TSPDCW,Switzerland,25-44,URBAN,MALE,3.09167
2013,SL_DOM_TSPDCW,Switzerland,65+,URBAN,FEMALE,0.30833
2013,SL_DOM_TSPDCW,Switzerland,45-54,URBAN,MALE,2.1125
2013,SL_DOM_TSPDCW,Switzerland,65+,URBAN,MALE,0.08333
2013,SL_DOM_TSPDCW,Switzerland,45-54,RURAL,MALE,2.10833
2013,SL_DOM_TSPDCW,Switzerland,25-44,RURAL,MALE,3.90833
2013,SL_DOM_TSPDCW,Switzerland,45-54,ALLAREA,FEMALE,2.0875
2013,SL_DOM_TSPDCW,Switzerland,55-64,ALLAREA,FEMALE,0.27917
2013,SL_DOM_TSPDCW,Switzerland,55-64,URBAN,MALE,0.53333
2009,SL_DOM_TSPDCW,Austria,15+,ALLAREA,FEMALE,3.03468
2009,SL_DOM_TSPDCW,Austria,15-24,ALLAREA,FEMALE,1.52585
2009,SL_DOM_TSPDCW,Austria,25-44,ALLAREA,FEMALE,6.95977
2009,SL_DOM_TSPDCW,Austria,45-54,ALLAREA,FEMALE,1.16339
2009,SL_DOM_TSPDCW,Austria,55-64,ALLAREA,FEMALE,0.95407
2009,SL_DOM_TSPDCW,Austria,15-24,RURAL,FEMALE,1.83995
2009,SL_DOM_TSPDCW,Austria,25-44,RURAL,FEMALE,7.08241
2009,SL_DOM_TSPDCW,Austria,45-54,RURAL,FEMALE,1.28937
2009,SL_DOM_TSPDCW,Austria,55-64,RURAL,FEMALE,1.09529
2009,SL_DOM_TSPDCW,Austria,15-24,ALLAREA,MALE,0.42513
2013,SL_DOM_TSPDCW,Switzerland,65+,ALLAREA,MALE,0.125
2013,SL_DOM_TSPDCW,Switzerland,45-54,ALLAREA,MALE,2.31667
2013,SL_DOM_TSPDCW,Switzerland,55-64,ALLAREA,MALE,0.38333
2013,SL_DOM_TSPDCW,Switzerland,15-24,ALLAREA,FEMALE,1.59583
2013,SL_DOM_TSPDCW,Switzerland,15-24,ALLAREA,MALE,1.22917
2016,SL_DOM_TSPDCW,Switzerland,65+,URBAN,MALE,0.12083
2016,SL_DOM_TSPDCW,Switzerland,55-64,URBAN,MALE,0.54583
2016,SL_DOM_TSPDCW,Switzerland,15+,ALLAREA,MALE,1.90833
2016,SL_DOM_TSPDCW,Switzerland,25-44,ALLAREA,FEMALE,7.125
2016,SL_DOM_TSPDCW,Switzerland,15+,ALLAREA,FEMALE,2.92083
2009,SL_DOM_TSPDCW,Austria,65+,RURAL,FEMALE,0.57632
2009,SL_DOM_TSPDCW,Austria,10+,RURAL,MALE,1.15612
2009,SL_DOM_TSPDCW,Austria,55-64,URBAN,MALE,0.28427
2009,SL_DOM_TSPDCW,Austria,65+,URBAN,MALE,0.87505
2009,SL_DOM_TSPDCW,Austria,25-44,RURAL,MALE,2.41844
2009,SL_DOM_TSPDCW,Austria,45-54,RURAL,MALE,0.7796
2009,SL_DOM_TSPDCW,Austria,55-64,RURAL,MALE,0.48312
2009,SL_DOM_TSPDCW,Austria,65+,RURAL,MALE,0.43218
2009,SL_DOM_TSPDCW,Austria,10+,URBAN,FEMALE,2.82799
2009,SL_DOM_TSPDCW,Austria,15+,RURAL,MALE,1.23275
2016,SL_DOM_TSPDCW,Switzerland,45-54,ALLAREA,FEMALE,2.24583
2016,SL_DOM_TSPDCW,Switzerland,55-64,URBAN,FEMALE,0.23333
2016,SL_DOM_TSPDCW,Switzerland,25-44,URBAN,FEMALE,6.375
2016,SL_DOM_TSPDCW,Switzerland,45-54,URBAN,FEMALE,2.45417
2016,SL_DOM_TSPDCW,Switzerland,15-24,ALLAREA,MALE,1.02917
2016,SL_DOM_TSPDCW,Switzerland,25-44,ALLAREA,MALE,3.71667
2016,SL_DOM_TSPDCW,Switzerland,15-24,RURAL,MALE,0.84583
2016,SL_DOM_TSPDCW,Switzerland,15+,URBAN,MALE,2.00833
2016,SL_DOM_TSPDCW,Switzerland,15+,URBAN,FEMALE,2.86667
2016,SL_DOM_TSPDCW,Switzerland,65+,URBAN,FEMALE,0.17083
2009,SL_DOM_TSPDCW,Austria,15-24,RURAL,MALE,0.61662
2009,SL_DOM_TSPDCW,Austria,55-64,URBAN,FEMALE,0.69722
2009,SL_DOM_TSPDCW,Austria,65+,URBAN,FEMALE,0.5936
2009,SL_DOM_TSPDCW,Austria,10+,URBAN,MALE,1.78134
2009,SL_DOM_TSPDCW,Austria,15+,URBAN,MALE,1.90707
2009,SL_DOM_TSPDCW,Austria,15-24,URBAN,MALE,0.08549
2009,SL_DOM_TSPDCW,Austria,25-44,URBAN,MALE,2.89903
2009,SL_DOM_TSPDCW,Austria,45-54,URBAN,MALE,3.37623
2009,SL_DOM_TSPDCW,Austria,15+,URBAN,FEMALE,2.95203
2009,SL_DOM_TSPDCW,Austria,15-24,URBAN,FEMALE,1.01553
2016,SL_DOM_TSPDCW,Switzerland,15+,RURAL,MALE,1.87917
2016,SL_DOM_TSPDCW,Switzerland,65+,RURAL,MALE,0.09167
2016,SL_DOM_TSPDCW,Switzerland,25-44,RURAL,MALE,4.27917
2016,SL_DOM_TSPDCW,Switzerland,45-54,RURAL,MALE,2.12917
2016,SL_DOM_TSPDCW,Switzerland,45-54,URBAN,MALE,2.23333
2016,SL_DOM_TSPDCW,Switzerland,65+,ALLAREA,FEMALE,0.15417
2016,SL_DOM_TSPDCW,Switzerland,25-44,RURAL,FEMALE,7.40833
2016,SL_DOM_TSPDCW,Switzerland,15-24,RURAL,FEMALE,1.58333
2016,SL_DOM_TSPDCW,Switzerland,45-54,RURAL,FEMALE,2.00417
2016,SL_DOM_TSPDCW,Switzerland,65+,ALLAREA,MALE,0.26667
2009,SL_DOM_TSPDCW,Austria,25-44,URBAN,FEMALE,6.76248
2009,SL_DOM_TSPDCW,Austria,45-54,URBAN,FEMALE,0.95092
2009,SL_DOM_TSPDCW,Austria,15+,ALLAREA,MALE,1.47158
2009,SL_DOM_TSPDCW,Austria,25-44,ALLAREA,MALE,2.59618
2009,SL_DOM_TSPDCW,Austria,45-54,ALLAREA,MALE,1.70267
2009,SL_DOM_TSPDCW,Austria,55-64,ALLAREA,MALE,0.4186
2009,SL_DOM_TSPDCW,Austria,65+,ALLAREA,FEMALE,0.58183
2009,SL_DOM_TSPDCW,Austria,10+,ALLAREA,MALE,1.37771
2009,SL_DOM_TSPDCW,Austria,65+,ALLAREA,MALE,0.58187
2009,SL_DOM_TSPDCW,Austria,10+,RURAL,FEMALE,2.93076
2016,SL_DOM_TSPDCW,Switzerland,15-24,ALLAREA,FEMALE,1.6
2016,SL_DOM_TSPDCW,Switzerland,15+,RURAL,FEMALE,2.84583
2016,SL_DOM_TSPDCW,Switzerland,55-64,ALLAREA,FEMALE,0.2
2016,SL_DOM_TSPDCW,Switzerland,55-64,ALLAREA,MALE,0.41667
2016,SL_DOM_TSPDCW,Switzerland,45-54,ALLAREA,MALE,2.19167
2016,SL_DOM_TSPDCW,Switzerland,65+,RURAL,FEMALE,0.0375
2016,SL_DOM_TSPDCW,Switzerland,55-64,RURAL,MALE,0.5125
2016,SL_DOM_TSPDCW,Switzerland,55-64,RURAL,FEMALE,0.1125
2016,SL_DOM_TSPDCW,Switzerland,15-24,URBAN,FEMALE,1.75417
2016,SL_DOM_TSPDCW,Switzerland,25-44,URBAN,MALE,3.6125
2009,SL_DOM_TSPDCW,Austria,15+,RURAL,FEMALE,3.0818
2004,SL_DOM_TSPDCW,Armenia,15+,ALLAREA,FEMALE,3.75
2004,SL_DOM_TSPDCW,Armenia,15+,ALLAREA,MALE,1.11111
2008,SL_DOM_TSPDCW,Armenia,25-44,ALLAREA,MALE,0.96667
2008,SL_DOM_TSPDCW,Armenia,45-54,ALLAREA,MALE,0.2875
2008,SL_DOM_TSPDCW,Armenia,55-64,ALLAREA,MALE,0.62083
2008,SL_DOM_TSPDCW,Armenia,65+,ALLAREA,MALE,0.35
2008,SL_DOM_TSPDCW,Armenia,15+,RURAL,FEMALE,2.56667
2008,SL_DOM_TSPDCW,Armenia,15-24,RURAL,FEMALE,4.425
2008,SL_DOM_TSPDCW,Armenia,25-44,RURAL,FEMALE,3.73333
2008,SL_DOM_TSPDCW,Armenia,45-54,RURAL,MALE,0.33333
2008,SL_DOM_TSPDCW,Armenia,55-64,RURAL,MALE,0.92083
2008,SL_DOM_TSPDCW,Armenia,65+,RURAL,MALE,0.0125
2008,SL_DOM_TSPDCW,Armenia,15-24,URBAN,FEMALE,3.32083
2008,SL_DOM_TSPDCW,Armenia,25-44,URBAN,FEMALE,5.92083
2008,SL_DOM_TSPDCW,Armenia,45-54,URBAN,FEMALE,2.10833
2008,SL_DOM_TSPDCW,Armenia,15+,URBAN,FEMALE,3.55833
2008,SL_DOM_TSPDCW,Armenia,15-24,URBAN,MALE,0.5375
2008,SL_DOM_TSPDCW,Armenia,15+,URBAN,MALE,0.72083
2008,SL_DOM_TSPDCW,Armenia,45-54,URBAN,MALE,0.25417
2008,SL_DOM_TSPDCW,Armenia,55-64,URBAN,MALE,0.49583
2008,SL_DOM_TSPDCW,Armenia,65+,URBAN,MALE,0.52917
2008,SL_DOM_TSPDCW,Armenia,15+,ALLAREA,FEMALE,3.25833
2008,SL_DOM_TSPDCW,Armenia,15-24,ALLAREA,FEMALE,3.62083
2008,SL_DOM_TSPDCW,Armenia,25-44,ALLAREA,FEMALE,5.25417
2008,SL_DOM_TSPDCW,Armenia,55-64,ALLAREA,FEMALE,1.3625
2008,SL_DOM_TSPDCW,Armenia,15-24,ALLAREA,MALE,0.63333
2008,SL_DOM_TSPDCW,Armenia,45-54,RURAL,FEMALE,1.1125
2016,SL_DOM_TSPDCW,Switzerland,15-24,URBAN,MALE,0.99167
2020,SL_DOM_TSPDCW,Switzerland,45-54,ALLAREA,MALE,2.73333
2020,SL_DOM_TSPDCW,Switzerland,25-44,ALLAREA,MALE,3.85417
2020,SL_DOM_TSPDCW,Switzerland,15-24,ALLAREA,MALE,0.90417
2020,SL_DOM_TSPDCW,Switzerland,55-64,ALLAREA,MALE,0.47083
2020,SL_DOM_TSPDCW,Switzerland,15+,ALLAREA,MALE,1.98333
2020,SL_DOM_TSPDCW,Switzerland,25-44,URBAN,MALE,2.90417
2020,SL_DOM_TSPDCW,Switzerland,55-64,URBAN,FEMALE,0.51667
2020,SL_DOM_TSPDCW,Switzerland,15+,RURAL,MALE,1.97917
2008,SL_DOM_TSPDCW,Armenia,55-64,RURAL,FEMALE,0.725
2008,SL_DOM_TSPDCW,Armenia,65+,RURAL,FEMALE,0.7875
2008,SL_DOM_TSPDCW,Armenia,15+,RURAL,MALE,0.475
2008,SL_DOM_TSPDCW,Armenia,15-24,RURAL,MALE,0.79167
2008,SL_DOM_TSPDCW,Armenia,25-44,RURAL,MALE,0.475
2008,SL_DOM_TSPDCW,Armenia,65+,ALLAREA,FEMALE,1.39583
2008,SL_DOM_TSPDCW,Armenia,55-64,URBAN,FEMALE,1.59583
2020,SL_DOM_TSPDCW,Switzerland,65+,URBAN,FEMALE,0.1375
2020,SL_DOM_TSPDCW,Switzerland,15-24,ALLAREA,FEMALE,1.57917
2020,SL_DOM_TSPDCW,Switzerland,15+,ALLAREA,FEMALE,3.05
2020,SL_DOM_TSPDCW,Switzerland,45-54,ALLAREA,FEMALE,2.8875
2020,SL_DOM_TSPDCW,Switzerland,25-44,ALLAREA,FEMALE,7.22917
2020,SL_DOM_TSPDCW,Switzerland,65+,ALLAREA,FEMALE,0.1125
2020,SL_DOM_TSPDCW,Switzerland,55-64,ALLAREA,FEMALE,0.40833
2020,SL_DOM_TSPDCW,Switzerland,45-54,URBAN,FEMALE,3.4375
2020,SL_DOM_TSPDCW,Switzerland,15-24,URBAN,FEMALE,2.55833
2008,SL_DOM_TSPDCW,Armenia,65+,URBAN,FEMALE,1.725
2008,SL_DOM_TSPDCW,Armenia,15+,ALLAREA,MALE,0.6375
2008,SL_DOM_TSPDCW,Armenia,45-54,ALLAREA,FEMALE,1.7875
2008,SL_DOM_TSPDCW,Armenia,25-44,URBAN,MALE,1.17917
2000,SL_DOM_TSPDCW,Belgium,12+,ALLAREA,FEMALE,1.94444
2000,SL_DOM_TSPDCW,Belgium,12+,ALLAREA,MALE,0.97222
2005,SL_DOM_TSPDCW,Belgium,12+,ALLAREA,FEMALE,1.80556
2005,SL_DOM_TSPDCW,Belgium,12+,ALLAREA,MALE,0.97222
2020,SL_DOM_TSPDCW,Switzerland,15+,URBAN,FEMALE,3.3
2020,SL_DOM_TSPDCW,Switzerland,55-64,URBAN,MALE,0.55833
2020,SL_DOM_TSPDCW,Switzerland,45-54,URBAN,MALE,2.61667
2020,SL_DOM_TSPDCW,Switzerland,65+,URBAN,MALE,0.12917
2020,SL_DOM_TSPDCW,Switzerland,45-54,RURAL,MALE,2.42083
2020,SL_DOM_TSPDCW,Switzerland,55-64,RURAL,FEMALE,0.24583
2020,SL_DOM_TSPDCW,Switzerland,15-24,RURAL,MALE,0.90417
2020,SL_DOM_TSPDCW,Switzerland,45-54,RURAL,FEMALE,3.07917
2020,SL_DOM_TSPDCW,Switzerland,25-44,RURAL,MALE,4.49583
2013,SL_DOM_TSPDCW,Belgium,12+,ALLAREA,FEMALE,2.08333
2013,SL_DOM_TSPDCW,Belgium,15+,ALLAREA,FEMALE,0.31792
2013,SL_DOM_TSPDCW,Belgium,15-24,ALLAREA,FEMALE,1.01917
2013,SL_DOM_TSPDCW,Belgium,25-44,ALLAREA,FEMALE,3.19583
2013,SL_DOM_TSPDCW,Belgium,25-44,ALLAREA,MALE,2.27083
2013,SL_DOM_TSPDCW,Belgium,45-54,ALLAREA,MALE,0.64625
2013,SL_DOM_TSPDCW,Belgium,55-64,ALLAREA,MALE,0.61375
2013,SL_DOM_TSPDCW,Belgium,65+,ALLAREA,MALE,0.87958
2020,SL_DOM_TSPDCW,Switzerland,65+,RURAL,MALE,0.18333
2020,SL_DOM_TSPDCW,Switzerland,55-64,RURAL,MALE,0.41667
2020,SL_DOM_TSPDCW,Switzerland,65+,RURAL,FEMALE,0.10833
2020,SL_DOM_TSPDCW,Switzerland,15-24,RURAL,FEMALE,1.2125
2020,SL_DOM_TSPDCW,Switzerland,65+,ALLAREA,MALE,0.15417
2020,SL_DOM_TSPDCW,Switzerland,15+,RURAL,FEMALE,3.03333
2020,SL_DOM_TSPDCW,Switzerland,25-44,RURAL,FEMALE,7.84167
2020,SL_DOM_TSPDCW,Switzerland,15+,URBAN,MALE,1.77083
2020,SL_DOM_TSPDCW,Switzerland,15-24,URBAN,MALE,0.83333
2013,SL_DOM_TSPDCW,Belgium,45-54,ALLAREA,FEMALE,0.95375
2013,SL_DOM_TSPDCW,Belgium,55-64,ALLAREA,FEMALE,1.76667
2013,SL_DOM_TSPDCW,Belgium,65+,ALLAREA,FEMALE,1.1725
