Year,SeriesCode,GeoAreaName,Age,Sex,Value
2007,VC_HTF_DETVR,Australia,ALLAGE,BOTHSEX,0.09
2007,VC_HTF_DETVR,Australia,18+,BOTHSEX,0.11
2007,VC_HTF_DETVR,Australia,18+,MALE,0.23
2007,VC_HTF_DETVR,Australia,ALLAGE,MALE,0.17
2008,VC_HTF_DETVR,Australia,18+,BOTHSEX,0.15
2008,VC_HTF_DETVR,Australia,18+,MALE,0.29
2008,VC_HTF_DETVR,Australia,ALLAGE,MALE,0.22
2008,VC_HTF_DETVR,Australia,ALLAGE,BOTHSEX,0.12
2009,VC_HTF_DETVR,Australia,ALLAGE,BOTHSEX,0.15
2009,VC_HTF_DETVR,Australia,ALLAGE,FEMALE,0.06
2009,VC_HTF_DETVR,Australia,18+,FEMALE,0.07
2009,VC_HTF_DETVR,Australia,18+,MALE,0.32
2009,VC_HTF_DETVR,Australia,ALLAGE,MALE,0.25
2009,VC_HTF_DETVR,Australia,18+,BOTHSEX,0.19
2010,VC_HTF_DETVR,Australia,18+,MALE,0.24
2010,VC_HTF_DETVR,Australia,18+,FEMALE,0.09
2010,VC_HTF_DETVR,Australia,18+,BOTHSEX,0.17
2010,VC_HTF_DETVR,Australia,ALLAGE,BOTHSEX,0.14
2010,VC_HTF_DETVR,Australia,ALLAGE,MALE,0.21
2010,VC_HTF_DETVR,Australia,ALLAGE,FEMALE,0.07
2011,VC_HTF_DETVR,Australia,ALLAGE,BOTHSEX,0.05
2011,VC_HTF_DETVR,Australia,ALLAGE,MALE,0.08
2011,VC_HTF_DETVR,Australia,18+,BOTHSEX,0.06
2011,VC_HTF_DETVR,Australia,18+,MALE,0.09
2012,VC_HTF_DETVR,Australia,18+,MALE,0.16
2012,VC_HTF_DETVR,Australia,ALLAGE,MALE,0.12
2012,VC_HTF_DETVR,Australia,18+,BOTHSEX,0.09
2008,VC_HTF_DETVR,Albania,18+,BOTHSEX,4.37
2008,VC_HTF_DETVR,Albania,<18Y,BOTHSEX,1.89
2008,VC_HTF_DETVR,Albania,ALLAGE,BOTHSEX,3.66
2009,VC_HTF_DETVR,Albania,ALLAGE,BOTHSEX,3.21
2009,VC_HTF_DETVR,Albania,<18Y,BOTHSEX,2.71
2009,VC_HTF_DETVR,Albania,ALLAGE,MALE,1.16
2009,VC_HTF_DETVR,Albania,<18Y,FEMALE,1.27
2009,VC_HTF_DETVR,Albania,<18Y,MALE,4.07
2009,VC_HTF_DETVR,Albania,18+,BOTHSEX,3.4
2012,VC_HTF_DETVR,Colombia,ALLAGE,BOTHSEX,0.08
2012,VC_HTF_DETVR,Colombia,18+,MALE,0.21
2012,VC_HTF_DETVR,Colombia,18+,BOTHSEX,0.11
2013,VC_HTF_DETVR,Colombia,ALLAGE,BOTHSEX,0.13
2013,VC_HTF_DETVR,Colombia,<18Y,MALE,0.08
2013,VC_HTF_DETVR,Colombia,18+,BOTHSEX,0.17
2013,VC_HTF_DETVR,Colombia,18+,MALE,0.26
2013,VC_HTF_DETVR,Colombia,ALLAGE,MALE,0.2
2013,VC_HTF_DETVR,Colombia,ALLAGE,FEMALE,0.06
2013,VC_HTF_DETVR,Colombia,<18Y,BOTHSEX,0.04
2013,VC_HTF_DETVR,Colombia,18+,FEMALE,0.09
2014,VC_HTF_DETVR,Colombia,18+,BOTHSEX,0.17
2014,VC_HTF_DETVR,Colombia,<18Y,MALE,0.12
2014,VC_HTF_DETVR,Colombia,18+,FEMALE,0.09
2014,VC_HTF_DETVR,Colombia,ALLAGE,BOTHSEX,0.15
2021,VC_HTF_DETVR,Greece,<18Y,MALE,1.19
2021,VC_HTF_DETVR,Greece,<18Y,FEMALE,2.76
2021,VC_HTF_DETVR,Greece,18+,FEMALE,0.49
2021,VC_HTF_DETVR,Greece,ALLAGE,FEMALE,0.86
2021,VC_HTF_DETVR,Greece,18+,BOTHSEX,1.41
2021,VC_HTF_DETVR,Greece,<18Y,BOTHSEX,1.95
2014,VC_HTF_DETVR,Colombia,18+,MALE,0.09
2014,VC_HTF_DETVR,Colombia,ALLAGE,FEMALE,0.07
2014,VC_HTF_DETVR,Colombia,<18Y,BOTHSEX,0.08
2014,VC_HTF_DETVR,Colombia,ALLAGE,MALE,0.1
2015,VC_HTF_DETVR,Colombia,ALLAGE,BOTHSEX,0.08
