Year,SeriesCode,GeoAreaName,Disability status,Sex,Value
2004,"SL_TLF_UEMDIS_19ICLS","Austria","_T","MALE",6.9
2004,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","BOTHSEX",6.11
2004,"SL_TLF_UEMDIS_19ICLS","Austria","PD","MALE",23.65
2004,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","FEMALE",6.12
2004,"SL_TLF_UEMDIS_19ICLS","Austria","_T","FEMALE",6.86
2004,"SL_TLF_UEMDIS_19ICLS","Austria","_T","BOTHSEX",6.88
2004,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","MALE",6.1
2004,"SL_TLF_UEMDIS_19ICLS","Austria","PD","BOTHSEX",24.21
2009,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",12.23
2009,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",7.48
2009,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",14.31
2009,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",16.94
2010,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",13.18
2010,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",21.15
2010,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",21.05
2010,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",26.45
2010,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",17.24
2010,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",13.35
2010,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",24.37
2010,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",17.1
2010,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",25.52
2011,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",12.18
2011,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",16.94
2011,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",20.84
2011,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",12.3
2011,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",14.83
2005,"SL_TLF_UEMDIS_19ICLS","Austria","_T","MALE",5.15
2005,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","FEMALE",5.94
2005,"SL_TLF_UEMDIS_19ICLS","Austria","_T","BOTHSEX",5.8
2005,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","MALE",4.53
2005,"SL_TLF_UEMDIS_19ICLS","Austria","_T","FEMALE",6.66
2005,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","BOTHSEX",5.14
2005,"SL_TLF_UEMDIS_19ICLS","Austria","PD","FEMALE",26.21
2005,"SL_TLF_UEMDIS_19ICLS","Austria","PD","BOTHSEX",22.42
2005,"SL_TLF_UEMDIS_19ICLS","Austria","PD","MALE",19.88
2011,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",18.98
2011,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",14.79
2011,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",9.82
2011,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",9.61
2012,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",13.43
2012,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",11.31
