Year,SeriesCode,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2020,"SG_DMK_PSRVC","Bosnia and Herzegovina","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",0.98966
2020,"SG_DMK_PSRVC","Bosnia and Herzegovina","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.28815
2020,"SG_DMK_PSRVC","Bosnia and Herzegovina","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.79518
2020,"SG_DMK_PSRVC","Bosnia and Herzegovina","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.11
2021,"SG_DMK_PSRVC","Slovenia","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.36
2021,"SG_DMK_PSRVC","Slovenia","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.43
2021,"SG_DMK_PSRVC","Slovenia","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",1.25
2021,"SG_DMK_PSRVC","Spain","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.71
2021,"SG_DMK_PSRVC","Spain","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.24
2019,"SG_DMK_PSRVC","Sweden","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.65766
2019,"SG_DMK_PSRVC","Sweden","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.4167
2019,"SG_DMK_PSRVC","Sweden","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.04711
2019,"SG_DMK_PSRVC","Sweden","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.96167
2020,"SG_DMK_PSRVC","Sweden","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.42
2020,"SG_DMK_PSRVC","Sweden","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.64531
2020,"SG_DMK_PSRVC","Sweden","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.06
2020,"SG_DMK_PSRVC","Sweden","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.96
2019,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.68637
2019,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.49516
2019,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.1907
2019,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.12009
2019,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.89408
2019,"SG_DMK_PSRVC","Switzerland","ALLAGE","PD","TOTAL","BOTHSEX","TOTAL_PSP",0.16
2019,"SG_DMK_PSRVC","Switzerland","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.14
2019,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.13
2020,"SG_DMK_PSRVC","Switzerland","ALLAGE","PD","TOTAL","BOTHSEX","TOTAL_PSP",0.13
2020,"SG_DMK_PSRVC","Switzerland","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.17
2020,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.27
2020,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.25
2020,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.91
2020,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.7
2020,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.15
2020,"SG_DMK_PSRVC","Switzerland","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.52
2020,"SG_DMK_PSRVC","United Kingdom of Great Britain and Northern Ireland","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.52473
2020,"SG_DMK_PSRVC","United Kingdom of Great Britain and Northern Ireland","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.3
2020,"SG_DMK_PSRVC","United Kingdom of Great Britain and Northern Ireland","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.98905
2020,"SG_DMK_PSRVC","United Kingdom of Great Britain and Northern Ireland","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.3612
2020,"SG_DMK_PSRVC","United Kingdom of Great Britain and Northern Ireland","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.02135
2020,"SG_DMK_PSRVC","Bosnia and Herzegovina","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",0.9053
2020,"SG_DMK_PSRVC","Bosnia and Herzegovina","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.19263
2020,"SG_DMK_PSRVC","Bosnia and Herzegovina","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.44
2020,"SG_DMK_PSRVC","Bulgaria","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.80198
2020,"SG_DMK_PSRVC","Bulgaria","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.4245
2020,"SG_DMK_PSRVC","Bulgaria","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.47815
2020,"SG_DMK_PSRVC","Bulgaria","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",1.07692
2020,"SG_DMK_PSRVC","Bulgaria","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.28136
2020,"SG_DMK_PSRVC","Bulgaria","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.31579
2020,"SG_DMK_PSRVC","Bulgaria","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.86486
2019,"SG_DMK_PSRVC","Belarus","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.754
2019,"SG_DMK_PSRVC","Belarus","ALLAGE","PD","TOTAL","BOTHSEX","TOTAL_PSP",0.989
2019,"SG_DMK_PSRVC","Belarus","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.249
2021,"SG_DMK_PSRVC","Belarus","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.284
2021,"SG_DMK_PSRVC","Belarus","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.755
2021,"SG_DMK_PSRVC","Belarus","ALLAGE","PD","TOTAL","BOTHSEX","TOTAL_PSP",0.66
2022,"SG_DMK_PSRVC","Colombia","ALLAGE","_T","TOTAL","FEMALE","GENERAL",0.78
2022,"SG_DMK_PSRVC","Colombia","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.25433
2022,"SG_DMK_PSRVC","Colombia","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.04
2022,"SG_DMK_PSRVC","Colombia","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.23
2022,"SG_DMK_PSRVC","Colombia","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.03
2022,"SG_DMK_PSRVC","Colombia","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1
2022,"SG_DMK_PSRVC","Costa Rica","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.17
2020,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.17032
2020,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",0.80732
2020,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.55371
