Year,SeriesCode,GeoAreaName,Fiscal intervention stage,Value
2018,"SI_DST_FISP","Belgium","PREFIS_INC",41.198671
2018,"SI_DST_FISP","Belgium","POSTFIS_DIS_INC",26.304520
2019,"SI_DST_FISP","Belgium","PREFIS_INC",41.717935
2019,"SI_DST_FISP","Belgium","POSTFIS_DIS_INC",25.734370
2020,"SI_DST_FISP","Belgium","POSTFIS_DIS_INC",26.061434
2020,"SI_DST_FISP","Belgium","PREFIS_INC",41.161295
2015,"SI_DST_FISP","Belarus","PREFIS_INC",29.200000
2015,"SI_DST_FISP","Belarus","POSTFIS_DIS_INC",26.700000
2015,"SI_DST_FISP","Belarus","POSTFIS_CON_INC",27.000000
2015,"SI_DST_FISP","Canada","PREFIS_INC",39.800000
2015,"SI_DST_FISP","Canada","POSTFIS_DIS_INC",31.600000
2016,"SI_DST_FISP","Canada","PREFIS_INC",40.800000
2016,"SI_DST_FISP","Canada","POSTFIS_DIS_INC",32.200000
2017,"SI_DST_FISP","Canada","PREFIS_INC",40.100000
2017,"SI_DST_FISP","Canada","POSTFIS_DIS_INC",31.100000
2018,"SI_DST_FISP","Canada","PREFIS_INC",40.648737
2018,"SI_DST_FISP","Canada","POSTFIS_DIS_INC",31.488442
2019,"SI_DST_FISP","Canada","PREFIS_INC",39.755215
2019,"SI_DST_FISP","Canada","POSTFIS_DIS_INC",30.883409
2020,"SI_DST_FISP","Canada","PREFIS_INC",38.722203
2020,"SI_DST_FISP","Canada","POSTFIS_DIS_INC",30.340073
2015,"SI_DST_FISP","Chile","PREFIS_INC",47.600000
2015,"SI_DST_FISP","Chile","POSTFIS_DIS_INC",45.300000
2017,"SI_DST_FISP","Chile","PREFIS_INC",48.400000
2017,"SI_DST_FISP","Chile","POSTFIS_DIS_INC",45.900000
2014,"SI_DST_FISP","China","POSTFIS_CON_INC",52.251910
2014,"SI_DST_FISP","China","POSTFIS_DIS_INC",52.078180
2014,"SI_DST_FISP","China","PREFIS_INC",55.582750
2014,"SI_DST_FISP","Colombia","PREFIS_INC",57.526170
2014,"SI_DST_FISP","Colombia","POSTFIS_DIS_INC",56.551680
2014,"SI_DST_FISP","Colombia","POSTFIS_CON_INC",55.856800
2017,"SI_DST_FISP","Colombia","PREFIS_INC",55.100000
2017,"SI_DST_FISP","Colombia","POSTFIS_DIS_INC",51.700000
2017,"SI_DST_FISP","Colombia","POSTFIS_CON_INC",51.500000
2015,"SI_DST_FISP","Costa Rica","PREFIS_INC",50.198741
2015,"SI_DST_FISP","Costa Rica","POSTFIS_DIS_INC",46.902671
2016,"SI_DST_FISP","Costa Rica","PREFIS_INC",51.071048
2016,"SI_DST_FISP","Costa Rica","POSTFIS_DIS_INC",47.269374
2017,"SI_DST_FISP","Costa Rica","PREFIS_INC",50.644472
2017,"SI_DST_FISP","Costa Rica","POSTFIS_DIS_INC",46.947218
2018,"SI_DST_FISP","Costa Rica","PREFIS_INC",50.704634
2018,"SI_DST_FISP","Costa Rica","POSTFIS_DIS_INC",46.819344
2019,"SI_DST_FISP","Costa Rica","PREFIS_INC",50.855594
2019,"SI_DST_FISP","Costa Rica","POSTFIS_DIS_INC",46.982048
2020,"SI_DST_FISP","Costa Rica","PREFIS_INC",55.250121
2020,"SI_DST_FISP","Costa Rica","POSTFIS_DIS_INC",49.125533
2014,"SI_DST_FISP","Croatia","PREFIS_INC",39.179140
2014,"SI_DST_FISP","Croatia","POSTFIS_DIS_INC",32.500000
2014,"SI_DST_FISP","Croatia","POSTFIS_CON_INC",35.500000
2015,"SI_DST_FISP","Czechia","PREFIS_INC",38.086135
2015,"SI_DST_FISP","Czechia","POSTFIS_DIS_INC",25.474779
2016,"SI_DST_FISP","Czechia","PREFIS_INC",37.824516
2016,"SI_DST_FISP","Czechia","POSTFIS_DIS_INC",25.459654
2017,"SI_DST_FISP","Czechia","POSTFIS_DIS_INC",24.945376
2017,"SI_DST_FISP","Czechia","PREFIS_INC",36.459123
2018,"SI_DST_FISP","Czechia","PREFIS_INC",34.718572
2018,"SI_DST_FISP","Czechia","POSTFIS_DIS_INC",24.271795
2019,"SI_DST_FISP","Czechia","PREFIS_INC",34.181567
2019,"SI_DST_FISP","Czechia","POSTFIS_DIS_INC",24.118529
2020,"SI_DST_FISP","Czechia","PREFIS_INC",33.770586
2020,"SI_DST_FISP","Czechia","POSTFIS_DIS_INC",24.053106
2015,"SI_DST_FISP","Denmark","PREFIS_INC",40.990000
2015,"SI_DST_FISP","Denmark","POSTFIS_DIS_INC",26.500000
2016,"SI_DST_FISP","Denmark","PREFIS_INC",40.460000
2016,"SI_DST_FISP","Denmark","POSTFIS_DIS_INC",26.300000
2017,"SI_DST_FISP","Denmark","PREFIS_INC",40.240000
2017,"SI_DST_FISP","Denmark","POSTFIS_DIS_INC",26.470000
2018,"SI_DST_FISP","Denmark","POSTFIS_DIS_INC",26.420000
2018,"SI_DST_FISP","Denmark","PREFIS_INC",39.810000
2015,"SI_DST_FISP","Estonia","POSTFIS_DIS_INC",33.775412
2015,"SI_DST_FISP","Estonia","PREFIS_INC",42.152965
2016,"SI_DST_FISP","Estonia","POSTFIS_DIS_INC",31.822288
2016,"SI_DST_FISP","Estonia","PREFIS_INC",39.818575
2017,"SI_DST_FISP","Estonia","PREFIS_INC",37.991551
2017,"SI_DST_FISP","Estonia","POSTFIS_DIS_INC",29.936293
2018,"SI_DST_FISP","Estonia","POSTFIS_DIS_INC",29.233655
2018,"SI_DST_FISP","Estonia","PREFIS_INC",36.924280
2019,"SI_DST_FISP","Estonia","PREFIS_INC",36.421769
