Year,SeriesCode,GeoAreaName,Level/Status,Value
2022,"ER_BDY_ABT2NP","Albania","ABT2NONTLT",1
2022,"ER_BDY_ABT2NP","Albania","_T",0
2022,"ER_BDY_ABT2NP","Azerbaijan","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Azerbaijan","_T",1
2022,"ER_BDY_ABT2NP","Australia","_T",0
2022,"ER_BDY_ABT2NP","Australia","ABT2NONTLT",1
2022,"ER_BDY_ABT2NP","Austria","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Austria","_T",1
2022,"ER_BDY_ABT2NP","Armenia","ABT2NOPROG",1
2022,"ER_BDY_ABT2NP","Armenia","_T",1
2022,"ER_BDY_ABT2NP","Belgium","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Belgium","_T",1
2022,"ER_BDY_ABT2NP","Bosnia and Herzegovina","_T",1
2022,"ER_BDY_ABT2NP","Bosnia and Herzegovina","ABT2ACHIEVE",1
2022,"ER_BDY_ABT2NP","Bulgaria","ABT2NONTLT",1
2022,"ER_BDY_ABT2NP","Bulgaria","_T",0
2022,"ER_BDY_ABT2NP","Belarus","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Belarus","_T",1
2022,"ER_BDY_ABT2NP","Canada","_T",1
2022,"ER_BDY_ABT2NP","Canada","ABT2ACHIEVE",1
2022,"ER_BDY_ABT2NP","Chile","_T",1
2022,"ER_BDY_ABT2NP","Chile","ABT2NOPROG",1
2022,"ER_BDY_ABT2NP","China","_T",1
2022,"ER_BDY_ABT2NP","China","ABT2ACHIEVE",1
2022,"ER_BDY_ABT2NP","Colombia","ABT2NONTLT",1
2022,"ER_BDY_ABT2NP","Colombia","_T",0
2022,"ER_BDY_ABT2NP","Costa Rica","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Costa Rica","_T",1
2022,"ER_BDY_ABT2NP","Croatia","_T",1
2022,"ER_BDY_ABT2NP","Croatia","ABT2ACHIEVE",1
2022,"ER_BDY_ABT2NP","Cyprus","ABT2NONTLT",1
2022,"ER_BDY_ABT2NP","Cyprus","_T",0
2022,"ER_BDY_ABT2NP","Czechia","ABT2NONTLT",1
2022,"ER_BDY_ABT2NP","Czechia","_T",0
2022,"ER_BDY_ABT2NP","Denmark","_T",0
2022,"ER_BDY_ABT2NP","Denmark","ABT2NONTLT",1
2022,"ER_BDY_ABT2NP","Estonia","_T",1
2022,"ER_BDY_ABT2NP","Estonia","ABT2ACHIEVE",1
2022,"ER_BDY_ABT2NP","Finland","_T",1
2022,"ER_BDY_ABT2NP","Finland","ABT2ACHIEVE",1
2022,"ER_BDY_ABT2NP","France","_T",1
2022,"ER_BDY_ABT2NP","France","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Georgia","_T",1
2022,"ER_BDY_ABT2NP","Georgia","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Germany","_T",1
2022,"ER_BDY_ABT2NP","Germany","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Greece","_T",1
2022,"ER_BDY_ABT2NP","Greece","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Hungary","_T",1
2022,"ER_BDY_ABT2NP","Hungary","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Iceland","_T",0
2022,"ER_BDY_ABT2NP","Iceland","ABT2NONTLT",1
2022,"ER_BDY_ABT2NP","India","ABT2ACHIEVE",1
2022,"ER_BDY_ABT2NP","India","_T",1
2022,"ER_BDY_ABT2NP","Ireland","_T",1
2022,"ER_BDY_ABT2NP","Ireland","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Israel","_T",1
2022,"ER_BDY_ABT2NP","Israel","ABT2INSUFNT",1
2022,"ER_BDY_ABT2NP","Italy","ABT2INSUFNT",1
