Year,SeriesCode,GeoAreaName,Type of product,Value
2004,"EN_MAT_DOMCMPC","Albania","NMC",6.83089
2004,"EN_MAT_DOMCMPC","Albania","ALP",10.82322
2004,"EN_MAT_DOMCMPC","Albania","NFO",0.05897
2005,"EN_MAT_DOMCMPC","Albania","MEO",0.14866
2005,"EN_MAT_DOMCMPC","Albania","CRO",0.79544
2005,"EN_MAT_DOMCMPC","Albania","CPR",0.24717
2005,"EN_MAT_DOMCMPC","Albania","NFO",0.09119
2005,"EN_MAT_DOMCMPC","Albania","ONT",0
2005,"EN_MAT_DOMCMPC","Albania","NMA",0.03411
2005,"EN_MAT_DOMCMPC","Albania","FEO",0.05747
2005,"EN_MAT_DOMCMPC","Albania","ALP",10.05297
2005,"EN_MAT_DOMCMPC","Albania","GBO",1.62338
2005,"EN_MAT_DOMCMPC","Albania","PET",0.13541
2005,"EN_MAT_DOMCMPC","Albania","COL",0.01879
2005,"EN_MAT_DOMCMPC","Albania","NMM",5.82084
2005,"EN_MAT_DOMCMPC","Albania","WOD",0.0451
2005,"EN_MAT_DOMCMPC","Albania","BIM",2.71428
2005,"EN_MAT_DOMCMPC","Albania","FOF",0.15665
2005,"EN_MAT_DOMCMPC","Albania","GAS",0.00244
2005,"EN_MAT_DOMCMPC","Albania","NMC",5.78673
2005,"EN_MAT_DOMCMPC","Albania","WCH",0.00319
2006,"EN_MAT_DOMCMPC","Albania","NFO",0.06928
2006,"EN_MAT_DOMCMPC","Albania","NMC",5.59581
2006,"EN_MAT_DOMCMPC","Albania","ONT",0
2006,"EN_MAT_DOMCMPC","Albania","BIM",2.73394
2006,"EN_MAT_DOMCMPC","Albania","ALP",9.7906
2006,"EN_MAT_DOMCMPC","Albania","WOD",0.04545
2006,"EN_MAT_DOMCMPC","Albania","MEO",0.13858
2006,"EN_MAT_DOMCMPC","Albania","COL",0.01894
2006,"EN_MAT_DOMCMPC","Albania","WCH",0.00341
2006,"EN_MAT_DOMCMPC","Albania","GBO",1.60431
2006,"EN_MAT_DOMCMPC","Albania","GAS",0.00246
2006,"EN_MAT_DOMCMPC","Albania","CPR",0.25632
2006,"EN_MAT_DOMCMPC","Albania","PET",0.14267
2006,"EN_MAT_DOMCMPC","Albania","CRO",0.82445
2006,"EN_MAT_DOMCMPC","Albania","NMA",0.03932
2006,"EN_MAT_DOMCMPC","Albania","NMM",5.63513
2006,"EN_MAT_DOMCMPC","Albania","FOF",0.16407
2006,"EN_MAT_DOMCMPC","Albania","FEO",0.0693
2007,"EN_MAT_DOMCMPC","Albania","ALP",8.91632
2007,"EN_MAT_DOMCMPC","Albania","NMM",4.90335
2007,"EN_MAT_DOMCMPC","Albania","COL",0.01912
2007,"EN_MAT_DOMCMPC","Albania","CRO",0.81545
