Year,SeriesCode,GeoAreaName,Type of waste treatment,Value
2002,"EN_HAZ_TREATV","Armenia","RECYCL",0
2003,"EN_HAZ_TREATV","Armenia","LANDFIL",344095
2003,"EN_HAZ_TREATV","Armenia","RECYCL",0
2003,"EN_HAZ_TREATV","Armenia","INCINRT",0
2004,"EN_HAZ_TREATV","Armenia","INCINRT",0
2004,"EN_HAZ_TREATV","Armenia","LANDFIL",351400
2004,"EN_HAZ_TREATV","Armenia","RECYCL",0
2005,"EN_HAZ_TREATV","Armenia","INCINRT",0
2005,"EN_HAZ_TREATV","Armenia","RECYCL",0
2005,"EN_HAZ_TREATV","Armenia","LANDFIL",346325
2004,"EN_HAZ_TREATV","Poland","OTHERWM",8406
2004,"EN_HAZ_TREATV","Poland","INCINRT",66303
2006,"EN_HAZ_TREATV","Poland","LANDFIL",767157
2006,"EN_HAZ_TREATV","Poland","OTHERWM",9206
2006,"EN_HAZ_TREATV","Poland","INCINRT",103648
2006,"EN_HAZ_TREATV","Poland","INCINRT_EGY",56172
2008,"EN_HAZ_TREATV","Poland","OTHERWM",28329
2008,"EN_HAZ_TREATV","Poland","LANDFIL",617609
2008,"EN_HAZ_TREATV","Poland","INCINRT",138859
2008,"EN_HAZ_TREATV","Poland","INCINRT_EGY",5852
2010,"EN_HAZ_TREATV","Poland","INCINRT_EGY",5814
2006,"EN_HAZ_TREATV","Armenia","INCINRT",0
2006,"EN_HAZ_TREATV","Armenia","LANDFIL",352279
2006,"EN_HAZ_TREATV","Armenia","RECYCL",0
2007,"EN_HAZ_TREATV","Armenia","INCINRT",0
2007,"EN_HAZ_TREATV","Armenia","LANDFIL",362275
2007,"EN_HAZ_TREATV","Armenia","RECYCL",0
2008,"EN_HAZ_TREATV","Armenia","INCINRT",1359
2008,"EN_HAZ_TREATV","Armenia","RECYCL",2362
2008,"EN_HAZ_TREATV","Armenia","LANDFIL",433537.53125
2009,"EN_HAZ_TREATV","Armenia","INCINRT",456
2009,"EN_HAZ_TREATV","Armenia","RECYCL",2340
2009,"EN_HAZ_TREATV","Armenia","LANDFIL",438227.5625
2010,"EN_HAZ_TREATV","Poland","INCINRT",145489
2010,"EN_HAZ_TREATV","Poland","LANDFIL",308822
2010,"EN_HAZ_TREATV","Poland","RECYCL",202065
2010,"EN_HAZ_TREATV","Poland","OTHERWM",1912
2012,"EN_HAZ_TREATV","Poland","RECYCL",190131
2012,"EN_HAZ_TREATV","Poland","LANDFIL",132213
2012,"EN_HAZ_TREATV","Poland","OTHERWM",1221
2012,"EN_HAZ_TREATV","Poland","INCINRT",142805
2012,"EN_HAZ_TREATV","Poland","INCINRT_EGY",1902
2014,"EN_HAZ_TREATV","Poland","OTHERWM",1426
2014,"EN_HAZ_TREATV","Poland","LANDFIL",246212
2014,"EN_HAZ_TREATV","Poland","INCINRT",135443
2014,"EN_HAZ_TREATV","Poland","RECYCL",216024
2014,"EN_HAZ_TREATV","Poland","INCINRT_EGY",2492
2016,"EN_HAZ_TREATV","Poland","LANDFIL",303888
2016,"EN_HAZ_TREATV","Poland","OTHERWM",1676
2016,"EN_HAZ_TREATV","Poland","INCINRT",155729
2016,"EN_HAZ_TREATV","Poland","RECYCL",196077
2016,"EN_HAZ_TREATV","Poland","INCINRT_EGY",5408
2018,"EN_HAZ_TREATV","Poland","INCINRT_EGY",4321
2018,"EN_HAZ_TREATV","Poland","RECYCL",244438
2018,"EN_HAZ_TREATV","Poland","OTHERWM",167
2010,"EN_HAZ_TREATV","Armenia","LANDFIL",432811.78125
2010,"EN_HAZ_TREATV","Armenia","RECYCL",2286
2010,"EN_HAZ_TREATV","Armenia","INCINRT",300
2011,"EN_HAZ_TREATV","Armenia","RECYCL",5154
2011,"EN_HAZ_TREATV","Armenia","INCINRT",12
2011,"EN_HAZ_TREATV","Armenia","LANDFIL",457729.8125
2012,"EN_HAZ_TREATV","Armenia","LANDFIL",460844.6875
2012,"EN_HAZ_TREATV","Armenia","INCINRT",167.39999
2012,"EN_HAZ_TREATV","Armenia","RECYCL",7983
2013,"EN_HAZ_TREATV","Armenia","INCINRT",17
2013,"EN_HAZ_TREATV","Armenia","RECYCL",4059
2013,"EN_HAZ_TREATV","Armenia","LANDFIL",574973.8125
2014,"EN_HAZ_TREATV","Armenia","RECYCL",2290
2014,"EN_HAZ_TREATV","Armenia","INCINRT",2379
2014,"EN_HAZ_TREATV","Armenia","LANDFIL",571750.375
2015,"EN_HAZ_TREATV","Armenia","LANDFIL",551020.0625
2015,"EN_HAZ_TREATV","Armenia","RECYCL",3766.80005
