Year,SeriesCode,GeoAreaName,Age,Education level,Sex,Value
2014,"FB_BNK_ACCSS_OLF","Serbia","15+","","BOTHSEX",76.72476
2017,"FB_BNK_ACCSS_OLF","Serbia","15+","","BOTHSEX",58.77736
2021,"FB_BNK_ACCSS_OLF","Serbia","15+","","BOTHSEX",81.75607
2011,"FB_BNK_ACCSS_OLF","Slovakia","15+","","BOTHSEX",59.24871
2014,"FB_BNK_ACCSS_OLF","Slovakia","15+","","BOTHSEX",55.23951
2017,"FB_BNK_ACCSS_OLF","Slovakia","15+","","BOTHSEX",65.44839
2021,"FB_BNK_ACCSS_OLF","Slovakia","15+","","BOTHSEX",92.71291
2011,"FB_BNK_ACCSS_OLF","Viet Nam","15+","","BOTHSEX",14.86192
2014,"FB_BNK_ACCSS_OLF","Viet Nam","15+","","BOTHSEX",24.74895
2017,"FB_BNK_ACCSS_OLF","Viet Nam","15+","","BOTHSEX",19.79721
2011,"FB_BNK_ACCSS_OLF","Slovenia","15+","","BOTHSEX",96.43349
2014,"FB_BNK_ACCSS_OLF","Slovenia","15+","","BOTHSEX",96.91555
2017,"FB_BNK_ACCSS_OLF","Slovenia","15+","","BOTHSEX",94.04204
2021,"FB_BNK_ACCSS_OLF","Slovenia","15+","","BOTHSEX",97.88979
2011,"FB_BNK_ACCSS_OLF","Spain","15+","","BOTHSEX",88.72352
2014,"FB_BNK_ACCSS_OLF","Spain","15+","","BOTHSEX",97.57531
2017,"FB_BNK_ACCSS_OLF","Spain","15+","","BOTHSEX",83.9481
2021,"FB_BNK_ACCSS_OLF","Spain","15+","","BOTHSEX",99.82846
2011,"FB_BNK_ACCSS_OLF","Sweden","15+","","BOTHSEX",97.6048
2014,"FB_BNK_ACCSS_OLF","Sweden","15+","","BOTHSEX",99.14268
2017,"FB_BNK_ACCSS_OLF","Sweden","15+","","BOTHSEX",99.64494
2021,"FB_BNK_ACCSS_OLF","Sweden","15+","","BOTHSEX",99.89687
2014,"FB_BNK_ACCSS_OLF","Switzerland","15+","","BOTHSEX",96.70686
2017,"FB_BNK_ACCSS_OLF","Switzerland","15+","","BOTHSEX",97.24341
2021,"FB_BNK_ACCSS_OLF","Switzerland","15+","","BOTHSEX",99.1257
2011,"FB_BNK_ACCSS_OLF","Tajikistan","15+","","BOTHSEX",1.8295
2014,"FB_BNK_ACCSS_OLF","Tajikistan","15+","","BOTHSEX",8.2341
2017,"FB_BNK_ACCSS_OLF","Tajikistan","15+","","BOTHSEX",37.34571
2021,"FB_BNK_ACCSS_OLF","Tajikistan","15+","","BOTHSEX",33.73207
2011,"FB_BNK_ACCSS_OLF","United Arab Emirates","15+","","BOTHSEX",24.38469
2014,"FB_BNK_ACCSS_OLF","United Arab Emirates","15+","","BOTHSEX",48.92631
2017,"FB_BNK_ACCSS_OLF","United Arab Emirates","15+","","BOTHSEX",56.73902
2021,"FB_BNK_ACCSS_OLF","United Arab Emirates","15+","","BOTHSEX",86.69548
2011,"FB_BNK_ACCSS_OLF","Türkiye","15+","","BOTHSEX",37.04825
2014,"FB_BNK_ACCSS_OLF","Türkiye","15+","","BOTHSEX",45.39205
2017,"FB_BNK_ACCSS_OLF","Türkiye","15+","","BOTHSEX",43.922
2021,"FB_BNK_ACCSS_OLF","Türkiye","15+","","BOTHSEX",63.25098
2011,"FB_BNK_ACCSS_OLF","Turkmenistan","15+","","BOTHSEX",0
2017,"FB_BNK_ACCSS_OLF","Turkmenistan","15+","","BOTHSEX",10.23296
2011,"FB_BNK_ACCSS_OLF","Ukraine","15+","","BOTHSEX",27.88924
2014,"FB_BNK_ACCSS_OLF","Ukraine","15+","","BOTHSEX",32.19132
2017,"FB_BNK_ACCSS_OLF","Ukraine","15+","","BOTHSEX",54.75802
2021,"FB_BNK_ACCSS_OLF","Ukraine","15+","","BOTHSEX",75.06514
2011,"FB_BNK_ACCSS_OLF","North Macedonia","15+","","BOTHSEX",67.29443
2014,"FB_BNK_ACCSS_OLF","North Macedonia","15+","","BOTHSEX",57.34823
2017,"FB_BNK_ACCSS_OLF","North Macedonia","15+","","BOTHSEX",65.5631
2021,"FB_BNK_ACCSS_OLF","North Macedonia","15+","","BOTHSEX",76.26702
2011,"FB_BNK_ACCSS_OLF","United Kingdom of Great Britain and Northern Ireland","15+","","BOTHSEX",97.04719
2014,"FB_BNK_ACCSS_OLF","United Kingdom of Great Britain and Northern Ireland","15+","","BOTHSEX",96.87567
2017,"FB_BNK_ACCSS_OLF","United Kingdom of Great Britain and Northern Ireland","15+","","BOTHSEX",94.13731
2021,"FB_BNK_ACCSS_OLF","United Kingdom of Great Britain and Northern Ireland","15+","","BOTHSEX",99.44798
2011,"FB_BNK_ACCSS_OLF","Uzbekistan","15+","","BOTHSEX",10.50153
2014,"FB_BNK_ACCSS_OLF","Uzbekistan","15+","","BOTHSEX",36.40635
2017,"FB_BNK_ACCSS_OLF","Uzbekistan","15+","","BOTHSEX",34.32649
2021,"FB_BNK_ACCSS_OLF","Uzbekistan","15+","","BOTHSEX",34.44476
2021,"FB_BNK_ACCSS_OLF","Uzbekistan","15+","","BOTHSEX",34.44476
