Year,SeriesCode,GeoAreaName,Sex,Value
2016,"PD_AGR_SSFP","Bulgaria","BOTHSEX",34.28
2016,"PD_AGR_SSFP","Bulgaria","FEMALE",32.36
2016,"PD_AGR_LSFP","Belgium","FEMALE",841.85
2020,"PD_AGR_SSFP","Bulgaria","FEMALE",46.43
2020,"PD_AGR_SSFP","Bulgaria","BOTHSEX",46.92
2010,"PD_AGR_SSFP","Estonia","FEMALE",47.64
2010,"PD_AGR_SSFP","Estonia","BOTHSEX",54.9
2010,"PD_AGR_SSFP","Estonia","MALE",60.17
2020,"PD_AGR_LSFP","Belgium","MALE",1002.74
2020,"PD_AGR_LSFP","Belgium","BOTHSEX",1000.56
2020,"PD_AGR_LSFP","Belgium","FEMALE",984.03
2013,"PD_AGR_SSFP","Estonia","MALE",55.76
2013,"PD_AGR_SSFP","Estonia","BOTHSEX",52.52
2013,"PD_AGR_SSFP","Estonia","FEMALE",47.39
2016,"PD_AGR_SSFP","Estonia","BOTHSEX",57.16
2016,"PD_AGR_SSFP","Estonia","FEMALE",51.23
2016,"PD_AGR_SSFP","Estonia","MALE",60.85
2013,"PD_AGR_LSFP","Ireland","MALE",323.71
2013,"PD_AGR_LSFP","Ireland","BOTHSEX",317.2
2013,"PD_AGR_LSFP","Ireland","FEMALE",213.6
2020,"PD_AGR_SSFP","Estonia","MALE",64.78
2020,"PD_AGR_SSFP","Estonia","BOTHSEX",59.42
2020,"PD_AGR_SSFP","Estonia","FEMALE",50.39
2010,"PD_AGR_LSFP","Bulgaria","MALE",298.05
2010,"PD_AGR_LSFP","Bulgaria","BOTHSEX",288.74
2010,"PD_AGR_LSFP","Bulgaria","FEMALE",244.54
2013,"PD_AGR_LSFP","Bulgaria","BOTHSEX",362.08
2013,"PD_AGR_LSFP","Bulgaria","FEMALE",317.08
2010,"PD_AGR_SSFP","Finland","BOTHSEX",117.59
2010,"PD_AGR_SSFP","Finland","FEMALE",93.72
2010,"PD_AGR_SSFP","Finland","MALE",122.6
2013,"PD_AGR_LSFP","Bulgaria","MALE",372.08
2016,"PD_AGR_LSFP","Bulgaria","MALE",455.24
2016,"PD_AGR_LSFP","Bulgaria","FEMALE",409.63
2016,"PD_AGR_LSFP","Bulgaria","BOTHSEX",445.97
2013,"PD_AGR_SSFP","Finland","FEMALE",91.72
2013,"PD_AGR_SSFP","Finland","BOTHSEX",115.83
2013,"PD_AGR_SSFP","Finland","MALE",119.79
2016,"PD_AGR_SSFP","Finland","BOTHSEX",111.92
2016,"PD_AGR_SSFP","Finland","FEMALE",80.65
2020,"PD_AGR_LSFP","Bulgaria","MALE",456.34
2020,"PD_AGR_LSFP","Bulgaria","FEMALE",417.24
2020,"PD_AGR_LSFP","Bulgaria","BOTHSEX",447.38
2016,"PD_AGR_SSFP","Finland","MALE",118.58
2001,"PD_AGR_LSFP","Canada","MALE",698.73
2001,"PD_AGR_LSFP","Canada","BOTHSEX",667.95
2001,"PD_AGR_LSFP","Canada","FEMALE",573.01
2006,"PD_AGR_LSFP","Canada","MALE",919.99
2006,"PD_AGR_LSFP","Canada","FEMALE",735.89
2020,"PD_AGR_SSFP","Finland","BOTHSEX",102.3
2020,"PD_AGR_SSFP","Finland","FEMALE",73.92
2020,"PD_AGR_SSFP","Finland","MALE",107.16
2006,"PD_AGR_LSFP","Canada","BOTHSEX",872.4
2011,"PD_AGR_LSFP","Canada","MALE",1248.25
2011,"PD_AGR_LSFP","Canada","FEMALE",952.83
2011,"PD_AGR_LSFP","Canada","BOTHSEX",1173.92
2016,"PD_AGR_LSFP","Ireland","FEMALE",308.27
2016,"PD_AGR_LSFP","Ireland","BOTHSEX",405.9
2016,"PD_AGR_LSFP","Ireland","MALE",412.01
2016,"PD_AGR_LSFP","Canada","FEMALE",1439.14
2016,"PD_AGR_LSFP","Canada","BOTHSEX",1688.37
2016,"PD_AGR_LSFP","Canada","MALE",1775.32
2020,"PD_AGR_LSFP","Ireland","FEMALE",505.32
2020,"PD_AGR_LSFP","Ireland","BOTHSEX",446.3
2020,"PD_AGR_LSFP","Ireland","MALE",441.22
2010,"PD_AGR_SSFP","France","BOTHSEX",87.54
2010,"PD_AGR_SSFP","France","FEMALE",84.26
2010,"PD_AGR_SSFP","France","MALE",89.19
