Year,SeriesCode,GeoAreaName,Education level,Type of skill,Value
2000,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_READ",0.66278
2003,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_READ",0.67916
2003,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_MATH",0.76918
2006,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_MATH",0.6861
2015,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_MATH",0.73996
2015,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_READ",0.83809
2015,"SE_LGP_ACHI","Hungary","PRIMAR","SKILL_MATH",0.30235
2018,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_READ",0.73033
2019,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_MATH",1.07709
2019,"SE_LGP_ACHI","Hungary","PRIMAR","SKILL_MATH",1.00196
2000,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_READ",0.76291
2000,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_MATH",0.89239
2006,"SE_LGP_ACHI","Austria","PRIMAR","SKILL_READ",0.94209
2006,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_READ",0.73227
2009,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_MATH",0.73237
2009,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_READ",0.67483
2011,"SE_LGP_ACHI","Austria","PRIMAR","SKILL_READ",0.91186
2012,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_MATH",0.76069
2012,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_READ",0.81444
2015,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_READ",0.7041
2015,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_MATH",0.6641
2016,"SE_LGP_ACHI","Austria","PRIMAR","SKILL_READ",0.92954
2018,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_MATH",0.69591
2018,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_READ",0.686
2019,"SE_LGP_ACHI","Austria","PRIMAR","SKILL_MATH",0.84317
2003,"SE_LGP_ACHI","Armenia","PRIMAR","SKILL_MATH",0.73991
2003,"SE_LGP_ACHI","Armenia","LOWSEC","SKILL_MATH",0.94986
2007,"SE_LGP_ACHI","Armenia","LOWSEC","SKILL_MATH",1.13476
2007,"SE_LGP_ACHI","Armenia","PRIMAR","SKILL_MATH",1.03429
2015,"SE_LGP_ACHI","Armenia","PRIMAR","SKILL_MATH",0.92566
2015,"SE_LGP_ACHI","Armenia","LOWSEC","SKILL_MATH",0.83675
2000,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_READ",0.9479
2000,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_MATH",0.93748
2003,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_MATH",0.95283
2003,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_READ",0.94566
2006,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_READ",0.89875
2006,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_MATH",0.92154
2009,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_MATH",0.89273
2009,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_READ",0.87098
2012,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_MATH",0.85484
2012,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_READ",0.86661
2015,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_MATH",0.73358
2015,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_READ",0.72563
2001,"SE_LGP_ACHI","Iceland","GRAD23","SKILL_READ",0.67627
2003,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_READ",0.72031
2003,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_MATH",0.78739
2006,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_MATH",0.77064
2006,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_READ",0.62673
2006,"SE_LGP_ACHI","Iceland","GRAD23","SKILL_READ",1.01634
2009,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_READ",0.7238
2009,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_MATH",0.76971
2018,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_READ",0.708
2018,"SE_LGP_ACHI","Belgium","LOWSEC","SKILL_MATH",0.76469
2019,"SE_LGP_ACHI","Belgium","PRIMAR","SKILL_MATH",0.84687
2018,"SE_LGP_ACHI","Bosnia and Herzegovina","LOWSEC","SKILL_READ",0.85397
2019,"SE_LGP_ACHI","Bosnia and Herzegovina","PRIMAR","SKILL_MATH",0.87307
2000,"SE_LGP_ACHI","Bulgaria","LOWSEC","SKILL_READ",0.31234
2000,"SE_LGP_ACHI","Bulgaria","LOWSEC","SKILL_MATH",0.51781
2012,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_READ",0.62712
2012,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_MATH",0.75094
2015,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_READ",0.65586
2015,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_MATH",0.7841
2018,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_MATH",0.81988
2018,"SE_LGP_ACHI","Iceland","LOWSEC","SKILL_READ",0.68576
2000,"SE_LGP_ACHI","Ireland","LOWSEC","SKILL_MATH",1.05326
