Year,SeriesCode,GeoAreaName,Age,Freq,Location,Sex,Value
2000,"SH_TBS_INCD","Belarus","","","","",86
2001,"SH_TBS_INCD","Belarus","","","","",70
2002,"SH_TBS_INCD","Belarus","","","","",66
2003,"SH_TBS_INCD","Belarus","","","","",77
2004,"SH_TBS_INCD","Belarus","","","","",71
2005,"SH_TBS_INCD","Belarus","","","","",69
2006,"SH_TBS_INCD","Belarus","","","","",68
2007,"SH_TBS_INCD","Belarus","","","","",71
2008,"SH_TBS_INCD","Belarus","","","","",68
2009,"SH_TBS_INCD","Belarus","","","","",70
2010,"SH_TBS_INCD","Belarus","","","","",68
2011,"SH_TBS_INCD","Belarus","","","","",62
2012,"SH_TBS_INCD","Belarus","","","","",63
2013,"SH_TBS_INCD","Belarus","","","","",59
2014,"SH_TBS_INCD","Belarus","","","","",51
2015,"SH_TBS_INCD","Belarus","","","","",50
2016,"SH_TBS_INCD","Belarus","","","","",42
2017,"SH_TBS_INCD","Belarus","","","","",37
2018,"SH_TBS_INCD","Belarus","","","","",31
2019,"SH_TBS_INCD","Belarus","","","","",29
2020,"SH_TBS_INCD","Belarus","","","","",28
2021,"SH_TBS_INCD","Belarus","","","","",30
2000,"SH_TBS_INCD","Canada","","","","",6.5
2001,"SH_TBS_INCD","Canada","","","","",6.6
2002,"SH_TBS_INCD","Canada","","","","",6.1
2003,"SH_TBS_INCD","Canada","","","","",5.9
2004,"SH_TBS_INCD","Canada","","","","",5.6
2005,"SH_TBS_INCD","Canada","","","","",5.5
2006,"SH_TBS_INCD","Canada","","","","",5.4
2007,"SH_TBS_INCD","Canada","","","","",5.3
2008,"SH_TBS_INCD","Canada","","","","",5.4
2009,"SH_TBS_INCD","Canada","","","","",5.4
2010,"SH_TBS_INCD","Canada","","","","",4.6
2011,"SH_TBS_INCD","Canada","","","","",4.8
2012,"SH_TBS_INCD","Canada","","","","",5.5
2013,"SH_TBS_INCD","Canada","","","","",5.4
2014,"SH_TBS_INCD","Canada","","","","",5.1
2015,"SH_TBS_INCD","Canada","","","","",5.3
2016,"SH_TBS_INCD","Canada","","","","",5.5
2017,"SH_TBS_INCD","Canada","","","","",5.7
2018,"SH_TBS_INCD","Canada","","","","",5.6
2019,"SH_TBS_INCD","Canada","","","","",5.9
2020,"SH_TBS_INCD","Canada","","","","",5.4
2021,"SH_TBS_INCD","Canada","","","","",5.3
2000,"SH_TBS_INCD","Chile","","","","",23
2001,"SH_TBS_INCD","Chile","","","","",22
2002,"SH_TBS_INCD","Chile","","","","",18
2003,"SH_TBS_INCD","Chile","","","","",16
2004,"SH_TBS_INCD","Chile","","","","",19
2005,"SH_TBS_INCD","Chile","","","","",18
2006,"SH_TBS_INCD","Chile","","","","",18
2007,"SH_TBS_INCD","Chile","","","","",17
2008,"SH_TBS_INCD","Chile","","","","",17
2000,"SH_TBS_INCD","Albania","","","","",22
2001,"SH_TBS_INCD","Albania","","","","",20
2002,"SH_TBS_INCD","Albania","","","","",22
2003,"SH_TBS_INCD","Albania","","","","",20
2004,"SH_TBS_INCD","Albania","","","","",20
2005,"SH_TBS_INCD","Albania","","","","",19
2006,"SH_TBS_INCD","Albania","","","","",18
2007,"SH_TBS_INCD","Albania","","","","",17
2008,"SH_TBS_INCD","Albania","","","","",16
2000,"SH_TBS_INCD","Republic of Moldova","","","","",80
2001,"SH_TBS_INCD","Republic of Moldova","","","","",99
2002,"SH_TBS_INCD","Republic of Moldova","","","","",104
2003,"SH_TBS_INCD","Republic of Moldova","","","","",119
2004,"SH_TBS_INCD","Republic of Moldova","","","","",133
2005,"SH_TBS_INCD","Republic of Moldova","","","","",142
2006,"SH_TBS_INCD","Republic of Moldova","","","","",138
2007,"SH_TBS_INCD","Republic of Moldova","","","","",135
2008,"SH_TBS_INCD","Republic of Moldova","","","","",125
2009,"SH_TBS_INCD","Chile","","","","",16
2010,"SH_TBS_INCD","Chile","","","","",16
2011,"SH_TBS_INCD","Chile","","","","",16
2012,"SH_TBS_INCD","Chile","","","","",16
2013,"SH_TBS_INCD","Chile","","","","",16
2014,"SH_TBS_INCD","Chile","","","","",15
2015,"SH_TBS_INCD","Chile","","","","",17
2016,"SH_TBS_INCD","Chile","","","","",16
2017,"SH_TBS_INCD","Chile","","","","",17
2009,"SH_TBS_INCD","Albania","","","","",17
2010,"SH_TBS_INCD","Albania","","","","",17
2011,"SH_TBS_INCD","Albania","","","","",17
2012,"SH_TBS_INCD","Albania","","","","",16
2013,"SH_TBS_INCD","Albania","","","","",19
2014,"SH_TBS_INCD","Albania","","","","",16
2015,"SH_TBS_INCD","Albania","","","","",17
2016,"SH_TBS_INCD","Albania","","","","",17
2017,"SH_TBS_INCD","Albania","","","","",20
2009,"SH_TBS_INCD","Republic of Moldova","","","","",125
2010,"SH_TBS_INCD","Republic of Moldova","","","","",116
2011,"SH_TBS_INCD","Republic of Moldova","","","","",119
2012,"SH_TBS_INCD","Republic of Moldova","","","","",124
2013,"SH_TBS_INCD","Republic of Moldova","","","","",127
2014,"SH_TBS_INCD","Republic of Moldova","","","","",115
2015,"SH_TBS_INCD","Republic of Moldova","","","","",102
2016,"SH_TBS_INCD","Republic of Moldova","","","","",101
2017,"SH_TBS_INCD","Republic of Moldova","","","","",95
2018,"SH_TBS_INCD","Chile","","","","",18
2019,"SH_TBS_INCD","Chile","","","","",18
2020,"SH_TBS_INCD","Chile","","","","",14
2021,"SH_TBS_INCD","Chile","","","","",16
2000,"SH_TBS_INCD","China","","","","",107
2001,"SH_TBS_INCD","China","","","","",104
2002,"SH_TBS_INCD","China","","","","",100
2003,"SH_TBS_INCD","China","","","","",97
2004,"SH_TBS_INCD","China","","","","",94
2018,"SH_TBS_INCD","Albania","","","","",18
2019,"SH_TBS_INCD","Albania","","","","",16
2020,"SH_TBS_INCD","Albania","","","","",16
2021,"SH_TBS_INCD","Albania","","","","",17
2000,"SH_TBS_INCD","Azerbaijan","","","","",80
2001,"SH_TBS_INCD","Azerbaijan","","","","",75
2002,"SH_TBS_INCD","Azerbaijan","","","","",78
2003,"SH_TBS_INCD","Azerbaijan","","","","",57
2004,"SH_TBS_INCD","Azerbaijan","","","","",80
2005,"SH_TBS_INCD","Azerbaijan","","","","",88
2006,"SH_TBS_INCD","Azerbaijan","","","","",83
2007,"SH_TBS_INCD","Azerbaijan","","","","",79
2008,"SH_TBS_INCD","Azerbaijan","","","","",108
2009,"SH_TBS_INCD","Azerbaijan","","","","",133
2010,"SH_TBS_INCD","Azerbaijan","","","","",104
2011,"SH_TBS_INCD","Azerbaijan","","","","",125
2012,"SH_TBS_INCD","Azerbaijan","","","","",86
2005,"SH_TBS_INCD","China","","","","",91
2006,"SH_TBS_INCD","China","","","","",88
2007,"SH_TBS_INCD","China","","","","",85
2008,"SH_TBS_INCD","China","","","","",82
2009,"SH_TBS_INCD","China","","","","",81
2010,"SH_TBS_INCD","China","","","","",76
2011,"SH_TBS_INCD","China","","","","",75
2012,"SH_TBS_INCD","China","","","","",73
2013,"SH_TBS_INCD","China","","","","",70
2014,"SH_TBS_INCD","China","","","","",67
2015,"SH_TBS_INCD","China","","","","",65
2016,"SH_TBS_INCD","China","","","","",63
2017,"SH_TBS_INCD","China","","","","",62
2018,"SH_TBS_INCD","China","","","","",61
2019,"SH_TBS_INCD","China","","","","",58
2020,"SH_TBS_INCD","China","","","","",57
2021,"SH_TBS_INCD","China","","","","",55
2000,"SH_TBS_INCD","Colombia","","","","",37
2001,"SH_TBS_INCD","Colombia","","","","",36
2002,"SH_TBS_INCD","Colombia","","","","",35
2003,"SH_TBS_INCD","Colombia","","","","",35
2004,"SH_TBS_INCD","Colombia","","","","",33
2005,"SH_TBS_INCD","Colombia","","","","",30
2006,"SH_TBS_INCD","Colombia","","","","",32
2007,"SH_TBS_INCD","Colombia","","","","",31
2008,"SH_TBS_INCD","Colombia","","","","",32
2009,"SH_TBS_INCD","Colombia","","","","",32
2013,"SH_TBS_INCD","Azerbaijan","","","","",78
