Year,SeriesCode,GeoAreaName,Type of product,Value
2005,"TM_TRF_ZERO","Chile","CLO",65.29412
2005,"TM_TRF_ZERO","Chile","ARM",45.45455
2005,"TM_TRF_ZERO","Chile","IND",70.01646
2005,"TM_TRF_ZERO","Chile","AGR",52.7135
2005,"TM_TRF_ZERO","Chile","ALP",66.43327
2005,"TM_TRF_ZERO","Chile","TEX",71.83365
2005,"TM_TRF_ZERO","Chile","OIL",50
2010,"TM_TRF_ZERO","Chile","TEX",82.7381
2010,"TM_TRF_ZERO","Chile","ALP",73.79072
2010,"TM_TRF_ZERO","Chile","AGR",57.37557
2010,"TM_TRF_ZERO","Chile","IND",77.48132
2010,"TM_TRF_ZERO","Chile","ARM",92.85714
2010,"TM_TRF_ZERO","Chile","CLO",79.70065
2015,"TM_TRF_ZERO","Chile","ARM",91.66667
2015,"TM_TRF_ZERO","Chile","CLO",83.00105
2015,"TM_TRF_ZERO","Chile","IND",83.26804
2015,"TM_TRF_ZERO","Chile","ALP",79.36299
2015,"TM_TRF_ZERO","Chile","AGR",63.86643
2015,"TM_TRF_ZERO","Chile","TEX",83.79374
2016,"TM_TRF_ZERO","Chile","IND",81.79604
2016,"TM_TRF_ZERO","Chile","CLO",82.37023
2016,"TM_TRF_ZERO","Chile","ARM",91.66667
2016,"TM_TRF_ZERO","Chile","TEX",83.20755
2016,"TM_TRF_ZERO","Chile","AGR",65.08053
2016,"TM_TRF_ZERO","Chile","ALP",78.31687
2017,"TM_TRF_ZERO","Chile","ARM",100
2017,"TM_TRF_ZERO","Chile","CLO",77.44946
2017,"TM_TRF_ZERO","Chile","IND",82.51126
2017,"TM_TRF_ZERO","Chile","ALP",78.94888
2017,"TM_TRF_ZERO","Chile","AGR",67.03677
2017,"TM_TRF_ZERO","Chile","TEX",84.15051
2017,"TM_TRF_ZERO","Chile","OIL",100
2018,"TM_TRF_ZERO","Chile","OIL",100
2018,"TM_TRF_ZERO","Chile","TEX",79.18605
2018,"TM_TRF_ZERO","Chile","AGR",66.36501
2018,"TM_TRF_ZERO","Chile","IND",79.91592
2018,"TM_TRF_ZERO","Chile","CLO",74.18301
2018,"TM_TRF_ZERO","Chile","ALP",76.67819
2018,"TM_TRF_ZERO","Chile","ARM",100
2019,"TM_TRF_ZERO","Chile","CLO",76.8279
2019,"TM_TRF_ZERO","Chile","IND",78.82177
2019,"TM_TRF_ZERO","Chile","AGR",64.92607
2019,"TM_TRF_ZERO","Chile","TEX",81.61435
2019,"TM_TRF_ZERO","Chile","ARM",100
2019,"TM_TRF_ZERO","Chile","ALP",75.89142
2020,"TM_TRF_ZERO","Chile","TEX",80.3943
2020,"TM_TRF_ZERO","Chile","AGR",67.41748
2020,"TM_TRF_ZERO","Chile","IND",80.20184
2020,"TM_TRF_ZERO","Chile","ALP",77.32009
2020,"TM_TRF_ZERO","Chile","CLO",81.81818
2020,"TM_TRF_ZERO","Chile","ARM",100
2021,"TM_TRF_ZERO","Chile","ARM",100
2005,"TM_TRF_ZERO","Albania","TEX",69.5122
2005,"TM_TRF_ZERO","Albania","OIL",50
2005,"TM_TRF_ZERO","Albania","CLO",58.06452
2005,"TM_TRF_ZERO","Albania","ARM",100
2005,"TM_TRF_ZERO","Albania","IND",55.9956
2005,"TM_TRF_ZERO","Albania","ALP",57.61431
2005,"TM_TRF_ZERO","Albania","AGR",64.85356
2010,"TM_TRF_ZERO","Albania","AGR",57.65766
2010,"TM_TRF_ZERO","Albania","ALP",61.91099
2010,"TM_TRF_ZERO","Albania","IND",67.24822
2010,"TM_TRF_ZERO","Albania","ARM",100
2010,"TM_TRF_ZERO","Albania","CLO",45.85308
2010,"TM_TRF_ZERO","Albania","OIL",100
2021,"TM_TRF_ZERO","Chile","ALP",76.26524
2021,"TM_TRF_ZERO","Chile","CLO",74.8731
2021,"TM_TRF_ZERO","Chile","IND",79.11936
2021,"TM_TRF_ZERO","Chile","AGR",67.36944
2021,"TM_TRF_ZERO","Chile","OIL",100
2021,"TM_TRF_ZERO","Chile","TEX",77.951
2005,"TM_TRF_ZERO","China","CLO",13.06445
2005,"TM_TRF_ZERO","China","ARM",32.59494
2005,"TM_TRF_ZERO","China","IND",30.5453
2005,"TM_TRF_ZERO","China","ALP",28.28049
2005,"TM_TRF_ZERO","China","AGR",32.78557
2005,"TM_TRF_ZERO","China","TEX",18.12425
2005,"TM_TRF_ZERO","China","OIL",56.25
2010,"TM_TRF_ZERO","Albania","TEX",73.50427
2015,"TM_TRF_ZERO","Albania","OIL",50
2015,"TM_TRF_ZERO","Albania","ARM",100
2015,"TM_TRF_ZERO","Albania","CLO",39.07002
2015,"TM_TRF_ZERO","Albania","IND",72.81818
2015,"TM_TRF_ZERO","Albania","AGR",72.4359
2015,"TM_TRF_ZERO","Albania","ALP",62.41879
2015,"TM_TRF_ZERO","Albania","TEX",77.22772
2016,"TM_TRF_ZERO","Albania","ALP",60.9471
2016,"TM_TRF_ZERO","Albania","AGR",73.77049
2016,"TM_TRF_ZERO","Albania","IND",69.67365
2016,"TM_TRF_ZERO","Albania","CLO",38.31071
2016,"TM_TRF_ZERO","Albania","ARM",80
2005,"TM_TRF_ZERO","Azerbaijan","AGR",76.48649
2005,"TM_TRF_ZERO","Azerbaijan","ARM",33.33333
2005,"TM_TRF_ZERO","Azerbaijan","ALP",79.85185
2005,"TM_TRF_ZERO","Azerbaijan","CLO",87.87879
2005,"TM_TRF_ZERO","Azerbaijan","IND",79.10798
2005,"TM_TRF_ZERO","Azerbaijan","OIL",75
2005,"TM_TRF_ZERO","Azerbaijan","TEX",87.5
2010,"TM_TRF_ZERO","Azerbaijan","TEX",87.5969
2010,"TM_TRF_ZERO","Azerbaijan","OIL",93.75
2010,"TM_TRF_ZERO","Azerbaijan","IND",80.85837
2010,"TM_TRF_ZERO","Azerbaijan","CLO",95.19231
2010,"TM_TRF_ZERO","Azerbaijan","ALP",82.34365
2010,"TM_TRF_ZERO","Azerbaijan","ARM",0
2005,"TM_TRF_ZERO","Hungary","AGR",23.28822
2005,"TM_TRF_ZERO","Hungary","IND",45.78121
2005,"TM_TRF_ZERO","Hungary","TEX",43.82767
2005,"TM_TRF_ZERO","Hungary","ALP",42.72916
2005,"TM_TRF_ZERO","Hungary","CLO",26.72941
2005,"TM_TRF_ZERO","Hungary","ARM",72.72727
2010,"TM_TRF_ZERO","Hungary","TEX",58.83191
2010,"TM_TRF_ZERO","Hungary","IND",54.96436
2010,"TM_TRF_ZERO","Hungary","OIL",100
2010,"TM_TRF_ZERO","Hungary","ARM",76.36364
2010,"TM_TRF_ZERO","Hungary","AGR",55.63432
2010,"TM_TRF_ZERO","Hungary","CLO",35.22378
2010,"TM_TRF_ZERO","Hungary","ALP",54.01636
2010,"TM_TRF_ZERO","China","AGR",32.5036
2010,"TM_TRF_ZERO","China","ALP",30.36538
2010,"TM_TRF_ZERO","China","IND",32.89808
2010,"TM_TRF_ZERO","China","ARM",33.74384
2010,"TM_TRF_ZERO","China","CLO",10.9717
2010,"TM_TRF_ZERO","China","OIL",65
2010,"TM_TRF_ZERO","China","TEX",20.61794
2015,"TM_TRF_ZERO","China","TEX",25.35176
2015,"TM_TRF_ZERO","China","OIL",60
2015,"TM_TRF_ZERO","China","CLO",15.53391
2015,"TM_TRF_ZERO","China","IND",37.19931
2015,"TM_TRF_ZERO","China","ARM",27.31183
2015,"TM_TRF_ZERO","China","ALP",34.59715
2015,"TM_TRF_ZERO","China","AGR",34.25249
2016,"TM_TRF_ZERO","China","AGR",33.34291
2016,"TM_TRF_ZERO","China","ALP",34.71656
2016,"TM_TRF_ZERO","China","ARM",27.52294
2016,"TM_TRF_ZERO","China","CLO",15.29628
2016,"TM_TRF_ZERO","China","IND",37.4658
2016,"TM_TRF_ZERO","China","OIL",57.89474
2016,"TM_TRF_ZERO","China","TEX",25.56503
2017,"TM_TRF_ZERO","China","TEX",27.67853
2017,"TM_TRF_ZERO","China","OIL",71.42857
2017,"TM_TRF_ZERO","China","IND",39.1331
2017,"TM_TRF_ZERO","China","ARM",30.88889
2017,"TM_TRF_ZERO","China","CLO",20.40824
2016,"TM_TRF_ZERO","Albania","OIL",100
2016,"TM_TRF_ZERO","Albania","TEX",75.21008
2017,"TM_TRF_ZERO","Albania","ALP",60.39092
2017,"TM_TRF_ZERO","Albania","OIL",100
2017,"TM_TRF_ZERO","Albania","TEX",68.48875
2017,"TM_TRF_ZERO","Albania","ARM",75
2017,"TM_TRF_ZERO","Albania","IND",69.96859
2017,"TM_TRF_ZERO","Albania","CLO",38.83122
2017,"TM_TRF_ZERO","Albania","AGR",76.17411
2018,"TM_TRF_ZERO","Albania","ALP",61.2524
2018,"TM_TRF_ZERO","Albania","AGR",75.84204
2018,"TM_TRF_ZERO","Albania","CLO",39.57928
2018,"TM_TRF_ZERO","Albania","IND",71.21844
2018,"TM_TRF_ZERO","Albania","ARM",75
2018,"TM_TRF_ZERO","Albania","TEX",68.58974
2018,"TM_TRF_ZERO","Albania","OIL",100
2019,"TM_TRF_ZERO","Albania","OIL",100
2019,"TM_TRF_ZERO","Albania","TEX",73.02326
2019,"TM_TRF_ZERO","Albania","ARM",100
2019,"TM_TRF_ZERO","Albania","IND",70.58206
2019,"TM_TRF_ZERO","Albania","CLO",36.33692
2019,"TM_TRF_ZERO","Albania","ALP",59.46634
2019,"TM_TRF_ZERO","Albania","AGR",74.93573
2020,"TM_TRF_ZERO","Albania","IND",70.59474
2020,"TM_TRF_ZERO","Albania","OIL",100
2020,"TM_TRF_ZERO","Albania","TEX",71.70732
2010,"TM_TRF_ZERO","Azerbaijan","AGR",82.70833
2015,"TM_TRF_ZERO","Azerbaijan","AGR",77.61506
