Year,SeriesCode,GeoAreaName,Mode of transportation,Value
2015,"IS_RDP_PORFVOL","Bulgaria","SEA",201000
2016,"IS_RDP_PORFVOL","Bulgaria","SEA",201000
2017,"IS_RDP_PORFVOL","Bulgaria","SEA",228500
2018,"IS_RDP_PORFVOL","Bulgaria","SEA",241800
2019,"IS_RDP_PORFVOL","Bulgaria","SEA",261900
2020,"IS_RDP_PORFVOL","Bulgaria","SEA",252310
2010,"IS_RDP_PORFVOL","Canada","SEA",4694496
2011,"IS_RDP_PORFVOL","Canada","SEA",4755352
2012,"IS_RDP_PORFVOL","Canada","SEA",5111777
2013,"IS_RDP_PORFVOL","Canada","SEA",5241009
2014,"IS_RDP_PORFVOL","Canada","SEA",5426175
2015,"IS_RDP_PORFVOL","Canada","SEA",5793852
2016,"IS_RDP_PORFVOL","Canada","SEA",5738484
2017,"IS_RDP_PORFVOL","Canada","SEA",6377750
2018,"IS_RDP_PORFVOL","Canada","SEA",6770381
2019,"IS_RDP_PORFVOL","Canada","SEA",6901600
2020,"IS_RDP_PORFVOL","Canada","SEA",6196600
2010,"IS_RDP_PORFVOL","Chile","SEA",3167305
2011,"IS_RDP_PORFVOL","Chile","SEA",3392436
2012,"IS_RDP_PORFVOL","Chile","SEA",3514149
2013,"IS_RDP_PORFVOL","Chile","SEA",3853580
2014,"IS_RDP_PORFVOL","Chile","SEA",3951738
2015,"IS_RDP_PORFVOL","Chile","SEA",3956842
2016,"IS_RDP_PORFVOL","Chile","SEA",4170283
2017,"IS_RDP_PORFVOL","Chile","SEA",4407772
2018,"IS_RDP_PORFVOL","Chile","SEA",4661469
2019,"IS_RDP_PORFVOL","Chile","SEA",4496578
2020,"IS_RDP_PORFVOL","Chile","SEA",4192000
2010,"IS_RDP_PORFVOL","China","SEA",131989200
2011,"IS_RDP_PORFVOL","China","SEA",146441501
2012,"IS_RDP_PORFVOL","China","SEA",159337100
2013,"IS_RDP_PORFVOL","China","SEA",174393600
2014,"IS_RDP_PORFVOL","China","SEA",185136300
2015,"IS_RDP_PORFVOL","China","SEA",193734000
2016,"IS_RDP_PORFVOL","China","SEA",197849000
2017,"IS_RDP_PORFVOL","China","SEA",222155820
2018,"IS_RDP_PORFVOL","China","SEA",233201600
2019,"IS_RDP_PORFVOL","China","SEA",242030000
2020,"IS_RDP_PORFVOL","China","SEA",245103781
2010,"IS_RDP_PORFVOL","Colombia","SEA",2447727
2011,"IS_RDP_PORFVOL","Colombia","SEA",2844798
2012,"IS_RDP_PORFVOL","Colombia","SEA",3361028
2013,"IS_RDP_PORFVOL","Colombia","SEA",3128901
2014,"IS_RDP_PORFVOL","Colombia","SEA",3351458
2015,"IS_RDP_PORFVOL","Colombia","SEA",3696592
2016,"IS_RDP_PORFVOL","Colombia","SEA",3491220
2017,"IS_RDP_PORFVOL","Colombia","SEA",3956466
2018,"IS_RDP_PORFVOL","Colombia","SEA",4582712
2019,"IS_RDP_PORFVOL","Colombia","SEA",4402574
2020,"IS_RDP_PORFVOL","Colombia","SEA",4480900
2010,"IS_RDP_PORFVOL","Costa Rica","SEA",1036214
2011,"IS_RDP_PORFVOL","Costa Rica","SEA",1095441
2012,"IS_RDP_PORFVOL","Costa Rica","SEA",1229529
2013,"IS_RDP_PORFVOL","Costa Rica","SEA",1246829
2014,"IS_RDP_PORFVOL","Costa Rica","SEA",1298600
2015,"IS_RDP_PORFVOL","Costa Rica","SEA",1343841
2016,"IS_RDP_PORFVOL","Costa Rica","SEA",1441756
2017,"IS_RDP_PORFVOL","Costa Rica","SEA",1489210
2018,"IS_RDP_PORFVOL","Costa Rica","SEA",1492791
2019,"IS_RDP_PORFVOL","Costa Rica","SEA",1552590
2020,"IS_RDP_PORFVOL","Costa Rica","SEA",1511600
2010,"IS_RDP_PORFVOL","Croatia","SEA",121091
2011,"IS_RDP_PORFVOL","Croatia","SEA",128400
2012,"IS_RDP_PORFVOL","Croatia","SEA",128400
2013,"IS_RDP_PORFVOL","Croatia","SEA",145400
2014,"IS_RDP_PORFVOL","Croatia","SEA",211900
2015,"IS_RDP_PORFVOL","Croatia","SEA",181800
2016,"IS_RDP_PORFVOL","Croatia","SEA",181800
2017,"IS_RDP_PORFVOL","Croatia","SEA",240030
2018,"IS_RDP_PORFVOL","Croatia","SEA",264500
2019,"IS_RDP_PORFVOL","Croatia","SEA",331300
2020,"IS_RDP_PORFVOL","Croatia","SEA",347400
2013,"IS_RDP_PORFVOL","Germany","SEA",18932700
2014,"IS_RDP_PORFVOL","Germany","SEA",19866700
2015,"IS_RDP_PORFVOL","Germany","SEA",19238700
2016,"IS_RDP_PORFVOL","Germany","SEA",19420700
2017,"IS_RDP_PORFVOL","Germany","SEA",19718533
2018,"IS_RDP_PORFVOL","Germany","SEA",19706500
2019,"IS_RDP_PORFVOL","Germany","SEA",19596415
2020,"IS_RDP_PORFVOL","Germany","SEA",18028702
2010,"IS_RDP_PORFVOL","Greece","SEA",1137000
2011,"IS_RDP_PORFVOL","Greece","SEA",1976000
2012,"IS_RDP_PORFVOL","Greece","SEA",3051900
2013,"IS_RDP_PORFVOL","Greece","SEA",3486000
2014,"IS_RDP_PORFVOL","Greece","SEA",3935200
2015,"IS_RDP_PORFVOL","Greece","SEA",3679000
2016,"IS_RDP_PORFVOL","Greece","SEA",4026000
2017,"IS_RDP_PORFVOL","Greece","SEA",4546200
2018,"IS_RDP_PORFVOL","Greece","SEA",5332000
2019,"IS_RDP_PORFVOL","Greece","SEA",5992400
2020,"IS_RDP_PORFVOL","Greece","SEA",5756000
2010,"IS_RDP_PORFVOL","Iceland","SEA",193000
2011,"IS_RDP_PORFVOL","Iceland","SEA",199850
2012,"IS_RDP_PORFVOL","Iceland","SEA",220500
2013,"IS_RDP_PORFVOL","Iceland","SEA",241900
2014,"IS_RDP_PORFVOL","Iceland","SEA",261700
