Year,SeriesCode,GeoAreaName,Type of waste treatment,Value
2000,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2000,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5209.71
2000,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2001,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2001,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2001,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2021,"EN_MWT_TREATV","Albania","INCINRT_EGY",18000
2004,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2004,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1784000
2005,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1753000
2005,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2006,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1573000
2006,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2007,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2007,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1631000
2008,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1478000
2008,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2009,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2001,"EN_MWT_TREATV","Liechtenstein","COMPOST",4247.43
2001,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2001,"EN_MWT_TREATV","Liechtenstein","OTHERWM",4247.43
2002,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2002,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2002,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2002,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5500.961
2002,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2002,"EN_MWT_TREATV","Liechtenstein","COMPOST",5500.961
2003,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2003,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2003,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5508.32
2009,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1603000
2010,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2010,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1609000
2011,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1781000
2011,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2012,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1647000
2012,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2013,"EN_MWT_TREATV","Azerbaijan","INCINRT",386000
2013,"EN_MWT_TREATV","Azerbaijan","LANDFILCTL",114000
2013,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1217000
2013,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2013,"EN_MWT_TREATV","Azerbaijan","INCINRT_EGY",351000
2014,"EN_MWT_TREATV","Azerbaijan","INCINRT_EGY",438000
2014,"EN_MWT_TREATV","Azerbaijan","LANDFIL",833000
2014,"EN_MWT_TREATV","Azerbaijan","INCINRT",451000
2014,"EN_MWT_TREATV","Azerbaijan","LANDFILCTL",101000
2014,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2015,"EN_MWT_TREATV","Azerbaijan","INCINRT",509000
2015,"EN_MWT_TREATV","Azerbaijan","INCINRT_EGY",506000
2015,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2015,"EN_MWT_TREATV","Azerbaijan","LANDFIL",946000
2015,"EN_MWT_TREATV","Azerbaijan","LANDFILCTL",87000
2003,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2003,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2003,"EN_MWT_TREATV","Liechtenstein","COMPOST",5508.32
2004,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2004,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2004,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5344.642
2004,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2004,"EN_MWT_TREATV","Liechtenstein","COMPOST",5344.642
2004,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2005,"EN_MWT_TREATV","Liechtenstein","OTHERWM",6614.434
2005,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2005,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2005,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2005,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2005,"EN_MWT_TREATV","Liechtenstein","COMPOST",6614.434
2006,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2006,"EN_MWT_TREATV","Liechtenstein","COMPOST",5442.348
2006,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2006,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2006,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2006,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5442.348
2007,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5980.626
2007,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2007,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2016,"EN_MWT_TREATV","Azerbaijan","LANDFILCTL",156000
2016,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2016,"EN_MWT_TREATV","Azerbaijan","LANDFIL",949000
2016,"EN_MWT_TREATV","Azerbaijan","INCINRT_EGY",462000
2016,"EN_MWT_TREATV","Azerbaijan","INCINRT",557000
2017,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2017,"EN_MWT_TREATV","Azerbaijan","INCINRT_EGY",464000
2017,"EN_MWT_TREATV","Azerbaijan","LANDFIL",975000
2017,"EN_MWT_TREATV","Azerbaijan","INCINRT",527000
2017,"EN_MWT_TREATV","Azerbaijan","LANDFILCTL",170000
2018,"EN_MWT_TREATV","Azerbaijan","LANDFILCTL",164000
2007,"EN_MWT_TREATV","Liechtenstein","COMPOST",5980.626
2007,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2007,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2008,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2008,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2008,"EN_MWT_TREATV","Liechtenstein","OTHERWM",6859.089
2008,"EN_MWT_TREATV","Liechtenstein","COMPOST",6859.089
2008,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2008,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2009,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2009,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2009,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5258.261
2009,"EN_MWT_TREATV","Liechtenstein","COMPOST",5258.261
2009,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2009,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2010,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2010,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5153.728
2010,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2010,"EN_MWT_TREATV","Liechtenstein","COMPOST",5153.728
2010,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2010,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2011,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2011,"EN_MWT_TREATV","Liechtenstein","COMPOST",5974.919
2011,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2011,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2011,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5974.919
2011,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2012,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2012,"EN_MWT_TREATV","Liechtenstein","COMPOST",6426.258
2012,"EN_MWT_TREATV","Liechtenstein","OTHERWM",6426.258
2012,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2012,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2012,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2013,"EN_MWT_TREATV","Liechtenstein","COMPOST",6454.83
2013,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2018,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2018,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1131000
2018,"EN_MWT_TREATV","Azerbaijan","INCINRT",547000
2018,"EN_MWT_TREATV","Azerbaijan","INCINRT_EGY",494000
2019,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2019,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1404000
2019,"EN_MWT_TREATV","Azerbaijan","INCINRT",542000
2019,"EN_MWT_TREATV","Azerbaijan","LANDFILCTL",221000
2019,"EN_MWT_TREATV","Azerbaijan","INCINRT_EGY",513000
2020,"EN_MWT_TREATV","Azerbaijan","LANDFILCTL",238000
2020,"EN_MWT_TREATV","Azerbaijan","INCINRT_EGY",527000
2013,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2013,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2013,"EN_MWT_TREATV","Liechtenstein","OTHERWM",6454.83
2013,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2014,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2014,"EN_MWT_TREATV","Liechtenstein","OTHERWM",6040.759
2014,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2014,"EN_MWT_TREATV","Liechtenstein","COMPOST",6040.759
2014,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2014,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2015,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2015,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2015,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2015,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2015,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5337.204
2015,"EN_MWT_TREATV","Liechtenstein","COMPOST",5337.204
2016,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2016,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2016,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2016,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2016,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5550.369
2016,"EN_MWT_TREATV","Liechtenstein","COMPOST",5550.369
2017,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2017,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2017,"EN_MWT_TREATV","Liechtenstein","COMPOST",5555.563
2017,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2017,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5555.563
2017,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2018,"EN_MWT_TREATV","Liechtenstein","COMPOST",4490.732
2018,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2018,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2018,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2018,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2018,"EN_MWT_TREATV","Liechtenstein","OTHERWM",4490.732
2019,"EN_MWT_TREATV","Liechtenstein","OTHERWM",5857.418
2019,"EN_MWT_TREATV","Liechtenstein","LANDFILCTL",0
2020,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2020,"EN_MWT_TREATV","Azerbaijan","LANDFIL",1764000
2020,"EN_MWT_TREATV","Azerbaijan","INCINRT",591000
2021,"EN_MWT_TREATV","Azerbaijan","LANDFIL",2014000
2021,"EN_MWT_TREATV","Azerbaijan","COMPOST",0
2021,"EN_MWT_TREATV","Azerbaijan","INCINRT_EGY",503000
2021,"EN_MWT_TREATV","Azerbaijan","LANDFILCTL",272000
2021,"EN_MWT_TREATV","Azerbaijan","INCINRT",549000
2000,"EN_MWT_TREATV","Austria","INCINRT",0
2000,"EN_MWT_TREATV","Austria","INCINRT_EGY",522000
2001,"EN_MWT_TREATV","Austria","INCINRT_EGY",521000
2001,"EN_MWT_TREATV","Austria","INCINRT",0
2019,"EN_MWT_TREATV","Liechtenstein","INCINRT_EGY",0
2019,"EN_MWT_TREATV","Liechtenstein","COMPOST",5857.418
2019,"EN_MWT_TREATV","Liechtenstein","INCINRT",0
2019,"EN_MWT_TREATV","Liechtenstein","LANDFIL",0
2000,"EN_MWT_TREATV","Lithuania","INCINRT",0
2000,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2001,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2001,"EN_MWT_TREATV","Lithuania","INCINRT",0
2002,"EN_MWT_TREATV","Lithuania","INCINRT",0
2002,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2003,"EN_MWT_TREATV","Lithuania","INCINRT",0
2003,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2004,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2002,"EN_MWT_TREATV","Austria","INCINRT_EGY",530000
2002,"EN_MWT_TREATV","Austria","INCINRT",0
2003,"EN_MWT_TREATV","Austria","INCINRT_EGY",592000
2003,"EN_MWT_TREATV","Austria","INCINRT",0
2004,"EN_MWT_TREATV","Austria","INCINRT",0
2004,"EN_MWT_TREATV","Austria","INCINRT_EGY",1380000
2005,"EN_MWT_TREATV","Austria","INCINRT",0
2005,"EN_MWT_TREATV","Austria","INCINRT_EGY",1310000
2006,"EN_MWT_TREATV","Austria","INCINRT",0
2006,"EN_MWT_TREATV","Austria","INCINRT_EGY",1430000
2007,"EN_MWT_TREATV","Austria","INCINRT_EGY",1453000
2007,"EN_MWT_TREATV","Austria","INCINRT",0
2008,"EN_MWT_TREATV","Austria","INCINRT",0
2004,"EN_MWT_TREATV","Lithuania","INCINRT",0
2005,"EN_MWT_TREATV","Lithuania","INCINRT",0
2005,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2006,"EN_MWT_TREATV","Lithuania","INCINRT",0
2006,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2007,"EN_MWT_TREATV","Lithuania","INCINRT",0
2007,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2008,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2008,"EN_MWT_TREATV","Lithuania","INCINRT",0
2009,"EN_MWT_TREATV","Lithuania","INCINRT",0
2009,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2010,"EN_MWT_TREATV","Lithuania","INCINRT",0
2010,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",1000
2011,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",7000
2011,"EN_MWT_TREATV","Lithuania","INCINRT",2000
2012,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",0
2012,"EN_MWT_TREATV","Lithuania","INCINRT",0
2013,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",92000
2013,"EN_MWT_TREATV","Lithuania","INCINRT",0
2014,"EN_MWT_TREATV","Lithuania","INCINRT",0
2014,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",113000
2015,"EN_MWT_TREATV","Lithuania","INCINRT",0
