Year,GeoAreaName,Age,Location,Sex,Value
2011,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.6
2011,Croatia,<15Y,ALLAREA,BOTHSEX,0.58724
2011,Croatia,ALLAGE,URBAN,BOTHSEX,0.4871
2011,Croatia,ALLAGE,ALLAREA,MALE,0.81276
2011,Croatia,65+,ALLAREA,BOTHSEX,0.34952
2011,Croatia,ALLAGE,ALLAREA,FEMALE,0.60154
2011,Croatia,ALLAGE,RURAL,BOTHSEX,0.90987
2016,Montenegro,ALLAGE,ALLAREA,MALE,3.09465
2016,Montenegro,ALLAGE,ALLAREA,FEMALE,2.73793
2016,Montenegro,65+,ALLAREA,BOTHSEX,0.76936
2016,Montenegro,15-64,ALLAREA,BOTHSEX,2.75455
2016,Montenegro,<15Y,ALLAREA,BOTHSEX,5.43437
2016,Montenegro,ALLAGE,ALLAREA,BOTHSEX,2.5
2017,Montenegro,ALLAGE,ALLAREA,BOTHSEX,3.3
2017,Montenegro,ALLAGE,URBAN,BOTHSEX,2.91836
2017,Montenegro,ALLAGE,RURAL,BOTHSEX,5.92658
2009,Hungary,ALLAGE,RURAL,BOTHSEX,0.08147
2009,Hungary,ALLAGE,URBAN,BOTHSEX,0.07174
2010,Hungary,15-64,ALLAREA,BOTHSEX,0.13363
2010,Hungary,65+,ALLAREA,BOTHSEX,0.06044
2010,Hungary,ALLAGE,ALLAREA,FEMALE,0.14172
2010,Hungary,ALLAGE,ALLAREA,MALE,0.10183
2010,Hungary,ALLAGE,RURAL,BOTHSEX,0.10064
2010,Hungary,ALLAGE,URBAN,BOTHSEX,0.14322
2010,Hungary,<15Y,ALLAREA,BOTHSEX,0.14604
2012,Croatia,<15Y,ALLAREA,BOTHSEX,0.99337
2012,Croatia,15-64,ALLAREA,BOTHSEX,0.87152
2012,Croatia,65+,ALLAREA,BOTHSEX,0.5482
2012,Croatia,ALLAGE,ALLAREA,FEMALE,0.74213
2012,Croatia,ALLAGE,ALLAREA,MALE,0.92147
2012,Croatia,ALLAGE,RURAL,BOTHSEX,1.13541
2012,Croatia,ALLAGE,URBAN,BOTHSEX,0.57416
2012,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.8
2013,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.7
2017,Montenegro,ALLAGE,ALLAREA,MALE,3.83513
2017,Montenegro,ALLAGE,ALLAREA,FEMALE,4.14393
2017,Montenegro,65+,ALLAREA,BOTHSEX,0.9207
2017,Montenegro,15-64,ALLAREA,BOTHSEX,3.90099
2017,Montenegro,<15Y,ALLAREA,BOTHSEX,6.32738
2018,Montenegro,<15Y,ALLAREA,BOTHSEX,4.73384
2018,Montenegro,ALLAGE,URBAN,BOTHSEX,1.76243
2018,Montenegro,ALLAGE,RURAL,BOTHSEX,4.9446
2018,Montenegro,ALLAGE,ALLAREA,MALE,2.91803
2010,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.1
2011,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.1
2011,Hungary,ALLAGE,URBAN,BOTHSEX,0.09812
2011,Hungary,ALLAGE,RURAL,BOTHSEX,0.12585
2011,Hungary,ALLAGE,ALLAREA,MALE,0.12698
2011,Hungary,<15Y,ALLAREA,BOTHSEX,0.07511
2011,Hungary,15-64,ALLAREA,BOTHSEX,0.14163
2011,Hungary,65+,ALLAREA,BOTHSEX,0
2011,Hungary,ALLAGE,ALLAREA,FEMALE,0.0917
2012,Hungary,15-64,ALLAREA,BOTHSEX,0.46868
2012,Hungary,65+,ALLAREA,BOTHSEX,0.07881
2012,Hungary,ALLAGE,ALLAREA,FEMALE,0.27879
2012,Hungary,ALLAGE,ALLAREA,MALE,0.46533
2012,Hungary,ALLAGE,RURAL,BOTHSEX,0.37683
2012,Hungary,ALLAGE,URBAN,BOTHSEX,0.36173
2012,Hungary,<15Y,ALLAREA,BOTHSEX,0.22252
2012,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.3
2013,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.2
2020,Albania,15-64,ALLAREA,BOTHSEX,0.01869
2020,Albania,65+,ALLAREA,BOTHSEX,0
2020,Albania,ALLAGE,ALLAREA,FEMALE,0.02545
2020,Albania,ALLAGE,ALLAREA,MALE,0.01708
1995,Azerbaijan,ALLAGE,ALLAREA,BOTHSEX,12.4
2001,Azerbaijan,ALLAGE,ALLAREA,BOTHSEX,6.2
2002,Azerbaijan,ALLAGE,ALLAREA,BOTHSEX,0.1
2002,Azerbaijan,<15Y,ALLAREA,BOTHSEX,0.14974
2002,Azerbaijan,15-64,ALLAREA,BOTHSEX,0.05659
2013,Hungary,<15Y,ALLAREA,BOTHSEX,0.10098
2013,Hungary,15-64,ALLAREA,BOTHSEX,0.20739
2013,Hungary,65+,ALLAREA,BOTHSEX,0.1344
2013,Hungary,ALLAGE,ALLAREA,FEMALE,0.169
2013,Hungary,ALLAGE,ALLAREA,MALE,0.19279
2013,Hungary,ALLAGE,RURAL,BOTHSEX,0.15951
2013,Hungary,ALLAGE,URBAN,BOTHSEX,0.19395
2014,Hungary,<15Y,ALLAREA,BOTHSEX,0.4351
2014,Hungary,15-64,ALLAREA,BOTHSEX,0.8378
2013,Croatia,<15Y,ALLAREA,BOTHSEX,0.78649
2013,Croatia,15-64,ALLAREA,BOTHSEX,0.8892
2013,Croatia,65+,ALLAREA,BOTHSEX,0.33461
2013,Croatia,ALLAGE,ALLAREA,MALE,0.85714
2013,Croatia,ALLAGE,RURAL,BOTHSEX,1.29421
2013,Croatia,ALLAGE,URBAN,BOTHSEX,0.31169
2013,Croatia,ALLAGE,ALLAREA,FEMALE,0.6932
2014,Croatia,15-64,ALLAREA,BOTHSEX,1.13575
2014,Croatia,65+,ALLAREA,BOTHSEX,0.55329
2014,Hungary,65+,ALLAREA,BOTHSEX,0.33239
2014,Hungary,ALLAGE,ALLAREA,FEMALE,0.58199
2014,Hungary,ALLAGE,ALLAREA,MALE,0.81812
2014,Hungary,ALLAGE,RURAL,BOTHSEX,0.52834
2014,Hungary,ALLAGE,URBAN,BOTHSEX,0.84195
2014,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.7
2015,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.6
2015,Hungary,<15Y,ALLAREA,BOTHSEX,0.49499
2015,Hungary,15-64,ALLAREA,BOTHSEX,1.19512
2015,Hungary,65+,ALLAREA,BOTHSEX,0.26633
2015,Hungary,ALLAGE,ALLAREA,MALE,0.92048
2015,Hungary,ALLAGE,RURAL,BOTHSEX,0.9278
2015,Hungary,ALLAGE,URBAN,BOTHSEX,0.92748
2015,Hungary,ALLAGE,ALLAREA,FEMALE,0.93412
2016,Hungary,<15Y,ALLAREA,BOTHSEX,0.83117
2016,Hungary,15-64,ALLAREA,BOTHSEX,2.41046
2016,Hungary,65+,ALLAREA,BOTHSEX,2.11747
2016,Hungary,ALLAGE,ALLAREA,FEMALE,2.1684
2016,Hungary,ALLAGE,ALLAREA,MALE,2.10819
2016,Hungary,ALLAGE,RURAL,BOTHSEX,1.66007
2016,Hungary,ALLAGE,URBAN,BOTHSEX,2.3736
2016,Hungary,ALLAGE,ALLAREA,BOTHSEX,1.3
2017,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.6
2017,Hungary,<15Y,ALLAREA,BOTHSEX,0.23602
2017,Hungary,15-64,ALLAREA,BOTHSEX,0.88126
2017,Hungary,ALLAGE,ALLAREA,FEMALE,0.73292
2017,Hungary,ALLAGE,ALLAREA,MALE,0.62316
2017,Hungary,ALLAGE,RURAL,BOTHSEX,0.87859
2017,Hungary,ALLAGE,URBAN,BOTHSEX,0.58314
2017,Hungary,65+,ALLAREA,BOTHSEX,0.31509
2018,Hungary,<15Y,ALLAREA,BOTHSEX,0.06839
2018,Hungary,15-64,ALLAREA,BOTHSEX,0.5269
2018,Hungary,65+,ALLAREA,BOTHSEX,0.17284
2018,Hungary,ALLAGE,ALLAREA,FEMALE,0.32039
2018,Hungary,ALLAGE,ALLAREA,MALE,0.47317
2018,Hungary,ALLAGE,RURAL,BOTHSEX,0.19324
2018,Hungary,ALLAGE,URBAN,BOTHSEX,0.49335
2018,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.2
2019,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.3
2019,Hungary,65+,ALLAREA,BOTHSEX,0.10012
2019,Hungary,15-64,ALLAREA,BOTHSEX,0.37167
2019,Hungary,<15Y,ALLAREA,BOTHSEX,0.59212
2019,Hungary,ALLAGE,ALLAREA,FEMALE,0.29507
2019,Hungary,ALLAGE,ALLAREA,MALE,0.39829
2019,Hungary,ALLAGE,RURAL,BOTHSEX,0.29069
2014,Croatia,ALLAGE,ALLAREA,FEMALE,0.98749
2014,Croatia,ALLAGE,ALLAREA,MALE,1.01616
2014,Croatia,ALLAGE,RURAL,BOTHSEX,1.5381
2014,Croatia,ALLAGE,URBAN,BOTHSEX,0.53613
2014,Croatia,ALLAGE,ALLAREA,BOTHSEX,1
2015,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.6
2015,Croatia,<15Y,ALLAREA,BOTHSEX,0.34684
2015,Croatia,ALLAGE,ALLAREA,MALE,0.69595
2015,Croatia,ALLAGE,ALLAREA,FEMALE,0.59311
2019,Hungary,ALLAGE,URBAN,BOTHSEX,0.37013
2020,Hungary,<15Y,ALLAREA,BOTHSEX,0.11986
2020,Hungary,15-64,ALLAREA,BOTHSEX,0.59659
2020,Hungary,65+,ALLAREA,BOTHSEX,0.42714
2020,Hungary,ALLAGE,ALLAREA,FEMALE,0.40407
2020,Hungary,ALLAGE,ALLAREA,MALE,0.59729
2020,Hungary,ALLAGE,RURAL,BOTHSEX,0.29764
2020,Hungary,ALLAGE,URBAN,BOTHSEX,0.58852
2020,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.4
2018,Montenegro,ALLAGE,ALLAREA,FEMALE,2.87483
2018,Montenegro,65+,ALLAREA,BOTHSEX,0.67567
2018,Montenegro,15-64,ALLAREA,BOTHSEX,2.86565
2018,Montenegro,ALLAGE,ALLAREA,BOTHSEX,2.8
1983,Netherlands,ALLAGE,ALLAREA,BOTHSEX,0.5
1987,Netherlands,ALLAGE,ALLAREA,BOTHSEX,0.2
1990,Netherlands,ALLAGE,ALLAREA,BOTHSEX,1
1993,Netherlands,ALLAGE,ALLAREA,BOTHSEX,1.2
1999,Netherlands,ALLAGE,ALLAREA,BOTHSEX,0.2
2002,Azerbaijan,65+,ALLAREA,BOTHSEX,0.03953
2002,Azerbaijan,ALLAGE,ALLAREA,FEMALE,0.08965
2002,Azerbaijan,ALLAGE,ALLAREA,MALE,0.06846
2002,Azerbaijan,ALLAGE,RURAL,BOTHSEX,0.17156
2002,Azerbaijan,ALLAGE,URBAN,BOTHSEX,0
2003,Azerbaijan,<15Y,ALLAREA,BOTHSEX,0.05746
2003,Azerbaijan,15-64,ALLAREA,BOTHSEX,0.05421
2003,Azerbaijan,65+,ALLAREA,BOTHSEX,0
2003,Azerbaijan,ALLAGE,ALLAREA,FEMALE,0.05689
2015,Croatia,65+,ALLAREA,BOTHSEX,0.2651
2015,Croatia,15-64,ALLAREA,BOTHSEX,0.8174
2015,Croatia,ALLAGE,RURAL,BOTHSEX,0.66413
2015,Croatia,ALLAGE,URBAN,BOTHSEX,0.62685
2016,Croatia,<15Y,ALLAREA,BOTHSEX,0.47475
2016,Croatia,15-64,ALLAREA,BOTHSEX,0.81511
2016,Croatia,65+,ALLAREA,BOTHSEX,0.34765
2016,Croatia,ALLAGE,ALLAREA,MALE,0.68475
2016,Croatia,ALLAGE,RURAL,BOTHSEX,0.88173
2003,Iceland,ALLAGE,ALLAREA,BOTHSEX,0
2003,Iceland,<15Y,ALLAREA,BOTHSEX,0.1386
2003,Iceland,15-64,ALLAREA,BOTHSEX,0.06749
2003,Iceland,65+,ALLAREA,BOTHSEX,0
2003,Iceland,ALLAGE,ALLAREA,FEMALE,0.07429
2003,Iceland,ALLAGE,ALLAREA,MALE,0.07575
2003,Iceland,ALLAGE,RURAL,BOTHSEX,0
2003,Iceland,ALLAGE,URBAN,BOTHSEX,0.11768
2004,Iceland,<15Y,ALLAREA,BOTHSEX,0.45867
2004,Iceland,15-64,ALLAREA,BOTHSEX,0.28902
2004,Iceland,65+,ALLAREA,BOTHSEX,0
2004,Iceland,ALLAGE,RURAL,BOTHSEX,0.31037
2004,Iceland,ALLAGE,ALLAREA,MALE,0.36565
2004,Iceland,ALLAGE,ALLAREA,FEMALE,0.22846
2004,Iceland,ALLAGE,URBAN,BOTHSEX,0.28982
2004,Iceland,ALLAGE,ALLAREA,BOTHSEX,0.2
2005,Iceland,ALLAGE,ALLAREA,BOTHSEX,0
2005,Iceland,<15Y,ALLAREA,BOTHSEX,0.24201
2005,Iceland,15-64,ALLAREA,BOTHSEX,0.33928
2016,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.6
2017,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.5
2017,Croatia,<15Y,ALLAREA,BOTHSEX,0.64256
2017,Croatia,15-64,ALLAREA,BOTHSEX,0.60598
2017,Croatia,65+,ALLAREA,BOTHSEX,0.2936
2017,Croatia,ALLAGE,ALLAREA,FEMALE,0.50011
2017,Croatia,ALLAGE,ALLAREA,MALE,0.59248
2017,Croatia,ALLAGE,RURAL,BOTHSEX,0.79393
2017,Croatia,ALLAGE,URBAN,BOTHSEX,0.38925
2003,Azerbaijan,ALLAGE,ALLAREA,MALE,0.04382
2003,Azerbaijan,ALLAGE,RURAL,BOTHSEX,0.10915
2003,Azerbaijan,ALLAGE,URBAN,BOTHSEX,0
2003,Azerbaijan,ALLAGE,ALLAREA,BOTHSEX,0.1
2004,Azerbaijan,ALLAGE,ALLAREA,BOTHSEX,0
2004,Azerbaijan,<15Y,ALLAREA,BOTHSEX,0
2004,Azerbaijan,15-64,ALLAREA,BOTHSEX,0
2004,Azerbaijan,65+,ALLAREA,BOTHSEX,0
2004,Azerbaijan,ALLAGE,ALLAREA,FEMALE,0
2005,Iceland,65+,ALLAREA,BOTHSEX,0
2005,Iceland,ALLAGE,ALLAREA,FEMALE,0.33232
2005,Iceland,ALLAGE,ALLAREA,MALE,0.23155
2005,Iceland,ALLAGE,RURAL,BOTHSEX,0.372
2005,Iceland,ALLAGE,URBAN,BOTHSEX,0.22954
2006,Iceland,<15Y,ALLAREA,BOTHSEX,0.23264
2006,Iceland,15-64,ALLAREA,BOTHSEX,0.11677
2006,Iceland,65+,ALLAREA,BOTHSEX,0.17027
2006,Iceland,ALLAGE,ALLAREA,FEMALE,0.1633
2018,Croatia,<15Y,ALLAREA,BOTHSEX,0.47209
2018,Croatia,15-64,ALLAREA,BOTHSEX,0.52924
2018,Croatia,65+,ALLAREA,BOTHSEX,0.25783
2018,Croatia,ALLAGE,ALLAREA,FEMALE,0.40332
2018,Croatia,ALLAGE,ALLAREA,MALE,0.52579
2018,Croatia,ALLAGE,URBAN,BOTHSEX,0.18384
2018,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.4
2019,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.3
2019,Croatia,<15Y,ALLAREA,BOTHSEX,0.2631
2004,Netherlands,ALLAGE,ALLAREA,BOTHSEX,0.2
2004,Netherlands,ALLAGE,ALLAREA,MALE,0.83936
2004,Netherlands,ALLAGE,ALLAREA,FEMALE,0.73631
2004,Netherlands,65+,ALLAREA,BOTHSEX,0.35588
2004,Netherlands,15-64,ALLAREA,BOTHSEX,0.76402
2004,Netherlands,<15Y,ALLAREA,BOTHSEX,1.20442
2005,Netherlands,ALLAGE,ALLAREA,FEMALE,0.78548
2005,Netherlands,ALLAGE,ALLAREA,MALE,0.72134
2005,Netherlands,65+,ALLAREA,BOTHSEX,0.06287
2006,Iceland,ALLAGE,ALLAREA,MALE,0.13073
2006,Iceland,ALLAGE,RURAL,BOTHSEX,0.1139
2006,Iceland,ALLAGE,URBAN,BOTHSEX,0.16525
2006,Iceland,ALLAGE,ALLAREA,BOTHSEX,0.1
2007,Iceland,ALLAGE,ALLAREA,BOTHSEX,0.1
2007,Iceland,<15Y,ALLAREA,BOTHSEX,0.0971
2007,Iceland,15-64,ALLAREA,BOTHSEX,0.21296
2007,Iceland,65+,ALLAREA,BOTHSEX,0.12995
2007,Iceland,ALLAGE,ALLAREA,FEMALE,0.14243
2004,Azerbaijan,ALLAGE,ALLAREA,MALE,0
2004,Azerbaijan,ALLAGE,RURAL,BOTHSEX,0
2004,Azerbaijan,ALLAGE,URBAN,BOTHSEX,0
2005,Azerbaijan,<15Y,ALLAREA,BOTHSEX,0
2005,Azerbaijan,65+,ALLAREA,BOTHSEX,0
2005,Azerbaijan,ALLAGE,ALLAREA,FEMALE,0
2005,Azerbaijan,ALLAGE,ALLAREA,MALE,0
2005,Azerbaijan,ALLAGE,RURAL,BOTHSEX,0
2005,Azerbaijan,ALLAGE,URBAN,BOTHSEX,0
2005,Netherlands,15-64,ALLAREA,BOTHSEX,0.68742
2005,Netherlands,<15Y,ALLAREA,BOTHSEX,1.56795
2005,Netherlands,ALLAGE,ALLAREA,BOTHSEX,0.1
2006,Netherlands,ALLAGE,ALLAREA,BOTHSEX,0
2006,Netherlands,ALLAGE,ALLAREA,MALE,0.68601
2006,Netherlands,ALLAGE,ALLAREA,FEMALE,0.55505
2006,Netherlands,65+,ALLAREA,BOTHSEX,0.13189
2006,Netherlands,15-64,ALLAREA,BOTHSEX,0.62046
2006,Netherlands,<15Y,ALLAREA,BOTHSEX,1.02816
2019,Croatia,ALLAGE,ALLAREA,FEMALE,0.29217
2019,Croatia,65+,ALLAREA,BOTHSEX,0.32633
2019,Croatia,15-64,ALLAREA,BOTHSEX,0.28829
2019,Croatia,ALLAGE,ALLAREA,MALE,0.29435
2019,Croatia,ALLAGE,RURAL,BOTHSEX,0.25996
2019,Croatia,ALLAGE,URBAN,BOTHSEX,0.31238
2020,Croatia,<15Y,ALLAREA,BOTHSEX,0.27458
2020,Croatia,15-64,ALLAREA,BOTHSEX,0.36587
2020,Croatia,65+,ALLAREA,BOTHSEX,0.27729
2007,Iceland,ALLAGE,ALLAREA,MALE,0.21651
2007,Iceland,ALLAGE,RURAL,BOTHSEX,0.10313
2007,Iceland,ALLAGE,URBAN,BOTHSEX,0.22452
2008,Iceland,15-64,ALLAREA,BOTHSEX,0.20902
2008,Iceland,ALLAGE,ALLAREA,MALE,0.32488
2008,Iceland,ALLAGE,RURAL,BOTHSEX,0.16358
2008,Iceland,ALLAGE,URBAN,BOTHSEX,0.19916
2008,Iceland,ALLAGE,ALLAREA,FEMALE,0.04424
2008,Iceland,65+,ALLAREA,BOTHSEX,0
2008,Iceland,<15Y,ALLAREA,BOTHSEX,0.22341
2008,Iceland,ALLAGE,ALLAREA,BOTHSEX,0.1
2009,Iceland,ALLAGE,ALLAREA,BOTHSEX,0.1
2009,Iceland,<15Y,ALLAREA,BOTHSEX,0.09474
2009,Iceland,15-64,ALLAREA,BOTHSEX,0.2391
2009,Iceland,65+,ALLAREA,BOTHSEX,0.10936
2009,Iceland,ALLAGE,ALLAREA,FEMALE,0.18768
2009,Iceland,ALLAGE,ALLAREA,MALE,0.19875
2009,Iceland,ALLAGE,RURAL,BOTHSEX,0.3644
2007,Netherlands,ALLAGE,ALLAREA,MALE,0.5268
2007,Netherlands,ALLAGE,ALLAREA,FEMALE,0.55709
2007,Netherlands,65+,ALLAREA,BOTHSEX,0.37289
2007,Netherlands,15-64,ALLAREA,BOTHSEX,0.57449
2007,Netherlands,<15Y,ALLAREA,BOTHSEX,0.56269
2007,Netherlands,ALLAGE,ALLAREA,BOTHSEX,0
2008,Netherlands,ALLAGE,ALLAREA,BOTHSEX,0.1
2008,Netherlands,ALLAGE,ALLAREA,MALE,0.46461
2008,Netherlands,ALLAGE,ALLAREA,FEMALE,0.47177
2020,Croatia,ALLAGE,ALLAREA,FEMALE,0.29557
2020,Croatia,ALLAGE,ALLAREA,MALE,0.3744
2020,Croatia,ALLAGE,RURAL,BOTHSEX,0.45497
2020,Croatia,ALLAGE,URBAN,BOTHSEX,0.26505
2020,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.3
2004,Cyprus,ALLAGE,ALLAREA,BOTHSEX,0.1
2004,Cyprus,<15Y,ALLAREA,BOTHSEX,0.06388
2004,Cyprus,15-64,ALLAREA,BOTHSEX,0.05311
2004,Cyprus,65+,ALLAREA,BOTHSEX,0.36114
2009,Iceland,ALLAGE,URBAN,BOTHSEX,0.09429
2010,Iceland,<15Y,ALLAREA,BOTHSEX,0.41531
2010,Iceland,15-64,ALLAREA,BOTHSEX,0.37289
2010,Iceland,65+,ALLAREA,BOTHSEX,0.43091
2010,Iceland,ALLAGE,ALLAREA,FEMALE,0.29309
2010,Iceland,ALLAGE,ALLAREA,MALE,0.485
2010,Iceland,ALLAGE,RURAL,BOTHSEX,0.24058
2010,Iceland,ALLAGE,URBAN,BOTHSEX,0.47421
2010,Iceland,ALLAGE,ALLAREA,BOTHSEX,0.1
2004,Cyprus,ALLAGE,ALLAREA,FEMALE,0.09878
2004,Cyprus,ALLAGE,ALLAREA,MALE,0.08923
2004,Cyprus,ALLAGE,RURAL,BOTHSEX,0.10104
2004,Cyprus,ALLAGE,URBAN,BOTHSEX,0.09102
2005,Cyprus,<15Y,ALLAREA,BOTHSEX,0
2005,Cyprus,15-64,ALLAREA,BOTHSEX,0.00905
2005,Cyprus,65+,ALLAREA,BOTHSEX,0
2005,Cyprus,ALLAGE,ALLAREA,FEMALE,0.01254
2005,Cyprus,ALLAGE,ALLAREA,MALE,0
2005,Cyprus,ALLAGE,URBAN,BOTHSEX,0.00901
2005,Cyprus,ALLAGE,RURAL,BOTHSEX,0
2005,Cyprus,ALLAGE,ALLAREA,BOTHSEX,0
2006,Cyprus,ALLAGE,ALLAREA,BOTHSEX,0
2006,Cyprus,<15Y,ALLAREA,BOTHSEX,0
2006,Cyprus,65+,ALLAREA,BOTHSEX,0
2006,Cyprus,ALLAGE,ALLAREA,FEMALE,0.03589
2006,Cyprus,ALLAGE,ALLAREA,MALE,0
2006,Cyprus,ALLAGE,RURAL,BOTHSEX,0
