Year,SeriesCode,Country,Activity,Value
2019,EN_ATM_CO2MVA,Bosnia and Herzegovina,ISIC4_C,0.991
2020,EN_ATM_CO2MVA,Bosnia and Herzegovina,ISIC4_C,0.613
2000,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,2.152
2001,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,1.983
2002,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,1.778
2003,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,1.71
2004,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,1.65
2005,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,1.506
2006,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,1.38
2007,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,1.281
2008,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.905
2009,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.551
2010,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.624
2011,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.567
2012,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.469
2013,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.496
2014,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.493
2015,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.494
2016,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.491
2017,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.572
2018,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.611
2019,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.57
2020,EN_ATM_CO2MVA,Bulgaria,ISIC4_C,0.621
2000,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.68
2000,EN_ATM_CO2MVA,Norway,ISIC4_C,0.274
2001,EN_ATM_CO2MVA,Norway,ISIC4_C,0.258
2002,EN_ATM_CO2MVA,Norway,ISIC4_C,0.223
2003,EN_ATM_CO2MVA,Norway,ISIC4_C,0.271
2004,EN_ATM_CO2MVA,Norway,ISIC4_C,0.268
2005,EN_ATM_CO2MVA,Norway,ISIC4_C,0.228
2006,EN_ATM_CO2MVA,Norway,ISIC4_C,0.221
2007,EN_ATM_CO2MVA,Norway,ISIC4_C,0.207
2001,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.656
2002,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.599
2003,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.613
2004,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.554
2005,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.498
2006,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.436
2007,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.431
2008,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.397
2009,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.368
2010,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.357
2011,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.341
2012,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.354
2013,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.38
2014,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.391
2015,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.348
2016,EN_ATM_CO2MVA,Belarus,ISIC4_C,0.357
2008,EN_ATM_CO2MVA,Norway,ISIC4_C,0.205
2009,EN_ATM_CO2MVA,Norway,ISIC4_C,0.181
