Year,SeriesCode,Country,Age,Sex,Value
2006,IC_GEN_MGTL_19ICLS,Austria,,Female,27.92
2007,IC_GEN_MGTL_19ICLS,Austria,,Female,26.16
2008,IC_GEN_MGTL_19ICLS,Austria,,Female,28.12
2009,IC_GEN_MGTL_19ICLS,Austria,,Female,27.35
2010,IC_GEN_MGTL_19ICLS,Austria,,Female,28.92
2011,IC_GEN_MGTL_19ICLS,Austria,,Female,27.5
2012,IC_GEN_MGTL_19ICLS,Austria,,Female,30.08
2013,IC_GEN_MGTL_19ICLS,Austria,,Female,29.35
2014,IC_GEN_MGTL_19ICLS,Austria,,Female,30.31
2015,IC_GEN_MGTL_19ICLS,Austria,,Female,29.68
2016,IC_GEN_MGTL_19ICLS,Austria,,Female,31.79
2017,IC_GEN_MGTL_19ICLS,Austria,,Female,31.8
2018,IC_GEN_MGTL_19ICLS,Austria,,Female,31.59
2019,IC_GEN_MGTL_19ICLS,Austria,,Female,33.24
2020,IC_GEN_MGTL_19ICLS,Austria,,Female,32.79
2021,IC_GEN_MGTL_19ICLS,Austria,,Female,35.45
2018,IC_GEN_MGTL_19ICLS,Armenia,,Female,25.84
2019,IC_GEN_MGTL_19ICLS,Armenia,,Female,26.19
2020,IC_GEN_MGTL_19ICLS,Armenia,,Female,30.86
2000,IC_GEN_MGTL_19ICLS,Belgium,,Female,32.07
2001,IC_GEN_MGTL_19ICLS,Belgium,,Female,32.88
2002,IC_GEN_MGTL_19ICLS,Belgium,,Female,31.8
2003,IC_GEN_MGTL_19ICLS,Belgium,,Female,29.9
2004,IC_GEN_MGTL_19ICLS,Belgium,,Female,29.88
2005,IC_GEN_MGTL_19ICLS,Belgium,,Female,31.81
2006,IC_GEN_MGTL_19ICLS,Belgium,,Female,31.47
2007,IC_GEN_MGTL_19ICLS,Belgium,,Female,33.84
2008,IC_GEN_MGTL_19ICLS,Belgium,,Female,32.68
2009,IC_GEN_MGTL_19ICLS,Belgium,,Female,33.99
2010,IC_GEN_MGTL_19ICLS,Belgium,,Female,34.1
2011,IC_GEN_MGTL_19ICLS,Belgium,,Female,29.9
2012,IC_GEN_MGTL_19ICLS,Belgium,,Female,32.44
2013,IC_GEN_MGTL_19ICLS,Belgium,,Female,31.42
