Year,Gender,Country Name,Value
2003,Male,Spain,76.4
2004,Male,Spain,76.7
2005,Male,Spain,77.0
2006,Male,Spain,77.7
2007,Male,Spain,77.8
2008,Male,Spain,78.2
2009,Male,Spain,78.5
2010,Male,Spain,78.7
2011,Male,Spain,79.5
2012,Male,Spain,79.5
2013,Male,Spain,80.2
2014,Male,Spain,80.4
2015,Male,Spain,80.1
2016,Male,Spain,80.5
2017,Male,Spain,80.6
2018,Male,Spain,80.7
2019,Male,Spain,81.1
2020,Male,Spain,79.6
2021,Male,Spain,80.3
1998,Female,Sweden,81.9
1999,Female,Sweden,81.9
2000,Female,Sweden,82.0
2001,Female,Sweden,82.1
2002,Female,Sweden,82.1
2003,Female,Sweden,82.4
2004,Female,Sweden,82.7
2005,Female,Sweden,82.8
2006,Female,Sweden,82.9
2007,Female,Sweden,83.0
2008,Female,Sweden,83.2
2009,Female,Sweden,83.4
2010,Female,Sweden,83.5
2011,Female,Sweden,83.8
2012,Female,Sweden,83.6
2013,Female,Sweden,83.8
2014,Female,Sweden,84.2
2015,Female,Sweden,84.1
2016,Female,Sweden,84.1
2017,Female,Sweden,84.1
2018,Female,Sweden,84.3
2019,Female,Sweden,84.8
2020,Female,Sweden,84.2
2021,Female,Sweden,85.0
1998,Total,Sweden,79.33902439
1999,Total,Sweden,79.44146341
2000,Total,Sweden,79.64390244
2001,Total,Sweden,79.79512195
2002,Total,Sweden,79.84634146
2003,Total,Sweden,80.09512195
2004,Total,Sweden,80.49756098
2005,Total,Sweden,80.54634146
2006,Total,Sweden,80.74878049
2007,Total,Sweden,80.9
2008,Total,Sweden,81.1
2009,Total,Sweden,81.35121951
2010,Total,Sweden,81.45121951
2011,Total,Sweden,81.80243902
2012,Total,Sweden,81.70487805
2013,Total,Sweden,81.95609756
2014,Total,Sweden,82.25365854
2015,Total,Sweden,82.20487805
2016,Total,Sweden,82.30731707
2017,Total,Sweden,82.4097561
2018,Total,Sweden,82.55853659
2019,Total,Sweden,83.1097561
2020,Total,Sweden,82.35609756
2021,Total,Sweden,83.15609756
1998,Male,Sweden,76.9
1999,Male,Sweden,77.1
2000,Male,Sweden,77.4
2001,Male,Sweden,77.6
2002,Male,Sweden,77.7
2003,Male,Sweden,77.9
2004,Male,Sweden,78.4
2005,Male,Sweden,78.4
2006,Male,Sweden,78.7
2007,Male,Sweden,78.9
2008,Male,Sweden,79.1
2009,Male,Sweden,79.4
2010,Male,Sweden,79.5
2011,Male,Sweden,79.9
2012,Male,Sweden,79.9
2013,Male,Sweden,80.2
2014,Male,Sweden,80.4
2015,Male,Sweden,80.4
2016,Male,Sweden,80.6
2017,Male,Sweden,80.8
2018,Male,Sweden,80.9
2019,Male,Sweden,81.5
2020,Male,Sweden,80.6
2021,Male,Sweden,81.4
1998,Female,Switzerland,82.5
1999,Female,Switzerland,82.5
2000,Female,Switzerland,82.6
2001,Female,Switzerland,83.1
2002,Female,Switzerland,83.1
2003,Female,Switzerland,83.2
2004,Female,Switzerland,83.7
2005,Female,Switzerland,83.9
2006,Female,Switzerland,84.0
2007,Female,Switzerland,84.2
2008,Female,Switzerland,84.4
2009,Female,Switzerland,84.4
2010,Female,Switzerland,84.5
2011,Female,Switzerland,85.0
2012,Female,Switzerland,84.9
2013,Female,Switzerland,85.0
2014,Female,Switzerland,85.4
2015,Female,Switzerland,85.1
2016,Female,Switzerland,85.6
2017,Female,Switzerland,85.6
2018,Female,Switzerland,85.7
2019,Female,Switzerland,85.8
2020,Female,Switzerland,85.1
2021,Female,Switzerland,85.9
1998,Total,Switzerland,79.32439024
1999,Total,Switzerland,79.5804878
2000,Total,Switzerland,79.6804878
2001,Total,Switzerland,80.1804878
2002,Total,Switzerland,80.38536585
2003,Total,Switzerland,80.53658537
2004,Total,Switzerland,81.08780488
2005,Total,Switzerland,81.23658537
2006,Total,Switzerland,81.4902439
2007,Total,Switzerland,81.74146341
2008,Total,Switzerland,81.99268293
2009,Total,Switzerland,82.04390244
2010,Total,Switzerland,82.24634146
2011,Total,Switzerland,82.69512195
2012,Total,Switzerland,82.69756098
2013,Total,Switzerland,82.79756098
2014,Total,Switzerland,83.19756098
2015,Total,Switzerland,82.89756098
2016,Total,Switzerland,83.60243902
2017,Total,Switzerland,83.55121951
2018,Total,Switzerland,83.75365854
2019,Total,Switzerland,83.90487805
2020,Total,Switzerland,83.0
2021,Total,Switzerland,83.85121951
1998,Male,Switzerland,76.3
1999,Male,Switzerland,76.8
2000,Male,Switzerland,76.9
2001,Male,Switzerland,77.4
2002,Male,Switzerland,77.8
2003,Male,Switzerland,78.0
2004,Male,Switzerland,78.6
2005,Male,Switzerland,78.7
2006,Male,Switzerland,79.1
2007,Male,Switzerland,79.4
2008,Male,Switzerland,79.7
2009,Male,Switzerland,79.8
2010,Male,Switzerland,80.1
2011,Male,Switzerland,80.5
2012,Male,Switzerland,80.6
2013,Male,Switzerland,80.7
2014,Male,Switzerland,81.1
2015,Male,Switzerland,80.8
2016,Male,Switzerland,81.7
2017,Male,Switzerland,81.6
2018,Male,Switzerland,81.9
2019,Male,Switzerland,82.1
2020,Male,Switzerland,81.0
2021,Male,Switzerland,81.9
1998,Female,United Kingdom,79.7
1999,Female,United Kingdom,79.9
2000,Female,United Kingdom,80.2
2001,Female,United Kingdom,80.4
2002,Female,United Kingdom,80.5
2003,Female,United Kingdom,80.7
2004,Female,United Kingdom,81.0
2005,Female,United Kingdom,81.2
2006,Female,United Kingdom,81.4
2007,Female,United Kingdom,81.6
2008,Female,United Kingdom,81.7
2009,Female,United Kingdom,82.1
2010,Female,United Kingdom,82.4
2011,Female,United Kingdom,83.0
2012,Female,United Kingdom,82.8
2013,Female,United Kingdom,82.9
2014,Female,United Kingdom,83.2
2015,Female,United Kingdom,82.8
2016,Female,United Kingdom,83.0
2017,Female,United Kingdom,83.1
2018,Female,United Kingdom,83.1
2019,Female,United Kingdom,83.3
2020,Female,United Kingdom,82.4
2021,Female,United Kingdom,82.8
1998,Total,United Kingdom,77.1902439
1999,Total,United Kingdom,77.3902439
2000,Total,United Kingdom,77.74146341
2001,Total,United Kingdom,77.99268293
2002,Total,United Kingdom,78.14390244
2003,Total,United Kingdom,78.44634146
2004,Total,United Kingdom,78.74634146
2005,Total,United Kingdom,79.04878049
2006,Total,United Kingdom,79.24878049
2007,Total,United Kingdom,79.44878049
2008,Total,United Kingdom,79.6
2009,Total,United Kingdom,80.05121951
2010,Total,United Kingdom,80.40243902
2011,Total,United Kingdom,80.95121951
2012,Total,United Kingdom,80.90487805
2013,Total,United Kingdom,81.00487805
2014,Total,United Kingdom,81.30487805
2015,Total,United Kingdom,80.95609756
2016,Total,United Kingdom,81.15609756
2017,Total,United Kingdom,81.25609756
2018,Total,United Kingdom,81.25609756
2019,Total,United Kingdom,81.40487805
2020,Total,United Kingdom,80.35121951
2021,Total,United Kingdom,80.7
1998,Male,United Kingdom,74.8
1999,Male,United Kingdom,75.0
2000,Male,United Kingdom,75.4
2001,Male,United Kingdom,75.7
2002,Male,United Kingdom,75.9
2003,Male,United Kingdom,76.3
2004,Male,United Kingdom,76.6
2005,Male,United Kingdom,77.0
2006,Male,United Kingdom,77.2
2007,Male,United Kingdom,77.4
2008,Male,United Kingdom,77.6
2009,Male,United Kingdom,78.1
2010,Male,United Kingdom,78.5
2011,Male,United Kingdom,79.0
2012,Male,United Kingdom,79.1
2013,Male,United Kingdom,79.2
2014,Male,United Kingdom,79.5
2015,Male,United Kingdom,79.2
2016,Male,United Kingdom,79.4
2017,Male,United Kingdom,79.5
2018,Male,United Kingdom,79.5
2019,Male,United Kingdom,79.6
2020,Male,United Kingdom,78.4
2021,Male,United Kingdom,78.7
