Year,SeriesCode,Country,Age,Location,Sex,Value
2011,SL_DOM_TSPDDC,Albania,65+,All areas,Male,6.18056
2011,SL_DOM_TSPDDC,Albania,10+,All areas,Male,3.125
2011,SL_DOM_TSPDDC,Albania,65+,All areas,Female,17.08333
2011,SL_DOM_TSPDDC,Albania,10+,Rural,Male,3.54167
2011,SL_DOM_TSPDDC,Albania,10+,Rural,Female,21.31944
2011,SL_DOM_TSPDDC,Albania,65+,Rural,Female,18.54167
2011,SL_DOM_TSPDDC,Albania,10+,All areas,Female,18.75
2011,SL_DOM_TSPDDC,Albania,65+,Rural,Male,6.25
2011,SL_DOM_TSPDDC,Albania,10+,Urban,Male,2.56944
2011,SL_DOM_TSPDDC,Albania,65+,Urban,Male,5.97222
2011,SL_DOM_TSPDDC,Albania,10+,Urban,Female,16.38889
2011,SL_DOM_TSPDDC,Albania,65+,Urban,Female,15.83333
2006,SL_DOM_TSPDDC,Australia,15+,All areas,Male,9.375
2006,SL_DOM_TSPDDC,Australia,15+,All areas,Female,15.97222
2021,SL_DOM_TSPDDC,Australia,15+,All areas,Male,9.02778
2021,SL_DOM_TSPDDC,Australia,15+,All areas,Female,12.98611
2009,SL_DOM_TSPDDC,Austria,65+,Rural,Female,20.71649
2009,SL_DOM_TSPDDC,Austria,55-64,Rural,Female,21.65204
2009,SL_DOM_TSPDDC,Austria,10+,All areas,Female,15.43485
2009,SL_DOM_TSPDDC,Austria,10+,Rural,Male,8.55986
2009,SL_DOM_TSPDDC,Austria,15+,Rural,Male,8.95086
2009,SL_DOM_TSPDDC,Austria,15-24,All areas,Female,6.63837
2009,SL_DOM_TSPDDC,Austria,45-54,All areas,Female,17.17911
2009,SL_DOM_TSPDDC,Austria,15+,All areas,Female,16.03486
2009,SL_DOM_TSPDDC,Austria,25-44,All areas,Female,14.60996
2009,SL_DOM_TSPDDC,Austria,10+,All areas,Male,8.18852
2009,SL_DOM_TSPDDC,Austria,65+,All areas,Male,14.23369
2009,SL_DOM_TSPDDC,Austria,15+,Urban,Female,14.45165
2009,SL_DOM_TSPDDC,Austria,10+,Urban,Male,7.51214
2009,SL_DOM_TSPDDC,Austria,65+,Urban,Female,19.91219
2009,SL_DOM_TSPDDC,Austria,15+,Urban,Male,7.9105
2009,SL_DOM_TSPDDC,Austria,55-64,Urban,Female,18.07476
2009,SL_DOM_TSPDDC,Austria,45-54,Urban,Female,15.8097
2009,SL_DOM_TSPDDC,Austria,25-44,Urban,Female,12.82058
2009,SL_DOM_TSPDDC,Austria,45-54,Rural,Male,9.20114
2009,SL_DOM_TSPDDC,Austria,25-44,Rural,Male,6.913
2009,SL_DOM_TSPDDC,Austria,25-44,Rural,Female,15.72228
2009,SL_DOM_TSPDDC,Austria,15-24,Rural,Female,6.96847
2009,SL_DOM_TSPDDC,Austria,45-54,Rural,Female,17.99114
2009,SL_DOM_TSPDDC,Austria,15+,Rural,Female,16.93753
2009,SL_DOM_TSPDDC,Austria,10+,Urban,Female,14.01778
2009,SL_DOM_TSPDDC,Austria,65+,Rural,Male,14.71709
2009,SL_DOM_TSPDDC,Austria,55-64,Rural,Male,11.67599
2009,SL_DOM_TSPDDC,Austria,55-64,All areas,Male,11.22308
2009,SL_DOM_TSPDDC,Austria,45-54,All areas,Male,8.82521
2009,SL_DOM_TSPDDC,Austria,25-44,All areas,Male,6.80029
2009,SL_DOM_TSPDDC,Austria,15-24,All areas,Male,3.7422
2009,SL_DOM_TSPDDC,Austria,15+,All areas,Male,8.58238
2009,SL_DOM_TSPDDC,Austria,55-64,All areas,Female,20.38296
2009,SL_DOM_TSPDDC,Austria,15-24,Rural,Male,4.06856
2009,SL_DOM_TSPDDC,Austria,10+,Rural,Female,16.23056
2011,SL_DOM_TSPDDC,Norway,65+,All areas,Male,15.55417
2011,SL_DOM_TSPDDC,Norway,25-44,Urban,Female,12.775
2011,SL_DOM_TSPDDC,Norway,45-54,Urban,Female,13.33333
2011,SL_DOM_TSPDDC,Norway,55-64,Urban,Female,14.23333
2011,SL_DOM_TSPDDC,Norway,65+,Urban,Female,17.15
2011,SL_DOM_TSPDDC,Norway,15+,Urban,Male,8.5
2011,SL_DOM_TSPDDC,Norway,15-24,Urban,Male,4.44167
2011,SL_DOM_TSPDDC,Norway,25-44,Urban,Male,10.275
2011,SL_DOM_TSPDDC,Norway,45-54,Urban,Male,10.9
2011,SL_DOM_TSPDDC,Norway,55-64,Urban,Male,8.58333
2011,SL_DOM_TSPDDC,Norway,15+,Urban,Female,12.56667
2011,SL_DOM_TSPDDC,Norway,15-24,Urban,Female,6.94167
2011,SL_DOM_TSPDDC,Norway,15+,Rural,Female,13.8875
2011,SL_DOM_TSPDDC,Norway,55-64,All areas,Male,11.45833
2011,SL_DOM_TSPDDC,Norway,15+,All areas,Female,12.53333
2011,SL_DOM_TSPDDC,Norway,15-24,All areas,Female,6.875
2011,SL_DOM_TSPDDC,Norway,16+,All areas,Female,13.05556
2011,SL_DOM_TSPDDC,Norway,65+,Urban,Male,15.1375
2011,SL_DOM_TSPDDC,Norway,25-44,Rural,Male,10.34583
2011,SL_DOM_TSPDDC,Norway,45-54,Rural,Male,10.7625
2011,SL_DOM_TSPDDC,Norway,25-44,All areas,Female,13.05417
2011,SL_DOM_TSPDDC,Norway,45-54,All areas,Female,12.625
2011,SL_DOM_TSPDDC,Norway,55-64,All areas,Female,14.72083
2011,SL_DOM_TSPDDC,Norway,65+,All areas,Female,16.80417
2011,SL_DOM_TSPDDC,Norway,15+,All areas,Male,10.25
2011,SL_DOM_TSPDDC,Norway,15-24,All areas,Male,4.72083
2011,SL_DOM_TSPDDC,Norway,16+,All areas,Male,10.34722
2004,SL_DOM_TSPDDC,Poland,15-64,All areas,Female,17.84722
2004,SL_DOM_TSPDDC,Poland,20-74,All areas,Female,16.94444
2004,SL_DOM_TSPDDC,Poland,15-64,All areas,Male,9.86111
2004,SL_DOM_TSPDDC,Poland,20-74,All areas,Male,8.68056
2013,SL_DOM_TSPDDC,Poland,15-24,Urban,Female,7.29167
2013,SL_DOM_TSPDDC,Poland,25-44,Urban,Female,12.84583
2013,SL_DOM_TSPDDC,Poland,45-54,Urban,Female,15.625
2013,SL_DOM_TSPDDC,Poland,55-64,Urban,Female,17.42917
2013,SL_DOM_TSPDDC,Poland,65+,Urban,Female,16.875
2013,SL_DOM_TSPDDC,Poland,10+,Urban,Male,8.05417
2013,SL_DOM_TSPDDC,Poland,15+,Urban,Male,8.33333
2013,SL_DOM_TSPDDC,Poland,15-24,Urban,Male,4.30417
2013,SL_DOM_TSPDDC,Poland,15-24,Rural,Male,4.8625
2013,SL_DOM_TSPDDC,Poland,25-44,Rural,Male,7.15417
2013,SL_DOM_TSPDDC,Poland,15+,All areas,Male,8.47083
2013,SL_DOM_TSPDDC,Poland,15-24,All areas,Male,4.58333
2013,SL_DOM_TSPDDC,Poland,25-44,All areas,Male,6.66667
