Year,SeriesCode,Country,Food Waste Sector,Value
2019,AG_FOOD_WST,Albania,OOHC,79651.33802
2019,AG_FOOD_WST,Albania,RTL,45057.93456
2019,AG_FOOD_WST,Albania,HHS,238491.7727
2019,AG_FOOD_WST,Albania,All or no breakdown,363201.04528
2019,AG_FOOD_WST,Azerbaijan,RTL,157148.32485
2019,AG_FOOD_WST,Azerbaijan,OOHC,277799.55882
2019,AG_FOOD_WST,Azerbaijan,HHS,934872.32903
2019,AG_FOOD_WST,Azerbaijan,All or no breakdown,1369820.21271
2019,AG_FOOD_WST,Australia,HHS,2563110.26578
2019,AG_FOOD_WST,Australia,All or no breakdown,3347697.57067
2019,AG_FOOD_WST,Australia,OOHC,546339.63441
2019,AG_FOOD_WST,Australia,RTL,238247.67049
2019,AG_FOOD_WST,Austria,RTL,77288.92633
2019,AG_FOOD_WST,Austria,OOHC,254190.70717
2019,AG_FOOD_WST,Austria,HHS,349248.9
2019,AG_FOOD_WST,Austria,All or no breakdown,680728.5335
2019,AG_FOOD_WST,Armenia,OOHC,81774.71015
2019,AG_FOOD_WST,Armenia,HHS,275194.51094
2019,AG_FOOD_WST,Armenia,All or no breakdown,403228.3252
2019,AG_FOOD_WST,Armenia,RTL,46259.10412
2019,AG_FOOD_WST,Belgium,RTL,112100.16873
2019,AG_FOOD_WST,Belgium,OOHC,227371.14388
2019,AG_FOOD_WST,Belgium,HHS,576036.22282
2019,AG_FOOD_WST,Belgium,All or no breakdown,915507.53543
2019,AG_FOOD_WST,Bosnia and Herzegovina,All or no breakdown,416163.92463
2019,AG_FOOD_WST,Bosnia and Herzegovina,RTL,51628.39459
2019,AG_FOOD_WST,Bosnia and Herzegovina,OOHC,91266.29414
2019,AG_FOOD_WST,Bosnia and Herzegovina,HHS,273269.2359
2019,AG_FOOD_WST,Bulgaria,RTL,109483.16419
2019,AG_FOOD_WST,Bulgaria,OOHC,193539.28677
2019,AG_FOOD_WST,Bulgaria,HHS,478667.29649
2019,AG_FOOD_WST,Bulgaria,All or no breakdown,781689.74745
2019,AG_FOOD_WST,Belarus,HHS,646355.73111
2019,AG_FOOD_WST,Belarus,RTL,147837.69677
2019,AG_FOOD_WST,Belarus,OOHC,261340.66003
2019,AG_FOOD_WST,Belarus,All or no breakdown,1055534.08791
2019,AG_FOOD_WST,Canada,RTL,479283.89781
2019,AG_FOOD_WST,Canada,OOHC,956614.90795
2019,AG_FOOD_WST,Canada,HHS,2938320.59533
2019,AG_FOOD_WST,Canada,All or no breakdown,4374219.40109
2019,AG_FOOD_WST,Chile,OOHC,484610.56201
2019,AG_FOOD_WST,Chile,HHS,1400946.42688
2019,AG_FOOD_WST,Chile,All or no breakdown,2128356.92558
2019,AG_FOOD_WST,Chile,RTL,242799.93669
2019,AG_FOOD_WST,China,RTL,22424704.82353
2019,AG_FOOD_WST,China,OOHC,65377740.84179
2019,AG_FOOD_WST,China,HHS,91646212.70629
2019,AG_FOOD_WST,China,All or no breakdown,179448658.3716
2019,AG_FOOD_WST,Colombia,RTL,787319.72333
2019,AG_FOOD_WST,Colombia,OOHC,1391787.48483
2019,AG_FOOD_WST,Colombia,HHS,3545498.98279
2019,AG_FOOD_WST,Colombia,All or no breakdown,5724606.19094
2019,AG_FOOD_WST,Costa Rica,RTL,78945.61786
2019,AG_FOOD_WST,Costa Rica,OOHC,139556.42118
2019,AG_FOOD_WST,Costa Rica,HHS,365608.5846
2019,AG_FOOD_WST,Costa Rica,All or no breakdown,584110.62363
2019,AG_FOOD_WST,Croatia,RTL,52914.55142
2019,AG_FOOD_WST,Croatia,OOHC,105613.49748
2019,AG_FOOD_WST,Croatia,HHS,348070.21242
2019,AG_FOOD_WST,Croatia,All or no breakdown,506598.26132
2019,AG_FOOD_WST,Cyprus,RTL,15355.63551
2019,AG_FOOD_WST,Cyprus,All or no breakdown,159310.421
2019,AG_FOOD_WST,Cyprus,OOHC,30648.70302
2019,AG_FOOD_WST,Cyprus,HHS,113306.08247
2019,AG_FOOD_WST,Czechia,RTL,136942.64897
2019,AG_FOOD_WST,Czechia,OOHC,273327.31213
2019,AG_FOOD_WST,Czechia,HHS,746840.21347
2019,AG_FOOD_WST,Czechia,All or no breakdown,1157110.17456
2019,AG_FOOD_WST,Denmark,RTL,172002.62
2019,AG_FOOD_WST,Denmark,OOHC,119134.266
2019,AG_FOOD_WST,Denmark,HHS,469448.98769
2019,AG_FOOD_WST,Denmark,All or no breakdown,760585.87369
2019,AG_FOOD_WST,Estonia,RTL,6242.79107
2019,AG_FOOD_WST,Estonia,OOHC,22012.57292
2019,AG_FOOD_WST,Estonia,HHS,102743.4957
2019,AG_FOOD_WST,Estonia,All or no breakdown,130998.85969
2019,AG_FOOD_WST,Finland,RTL,70874.72614
2019,AG_FOOD_WST,Finland,OOHC,128927.40238
2019,AG_FOOD_WST,Finland,HHS,361936.9313
2019,AG_FOOD_WST,Finland,All or no breakdown,561739.05982
2019,AG_FOOD_WST,France,HHS,5522358.45303
2019,AG_FOOD_WST,France,RTL,1667567.7439
2019,AG_FOOD_WST,France,OOHC,1594579.43675
2019,AG_FOOD_WST,France,All or no breakdown,8784505.63368
2019,AG_FOOD_WST,Georgia,RTL,62510.86565
2019,AG_FOOD_WST,Georgia,OOHC,110503.82443
2019,AG_FOOD_WST,Georgia,HHS,403572.8832
2019,AG_FOOD_WST,Georgia,All or no breakdown,576587.57328
2019,AG_FOOD_WST,Germany,RTL,498243.85247
2019,AG_FOOD_WST,Germany,OOHC,1718432.87891
2019,AG_FOOD_WST,Germany,HHS,6263775.0
2019,AG_FOOD_WST,Germany,All or no breakdown,8480451.73138
2019,AG_FOOD_WST,Greece,HHS,1483995.91691
2019,AG_FOOD_WST,Greece,RTL,77331.53355
2019,AG_FOOD_WST,Greece,All or no breakdown,1829139.22342
2019,AG_FOOD_WST,Greece,OOHC,267811.77297
2019,AG_FOOD_WST,Hungary,RTL,124073.68862
2019,AG_FOOD_WST,Hungary,OOHC,247641.82724
2019,AG_FOOD_WST,Hungary,HHS,908669.05874
2019,AG_FOOD_WST,Hungary,All or no breakdown,1280384.57461
2019,AG_FOOD_WST,Iceland,RTL,4343.0339
2019,AG_FOOD_WST,Iceland,OOHC,8668.3717
2019,AG_FOOD_WST,Iceland,HHS,25826.8775
2019,AG_FOOD_WST,Iceland,All or no breakdown,38838.28311
2019,AG_FOOD_WST,India,RTL,21371086.74803
2019,AG_FOOD_WST,India,OOHC,37778821.2233
2019,AG_FOOD_WST,India,HHS,68760163.39164
2019,AG_FOOD_WST,India,All or no breakdown,127910071.36298
2019,AG_FOOD_WST,Ireland,All or no breakdown,603758.90043
2019,AG_FOOD_WST,Ireland,HHS,267072.75
2019,AG_FOOD_WST,Ireland,RTL,62551.21839
2019,AG_FOOD_WST,Ireland,OOHC,274134.93204
2019,AG_FOOD_WST,Israel,RTL,437996.93383
2019,AG_FOOD_WST,Israel,OOHC,233752.04784
