Year,SeriesCode,Country,Location,Value
2019,SH_SAN_HNDWSH,Mexico,Rural,92.84516
2019,SH_SAN_HNDWSH,Mexico,All areas,92.84516
2020,SH_SAN_HNDWSH,Mexico,Rural,93.21038
2020,SH_SAN_HNDWSH,Mexico,Urban,93.21038
2020,SH_SAN_HNDWSH,Mexico,All areas,93.21038
2021,SH_SAN_HNDWSH,Mexico,Rural,93.5756
2021,SH_SAN_HNDWSH,Mexico,All areas,93.5756
2021,SH_SAN_HNDWSH,Mexico,Urban,93.5756
2022,SH_SAN_HNDWSH,Mexico,Rural,93.94082
2012,SH_SAN_HNDWSH,Azerbaijan,Rural,87.37166
2012,SH_SAN_HNDWSH,Azerbaijan,Urban,90.86326
2013,SH_SAN_HNDWSH,Azerbaijan,Urban,90.86326
2013,SH_SAN_HNDWSH,Azerbaijan,Rural,87.37166
2013,SH_SAN_HNDWSH,Azerbaijan,All areas,89.26219
2014,SH_SAN_HNDWSH,Azerbaijan,All areas,89.27186
2014,SH_SAN_HNDWSH,Azerbaijan,Urban,90.86326
2014,SH_SAN_HNDWSH,Azerbaijan,Rural,87.37166
2015,SH_SAN_HNDWSH,Azerbaijan,All areas,89.28206
2015,SH_SAN_HNDWSH,Azerbaijan,Urban,90.86326
2022,SH_SAN_HNDWSH,Mexico,All areas,93.94082
2022,SH_SAN_HNDWSH,Mexico,Urban,93.94082
2008,SH_SAN_HNDWSH,Moldova,Urban,93.3631
2008,SH_SAN_HNDWSH,Moldova,Rural,82.25892
2008,SH_SAN_HNDWSH,Moldova,All areas,86.99841
2009,SH_SAN_HNDWSH,Moldova,All areas,86.99496
2009,SH_SAN_HNDWSH,Moldova,Rural,82.25892
2009,SH_SAN_HNDWSH,Moldova,Urban,93.3631
2010,SH_SAN_HNDWSH,Moldova,Rural,82.25892
2010,SH_SAN_HNDWSH,Moldova,All areas,86.99152
2020,SH_SAN_HNDWSH,Armenia,Rural,90.2639
2020,SH_SAN_HNDWSH,Armenia,All areas,94.40664
2020,SH_SAN_HNDWSH,Armenia,Urban,96.80718
2021,SH_SAN_HNDWSH,Armenia,All areas,94.41437
2021,SH_SAN_HNDWSH,Armenia,Urban,96.80718
2021,SH_SAN_HNDWSH,Armenia,Rural,90.2639
2022,SH_SAN_HNDWSH,Armenia,Rural,90.2639
2022,SH_SAN_HNDWSH,Armenia,All areas,94.42366
2022,SH_SAN_HNDWSH,Armenia,Urban,96.80718
2008,SH_SAN_HNDWSH,Bosnia and Herzegovina,Rural,96.04974
2010,SH_SAN_HNDWSH,Moldova,Urban,93.3631
2011,SH_SAN_HNDWSH,Moldova,Urban,93.3631
2011,SH_SAN_HNDWSH,Moldova,All areas,86.98808
2011,SH_SAN_HNDWSH,Moldova,Rural,82.25892
2012,SH_SAN_HNDWSH,Moldova,Rural,82.25892
2012,SH_SAN_HNDWSH,Moldova,Urban,93.3631
2012,SH_SAN_HNDWSH,Moldova,All areas,86.98464
2013,SH_SAN_HNDWSH,Moldova,All areas,86.98119
2013,SH_SAN_HNDWSH,Moldova,Urban,93.3631
2013,SH_SAN_HNDWSH,Moldova,Rural,82.25892
2008,SH_SAN_HNDWSH,Bosnia and Herzegovina,All areas,97.19483
2008,SH_SAN_HNDWSH,Bosnia and Herzegovina,Urban,98.59891
2009,SH_SAN_HNDWSH,Bosnia and Herzegovina,All areas,97.20296
2009,SH_SAN_HNDWSH,Bosnia and Herzegovina,Urban,98.59891
2009,SH_SAN_HNDWSH,Bosnia and Herzegovina,Rural,96.04974
2010,SH_SAN_HNDWSH,Bosnia and Herzegovina,Rural,96.04974
2010,SH_SAN_HNDWSH,Bosnia and Herzegovina,Urban,98.59891
2010,SH_SAN_HNDWSH,Bosnia and Herzegovina,All areas,97.21109
2011,SH_SAN_HNDWSH,Bosnia and Herzegovina,Urban,98.59891
2011,SH_SAN_HNDWSH,Bosnia and Herzegovina,All areas,97.21925
2014,SH_SAN_HNDWSH,Moldova,Rural,82.25892
2014,SH_SAN_HNDWSH,Moldova,All areas,86.97775
2014,SH_SAN_HNDWSH,Moldova,Urban,93.3631
2015,SH_SAN_HNDWSH,Moldova,All areas,86.97708
2015,SH_SAN_HNDWSH,Moldova,Rural,82.25892
2015,SH_SAN_HNDWSH,Moldova,Urban,93.3631
2016,SH_SAN_HNDWSH,Moldova,Urban,93.3631
2016,SH_SAN_HNDWSH,Moldova,Rural,82.25892
2016,SH_SAN_HNDWSH,Moldova,All areas,86.97942
2014,SH_SAN_HNDWSH,Montenegro,Rural,99.27729
2014,SH_SAN_HNDWSH,Montenegro,All areas,99.24315
2014,SH_SAN_HNDWSH,Montenegro,Urban,99.22514
2015,SH_SAN_HNDWSH,Montenegro,Urban,99.22514
2015,SH_SAN_HNDWSH,Montenegro,Rural,99.27729
2015,SH_SAN_HNDWSH,Montenegro,All areas,99.24297
2016,SH_SAN_HNDWSH,Montenegro,Urban,99.22514
2016,SH_SAN_HNDWSH,Montenegro,Rural,99.27729
2016,SH_SAN_HNDWSH,Montenegro,All areas,99.2428
2017,SH_SAN_HNDWSH,Montenegro,Urban,99.22514
2017,SH_SAN_HNDWSH,Montenegro,Rural,99.27729
2011,SH_SAN_HNDWSH,Bosnia and Herzegovina,Rural,96.04974
2012,SH_SAN_HNDWSH,Bosnia and Herzegovina,All areas,97.22743
2012,SH_SAN_HNDWSH,Bosnia and Herzegovina,Rural,96.04974
2012,SH_SAN_HNDWSH,Bosnia and Herzegovina,Urban,98.59891
2013,SH_SAN_HNDWSH,Bosnia and Herzegovina,Rural,96.04974
2013,SH_SAN_HNDWSH,Bosnia and Herzegovina,All areas,97.23559
2013,SH_SAN_HNDWSH,Bosnia and Herzegovina,Urban,98.59891
2014,SH_SAN_HNDWSH,Bosnia and Herzegovina,All areas,97.24377
2014,SH_SAN_HNDWSH,Bosnia and Herzegovina,Rural,96.04974
2014,SH_SAN_HNDWSH,Bosnia and Herzegovina,Urban,98.59891
2017,SH_SAN_HNDWSH,Montenegro,All areas,99.24262
2018,SH_SAN_HNDWSH,Montenegro,All areas,99.24245
2018,SH_SAN_HNDWSH,Montenegro,Urban,99.22514
2018,SH_SAN_HNDWSH,Montenegro,Rural,99.27729
2019,SH_SAN_HNDWSH,Montenegro,Rural,99.27729
2019,SH_SAN_HNDWSH,Montenegro,All areas,99.24227
2019,SH_SAN_HNDWSH,Montenegro,Urban,99.22514
2020,SH_SAN_HNDWSH,Montenegro,Rural,99.27729
2020,SH_SAN_HNDWSH,Montenegro,All areas,99.24209
2020,SH_SAN_HNDWSH,Montenegro,Urban,99.22514
2015,SH_SAN_HNDWSH,Bosnia and Herzegovina,All areas,97.25226
2015,SH_SAN_HNDWSH,Bosnia and Herzegovina,Rural,96.04974
2015,SH_SAN_HNDWSH,Bosnia and Herzegovina,Urban,98.59891
2016,SH_SAN_HNDWSH,Bosnia and Herzegovina,All areas,97.26106
2016,SH_SAN_HNDWSH,Bosnia and Herzegovina,Rural,96.04974
2016,SH_SAN_HNDWSH,Bosnia and Herzegovina,Urban,98.59891
2017,SH_SAN_HNDWSH,China,Rural,95.3
2017,SH_SAN_HNDWSH,China,All areas,97.0388
2017,SH_SAN_HNDWSH,China,Urban,98.3
2018,SH_SAN_HNDWSH,China,All areas,97.07456
2018,SH_SAN_HNDWSH,China,Urban,98.3
2018,SH_SAN_HNDWSH,China,Rural,95.3
2019,SH_SAN_HNDWSH,China,All areas,97.10924
2019,SH_SAN_HNDWSH,China,Urban,98.3
2019,SH_SAN_HNDWSH,China,Rural,95.3
2020,SH_SAN_HNDWSH,China,Urban,98.3
2020,SH_SAN_HNDWSH,China,Rural,95.3
2020,SH_SAN_HNDWSH,China,All areas,97.14284
2021,SH_SAN_HNDWSH,China,Urban,98.3
2021,SH_SAN_HNDWSH,China,Rural,95.3
2021,SH_SAN_HNDWSH,Montenegro,All areas,99.24192
2021,SH_SAN_HNDWSH,Montenegro,Rural,99.27729
2021,SH_SAN_HNDWSH,Montenegro,Urban,99.22514
2022,SH_SAN_HNDWSH,Montenegro,All areas,99.24174
2022,SH_SAN_HNDWSH,Montenegro,Rural,99.27729
2022,SH_SAN_HNDWSH,Montenegro,Urban,99.22514
2006,SH_SAN_HNDWSH,Serbia,Rural,98.03233
2006,SH_SAN_HNDWSH,Serbia,Urban,98.20827
2006,SH_SAN_HNDWSH,Serbia,All areas,98.12752
2007,SH_SAN_HNDWSH,Serbia,All areas,98.12791
2021,SH_SAN_HNDWSH,China,All areas,97.17536
2022,SH_SAN_HNDWSH,China,All areas,97.2068
2022,SH_SAN_HNDWSH,China,Urban,98.3
2022,SH_SAN_HNDWSH,China,Rural,95.3
2011,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2011,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2011,SH_SAN_HNDWSH,Colombia,All areas,68.46893
2012,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2012,SH_SAN_HNDWSH,Colombia,All areas,68.6349
2012,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2013,SH_SAN_HNDWSH,Colombia,All areas,68.79816
2013,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2013,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2014,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2014,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2014,SH_SAN_HNDWSH,Colombia,All areas,68.95869
2015,SH_SAN_HNDWSH,Colombia,All areas,69.11695
2015,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2015,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2016,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2016,SH_SAN_HNDWSH,Colombia,All areas,69.27295
2016,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2017,SH_SAN_HNDWSH,Colombia,All areas,69.42622
2017,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2017,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2018,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2018,SH_SAN_HNDWSH,Colombia,All areas,69.57678
2018,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2019,SH_SAN_HNDWSH,Colombia,All areas,69.72461
2019,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2019,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2020,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2020,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2020,SH_SAN_HNDWSH,Colombia,All areas,69.87018
2021,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2021,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2021,SH_SAN_HNDWSH,Colombia,All areas,70.01302
2022,SH_SAN_HNDWSH,Colombia,Rural,32.94574
2022,SH_SAN_HNDWSH,Colombia,All areas,70.1536
2022,SH_SAN_HNDWSH,Colombia,Urban,78.29353
2005,SH_SAN_HNDWSH,Costa Rica,All areas,83.37774
2005,SH_SAN_HNDWSH,Costa Rica,Urban,83.66085
2005,SH_SAN_HNDWSH,Costa Rica,Rural,82.83613
2006,SH_SAN_HNDWSH,Costa Rica,Urban,83.66085
2006,SH_SAN_HNDWSH,Costa Rica,All areas,83.38816
2006,SH_SAN_HNDWSH,Costa Rica,Rural,82.83613
2007,SH_SAN_HNDWSH,Costa Rica,Rural,82.83613
2007,SH_SAN_HNDWSH,Costa Rica,All areas,83.39837
2007,SH_SAN_HNDWSH,Costa Rica,Urban,83.66085
2008,SH_SAN_HNDWSH,Costa Rica,All areas,83.4084
2008,SH_SAN_HNDWSH,Costa Rica,Urban,83.66085
2008,SH_SAN_HNDWSH,Costa Rica,Rural,82.83613
2009,SH_SAN_HNDWSH,Costa Rica,Urban,83.66085
2009,SH_SAN_HNDWSH,Costa Rica,Rural,82.83613
2009,SH_SAN_HNDWSH,Costa Rica,All areas,83.41817
2010,SH_SAN_HNDWSH,Costa Rica,All areas,83.62741
2010,SH_SAN_HNDWSH,Costa Rica,Rural,82.87888
2010,SH_SAN_HNDWSH,Costa Rica,Urban,83.92233
2011,SH_SAN_HNDWSH,Costa Rica,Urban,84.18381
2011,SH_SAN_HNDWSH,Costa Rica,Rural,82.92163
2011,SH_SAN_HNDWSH,Costa Rica,All areas,83.84135
2012,SH_SAN_HNDWSH,Costa Rica,All areas,84.05945
2012,SH_SAN_HNDWSH,Costa Rica,Urban,84.44528
2012,SH_SAN_HNDWSH,Costa Rica,Rural,82.96438
2013,SH_SAN_HNDWSH,Costa Rica,Urban,84.70676
2013,SH_SAN_HNDWSH,Costa Rica,Rural,83.00713
2013,SH_SAN_HNDWSH,Costa Rica,All areas,84.28134
2014,SH_SAN_HNDWSH,Costa Rica,Rural,83.04988
2014,SH_SAN_HNDWSH,Costa Rica,All areas,84.5067
2014,SH_SAN_HNDWSH,Costa Rica,Urban,84.96824
2015,SH_SAN_HNDWSH,Costa Rica,Rural,83.09263
2015,SH_SAN_HNDWSH,Costa Rica,All areas,84.73524
2015,SH_SAN_HNDWSH,Costa Rica,Urban,85.22972
2016,SH_SAN_HNDWSH,Costa Rica,All areas,84.96667
2016,SH_SAN_HNDWSH,Costa Rica,Urban,85.49119
2016,SH_SAN_HNDWSH,Costa Rica,Rural,83.13539
2017,SH_SAN_HNDWSH,Costa Rica,Rural,83.17814
2017,SH_SAN_HNDWSH,Costa Rica,All areas,85.20069
2017,SH_SAN_HNDWSH,Costa Rica,Urban,85.75267
2018,SH_SAN_HNDWSH,Costa Rica,Rural,83.22089
2018,SH_SAN_HNDWSH,Costa Rica,All areas,85.43706
2018,SH_SAN_HNDWSH,Costa Rica,Urban,86.01415
2019,SH_SAN_HNDWSH,Costa Rica,Rural,83.26364
2019,SH_SAN_HNDWSH,Costa Rica,All areas,85.67552
2019,SH_SAN_HNDWSH,Costa Rica,Urban,86.27563
2020,SH_SAN_HNDWSH,Costa Rica,All areas,85.91587
2020,SH_SAN_HNDWSH,Costa Rica,Rural,83.30639
2020,SH_SAN_HNDWSH,Costa Rica,Urban,86.5371
2021,SH_SAN_HNDWSH,Costa Rica,All areas,85.937
2021,SH_SAN_HNDWSH,Costa Rica,Urban,86.5371
2021,SH_SAN_HNDWSH,Costa Rica,Rural,83.30639
2022,SH_SAN_HNDWSH,Costa Rica,Rural,83.30639
2022,SH_SAN_HNDWSH,Costa Rica,Urban,86.5371
2022,SH_SAN_HNDWSH,Costa Rica,All areas,85.95693
2014,SH_SAN_HNDWSH,Georgia,All areas,91.52626
2014,SH_SAN_HNDWSH,Georgia,Rural,87.44337
2014,SH_SAN_HNDWSH,Georgia,Urban,94.59791
2015,SH_SAN_HNDWSH,Georgia,All areas,91.55351
2015,SH_SAN_HNDWSH,Georgia,Urban,94.59791
2015,SH_SAN_HNDWSH,Georgia,Rural,87.44337
2016,SH_SAN_HNDWSH,Georgia,All areas,91.58134
2016,SH_SAN_HNDWSH,Georgia,Rural,87.44337
2016,SH_SAN_HNDWSH,Georgia,Urban,94.59791
2017,SH_SAN_HNDWSH,Georgia,Urban,94.59791
2017,SH_SAN_HNDWSH,Georgia,All areas,91.60954
2017,SH_SAN_HNDWSH,Georgia,Rural,87.44337
2018,SH_SAN_HNDWSH,Georgia,Urban,94.59791
2018,SH_SAN_HNDWSH,Georgia,Rural,87.44337
2018,SH_SAN_HNDWSH,Georgia,All areas,91.63822
2019,SH_SAN_HNDWSH,Georgia,All areas,91.66734
2019,SH_SAN_HNDWSH,Georgia,Rural,87.44337
2019,SH_SAN_HNDWSH,Georgia,Urban,94.59791
2020,SH_SAN_HNDWSH,Georgia,All areas,91.69696
2020,SH_SAN_HNDWSH,Georgia,Rural,87.44337
2020,SH_SAN_HNDWSH,Georgia,Urban,94.59791
2021,SH_SAN_HNDWSH,Georgia,All areas,91.72694
2021,SH_SAN_HNDWSH,Georgia,Rural,87.44337
2021,SH_SAN_HNDWSH,Georgia,Urban,94.59791
2022,SH_SAN_HNDWSH,Georgia,Rural,87.44337
2022,SH_SAN_HNDWSH,Georgia,Urban,94.59791
2022,SH_SAN_HNDWSH,Georgia,All areas,91.75735
