Year,SeriesCode,Country,Cities,Custom Breakdown,Value
2020,EN_URB_OPENSP,Canada,CA_WINNIPEG_MAN,,76.3
2020,EN_URB_OPENSP,Canada,CA_VICTORIA_BC,,93.6
2020,EN_URB_OPENSP,Canada,CA_SAINT_JEAN_SUR_RICHELIEU_QUE,,89.5
2020,EN_URB_OPENSP,Canada,CA_REGINA_SASK,,95.5
2020,EN_URB_OPENSP,Canada,CA_MONTREAL_QUE,,91.8
2020,EN_URB_OPENSP,Canada,CA_KELOWNA_BC,,77.5
2020,EN_URB_OPENSP,Canada,CA_EDMONTON_ALTA,,82.5
2020,EN_URB_OPENSP,Canada,CA_CALGARY_ALTA,,92.5
2020,EN_URB_OPENSP,Canada,CA_BARRIE_ONT,,89.4
2020,EN_URB_OPENSP,Uzbekistan,UZ_QOQON,,24.6
2020,EN_URB_OPENSP,Uzbekistan,UZ_TOSHKENT,,26.3
2020,EN_URB_OPENSP,Uzbekistan,UZ_ANDIJAN,,27.2
2020,EN_URB_OPENSP,Uzbekistan,UZ_BEKOBOD,,62.7
2020,EN_URB_OPENSP,Uzbekistan,UZ_NAVOIY,,12.2
2020,EN_URB_OPENSP,Uzbekistan,UZ_NUKUS,,54.1
2020,EN_URB_OPENSP,Uzbekistan,UZ_DENAU,,14.6
2020,EN_URB_OPENSP,Uzbekistan,UZ_NAMANGAN,,16.5
2020,EN_URB_OPENSP,Uzbekistan,UZ_BESHARYK,,60.2
2020,EN_URB_OPENSP,Uzbekistan,UZ_BUXORO,,38.9
2020,EN_URB_OPENSP,Uzbekistan,UZ_TORTKOL,,23.1
2020,EN_URB_OPENSP,Uzbekistan,UZ_TERMIZ,,30.9
2022,EN_URB_OPENSP,Chile,CL_PUNTA_ARENAS,,98.9
2022,EN_URB_OPENSP,Chile,CL_OSORNO,,100.0
2022,EN_URB_OPENSP,Chile,CL_PENAFLOR,,86.6
2022,EN_URB_OPENSP,Chile,CL_RANCAGUA,,98.2
2022,EN_URB_OPENSP,Chile,CL_CONCEPCION,,90.9
2022,EN_URB_OPENSP,Chile,CL_ARICA,,87.9
2022,EN_URB_OPENSP,Chile,CL_ANTOFAGASTA,,76.9
2022,EN_URB_OPENSP,Chile,CL_LOS_ANGELES,,93.6
2022,EN_URB_OPENSP,Chile,CL_LA_SERENA,,89.6
2022,EN_URB_OPENSP,Chile,CL_IQUIQUE,,96.3
2020,EN_URB_OPENSP,Mexico,MX_CIUDAD_DE_MEXICO,,46.3
2020,EN_URB_OPENSP,Mexico,MX_CAM_CAMPECHE,,81.2
2020,EN_URB_OPENSP,Mexico,MX_GUA_LEON,,56.2
2020,EN_URB_OPENSP,Mexico,MX_JAL_GUADALAJARA,,50.5
2020,EN_URB_OPENSP,Mexico,MX_GUA_GUANAJUATO,,45.7
2020,EN_URB_OPENSP,Mexico,MX_SIN_CULIACAN,,72.5
2020,EN_URB_OPENSP,Mexico,MX_BCN_ENSENADA,,42.9
2020,EN_URB_OPENSP,Mexico,MX_CHH_JUAREZ,,54.8
2020,EN_URB_OPENSP,Mexico,MX_CHP_COMITAN_DE_DOMINGUEZ,,71.4
2020,EN_URB_OPENSP,Mexico,MX_NLE_MONTERREY,,72.6
2020,EN_URB_OPENSP,Mexico,MX_NAY_TEPIC,,55.4
2020,EN_URB_OPENSP,Mexico,MX_JAL_PUERTO_VALLARTA,,46.5
2022,EN_URB_OPENSP,Chile,CL_CURICO,,93.9
2022,EN_URB_OPENSP,Chile,CL_COPIAPO,,96.7
2022,EN_URB_OPENSP,Chile,CL_VALPARAISO,,66.9
2022,EN_URB_OPENSP,Chile,CL_TEMUCO,,93.9
2022,EN_URB_OPENSP,Chile,CL_OVALLE,,99.5
2022,EN_URB_OPENSP,Chile,CL_TALCA,,98.2
2022,EN_URB_OPENSP,Chile,CL_SANTIAGO,,92.9
2020,EN_URB_OPENSP,China,CN_CHANGZHOU_JINGSU,,24.3
2020,EN_URB_OPENSP,China,CN_JINAN_SHANDONG,,26.1
2020,EN_URB_OPENSP,China,CN_ANQING_ANHUI,,32.8
2020,EN_URB_OPENSP,China,CN_CHENGDU_SICHUAN,,15.1
2020,EN_URB_OPENSP,China,CN_LESHAN_SICHUAN,,27.6
2020,EN_URB_OPENSP,China,CN_KAIPING_GUANGDONG,,34.7
2020,EN_URB_OPENSP,China,CN_QINGDAO_SHANDONG,,28.5
2020,EN_URB_OPENSP,China,CN_HANGZHOU_ZHEJIANG,,20.5
2020,EN_URB_OPENSP,China,CN_HAIKOU_HAINAN,,19.7
2020,EN_URB_OPENSP,China,CN_HONG_KONG,,89.1
2020,EN_URB_OPENSP,China,CN_ZUNYI_GUIZHOU,,25.4
2020,EN_URB_OPENSP,China,CN_YULIN_GUANGXI,,49.2
2020,EN_URB_OPENSP,China,CN_SUINING_SICHUAN,,16.9
2020,EN_URB_OPENSP,China,CN_WUHAN_HUBEI,,16.0
2020,EN_URB_OPENSP,China,CN_XINGPING_SHAANXI,,31.0
2020,EN_URB_OPENSP,China,CN_YIYANG_HUNAN,,46.3
2020,EN_URB_OPENSP,China,CN_GUIXI_CHONGQING,,65.8
2020,EN_URB_OPENSP,China,CN_GAOYOU_JIANGSU,,52.4
2020,EN_URB_OPENSP,China,CN_CHENGGUAN_GUIZHOU,,24.0
2020,EN_URB_OPENSP,China,CN_SHENZHEN_GUANGDONG,,21.9
2020,EN_URB_OPENSP,China,CN_CHANGZHI_HUNAN,,15.2
2020,EN_URB_OPENSP,China,CN_GUANGZHOU_GUANGDONG,,17.2
2020,EN_URB_OPENSP,Colombia,CO_VAC_GUADALAJARA_DE_BUGA,,71.1
2020,EN_URB_OPENSP,Colombia,CO_SUC_SINCELEJO,,57.0
2020,EN_URB_OPENSP,Colombia,CO_ANT_MEDELLIN,,52.8
2020,EN_URB_OPENSP,Colombia,CO_LAG_MAICAO,,58.9
2020,EN_URB_OPENSP,Colombia,CO_BOY_TUNJA,,81.3
