Year,SeriesCode,Country,Age,Disability status,Population Group,Sex,Type of occupation,Value
2019,SG_DMK_JDC,Germany,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.93
2020,SG_DMK_JDC,Greece,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.45
2021,SG_DMK_JDC,Israel,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.28
2021,SG_DMK_JDC,Israel,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.39
2021,SG_DMK_JDC,Israel,ALLAGE,Total or no breakdown,POP_A,Both sexes,JUDGES,0.33
2021,SG_DMK_JDC,Israel,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.04
2021,SG_DMK_JDC,Israel,ALLAGE,Total or no breakdown,POP_A,Both sexes,REGISTRARS,0.43
2021,SG_DMK_JDC,Israel,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.21
2022,SG_DMK_JDC,Israel,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.06
2022,SG_DMK_JDC,Israel,ALLAGE,Total or no breakdown,POP_A,Both sexes,REGISTRARS,0.47
2022,SG_DMK_JDC,Israel,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.41
2022,SG_DMK_JDC,Israel,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.27
2022,SG_DMK_JDC,Israel,ALLAGE,Total or no breakdown,POP_A,Both sexes,JUDGES,0.32
2022,SG_DMK_JDC,Israel,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.27
2020,SG_DMK_JDC,Japan,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,0.75
2020,SG_DMK_JDC,Japan,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.83
2020,SG_DMK_JDC,Japan,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,0.72
2020,SG_DMK_JDC,Japan,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.46
2021,SG_DMK_JDC,Japan,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,0.74
2021,SG_DMK_JDC,Japan,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.81
2021,SG_DMK_JDC,Japan,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,0.74
2021,SG_DMK_JDC,Japan,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.47
