Year,SeriesCode,Страна ,Age,Sex,Value
2020,VC_HTF_DETVOPR,Costa Rica,<18Y,FEMALE,0.95
2020,VC_HTF_DETVOPR,Costa Rica,ALLAGE,BOTHSEX,1.19
2021,VC_HTF_DETVOPR,Costa Rica,ALLAGE,BOTHSEX,0.1
2004,VC_HTF_DETVOPR,Croatia,ALLAGE,BOTHSEX,0.23
2014,VC_HTF_DETVOPR,Croatia,ALLAGE,BOTHSEX,0.12
2017,VC_HTF_DETVOPR,Croatia,18+,FEMALE,0.44
2017,VC_HTF_DETVOPR,Croatia,ALLAGE,BOTHSEX,0.45
2017,VC_HTF_DETVOPR,Croatia,<18Y,FEMALE,1.7
2018,VC_HTF_DETVOPR,Croatia,18+,FEMALE,2.51
2018,VC_HTF_DETVOPR,Croatia,18+,MALE,0.97
2018,VC_HTF_DETVOPR,Croatia,ALLAGE,BOTHSEX,1.49
2008,VC_HTF_DETVOPR,Cyprus,ALLAGE,BOTHSEX,1.1
2014,VC_HTF_DETVOPR,Cyprus,18+,MALE,1.49
2014,VC_HTF_DETVOPR,Cyprus,ALLAGE,BOTHSEX,0.59
2015,VC_HTF_DETVOPR,Cyprus,18+,MALE,1.47
2015,VC_HTF_DETVOPR,Cyprus,ALLAGE,BOTHSEX,0.59
2016,VC_HTF_DETVOPR,Cyprus,18+,MALE,3.74
2016,VC_HTF_DETVOPR,Cyprus,ALLAGE,BOTHSEX,1.75
2018,VC_HTF_DETVOPR,Cyprus,18+,MALE,1.22
2018,VC_HTF_DETVOPR,Cyprus,ALLAGE,BOTHSEX,0.66
2019,VC_HTF_DETVOPR,Cyprus,ALLAGE,BOTHSEX,1.06
2019,VC_HTF_DETVOPR,Cyprus,18+,MALE,1.62
2018,VC_HTF_DETVOPR,Czechia,18+,MALE,0.19
2018,VC_HTF_DETVOPR,Czechia,ALLAGE,BOTHSEX,0.09
2019,VC_HTF_DETVOPR,Czechia,ALLAGE,BOTHSEX,0.09
2019,VC_HTF_DETVOPR,Czechia,18+,MALE,0.17
2013,VC_HTF_DETVOPR,Denmark,ALLAGE,BOTHSEX,0.12
2014,VC_HTF_DETVOPR,Denmark,ALLAGE,BOTHSEX,0.14
2015,VC_HTF_DETVOPR,Denmark,ALLAGE,BOTHSEX,0.76
2016,VC_HTF_DETVOPR,Denmark,ALLAGE,BOTHSEX,0.12
2017,VC_HTF_DETVOPR,Denmark,18+,FEMALE,0.34
2017,VC_HTF_DETVOPR,Denmark,18+,BOTHSEX,0.17
2017,VC_HTF_DETVOPR,Denmark,ALLAGE,BOTHSEX,0.21
2018,VC_HTF_DETVOPR,Denmark,18+,BOTHSEX,0.15
2018,VC_HTF_DETVOPR,Denmark,<18Y,FEMALE,1.42
2018,VC_HTF_DETVOPR,Denmark,18+,FEMALE,0.39
2018,VC_HTF_DETVOPR,Denmark,<18Y,BOTHSEX,0.61
2018,VC_HTF_DETVOPR,Denmark,ALLAGE,BOTHSEX,0.36
2019,VC_HTF_DETVOPR,Denmark,<18Y,FEMALE,1.78
2019,VC_HTF_DETVOPR,Denmark,ALLAGE,BOTHSEX,0.36
2019,VC_HTF_DETVOPR,Denmark,18+,FEMALE,0.34
2019,VC_HTF_DETVOPR,Denmark,18+,BOTHSEX,0.13
2020,VC_HTF_DETVOPR,Denmark,ALLAGE,BOTHSEX,0.33
2020,VC_HTF_DETVOPR,Denmark,18+,BOTHSEX,0.28
2020,VC_HTF_DETVOPR,Denmark,18+,FEMALE,0.38
2020,VC_HTF_DETVOPR,Denmark,<18Y,BOTHSEX,0.52
2017,VC_HTF_DETVOPR,Estonia,ALLAGE,BOTHSEX,0.38
2007,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,2.17
2010,VC_HTF_DETVOPR,Finland,ALLAGE,BOTHSEX,0.11
2008,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,2.04
2009,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,2.33
2010,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,0.44
2011,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,0.89
2012,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,0.97
2013,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,1.86
2014,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,MALE,1.07
2014,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,FEMALE,0.53
2014,VC_HTF_DETVOPR,Finland,18+,MALE,0.23
2015,VC_HTF_DETVOPR,Finland,ALLAGE,BOTHSEX,0.13
2015,VC_HTF_DETVOPR,Finland,18+,MALE,0.23
2016,VC_HTF_DETVOPR,Finland,ALLAGE,BOTHSEX,0.36
2016,VC_HTF_DETVOPR,Finland,18+,MALE,0.6
2017,VC_HTF_DETVOPR,Finland,18+,BOTHSEX,0.38
2017,VC_HTF_DETVOPR,Finland,18+,MALE,0.28
2017,VC_HTF_DETVOPR,Finland,ALLAGE,BOTHSEX,0.71
2017,VC_HTF_DETVOPR,Finland,<18Y,BOTHSEX,0.65
2018,VC_HTF_DETVOPR,Finland,ALLAGE,BOTHSEX,1.23
2014,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,FEMALE,0.09
2014,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,0.36
2014,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,MALE,0.41
2015,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,MALE,0.36
2015,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,0.18
2018,VC_HTF_DETVOPR,Finland,18+,BOTHSEX,0.7
2019,VC_HTF_DETVOPR,Finland,18+,BOTHSEX,1.45
2019,VC_HTF_DETVOPR,Finland,ALLAGE,BOTHSEX,2.41
2020,VC_HTF_DETVOPR,Finland,18+,BOTHSEX,1.27
2020,VC_HTF_DETVOPR,Finland,ALLAGE,BOTHSEX,2.12
2016,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,MALE,0.4
2016,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,FEMALE,0.54
2016,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,FEMALE,0.09
2016,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,MALE,1.08
2016,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,0.36
2017,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,MALE,2.41
2020,VC_HTF_DETVOPR,Finland,18+,MALE,2.78
2020,VC_HTF_DETVOPR,Finland,18+,FEMALE,2.27
2021,VC_HTF_DETVOPR,Finland,ALLAGE,BOTHSEX,1.26
2016,VC_HTF_DETVOPR,France,ALLAGE,BOTHSEX,0.88
2018,VC_HTF_DETVOPR,France,ALLAGE,BOTHSEX,0.85
2017,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,FEMALE,8.23
2017,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,3.11
2017,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,FEMALE,2.07
2017,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,BOTHSEX,1.32
2017,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,BOTHSEX,2.46
2017,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,MALE,4.7
2018,VC_HTF_DETVOPR,France,18+,FEMALE,1.04
2018,VC_HTF_DETVOPR,France,18+,MALE,0.81
2018,VC_HTF_DETVOPR,France,<18Y,FEMALE,0.46
2018,VC_HTF_DETVOPR,France,<18Y,MALE,0.65
2019,VC_HTF_DETVOPR,France,18+,MALE,0.83
2019,VC_HTF_DETVOPR,France,ALLAGE,BOTHSEX,1.03
2019,VC_HTF_DETVOPR,France,18+,FEMALE,1.39
2019,VC_HTF_DETVOPR,France,<18Y,FEMALE,0.63
2019,VC_HTF_DETVOPR,France,<18Y,MALE,0.75
2018,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,MALE,0.26
2018,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,BOTHSEX,0.53
2018,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,FEMALE,0.91
2018,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,MALE,0.35
2018,VC_HTF_DETVOPR,Netherlands (Kingdom of the),<18Y,FEMALE,0.73
2018,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,0.58
2018,VC_HTF_DETVOPR,Netherlands (Kingdom of the),18+,BOTHSEX,0.59
2019,VC_HTF_DETVOPR,Netherlands (Kingdom of the),ALLAGE,BOTHSEX,1.12
2019,VC_HTF_DETVOPR,Georgia,ALLAGE,BOTHSEX,0.77
2019,VC_HTF_DETVOPR,Georgia,<18Y,MALE,5.75
2012,VC_HTF_DETVOPR,Norway,ALLAGE,BOTHSEX,0.32
2014,VC_HTF_DETVOPR,Norway,ALLAGE,BOTHSEX,0.12
2016,VC_HTF_DETVOPR,Norway,ALLAGE,BOTHSEX,0.25
2015,VC_HTF_DETVOPR,Germany,ALLAGE,BOTHSEX,0.64
2016,VC_HTF_DETVOPR,Norway,18+,MALE,0.53
2019,VC_HTF_DETVOPR,Norway,ALLAGE,BOTHSEX,0.3
2020,VC_HTF_DETVOPR,Norway,ALLAGE,BOTHSEX,0.28
2014,VC_HTF_DETVOPR,Poland,ALLAGE,BOTHSEX,0.08
2018,VC_HTF_DETVOPR,Germany,<18Y,FEMALE,0.08
2018,VC_HTF_DETVOPR,Germany,<18Y,MALE,0.07
2018,VC_HTF_DETVOPR,Germany,ALLAGE,BOTHSEX,0.02
2018,VC_HTF_DETVOPR,Germany,18+,BOTHSEX,0.01
2014,VC_HTF_DETVOPR,Poland,18+,MALE,0.03
2015,VC_HTF_DETVOPR,Poland,ALLAGE,BOTHSEX,0.06
2016,VC_HTF_DETVOPR,Poland,ALLAGE,BOTHSEX,0.05
2017,VC_HTF_DETVOPR,Poland,ALLAGE,BOTHSEX,0.04
2017,VC_HTF_DETVOPR,Poland,18+,MALE,0.08
2017,VC_HTF_DETVOPR,Poland,18+,BOTHSEX,0.05
2018,VC_HTF_DETVOPR,Poland,18+,FEMALE,0.05
2018,VC_HTF_DETVOPR,Poland,18+,BOTHSEX,0.03
2018,VC_HTF_DETVOPR,Poland,ALLAGE,BOTHSEX,0.03
2018,VC_HTF_DETVOPR,Germany,<18Y,BOTHSEX,0.04
2019,VC_HTF_DETVOPR,Germany,ALLAGE,BOTHSEX,0.06
2019,VC_HTF_DETVOPR,Germany,18+,MALE,0.07
2019,VC_HTF_DETVOPR,Germany,18+,FEMALE,0.06
2019,VC_HTF_DETVOPR,Germany,18+,BOTHSEX,0.03
2020,VC_HTF_DETVOPR,Germany,<18Y,BOTHSEX,0.04
2020,VC_HTF_DETVOPR,Germany,ALLAGE,BOTHSEX,0.03
2020,VC_HTF_DETVOPR,Germany,<18Y,FEMALE,0.09
2020,VC_HTF_DETVOPR,Germany,18+,BOTHSEX,0.01
2020,VC_HTF_DETVOPR,Germany,18+,FEMALE,0.02
2020,VC_HTF_DETVOPR,Germany,<18Y,MALE,0.1
2015,VC_HTF_DETVOPR,Greece,18+,FEMALE,0.2
2015,VC_HTF_DETVOPR,Greece,ALLAGE,BOTHSEX,0.11
2016,VC_HTF_DETVOPR,Greece,<18Y,FEMALE,0.65
2016,VC_HTF_DETVOPR,Greece,ALLAGE,BOTHSEX,0.2
2016,VC_HTF_DETVOPR,Greece,18+,FEMALE,0.24
2016,VC_HTF_DETVOPR,Greece,<18Y,MALE,0.52
2014,VC_HTF_DETVOPR,Portugal,ALLAGE,BOTHSEX,0.1
2017,VC_HTF_DETVOPR,Portugal,ALLAGE,BOTHSEX,0.07
2019,VC_HTF_DETVOPR,Greece,<18Y,BOTHSEX,1.96
2019,VC_HTF_DETVOPR,Greece,18+,FEMALE,0.11
2019,VC_HTF_DETVOPR,Greece,18+,BOTHSEX,0.08
2019,VC_HTF_DETVOPR,Greece,18+,MALE,0.12
2019,VC_HTF_DETVOPR,Greece,<18Y,MALE,1.8
2019,VC_HTF_DETVOPR,Greece,<18Y,FEMALE,2.36
2019,VC_HTF_DETVOPR,Greece,ALLAGE,BOTHSEX,0.46
2020,VC_HTF_DETVOPR,Greece,<18Y,FEMALE,4.66
2020,VC_HTF_DETVOPR,Greece,<18Y,MALE,3.53
2020,VC_HTF_DETVOPR,Greece,ALLAGE,BOTHSEX,0.74
2020,VC_HTF_DETVOPR,Greece,<18Y,BOTHSEX,3.86
2017,VC_HTF_DETVOPR,Portugal,<18Y,MALE,0.77
2019,VC_HTF_DETVOPR,Portugal,ALLAGE,BOTHSEX,0.17
2019,VC_HTF_DETVOPR,Portugal,18+,FEMALE,0.24
2019,VC_HTF_DETVOPR,Portugal,18+,MALE,0.15
2021,VC_HTF_DETVOPR,Greece,ALLAGE,BOTHSEX,0.31
2007,VC_HTF_DETVOPR,Hungary,ALLAGE,BOTHSEX,0.07
2005,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.53
2006,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.54
2007,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.87
2008,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.53
2009,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.7
2010,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.83
2011,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.66
2012,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.52
2014,VC_HTF_DETVOPR,Hungary,ALLAGE,BOTHSEX,0.12
2014,VC_HTF_DETVOPR,Hungary,18+,MALE,0.29
2015,VC_HTF_DETVOPR,Hungary,ALLAGE,BOTHSEX,0.06
2017,VC_HTF_DETVOPR,Hungary,ALLAGE,BOTHSEX,0.09
2017,VC_HTF_DETVOPR,Hungary,18+,MALE,0.16
2013,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.41
2014,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.54
2015,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.96
2016,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.47
2017,VC_HTF_DETVOPR,Romania,<18Y,FEMALE,2.45
2017,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.87
2017,VC_HTF_DETVOPR,Romania,18+,BOTHSEX,0.19
2017,VC_HTF_DETVOPR,Romania,<18Y,BOTHSEX,1.28
2017,VC_HTF_DETVOPR,Romania,<18Y,MALE,2.34
2017,VC_HTF_DETVOPR,Romania,18+,FEMALE,0.23
2017,VC_HTF_DETVOPR,Romania,18+,MALE,0.16
2018,VC_HTF_DETVOPR,Romania,<18Y,MALE,0.47
2018,VC_HTF_DETVOPR,Romania,<18Y,BOTHSEX,0.27
2018,VC_HTF_DETVOPR,Romania,18+,FEMALE,0.22
2018,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.36
2018,VC_HTF_DETVOPR,Romania,18+,BOTHSEX,0.15
2018,VC_HTF_DETVOPR,Romania,18+,MALE,0.15
2019,VC_HTF_DETVOPR,Romania,<18Y,MALE,1.67
2019,VC_HTF_DETVOPR,Romania,<18Y,BOTHSEX,0.91
2019,VC_HTF_DETVOPR,Romania,18+,FEMALE,0.28
2019,VC_HTF_DETVOPR,Romania,18+,BOTHSEX,0.2
2019,VC_HTF_DETVOPR,Romania,ALLAGE,BOTHSEX,0.56
2019,VC_HTF_DETVOPR,Romania,<18Y,FEMALE,1.48
2017,VC_HTF_DETVOPR,India,ALLAGE,BOTHSEX,0.2
2018,VC_HTF_DETVOPR,India,ALLAGE,BOTHSEX,0.16
2019,VC_HTF_DETVOPR,India,ALLAGE,BOTHSEX,0.22
2020,VC_HTF_DETVOPR,India,ALLAGE,BOTHSEX,0.07
2014,VC_HTF_DETVOPR,Ireland,ALLAGE,BOTHSEX,0.13
2015,VC_HTF_DETVOPR,Ireland,ALLAGE,BOTHSEX,0.15
2016,VC_HTF_DETVOPR,Ireland,ALLAGE,BOTHSEX,0.11
2019,VC_HTF_DETVOPR,Romania,18+,MALE,0.37
2020,VC_HTF_DETVOPR,Romania,<18Y,FEMALE,0.93
2020,VC_HTF_DETVOPR,Romania,18+,FEMALE,0.44
