Year,SeriesCode,Страна ,Level_of_government,Value
2020,GB_XPD_CULNAT_PB,Republic of Korea,REG,13.71771
2020,GB_XPD_CULNAT_PB,Republic of Korea,_T,40.70587
2017,GB_XPD_CULNAT_PB,Lithuania,_T,36.62751
2017,GB_XPD_CULNAT_PB,Lithuania,NAT,36.62751
2018,GB_XPD_CULNAT_PB,Lithuania,NAT,38.54581
2018,GB_XPD_CULNAT_PB,Lithuania,_T,38.54581
2019,GB_XPD_CULNAT_PB,Lithuania,_T,45.99207
2019,GB_XPD_CULNAT_PB,Lithuania,NAT,32.94578
2019,GB_XPD_CULNAT_PB,Lithuania,LOCAL,13.04629
2020,GB_XPD_CULNAT_PB,Lithuania,LOCAL,10.63463
2020,GB_XPD_CULNAT_PB,Lithuania,NAT,31.18993
2020,GB_XPD_CULNAT_PB,Lithuania,_T,41.82456
2019,GB_XPD_CULNAT_PB,Luxembourg,_T,200.09184
2020,GB_XPD_CULNAT_PB,Luxembourg,_T,201.77395
2021,GB_XPD_CULNAT_PB,Luxembourg,_T,215.46791
2021,GB_XPD_CULNAT_PB,Luxembourg,NAT,175.41811
2021,GB_XPD_CULNAT_PB,Luxembourg,LOCAL,40.0498
2020,GB_XPD_CULNAT_PB,Malta,NAT,363.4812
2020,GB_XPD_CULNAT_PB,Malta,_T,376.24741
2020,GB_XPD_CULNAT_PB,Malta,LOCAL,12.76621
2018,GB_XPD_CULNAT_PB,Mexico,_T,13.14329
2018,GB_XPD_CULNAT_PB,Mexico,NAT,13.14329
2019,GB_XPD_CULNAT_PB,Mexico,NAT,10.3777
2019,GB_XPD_CULNAT_PB,Mexico,_T,10.3777
2020,GB_XPD_CULNAT_PB,Mexico,_T,8.46099
2020,GB_XPD_CULNAT_PB,Mexico,NAT,8.46099
2021,GB_XPD_CULNAT_PB,Mexico,NAT,9.32639
2021,GB_XPD_CULNAT_PB,Mexico,_T,9.32639
2019,GB_XPD_CULNAT_PB,Republic of Moldova,_T,5.12002
2019,GB_XPD_CULNAT_PB,Republic of Moldova,LOCAL,2.42508
2019,GB_XPD_CULNAT_PB,Republic of Moldova,NAT,2.69495
2020,GB_XPD_CULNAT_PB,Republic of Moldova,LOCAL,1.51948
2020,GB_XPD_CULNAT_PB,Republic of Moldova,NAT,2.25961
2020,GB_XPD_CULNAT_PB,Republic of Moldova,_T,3.77908
2021,GB_XPD_CULNAT_PB,Republic of Moldova,NAT,3.74016
2021,GB_XPD_CULNAT_PB,Republic of Moldova,_T,5.91084
2021,GB_XPD_CULNAT_PB,Republic of Moldova,LOCAL,2.17068
2020,GB_XPD_CULNAT_PB,Norway,LOCAL,2.04618
2020,GB_XPD_CULNAT_PB,Norway,REG,5.36482
2020,GB_XPD_CULNAT_PB,Norway,NAT,14.40164
2020,GB_XPD_CULNAT_PB,Norway,_T,21.81264
2021,GB_XPD_CULNAT_PB,Norway,_T,21.26454
2021,GB_XPD_CULNAT_PB,Norway,REG,5.58287
2021,GB_XPD_CULNAT_PB,Norway,NAT,13.44966
2021,GB_XPD_CULNAT_PB,Norway,LOCAL,2.23201
2019,GB_XPD_CULNAT_PB,Poland,_T,71.59704
2019,GB_XPD_CULNAT_PB,Poland,NAT,25.3429
