Year,SeriesCode,GeoAreaName,Counterpart,Value
2020,SI_RMT_COST_SC,Netherlands (Kingdom of the),SO,8.16557
2020,SI_RMT_COST_SC,Netherlands (Kingdom of the),DO,3.50701
2020,SI_RMT_COST_SC,Netherlands (Kingdom of the),GH,2.76126
2020,SI_RMT_COST_SC,Netherlands (Kingdom of the),ID,7.15867
2021,SI_RMT_COST_SC,Netherlands (Kingdom of the),DO,0.69
2021,SI_RMT_COST_SC,Netherlands (Kingdom of the),MA,4.18333
2021,SI_RMT_COST_SC,Netherlands (Kingdom of the),TR,1.87
2021,SI_RMT_COST_SC,Netherlands (Kingdom of the),SO,6.73333
2021,SI_RMT_COST_SC,Netherlands (Kingdom of the),ID,2.66333
2021,SI_RMT_COST_SC,Netherlands (Kingdom of the),NG,3.55667
2021,SI_RMT_COST_SC,Netherlands (Kingdom of the),GH,2.58667
2016,SI_RMT_COST_SC,New Zealand,VU,7.81317
2016,SI_RMT_COST_SC,New Zealand,WS,6.84206
2016,SI_RMT_COST_SC,New Zealand,VN,7.19191
2016,SI_RMT_COST_SC,New Zealand,PH,7.02104
2016,SI_RMT_COST_SC,New Zealand,TO,6.5944
2016,SI_RMT_COST_SC,New Zealand,CN,9.54282
2016,SI_RMT_COST_SC,New Zealand,IN,6.82058
2016,SI_RMT_COST_SC,New Zealand,FJ,7.39472
2017,SI_RMT_COST_SC,New Zealand,TO,5.21733
2017,SI_RMT_COST_SC,New Zealand,WS,5.63505
2017,SI_RMT_COST_SC,New Zealand,VN,7.61907
2017,SI_RMT_COST_SC,New Zealand,IN,1.55777
2017,SI_RMT_COST_SC,New Zealand,FJ,5.32969
2017,SI_RMT_COST_SC,New Zealand,PH,7.26837
2017,SI_RMT_COST_SC,New Zealand,CN,5.48532
2017,SI_RMT_COST_SC,New Zealand,VU,8.23595
2018,SI_RMT_COST_SC,New Zealand,VN,5.83813
2018,SI_RMT_COST_SC,New Zealand,TO,3.74884
2018,SI_RMT_COST_SC,New Zealand,WS,4.35137
2018,SI_RMT_COST_SC,New Zealand,FJ,4.50797
2018,SI_RMT_COST_SC,New Zealand,VU,8.71845
2018,SI_RMT_COST_SC,New Zealand,IN,1.42518
2018,SI_RMT_COST_SC,New Zealand,CN,1.63057
2016,SI_RMT_COST_SC,Australia,VU,8.9001
2016,SI_RMT_COST_SC,Australia,VN,5.0147
2016,SI_RMT_COST_SC,Australia,TO,9.79554
2016,SI_RMT_COST_SC,Australia,PH,5.55075
2016,SI_RMT_COST_SC,Australia,IN,6.71315
2016,SI_RMT_COST_SC,Australia,ZW,17.16021
2016,SI_RMT_COST_SC,Australia,SO,6.45159
2016,SI_RMT_COST_SC,Australia,LK,10.44897
2016,SI_RMT_COST_SC,Australia,WS,11.60754
2016,SI_RMT_COST_SC,Australia,TH,12.41494
2016,SI_RMT_COST_SC,Australia,ID,10.1552
2016,SI_RMT_COST_SC,Australia,LB,6.73134
2016,SI_RMT_COST_SC,Australia,MY,15.529
2016,SI_RMT_COST_SC,Australia,FJ,8.5676
2016,SI_RMT_COST_SC,Australia,PK,4.28837
2016,SI_RMT_COST_SC,Australia,CN,11.11575
2017,SI_RMT_COST_SC,Australia,LK,1.99477
2017,SI_RMT_COST_SC,Australia,SO,8.54686
2017,SI_RMT_COST_SC,Australia,WS,3.91178
2017,SI_RMT_COST_SC,Australia,CN,1.9297
2017,SI_RMT_COST_SC,Australia,TH,3.696
2017,SI_RMT_COST_SC,Australia,TO,6.72622
2017,SI_RMT_COST_SC,Australia,MY,1.65483
2017,SI_RMT_COST_SC,Australia,ZW,7.10727
2017,SI_RMT_COST_SC,Australia,VN,4.83109
2017,SI_RMT_COST_SC,Australia,LB,7.27174
2017,SI_RMT_COST_SC,Australia,FJ,5.10143
2017,SI_RMT_COST_SC,Australia,PH,3.76081
2017,SI_RMT_COST_SC,Australia,PK,4.09793
2017,SI_RMT_COST_SC,Australia,ID,8.98081
2017,SI_RMT_COST_SC,Australia,IN,0.66042
2018,SI_RMT_COST_SC,Australia,LK,1.11865
2018,SI_RMT_COST_SC,Australia,VU,10.14193
2018,SI_RMT_COST_SC,Australia,MY,1.96764
2018,SI_RMT_COST_SC,Australia,PK,1.97392
2018,SI_RMT_COST_SC,Australia,FJ,4.99684
2018,SI_RMT_COST_SC,Australia,CN,3.38388
2018,SI_RMT_COST_SC,Australia,LB,3.45712
2018,SI_RMT_COST_SC,Australia,PH,2.90102
2018,SI_RMT_COST_SC,Australia,WS,6.01387
2018,SI_RMT_COST_SC,Australia,ID,5.29061
2018,SI_RMT_COST_SC,Australia,ZW,4.26883
2018,SI_RMT_COST_SC,Australia,VN,4.2367
2018,SI_RMT_COST_SC,Australia,TO,4.63301
2018,SI_RMT_COST_SC,Australia,TH,3.3328
2018,SI_RMT_COST_SC,Australia,IN,-0.15738
2019,SI_RMT_COST_SC,Australia,PH,1.94437
2019,SI_RMT_COST_SC,Australia,MY,0.75251
2019,SI_RMT_COST_SC,Australia,FJ,3.19935
2019,SI_RMT_COST_SC,Australia,PK,1.67965
2019,SI_RMT_COST_SC,Australia,LB,6.19045
2019,SI_RMT_COST_SC,Australia,ZW,3.53712
2019,SI_RMT_COST_SC,Australia,ID,4.4103
2019,SI_RMT_COST_SC,Australia,IN,-0.05084
2019,SI_RMT_COST_SC,Australia,LK,0.87876
2019,SI_RMT_COST_SC,Australia,VU,13.72549
2019,SI_RMT_COST_SC,Australia,VN,4.07628
2019,SI_RMT_COST_SC,Australia,TH,2.04654
2019,SI_RMT_COST_SC,Australia,TO,5.55982
2019,SI_RMT_COST_SC,Australia,CN,2.10907
2018,SI_RMT_COST_SC,New Zealand,PH,3.49504
2019,SI_RMT_COST_SC,New Zealand,VN,4.85936
2019,SI_RMT_COST_SC,New Zealand,PH,3.08696
2019,SI_RMT_COST_SC,New Zealand,VU,5.5449
2019,SI_RMT_COST_SC,New Zealand,WS,5.66592
2019,SI_RMT_COST_SC,New Zealand,TO,5.3906
2019,SI_RMT_COST_SC,New Zealand,CN,2.11356
2019,SI_RMT_COST_SC,New Zealand,IN,1.20141
2019,SI_RMT_COST_SC,New Zealand,FJ,4.45269
2020,SI_RMT_COST_SC,New Zealand,FJ,4.348
2020,SI_RMT_COST_SC,New Zealand,IN,1.45435
2020,SI_RMT_COST_SC,New Zealand,VN,3.93367
2020,SI_RMT_COST_SC,New Zealand,TO,5.769
2020,SI_RMT_COST_SC,New Zealand,CN,2.23087
2020,SI_RMT_COST_SC,New Zealand,PH,3.06157
2020,SI_RMT_COST_SC,New Zealand,VU,6.12588
2020,SI_RMT_COST_SC,New Zealand,WS,5.50807
2021,SI_RMT_COST_SC,New Zealand,IN,1.58667
2021,SI_RMT_COST_SC,New Zealand,VN,3.53333
2021,SI_RMT_COST_SC,New Zealand,PH,3.43
2021,SI_RMT_COST_SC,New Zealand,FJ,3.45
2021,SI_RMT_COST_SC,New Zealand,WS,5.77333
2021,SI_RMT_COST_SC,New Zealand,VU,8.75667
2021,SI_RMT_COST_SC,New Zealand,CN,0.64333
2021,SI_RMT_COST_SC,New Zealand,TO,5.46
2016,SI_RMT_COST_SC,Norway,PL,9.72295
2016,SI_RMT_COST_SC,Norway,PK,10.65818
2017,SI_RMT_COST_SC,Norway,PK,5.97292
2017,SI_RMT_COST_SC,Norway,PL,1.77004
2018,SI_RMT_COST_SC,Norway,PL,1.34643
2018,SI_RMT_COST_SC,Norway,PK,6.70189
2019,SI_RMT_COST_SC,Norway,PL,0.52678
2019,SI_RMT_COST_SC,Norway,PK,4.16302
2020,SI_RMT_COST_SC,Norway,PL,1.30789
2020,SI_RMT_COST_SC,Norway,PK,2.83278
2021,SI_RMT_COST_SC,Norway,PL,1.55667
2021,SI_RMT_COST_SC,Norway,PK,3.85
2016,SI_RMT_COST_SC,Portugal,CV,7.80762
2016,SI_RMT_COST_SC,Portugal,BR,5.39613
2016,SI_RMT_COST_SC,Portugal,MZ,7.72999
2017,SI_RMT_COST_SC,Portugal,BR,4.52709
2018,SI_RMT_COST_SC,Portugal,CV,7.07823
2018,SI_RMT_COST_SC,Portugal,BR,3.28362
2019,SI_RMT_COST_SC,Portugal,BR,4.73083
2019,SI_RMT_COST_SC,Portugal,CV,7.4943
2020,SI_RMT_COST_SC,Portugal,CV,7.07596
2020,SI_RMT_COST_SC,Portugal,BR,4.50737
2021,SI_RMT_COST_SC,Portugal,CV,6.82
2021,SI_RMT_COST_SC,Portugal,BR,4.22333
2016,SI_RMT_COST_SC,Spain,BG,7.65047
2016,SI_RMT_COST_SC,Spain,PH,4.45978
2016,SI_RMT_COST_SC,Spain,RO,5.20238
2016,SI_RMT_COST_SC,Spain,PE,5.96193
2016,SI_RMT_COST_SC,Spain,NG,5.27517
2016,SI_RMT_COST_SC,Spain,HN,8.11332
2016,SI_RMT_COST_SC,Spain,BO,5.76008
2016,SI_RMT_COST_SC,Spain,BR,7.60751
2016,SI_RMT_COST_SC,Spain,MA,5.94491
2016,SI_RMT_COST_SC,Spain,CO,8.47537
2016,SI_RMT_COST_SC,Spain,DO,6.14091
2016,SI_RMT_COST_SC,Spain,CN,17.03801
2016,SI_RMT_COST_SC,Spain,EC,5.30231
2017,SI_RMT_COST_SC,Spain,DO,7.18122
2017,SI_RMT_COST_SC,Spain,BR,6.90379
2017,SI_RMT_COST_SC,Spain,PH,5.58585
2017,SI_RMT_COST_SC,Spain,PE,4.93514
2017,SI_RMT_COST_SC,Spain,CO,5.53184
2017,SI_RMT_COST_SC,Spain,HN,4.84174
2017,SI_RMT_COST_SC,Spain,BO,5.078
2017,SI_RMT_COST_SC,Spain,MA,6.19455
2017,SI_RMT_COST_SC,Spain,BG,7.07143
2017,SI_RMT_COST_SC,Spain,RO,4.71429
2017,SI_RMT_COST_SC,Spain,EC,3.54762
2017,SI_RMT_COST_SC,Spain,CN,17.30296
2018,SI_RMT_COST_SC,Spain,HN,2.8163
2018,SI_RMT_COST_SC,Spain,BO,3.13343
2018,SI_RMT_COST_SC,Spain,CN,5.39311
2018,SI_RMT_COST_SC,Spain,NG,5.81161
2018,SI_RMT_COST_SC,Spain,PE,3.33678
2018,SI_RMT_COST_SC,Spain,MA,3.09253
2018,SI_RMT_COST_SC,Spain,RO,2.37619
2018,SI_RMT_COST_SC,Spain,EC,2.57085
2018,SI_RMT_COST_SC,Spain,DO,3.19778
2018,SI_RMT_COST_SC,Spain,PH,3.57665
2018,SI_RMT_COST_SC,Spain,BG,2.41168
2018,SI_RMT_COST_SC,Spain,BR,3.41845
2018,SI_RMT_COST_SC,Spain,CO,4.22653
2019,SI_RMT_COST_SC,Spain,MA,1.75162
2019,SI_RMT_COST_SC,Spain,PH,2.62199
2019,SI_RMT_COST_SC,Spain,EC,3.32428
2019,SI_RMT_COST_SC,Spain,PE,3.59011
2019,SI_RMT_COST_SC,Spain,RO,1.04672
2019,SI_RMT_COST_SC,Spain,BG,2.10233
2019,SI_RMT_COST_SC,Spain,CN,4.90949
2019,SI_RMT_COST_SC,Spain,CO,3.10504
2019,SI_RMT_COST_SC,Spain,DO,0.75473
2019,SI_RMT_COST_SC,Spain,BO,3.47847
