Year,SeriesCode,Страна ,Age,Disability status,Population Group,Sex,Type of occupation,Value
2020,SG_DMK_JDC,Liechtenstein,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.59
2020,SG_DMK_JDC,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.18
2020,SG_DMK_JDC,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.29
2020,SG_DMK_JDC,Lithuania,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.07
2020,SG_DMK_JDC,Lithuania,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.61
2021,SG_DMK_JDC,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.33
2021,SG_DMK_JDC,Lithuania,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.58
2021,SG_DMK_JDC,Lithuania,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.01
2021,SG_DMK_JDC,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.31
2020,SG_DMK_JDC,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.14
2020,SG_DMK_JDC,Malta,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.29
2021,SG_DMK_JDC,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.11
2021,SG_DMK_JDC,Malta,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.24
2019,SG_DMK_JDC,Mexico,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.43
2019,SG_DMK_JDC,Mexico,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.36
2020,SG_DMK_JDC,Mexico,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.76
2020,SG_DMK_JDC,Mexico,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.41
2020,SG_DMK_JDC,Mexico,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.3
2019,SG_DMK_JDC,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.61
2019,SG_DMK_JDC,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.99
2019,SG_DMK_JDC,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,2.03
2019,SG_DMK_JDC,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.17
2019,SG_DMK_JDC,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.03
2019,SG_DMK_JDC,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.04
2021,SG_DMK_JDC,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,2.01
2021,SG_DMK_JDC,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.03
2021,SG_DMK_JDC,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.96
2021,SG_DMK_JDC,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.62
2021,SG_DMK_JDC,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.08
2021,SG_DMK_JDC,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.04
2020,SG_DMK_JDC,Norway,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.22
2020,SG_DMK_JDC,Norway,ALLAGE,_T,POP_B,BOTHSEX,REGISTRARS,0.46
2020,SG_DMK_JDC,Norway,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.12
2020,SG_DMK_JDC,Norway,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.67
2020,SG_DMK_JDC,Norway,ALLAGE,_T,POP_A,BOTHSEX,REGISTRARS,1.13
2020,SG_DMK_JDC,Norway,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,1.11
2020,SG_DMK_JDC,Norway,ALLAGE,_T,POP_B,BOTHSEX,JUDGES,0.54
2020,SG_DMK_JDC,Norway,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.94
2021,SG_DMK_JDC,Norway,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.64
2021,SG_DMK_JDC,Norway,ALLAGE,_T,POP_A,BOTHSEX,REGISTRARS,1.1
2021,SG_DMK_JDC,Norway,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.96
2021,SG_DMK_JDC,Norway,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,1.11
2021,SG_DMK_JDC,Norway,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.19
2021,SG_DMK_JDC,Norway,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.98
2021,SG_DMK_JDC,Norway,ALLAGE,_T,POP_B,BOTHSEX,JUDGES,0.53
2021,SG_DMK_JDC,Norway,ALLAGE,_T,POP_B,BOTHSEX,REGISTRARS,0.61
2018,SG_DMK_JDC,Poland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.7
2018,SG_DMK_JDC,Poland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.05
2018,SG_DMK_JDC,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.68
2018,SG_DMK_JDC,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.24
2020,SG_DMK_JDC,Poland,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.1
2020,SG_DMK_JDC,Poland,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.41
2020,SG_DMK_JDC,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.68
2020,SG_DMK_JDC,Poland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.47
2020,SG_DMK_JDC,Poland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.78
2020,SG_DMK_JDC,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.23
2020,SG_DMK_JDC,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2020,SG_DMK_JDC,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.37
2020,SG_DMK_JDC,Slovakia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.91
2020,SG_DMK_JDC,Slovakia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.67
2021,SG_DMK_JDC,Slovakia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.63
2021,SG_DMK_JDC,Slovakia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.9
2021,SG_DMK_JDC,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2021,SG_DMK_JDC,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.37
2020,SG_DMK_JDC,Spain,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.34
2020,SG_DMK_JDC,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.14
2022,SG_DMK_JDC,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.13
2022,SG_DMK_JDC,Spain,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.38
2019,SG_DMK_JDC,Sweden,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.1
2019,SG_DMK_JDC,Sweden,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.15
2019,SG_DMK_JDC,Sweden,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.8
2019,SG_DMK_JDC,Sweden,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.39
2020,SG_DMK_JDC,Sweden,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.38
2020,SG_DMK_JDC,Sweden,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.11
2020,SG_DMK_JDC,Sweden,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.14
2020,SG_DMK_JDC,Sweden,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.78
2019,SG_DMK_JDC,Switzerland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.56
2019,SG_DMK_JDC,Switzerland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.03
2019,SG_DMK_JDC,Switzerland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.24
2019,SG_DMK_JDC,Switzerland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.85
2020,SG_DMK_JDC,Switzerland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.25
2020,SG_DMK_JDC,Switzerland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.22
2020,SG_DMK_JDC,Switzerland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.44
2020,SG_DMK_JDC,Switzerland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.99
2021,SG_DMK_JDC,United Kingdom of Great Britain and Northern Ireland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.68
2022,SG_DMK_JDC,United Kingdom of Great Britain and Northern Ireland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.71
2022,SG_DMK_JDC,United Kingdom of Great Britain and Northern Ireland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.71
