Year,SeriesCode,GeoAreaName,Quantile,Value
2020,SI_POV_50MI,Colombia,B50,22.2
2021,SI_POV_50MI,Colombia,B50,20.7
2000,SI_POV_50MI,Costa Rica,B50,20.7
2001,SI_POV_50MI,Costa Rica,B50,20.9
2002,SI_POV_50MI,Costa Rica,B50,20.7
2003,SI_POV_50MI,Costa Rica,B50,21.6
2004,SI_POV_50MI,Costa Rica,B50,20.1
2005,SI_POV_50MI,Costa Rica,B50,19.6
2006,SI_POV_50MI,Costa Rica,B50,19.3
2007,SI_POV_50MI,Costa Rica,B50,18.5
2008,SI_POV_50MI,Costa Rica,B50,18.6
2009,SI_POV_50MI,Costa Rica,B50,20.2
2010,SI_POV_50MI,Costa Rica,B50,18.3
2011,SI_POV_50MI,Costa Rica,B50,20.3
2012,SI_POV_50MI,Costa Rica,B50,19.9
2013,SI_POV_50MI,Costa Rica,B50,19.6
2014,SI_POV_50MI,Costa Rica,B50,19.7
2015,SI_POV_50MI,Costa Rica,B50,18.6
2016,SI_POV_50MI,Costa Rica,B50,19.5
2017,SI_POV_50MI,Costa Rica,B50,18.7
2018,SI_POV_50MI,Costa Rica,B50,19.3
2019,SI_POV_50MI,Costa Rica,B50,19.1
2020,SI_POV_50MI,Costa Rica,B50,20.3
2021,SI_POV_50MI,Costa Rica,B50,19.6
2009,SI_POV_50MI,Croatia,B50,13.7
2010,SI_POV_50MI,Croatia,B50,13.9
2011,SI_POV_50MI,Croatia,B50,14.4
2012,SI_POV_50MI,Croatia,B50,14.5
2013,SI_POV_50MI,Croatia,B50,13.7
2014,SI_POV_50MI,Croatia,B50,13.7
2015,SI_POV_50MI,Croatia,B50,13.9
2016,SI_POV_50MI,Croatia,B50,14.1
2017,SI_POV_50MI,Croatia,B50,13.2
2018,SI_POV_50MI,Croatia,B50,11.5
2019,SI_POV_50MI,Croatia,B50,11.3
2020,SI_POV_50MI,Croatia,B50,11.6
2004,SI_POV_50MI,Cyprus,B50,7.0
2005,SI_POV_50MI,Cyprus,B50,5.9
2006,SI_POV_50MI,Cyprus,B50,6.6
2007,SI_POV_50MI,Cyprus,B50,7.4
2008,SI_POV_50MI,Cyprus,B50,7.8
2009,SI_POV_50MI,Cyprus,B50,7.2
2010,SI_POV_50MI,Cyprus,B50,7.2
2011,SI_POV_50MI,Cyprus,B50,7.2
2012,SI_POV_50MI,Cyprus,B50,8.4
2013,SI_POV_50MI,Cyprus,B50,8.0
2014,SI_POV_50MI,Cyprus,B50,9.7
2015,SI_POV_50MI,Cyprus,B50,10.1
2016,SI_POV_50MI,Cyprus,B50,8.3
2017,SI_POV_50MI,Cyprus,B50,8.5
2018,SI_POV_50MI,Cyprus,B50,7.5
2019,SI_POV_50MI,Cyprus,B50,7.7
2020,SI_POV_50MI,Cyprus,B50,7.1
2002,SI_POV_50MI,Czechia,B50,7.0
2004,SI_POV_50MI,Czechia,B50,7.9
2005,SI_POV_50MI,Czechia,B50,7.7
2006,SI_POV_50MI,Czechia,B50,7.0
2007,SI_POV_50MI,Czechia,B50,5.9
2008,SI_POV_50MI,Czechia,B50,5.8
2009,SI_POV_50MI,Czechia,B50,6.2
2010,SI_POV_50MI,Czechia,B50,7.1
2011,SI_POV_50MI,Czechia,B50,7.7
2012,SI_POV_50MI,Czechia,B50,6.3
2013,SI_POV_50MI,Czechia,B50,7.0
2014,SI_POV_50MI,Czechia,B50,6.1
2015,SI_POV_50MI,Czechia,B50,6.5
2016,SI_POV_50MI,Czechia,B50,5.4
2017,SI_POV_50MI,Czechia,B50,4.7
2018,SI_POV_50MI,Czechia,B50,4.9
2019,SI_POV_50MI,Czechia,B50,4.7
2020,SI_POV_50MI,Czechia,B50,5.6
2000,SI_POV_50MI,Denmark,B50,4.5
2003,SI_POV_50MI,Denmark,B50,5.7
2004,SI_POV_50MI,Denmark,B50,5.8
2005,SI_POV_50MI,Denmark,B50,5.9
2006,SI_POV_50MI,Denmark,B50,5.7
2007,SI_POV_50MI,Denmark,B50,5.4
2008,SI_POV_50MI,Denmark,B50,5.7
2009,SI_POV_50MI,Denmark,B50,6.9
2010,SI_POV_50MI,Denmark,B50,7.0
2011,SI_POV_50MI,Denmark,B50,6.5
2012,SI_POV_50MI,Denmark,B50,6.2
2013,SI_POV_50MI,Denmark,B50,6.7
2014,SI_POV_50MI,Denmark,B50,6.8
2015,SI_POV_50MI,Denmark,B50,5.9
2016,SI_POV_50MI,Denmark,B50,6.7
2017,SI_POV_50MI,Denmark,B50,6.9
2018,SI_POV_50MI,Denmark,B50,6.6
2019,SI_POV_50MI,Denmark,B50,5.9
2020,SI_POV_50MI,Denmark,B50,6.8
2003,SI_POV_50MI,Estonia,B50,13.5
2004,SI_POV_50MI,Estonia,B50,11.3
2005,SI_POV_50MI,Estonia,B50,10.7
2006,SI_POV_50MI,Estonia,B50,10.2
2007,SI_POV_50MI,Estonia,B50,9.3
2008,SI_POV_50MI,Estonia,B50,10.0
2009,SI_POV_50MI,Estonia,B50,10.7
2010,SI_POV_50MI,Estonia,B50,12.5
2011,SI_POV_50MI,Estonia,B50,11.0
2012,SI_POV_50MI,Estonia,B50,10.8
2013,SI_POV_50MI,Estonia,B50,11.9
2014,SI_POV_50MI,Estonia,B50,10.8
2015,SI_POV_50MI,Estonia,B50,10.6
2016,SI_POV_50MI,Estonia,B50,9.8
2017,SI_POV_50MI,Estonia,B50,9.6
2018,SI_POV_50MI,Estonia,B50,9.9
2019,SI_POV_50MI,Estonia,B50,9.3
2020,SI_POV_50MI,Estonia,B50,9.2
2000,SI_POV_50MI,Finland,B50,5.7
2003,SI_POV_50MI,Finland,B50,6.2
2004,SI_POV_50MI,Finland,B50,6.0
2005,SI_POV_50MI,Finland,B50,5.9
2006,SI_POV_50MI,Finland,B50,6.5
2007,SI_POV_50MI,Finland,B50,6.8
2008,SI_POV_50MI,Finland,B50,6.7
2009,SI_POV_50MI,Finland,B50,7.1
2010,SI_POV_50MI,Finland,B50,7.2
2011,SI_POV_50MI,Finland,B50,6.7
2012,SI_POV_50MI,Finland,B50,6.4
2013,SI_POV_50MI,Finland,B50,6.7
2014,SI_POV_50MI,Finland,B50,6.7
2015,SI_POV_50MI,Finland,B50,6.5
2016,SI_POV_50MI,Finland,B50,6.5
2017,SI_POV_50MI,Finland,B50,6.9
2018,SI_POV_50MI,Finland,B50,6.8
2019,SI_POV_50MI,Finland,B50,7.2
2020,SI_POV_50MI,Finland,B50,6.6
2000,SI_POV_50MI,France,B50,11.7
2001,SI_POV_50MI,France,B50,11.5
2002,SI_POV_50MI,France,B50,10.5
2003,SI_POV_50MI,France,B50,8.9
2004,SI_POV_50MI,France,B50,8.8
2005,SI_POV_50MI,France,B50,8.6
2006,SI_POV_50MI,France,B50,9.3
2007,SI_POV_50MI,France,B50,9.2
2008,SI_POV_50MI,France,B50,9.8
2009,SI_POV_50MI,France,B50,11.1
2010,SI_POV_50MI,France,B50,10.3
2011,SI_POV_50MI,France,B50,9.9
2012,SI_POV_50MI,France,B50,10.1
2013,SI_POV_50MI,France,B50,9.8
2014,SI_POV_50MI,France,B50,10.1
2015,SI_POV_50MI,France,B50,10.8
2016,SI_POV_50MI,France,B50,10.4
2017,SI_POV_50MI,France,B50,10.1
2018,SI_POV_50MI,France,B50,10.0
2019,SI_POV_50MI,France,B50,11.6
2020,SI_POV_50MI,France,B50,11.1
2000,SI_POV_50MI,Georgia,B50,17.0
2001,SI_POV_50MI,Georgia,B50,15.3
2002,SI_POV_50MI,Georgia,B50,14.7
2003,SI_POV_50MI,Georgia,B50,15.4
2004,SI_POV_50MI,Georgia,B50,15.7
2005,SI_POV_50MI,Georgia,B50,15.5
2006,SI_POV_50MI,Georgia,B50,14.8
2007,SI_POV_50MI,Georgia,B50,15.4
2008,SI_POV_50MI,Georgia,B50,15.9
2009,SI_POV_50MI,Georgia,B50,15.1
2010,SI_POV_50MI,Georgia,B50,17.2
2011,SI_POV_50MI,Georgia,B50,16.9
2012,SI_POV_50MI,Georgia,B50,16.8
2013,SI_POV_50MI,Georgia,B50,15.6
2014,SI_POV_50MI,Georgia,B50,15.1
2015,SI_POV_50MI,Georgia,B50,13.4
2016,SI_POV_50MI,Georgia,B50,14.0
2017,SI_POV_50MI,Georgia,B50,14.8
2018,SI_POV_50MI,Georgia,B50,14.6
2019,SI_POV_50MI,Georgia,B50,13.8
2020,SI_POV_50MI,Georgia,B50,14.0
2021,SI_POV_50MI,Georgia,B50,13.5
2000,SI_POV_50MI,Germany,B50,8.0
2001,SI_POV_50MI,Germany,B50,8.0
2002,SI_POV_50MI,Germany,B50,8.0
2003,SI_POV_50MI,Germany,B50,8.5
2004,SI_POV_50MI,Germany,B50,8.5
2005,SI_POV_50MI,Germany,B50,8.7
2006,SI_POV_50MI,Germany,B50,8.7
2007,SI_POV_50MI,Germany,B50,8.5
2008,SI_POV_50MI,Germany,B50,8.5
2009,SI_POV_50MI,Germany,B50,9.2
2010,SI_POV_50MI,Germany,B50,8.7
2011,SI_POV_50MI,Germany,B50,8.7
2012,SI_POV_50MI,Germany,B50,9.7
2013,SI_POV_50MI,Germany,B50,9.5
2014,SI_POV_50MI,Germany,B50,10.5
2015,SI_POV_50MI,Germany,B50,10.5
2016,SI_POV_50MI,Germany,B50,11.0
2017,SI_POV_50MI,Germany,B50,11.5
2018,SI_POV_50MI,Germany,B50,10.2
2019,SI_POV_50MI,Germany,B50,10.7
2000,SI_POV_50MI,Greece,B50,15.2
2003,SI_POV_50MI,Greece,B50,13.4
2004,SI_POV_50MI,Greece,B50,13.5
2005,SI_POV_50MI,Greece,B50,14.1
2006,SI_POV_50MI,Greece,B50,14.5
2007,SI_POV_50MI,Greece,B50,13.6
2008,SI_POV_50MI,Greece,B50,13.0
2009,SI_POV_50MI,Greece,B50,13.2
2010,SI_POV_50MI,Greece,B50,14.5
2011,SI_POV_50MI,Greece,B50,16.3
2012,SI_POV_50MI,Greece,B50,17.5
2013,SI_POV_50MI,Greece,B50,17.2
2014,SI_POV_50MI,Greece,B50,16.7
2015,SI_POV_50MI,Greece,B50,17.5
2016,SI_POV_50MI,Greece,B50,16.2
2017,SI_POV_50MI,Greece,B50,14.9
2018,SI_POV_50MI,Greece,B50,13.8
2019,SI_POV_50MI,Greece,B50,13.9
2020,SI_POV_50MI,Greece,B50,15.0
2004,SI_POV_50MI,Hungary,B50,10.2
2005,SI_POV_50MI,Hungary,B50,12.9
2006,SI_POV_50MI,Hungary,B50,9.6
2007,SI_POV_50MI,Hungary,B50,9.6
2008,SI_POV_50MI,Hungary,B50,9.9
2009,SI_POV_50MI,Hungary,B50,10.2
2010,SI_POV_50MI,Hungary,B50,11.4
2011,SI_POV_50MI,Hungary,B50,11.7
2012,SI_POV_50MI,Hungary,B50,12.7
2013,SI_POV_50MI,Hungary,B50,12.7
2014,SI_POV_50MI,Hungary,B50,12.7
2015,SI_POV_50MI,Hungary,B50,12.5
2016,SI_POV_50MI,Hungary,B50,10.2
2017,SI_POV_50MI,Hungary,B50,11.5
2018,SI_POV_50MI,Hungary,B50,10.9
2019,SI_POV_50MI,Hungary,B50,9.3
2020,SI_POV_50MI,Hungary,B50,10.0
2003,SI_POV_50MI,Iceland,B50,6.3
2004,SI_POV_50MI,Iceland,B50,5.7
2005,SI_POV_50MI,Iceland,B50,6.5
2006,SI_POV_50MI,Iceland,B50,6.6
2007,SI_POV_50MI,Iceland,B50,6.2
2008,SI_POV_50MI,Iceland,B50,6.9
2009,SI_POV_50MI,Iceland,B50,7.0
2010,SI_POV_50MI,Iceland,B50,6.7
2011,SI_POV_50MI,Iceland,B50,7.2
2012,SI_POV_50MI,Iceland,B50,6.7
2013,SI_POV_50MI,Iceland,B50,5.4
2014,SI_POV_50MI,Iceland,B50,6.3
2015,SI_POV_50MI,Iceland,B50,6.1
2019,SI_POV_50MI,United Kingdom of Great Britain and Northern Ireland,B50,13.0
2020,SI_POV_50MI,United Kingdom of Great Britain and Northern Ireland,B50,11.5
2000,SI_POV_50MI,Uzbekistan,B50,11.4
2002,SI_POV_50MI,Uzbekistan,B50,8.1
2003,SI_POV_50MI,Uzbekistan,B50,10.4
2003,SI_POV_50MI,Uzbekistan,B50,10.4
