Year,Черта бедности,Страна ,Value
2001,"6,85$ в день (ППС 2017) UMIC",Australia,1.5
2003,"2,15$ в день (ППС 2017) доллар-в-день",Australia,1.0
2003,"3,65$ в день (ППС 2017) LMIC",Australia,1.2
2003,"6,85$ в день (ППС 2017) UMIC",Australia,1.7
2004,"2,15$ в день (ППС 2017) доллар-в-день",Australia,0.7
2004,"3,65$ в день (ППС 2017) LMIC",Australia,0.7
2004,"6,85$ в день (ППС 2017) UMIC",Australia,1.2
2008,"2,15$ в день (ППС 2017) доллар-в-день",Australia,0.4
2008,"3,65$ в день (ППС 2017) LMIC",Australia,0.7
2008,"6,85$ в день (ППС 2017) UMIC",Australia,0.7
2010,"2,15$ в день (ППС 2017) доллар-в-день",Australia,0.3
2010,"3,65$ в день (ППС 2017) LMIC",Australia,0.7
2010,"6,85$ в день (ППС 2017) UMIC",Australia,1.0
2014,"2,15$ в день (ППС 2017) доллар-в-день",Australia,0.5
2014,"3,65$ в день (ППС 2017) LMIC",Australia,0.7
2014,"6,85$ в день (ППС 2017) UMIC",Australia,1.0
2016,"2,15$ в день (ППС 2017) доллар-в-день",Australia,0.5
2016,"3,65$ в день (ППС 2017) LMIC",Australia,0.5
2016,"6,85$ в день (ППС 2017) UMIC",Australia,1.0
2018,"2,15$ в день (ППС 2017) доллар-в-день",Australia,0.5
2018,"3,65$ в день (ППС 2017) LMIC",Australia,0.7
2018,"6,85$ в день (ППС 2017) UMIC",Australia,1.0
1998,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.5
1998,"3,65$ в день (ППС 2017) LMIC",Canada,0.7
1998,"6,85$ в день (ППС 2017) UMIC",Canada,1.2
1999,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.5
1999,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
1999,"6,85$ в день (ППС 2017) UMIC",Canada,1.2
2000,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2000,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2000,"6,85$ в день (ППС 2017) UMIC",Canada,1.0
2001,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2001,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2001,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2002,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2002,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2002,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2003,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2003,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2003,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2004,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2004,"3,65$ в день (ППС 2017) LMIC",Canada,0.2
2004,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2005,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2005,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2005,"6,85$ в день (ППС 2017) UMIC",Canada,1.0
2006,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2006,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2006,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2007,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2007,"3,65$ в день (ППС 2017) LMIC",Canada,0.2
2007,"6,85$ в день (ППС 2017) UMIC",Canada,0.5
2008,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2008,"3,65$ в день (ППС 2017) LMIC",Canada,0.2
2008,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2009,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2009,"3,65$ в день (ППС 2017) LMIC",Canada,0.2
2009,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2010,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2010,"3,65$ в день (ППС 2017) LMIC",Canada,0.2
2010,"6,85$ в день (ППС 2017) UMIC",Canada,0.5
2011,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2011,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2011,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2012,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2012,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2012,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2013,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.5
2013,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2013,"6,85$ в день (ППС 2017) UMIC",Canada,1.0
2014,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2014,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2014,"6,85$ в день (ППС 2017) UMIC",Canada,1.0
2015,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2015,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2015,"6,85$ в день (ППС 2017) UMIC",Canada,1.0
2016,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2016,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2016,"6,85$ в день (ППС 2017) UMIC",Canada,1.0
2017,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2017,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2017,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2018,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2018,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2018,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
2019,"2,15$ в день (ППС 2017) доллар-в-день",Canada,0.2
2019,"3,65$ в день (ППС 2017) LMIC",Canada,0.5
2019,"6,85$ в день (ППС 2017) UMIC",Canada,0.7
1998,"2,15$ в день (ППС 2017) доллар-в-день",Chile,4.6
1998,"3,65$ в день (ППС 2017) LMIC",Chile,14.9
1998,"6,85$ в день (ППС 2017) UMIC",Chile,38.9
2000,"2,15$ в день (ППС 2017) доллар-в-день",Chile,5.8
2000,"3,65$ в день (ППС 2017) LMIC",Chile,16.0
2000,"6,85$ в день (ППС 2017) UMIC",Chile,41.4
2003,"2,15$ в день (ППС 2017) доллар-в-день",Chile,5.3
2003,"3,65$ в день (ППС 2017) LMIC",Chile,15.3
2003,"6,85$ в день (ППС 2017) UMIC",Chile,40.6
2006,"2,15$ в день (ППС 2017) доллар-в-день",Chile,2.1
2006,"3,65$ в день (ППС 2017) LMIC",Chile,7.8
2006,"6,85$ в день (ППС 2017) UMIC",Chile,29.9
2009,"2,15$ в день (ППС 2017) доллар-в-день",Chile,1.7
2009,"3,65$ в день (ППС 2017) LMIC",Chile,5.8
2009,"6,85$ в день (ППС 2017) UMIC",Chile,25.4
2011,"2,15$ в день (ППС 2017) доллар-в-день",Chile,0.9
2011,"3,65$ в день (ППС 2017) LMIC",Chile,4.0
2011,"6,85$ в день (ППС 2017) UMIC",Chile,21.2
2013,"2,15$ в день (ППС 2017) доллар-в-день",Chile,0.5
2013,"3,65$ в день (ППС 2017) LMIC",Chile,2.0
2013,"6,85$ в день (ППС 2017) UMIC",Chile,12.9
2015,"2,15$ в день (ППС 2017) доллар-в-день",Chile,0.4
2015,"3,65$ в день (ППС 2017) LMIC",Chile,1.6
2015,"6,85$ в день (ППС 2017) UMIC",Chile,10.2
2017,"2,15$ в день (ППС 2017) доллар-в-день",Chile,0.3
2017,"3,65$ в день (ППС 2017) LMIC",Chile,1.1
2017,"6,85$ в день (ППС 2017) UMIC",Chile,7.5
2020,"2,15$ в день (ППС 2017) доллар-в-день",Chile,0.7
2020,"3,65$ в день (ППС 2017) LMIC",Chile,1.7
2020,"6,85$ в день (ППС 2017) UMIC",Chile,8.0
1999,"2,15$ в день (ППС 2017) доллар-в-день",China,46.0
1999,"3,65$ в день (ППС 2017) LMIC",China,73.3
1999,"6,85$ в день (ППС 2017) UMIC",China,93.1
2002,"2,15$ в день (ППС 2017) доллар-в-день",China,36.5
2002,"3,65$ в день (ППС 2017) LMIC",China,62.8
2002,"6,85$ в день (ППС 2017) UMIC",China,86.9
2005,"2,15$ в день (ППС 2017) доллар-в-день",China,22.1
2005,"3,65$ в день (ППС 2017) LMIC",China,49.0
2005,"6,85$ в день (ППС 2017) UMIC",China,78.5
2008,"2,15$ в день (ППС 2017) доллар-в-день",China,18.0
2008,"3,65$ в день (ППС 2017) LMIC",China,39.7
2008,"6,85$ в день (ППС 2017) UMIC",China,69.5
2010,"2,15$ в день (ППС 2017) доллар-в-день",China,13.9
2010,"3,65$ в день (ППС 2017) LMIC",China,33.1
2010,"6,85$ в день (ППС 2017) UMIC",China,62.5
2011,"2,15$ в день (ППС 2017) доллар-в-день",China,10.2
2011,"3,65$ в день (ППС 2017) LMIC",China,28.0
2011,"6,85$ в день (ППС 2017) UMIC",China,58.9
2012,"2,15$ в день (ППС 2017) доллар-в-день",China,8.5
2012,"3,65$ в день (ППС 2017) LMIC",China,24.2
2012,"6,85$ в день (ППС 2017) UMIC",China,54.1
2013,"2,15$ в день (ППС 2017) доллар-в-день",China,2.9
2013,"3,65$ в день (ППС 2017) LMIC",China,15.8
2013,"6,85$ в день (ППС 2017) UMIC",China,47.3
2014,"2,15$ в день (ППС 2017) доллар-в-день",China,2.1
2014,"3,65$ в день (ППС 2017) LMIC",China,12.7
2014,"6,85$ в день (ППС 2017) UMIC",China,42.3
2015,"2,15$ в день (ППС 2017) доллар-в-день",China,1.2
2015,"3,65$ в день (ППС 2017) LMIC",China,9.8
2015,"6,85$ в день (ППС 2017) UMIC",China,37.9
2016,"2,15$ в день (ППС 2017) доллар-в-день",China,0.8
2016,"3,65$ в день (ППС 2017) LMIC",China,7.8
2016,"6,85$ в день (ППС 2017) UMIC",China,34.2
2017,"2,15$ в день (ППС 2017) доллар-в-день",China,0.7
2017,"3,65$ в день (ППС 2017) LMIC",China,6.8
2017,"6,85$ в день (ППС 2017) UMIC",China,32.0
2018,"2,15$ в день (ППС 2017) доллар-в-день",China,0.4
2018,"3,65$ в день (ППС 2017) LMIC",China,5.0
2018,"6,85$ в день (ППС 2017) UMIC",China,28.1
2019,"2,15$ в день (ППС 2017) доллар-в-день",China,0.1
2019,"3,65$ в день (ППС 2017) LMIC",China,3.0
2019,"6,85$ в день (ППС 2017) UMIC",China,24.7
2020,"2,15$ в день (ППС 2017) доллар-в-день",China,0.1
2020,"3,65$ в день (ППС 2017) LMIC",China,2.0
2020,"6,85$ в день (ППС 2017) UMIC",China,24.7
1999,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,21.4
1999,"3,65$ в день (ППС 2017) LMIC",Colombia,38.2
1999,"6,85$ в день (ППС 2017) UMIC",Colombia,64.3
2000,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,17.5
2000,"3,65$ в день (ППС 2017) LMIC",Colombia,33.2
2000,"6,85$ в день (ППС 2017) UMIC",Colombia,59.5
2001,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,21.0
2001,"3,65$ в день (ППС 2017) LMIC",Colombia,39.5
2001,"6,85$ в день (ППС 2017) UMIC",Colombia,67.0
2002,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,14.2
2002,"3,65$ в день (ППС 2017) LMIC",Colombia,30.9
2002,"6,85$ в день (ППС 2017) UMIC",Colombia,57.7
2003,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,13.0
2003,"3,65$ в день (ППС 2017) LMIC",Colombia,29.3
2003,"6,85$ в день (ППС 2017) UMIC",Colombia,58.0
2004,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,12.0
2004,"3,65$ в день (ППС 2017) LMIC",Colombia,28.8
2004,"6,85$ в день (ППС 2017) UMIC",Colombia,57.3
2005,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,10.7
2005,"3,65$ в день (ППС 2017) LMIC",Colombia,25.6
2005,"6,85$ в день (ППС 2017) UMIC",Colombia,53.5
2008,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,11.0
2008,"3,65$ в день (ППС 2017) LMIC",Colombia,24.1
2008,"6,85$ в день (ППС 2017) UMIC",Colombia,48.5
2009,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,9.6
2009,"3,65$ в день (ППС 2017) LMIC",Colombia,22.2
2009,"6,85$ в день (ППС 2017) UMIC",Colombia,47.3
2010,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,8.3
2010,"3,65$ в день (ППС 2017) LMIC",Colombia,20.0
2010,"6,85$ в день (ППС 2017) UMIC",Colombia,44.6
2011,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,6.8
2011,"3,65$ в день (ППС 2017) LMIC",Colombia,17.9
2011,"6,85$ в день (ППС 2017) UMIC",Colombia,41.6
2012,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,6.7
2012,"3,65$ в день (ППС 2017) LMIC",Colombia,16.8
2012,"6,85$ в день (ППС 2017) UMIC",Colombia,39.8
2013,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,6.1
2013,"3,65$ в день (ППС 2017) LMIC",Colombia,15.3
2013,"6,85$ в день (ППС 2017) UMIC",Colombia,37.6
2014,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,5.4
2014,"3,65$ в день (ППС 2017) LMIC",Colombia,14.3
2014,"6,85$ в день (ППС 2017) UMIC",Colombia,35.4
2015,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,4.9
2015,"3,65$ в день (ППС 2017) LMIC",Colombia,13.0
2015,"6,85$ в день (ППС 2017) UMIC",Colombia,34.6
2016,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,4.9
2016,"3,65$ в день (ППС 2017) LMIC",Colombia,12.9
2016,"6,85$ в день (ППС 2017) UMIC",Colombia,34.3
2017,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,4.3
2017,"3,65$ в день (ППС 2017) LMIC",Colombia,12.1
2017,"6,85$ в день (ППС 2017) UMIC",Colombia,33.7
2018,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,4.5
2018,"3,65$ в день (ППС 2017) LMIC",Colombia,12.2
2018,"6,85$ в день (ППС 2017) UMIC",Colombia,33.9
2019,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,5.3
2019,"3,65$ в день (ППС 2017) LMIC",Colombia,13.7
2019,"6,85$ в день (ППС 2017) UMIC",Colombia,34.8
2020,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,9.4
2020,"3,65$ в день (ППС 2017) LMIC",Colombia,19.3
2020,"6,85$ в день (ППС 2017) UMIC",Colombia,42.2
2021,"2,15$ в день (ППС 2017) доллар-в-день",Colombia,6.6
2021,"3,65$ в день (ППС 2017) LMIC",Colombia,16.0
2021,"6,85$ в день (ППС 2017) UMIC",Colombia,39.2
1998,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,5.2
1998,"3,65$ в день (ППС 2017) LMIC",Costa Rica,11.9
1998,"6,85$ в день (ППС 2017) UMIC",Costa Rica,33.6
1999,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,6.8
1999,"3,65$ в день (ППС 2017) LMIC",Costa Rica,14.0
1999,"6,85$ в день (ППС 2017) UMIC",Costa Rica,36.1
2000,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,6.9
2000,"3,65$ в день (ППС 2017) LMIC",Costa Rica,14.8
2000,"6,85$ в день (ППС 2017) UMIC",Costa Rica,36.1
2001,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,5.1
2001,"3,65$ в день (ППС 2017) LMIC",Costa Rica,11.5
2001,"6,85$ в день (ППС 2017) UMIC",Costa Rica,28.0
2002,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,4.7
2002,"3,65$ в день (ППС 2017) LMIC",Costa Rica,10.5
2002,"6,85$ в день (ППС 2017) UMIC",Costa Rica,27.8
2003,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,4.7
2003,"3,65$ в день (ППС 2017) LMIC",Costa Rica,10.5
2003,"6,85$ в день (ППС 2017) UMIC",Costa Rica,26.5
2004,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,4.7
2004,"3,65$ в день (ППС 2017) LMIC",Costa Rica,9.8
2004,"6,85$ в день (ППС 2017) UMIC",Costa Rica,27.9
2005,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,3.3
2005,"3,65$ в день (ППС 2017) LMIC",Costa Rica,8.5
2005,"6,85$ в день (ППС 2017) UMIC",Costa Rica,25.4
2006,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,3.3
2006,"3,65$ в день (ППС 2017) LMIC",Costa Rica,8.2
2006,"6,85$ в день (ППС 2017) UMIC",Costa Rica,25.1
2007,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.8
2007,"3,65$ в день (ППС 2017) LMIC",Costa Rica,5.9
2007,"6,85$ в день (ППС 2017) UMIC",Costa Rica,20.3
2008,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,2.4
2008,"3,65$ в день (ППС 2017) LMIC",Costa Rica,5.7
2008,"6,85$ в день (ППС 2017) UMIC",Costa Rica,20.0
2009,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,2.5
2009,"3,65$ в день (ППС 2017) LMIC",Costa Rica,6.1
2009,"6,85$ в день (ППС 2017) UMIC",Costa Rica,19.4
2010,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.5
2010,"3,65$ в день (ППС 2017) LMIC",Costa Rica,4.1
2010,"6,85$ в день (ППС 2017) UMIC",Costa Rica,15.6
2011,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.8
2011,"3,65$ в день (ППС 2017) LMIC",Costa Rica,4.8
2011,"6,85$ в день (ППС 2017) UMIC",Costa Rica,16.4
2012,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.7
2012,"3,65$ в день (ППС 2017) LMIC",Costa Rica,4.4
2012,"6,85$ в день (ППС 2017) UMIC",Costa Rica,15.6
2013,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.6
2013,"3,65$ в день (ППС 2017) LMIC",Costa Rica,4.3
2013,"6,85$ в день (ППС 2017) UMIC",Costa Rica,15.6
2014,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.5
2014,"3,65$ в день (ППС 2017) LMIC",Costa Rica,4.3
2014,"6,85$ в день (ППС 2017) UMIC",Costa Rica,15.1
2015,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.6
2015,"3,65$ в день (ППС 2017) LMIC",Costa Rica,4.4
2015,"6,85$ в день (ППС 2017) UMIC",Costa Rica,14.8
2016,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.3
2016,"3,65$ в день (ППС 2017) LMIC",Costa Rica,4.1
2016,"6,85$ в день (ППС 2017) UMIC",Costa Rica,14.2
2017,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.2
2017,"3,65$ в день (ППС 2017) LMIC",Costa Rica,3.1
2017,"6,85$ в день (ППС 2017) UMIC",Costa Rica,12.9
2018,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.5
2018,"3,65$ в день (ППС 2017) LMIC",Costa Rica,4.0
2018,"6,85$ в день (ППС 2017) UMIC",Costa Rica,13.9
2019,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.1
2019,"3,65$ в день (ППС 2017) LMIC",Costa Rica,3.5
2019,"6,85$ в день (ППС 2017) UMIC",Costa Rica,13.7
2020,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,2.3
2020,"3,65$ в день (ППС 2017) LMIC",Costa Rica,6.0
2020,"6,85$ в день (ППС 2017) UMIC",Costa Rica,19.9
2021,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,1.2
2021,"3,65$ в день (ППС 2017) LMIC",Costa Rica,3.7
2021,"6,85$ в день (ППС 2017) UMIC",Costa Rica,14.5
2022,"2,15$ в день (ППС 2017) доллар-в-день",Costa Rica,0.9
2022,"3,65$ в день (ППС 2017) LMIC",Costa Rica,3.3
2022,"6,85$ в день (ППС 2017) UMIC",Costa Rica,14.1
2004,"2,15$ в день (ППС 2017) доллар-в-день",India,39.9
2004,"3,65$ в день (ППС 2017) LMIC",India,76.6
2004,"6,85$ в день (ППС 2017) UMIC",India,94.4
2009,"2,15$ в день (ППС 2017) доллар-в-день",India,32.9
2009,"3,65$ в день (ППС 2017) LMIC",India,71.6
2009,"6,85$ в день (ППС 2017) UMIC",India,92.9
2011,"2,15$ в день (ППС 2017) доллар-в-день",India,22.5
2011,"3,65$ в день (ППС 2017) LMIC",India,62.3
2011,"6,85$ в день (ППС 2017) UMIC",India,89.9
2015,"2,15$ в день (ППС 2017) доллар-в-день",India,18.7
2015,"3,65$ в день (ППС 2017) LMIC",India,60.9
2015,"6,85$ в день (ППС 2017) UMIC",India,88.9
2016,"2,15$ в день (ППС 2017) доллар-в-день",India,18.1
2016,"3,65$ в день (ППС 2017) LMIC",India,59.8
2016,"6,85$ в день (ППС 2017) UMIC",India,88.7
2017,"2,15$ в день (ППС 2017) доллар-в-день",India,13.4
2017,"3,65$ в день (ППС 2017) LMIC",India,54.3
2017,"6,85$ в день (ППС 2017) UMIC",India,85.3
2018,"2,15$ в день (ППС 2017) доллар-в-день",India,11.1
2018,"3,65$ в день (ППС 2017) LMIC",India,46.8
2018,"6,85$ в день (ППС 2017) UMIC",India,82.6
2019,"2,15$ в день (ППС 2017) доллар-в-день",India,12.7
2019,"3,65$ в день (ППС 2017) LMIC",India,45.9
2019,"6,85$ в день (ППС 2017) UMIC",India,82.4
2020,"2,15$ в день (ППС 2017) доллар-в-день",India,14.7
2020,"3,65$ в день (ППС 2017) LMIC",India,49.7
2020,"6,85$ в день (ППС 2017) UMIC",India,84.0
2021,"2,15$ в день (ППС 2017) доллар-в-день",India,11.9
2021,"3,65$ в день (ППС 2017) LMIC",India,46.5
2021,"6,85$ в день (ППС 2017) UMIC",India,83.0
2001,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.2
2001,"3,65$ в день (ППС 2017) LMIC",Israel,0.5
2001,"6,85$ в день (ППС 2017) UMIC",Israel,4.2
2002,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2002,"3,65$ в день (ППС 2017) LMIC",Israel,1.7
2002,"6,85$ в день (ППС 2017) UMIC",Israel,8.5
2003,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2003,"3,65$ в день (ППС 2017) LMIC",Israel,2.0
2003,"6,85$ в день (ППС 2017) UMIC",Israel,9.0
2004,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2004,"3,65$ в день (ППС 2017) LMIC",Israel,2.0
2004,"6,85$ в день (ППС 2017) UMIC",Israel,9.7
2005,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2005,"3,65$ в день (ППС 2017) LMIC",Israel,1.5
2005,"6,85$ в день (ППС 2017) UMIC",Israel,9.4
2006,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.2
2006,"3,65$ в день (ППС 2017) LMIC",Israel,1.2
2006,"6,85$ в день (ППС 2017) UMIC",Israel,9.0
2007,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2007,"3,65$ в день (ППС 2017) LMIC",Israel,1.0
2007,"6,85$ в день (ППС 2017) UMIC",Israel,7.2
2008,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2008,"3,65$ в день (ППС 2017) LMIC",Israel,1.5
2008,"6,85$ в день (ППС 2017) UMIC",Israel,7.2
2009,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2009,"3,65$ в день (ППС 2017) LMIC",Israel,1.7
2009,"6,85$ в день (ППС 2017) UMIC",Israel,8.2
2010,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.2
2010,"3,65$ в день (ППС 2017) LMIC",Israel,1.2
2010,"6,85$ в день (ППС 2017) UMIC",Israel,7.2
2011,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.2
2011,"3,65$ в день (ППС 2017) LMIC",Israel,1.5
2011,"6,85$ в день (ППС 2017) UMIC",Israel,7.0
2012,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.7
2012,"3,65$ в день (ППС 2017) LMIC",Israel,1.5
2012,"6,85$ в день (ППС 2017) UMIC",Israel,6.7
2013,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2013,"3,65$ в день (ППС 2017) LMIC",Israel,1.0
2013,"6,85$ в день (ППС 2017) UMIC",Israel,5.2
2014,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2014,"3,65$ в день (ППС 2017) LMIC",Israel,1.2
2014,"6,85$ в день (ППС 2017) UMIC",Israel,5.5
2015,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2015,"3,65$ в день (ППС 2017) LMIC",Israel,0.7
2015,"6,85$ в день (ППС 2017) UMIC",Israel,5.0
2016,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.2
2016,"3,65$ в день (ППС 2017) LMIC",Israel,1.0
2016,"6,85$ в день (ППС 2017) UMIC",Israel,4.0
2017,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2017,"3,65$ в день (ППС 2017) LMIC",Israel,1.2
2017,"6,85$ в день (ППС 2017) UMIC",Israel,4.2
2018,"2,15$ в день (ППС 2017) доллар-в-день",Israel,0.5
2018,"3,65$ в день (ППС 2017) LMIC",Israel,1.0
2018,"6,85$ в день (ППС 2017) UMIC",Israel,3.2
2008,"2,15$ в день (ППС 2017) доллар-в-день",Japan,0.5
2008,"3,65$ в день (ППС 2017) LMIC",Japan,1.0
2008,"6,85$ в день (ППС 2017) UMIC",Japan,2.2
2010,"2,15$ в день (ППС 2017) доллар-в-день",Japan,0.0
2010,"3,65$ в день (ППС 2017) LMIC",Japan,0.2
2010,"6,85$ в день (ППС 2017) UMIC",Japan,0.5
2013,"2,15$ в день (ППС 2017) доллар-в-день",Japan,0.7
2013,"3,65$ в день (ППС 2017) LMIC",Japan,0.9
2013,"6,85$ в день (ППС 2017) UMIC",Japan,1.4
1998,"2,15$ в день (ППС 2017) доллар-в-день",Mexico,12.9
1998,"3,65$ в день (ППС 2017) LMIC",Mexico,27.8
1998,"6,85$ в день (ППС 2017) UMIC",Mexico,55.2
2000,"2,15$ в день (ППС 2017) доллар-в-день",Mexico,8.9
2000,"3,65$ в день (ППС 2017) LMIC",Mexico,21.3
2000,"6,85$ в день (ППС 2017) UMIC",Mexico,48.2
2002,"2,15$ в день (ППС 2017) доллар-в-день",Mexico,6.6
2002,"3,65$ в день (ППС 2017) LMIC",Mexico,19.0
2002,"6,85$ в день (ППС 2017) UMIC",Mexico,45.3
2004,"2,15$ в день (ППС 2017) доллар-в-день",Mexico,6.0
2004,"3,65$ в день (ППС 2017) LMIC",Mexico,16.0
2004,"6,85$ в день (ППС 2017) UMIC",Mexico,42.1
2005,"2,15$ в день (ППС 2017) доллар-в-день",Mexico,6.5
2005,"3,65$ в день (ППС 2017) LMIC",Mexico,16.1
2005,"6,85$ в день (ППС 2017) UMIC",Mexico,40.9
2006,"2,15$ в день (ППС 2017) доллар-в-день",Mexico,4.2
2006,"3,65$ в день (ППС 2017) LMIC",Mexico,13.1
2006,"6,85$ в день (ППС 2017) UMIC",Mexico,37.2
2008,"2,15$ в день (ППС 2017) доллар-в-день",Mexico,5.4
2008,"3,65$ в день (ППС 2017) LMIC",Mexico,14.5
2008,"6,85$ в день (ППС 2017) UMIC",Mexico,37.8
2010,"2,15$ в день (ППС 2017) доллар-в-день",Mexico,4.5
2010,"3,65$ в день (ППС 2017) LMIC",Mexico,12.8
2010,"6,85$ в день (ППС 2017) UMIC",Mexico,38.1
