Year,Черта бедности,Страна ,Value
2010,"3,65$ в день (ППС 2017) LMIC",Казахстан,2.9
2010,"6,85$ в день (ППС 2017) UMIC",Казахстан,32.0
2011,"2,15$ в день (ППС 2017) доллар-в-день",Казахстан,0.1
2011,"3,65$ в день (ППС 2017) LMIC",Казахстан,1.1
2011,"6,85$ в день (ППС 2017) UMIC",Казахстан,19.2
2012,"2,15$ в день (ППС 2017) доллар-в-день",Казахстан,0.0
2012,"3,65$ в день (ППС 2017) LMIC",Казахстан,0.9
2012,"6,85$ в день (ППС 2017) UMIC",Казахстан,19.0
2013,"2,15$ в день (ППС 2017) доллар-в-день",Казахстан,0.0
2013,"3,65$ в день (ППС 2017) LMIC",Казахстан,0.4
2013,"6,85$ в день (ППС 2017) UMIC",Казахстан,13.7
2014,"2,15$ в день (ППС 2017) доллар-в-день",Казахстан,0.0
2014,"3,65$ в день (ППС 2017) LMIC",Казахстан,0.5
2014,"6,85$ в день (ППС 2017) UMIC",Казахстан,14.8
2015,"2,15$ в день (ППС 2017) доллар-в-день",Казахстан,0.0
2015,"3,65$ в день (ППС 2017) LMIC",Казахстан,0.7
2015,"6,85$ в день (ППС 2017) UMIC",Казахстан,17.2
2016,"2,15$ в день (ППС 2017) доллар-в-день",Казахстан,0.1
2016,"3,65$ в день (ППС 2017) LMIC",Казахстан,1.3
2016,"6,85$ в день (ППС 2017) UMIC",Казахстан,23.8
2017,"2,15$ в день (ППС 2017) доллар-в-день",Казахстан,0.0
2017,"3,65$ в день (ППС 2017) LMIC",Казахстан,0.7
2017,"6,85$ в день (ППС 2017) UMIC",Казахстан,18.8
2018,"2,15$ в день (ППС 2017) доллар-в-день",Казахстан,0.0
2018,"3,65$ в день (ППС 2017) LMIC",Казахстан,0.5
2018,"6,85$ в день (ППС 2017) UMIC",Казахстан,14.3
2000,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,38.2
2000,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,75.7
2000,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,95.2
2001,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,33.4
2001,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,71.5
2001,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,95.0
2002,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,31.1
2002,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,69.7
2002,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,94.6
2003,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,25.7
2003,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,67.5
2003,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,94.1
2004,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,11.6
2004,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,44.2
2004,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,80.0
2005,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,13.6
2005,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,49.7
2005,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,84.7
2006,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,8.4
2006,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,37.0
2006,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,72.9
2007,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,8.8
2007,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,33.6
2007,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,74.2
2008,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,3.3
2008,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,22.7
2008,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,67.6
2009,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,1.5
2009,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,18.7
2009,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,67.6
2010,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,3.5
2010,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,21.4
2010,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,70.5
2011,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,1.3
2011,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,19.3
2011,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,70.6
2012,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,2.6
2012,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,20.0
2012,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,73.3
2013,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,2.6
2013,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,24.1
2013,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,73.3
2014,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,1.0
2014,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,17.6
2014,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,70.8
2015,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,2.2
2015,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,21.1
2015,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,73.8
2016,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,1.1
2016,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,17.0
2016,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,71.3
2017,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,1.3
2017,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,17.3
2017,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,70.3
2018,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,0.7
2018,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,13.2
2018,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,66.1
2019,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,0.7
2019,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,11.7
2019,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,63.7
2020,"2,15$ в день (ППС 2017) доллар-в-день",Кыргызстан,1.3
2020,"3,65$ в день (ППС 2017) LMIC",Кыргызстан,18.7
2020,"6,85$ в день (ППС 2017) UMIC",Кыргызстан,67.6
1999,"2,15$ в день (ППС 2017) доллар-в-день",Таджикистан,62.0
1999,"3,65$ в день (ППС 2017) LMIC",Таджикистан,90.4
1999,"6,85$ в день (ППС 2017) UMIC",Таджикистан,99.2
2003,"2,15$ в день (ППС 2017) доллар-в-день",Таджикистан,36.7
2003,"3,65$ в день (ППС 2017) LMIC",Таджикистан,72.7
2003,"6,85$ в день (ППС 2017) UMIC",Таджикистан,94.8
2004,"2,15$ в день (ППС 2017) доллар-в-день",Таджикистан,21.4
2004,"3,65$ в день (ППС 2017) LMIC",Таджикистан,55.0
2004,"6,85$ в день (ППС 2017) UMIC",Таджикистан,87.7
2007,"2,15$ в день (ППС 2017) доллар-в-день",Таджикистан,12.8
2007,"3,65$ в день (ППС 2017) LMIC",Таджикистан,42.7
2007,"6,85$ в день (ППС 2017) UMIC",Таджикистан,85.0
2009,"2,15$ в день (ППС 2017) доллар-в-день",Таджикистан,6.8
2009,"3,65$ в день (ППС 2017) LMIC",Таджикистан,32.0
2009,"6,85$ в день (ППС 2017) UMIC",Таджикистан,76.3
2015,"2,15$ в день (ППС 2017) доллар-в-день",Таджикистан,6.1
2015,"3,65$ в день (ППС 2017) LMIC",Таджикистан,25.7
2015,"6,85$ в день (ППС 2017) UMIC",Таджикистан,66.4
1998,"2,15$ в день (ППС 2017) доллар-в-день",Туркменистан,43.1
1998,"3,65$ в день (ППС 2017) LMIC",Туркменистан,71.1
1998,"6,85$ в день (ППС 2017) UMIC",Туркменистан,91.3
1998,"2,15$ в день (ППС 2017) доллар-в-день",Узбекистан,58.8
1998,"3,65$ в день (ППС 2017) LMIC",Узбекистан,82.3
1998,"6,85$ в день (ППС 2017) UMIC",Узбекистан,95.5
2000,"2,15$ в день (ППС 2017) доллар-в-день",Узбекистан,81.3
2000,"3,65$ в день (ППС 2017) LMIC",Узбекистан,94.7
2000,"6,85$ в день (ППС 2017) UMIC",Узбекистан,99.0
2002,"2,15$ в день (ППС 2017) доллар-в-день",Узбекистан,80.5
2002,"3,65$ в день (ППС 2017) LMIC",Узбекистан,94.2
2002,"6,85$ в день (ППС 2017) UMIC",Узбекистан,99.1
2003,"2,15$ в день (ППС 2017) доллар-в-день",Узбекистан,81.5
2003,"3,65$ в день (ППС 2017) LMIC",Узбекистан,94.6
2003,"6,85$ в день (ППС 2017) UMIC",Узбекистан,99.1
2002,"2,15$ в день (ППС 2017) доллар-в-день",Albania,1.1
2002,"3,65$ в день (ППС 2017) LMIC",Albania,11.4
2002,"6,85$ в день (ППС 2017) UMIC",Albania,52.1
2005,"2,15$ в день (ППС 2017) доллар-в-день",Albania,0.6
2005,"3,65$ в день (ППС 2017) LMIC",Albania,7.3
2005,"6,85$ в день (ППС 2017) UMIC",Albania,40.4
2008,"2,15$ в день (ППС 2017) доллар-в-день",Albania,0.2
2008,"3,65$ в день (ППС 2017) LMIC",Albania,3.9
2008,"6,85$ в день (ППС 2017) UMIC",Albania,33.4
2012,"2,15$ в день (ППС 2017) доллар-в-день",Albania,0.6
2012,"3,65$ в день (ППС 2017) LMIC",Albania,4.8
2012,"6,85$ в день (ППС 2017) UMIC",Albania,36.7
2014,"2,15$ в день (ППС 2017) доллар-в-день",Albania,1.0
2014,"3,65$ в день (ППС 2017) LMIC",Albania,9.7
2014,"6,85$ в день (ППС 2017) UMIC",Albania,38.7
2015,"2,15$ в день (ППС 2017) доллар-в-день",Albania,0.1
2015,"3,65$ в день (ППС 2017) LMIC",Albania,3.7
2015,"6,85$ в день (ППС 2017) UMIC",Albania,26.2
2016,"2,15$ в день (ППС 2017) доллар-в-день",Albania,0.1
2016,"3,65$ в день (ППС 2017) LMIC",Albania,4.7
2016,"6,85$ в день (ППС 2017) UMIC",Albania,25.4
2017,"2,15$ в день (ППС 2017) доллар-в-день",Albania,0.4
2017,"3,65$ в день (ППС 2017) LMIC",Albania,3.6
2017,"6,85$ в день (ППС 2017) UMIC",Albania,25.5
2018,"2,15$ в день (ППС 2017) доллар-в-день",Albania,0.0
2018,"3,65$ в день (ППС 2017) LMIC",Albania,2.7
2018,"6,85$ в день (ППС 2017) UMIC",Albania,18.2
2019,"2,15$ в день (ППС 2017) доллар-в-день",Albania,0.0
2019,"3,65$ в день (ППС 2017) LMIC",Albania,1.2
2019,"6,85$ в день (ППС 2017) UMIC",Albania,14.9
2020,"2,15$ в день (ППС 2017) доллар-в-день",Albania,0.0
2020,"3,65$ в день (ППС 2017) LMIC",Albania,1.5
2020,"6,85$ в день (ППС 2017) UMIC",Albania,13.7
1999,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,11.9
1999,"3,65$ в день (ППС 2017) LMIC",Armenia,44.8
1999,"6,85$ в день (ППС 2017) UMIC",Armenia,82.3
2001,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,14.0
2001,"3,65$ в день (ППС 2017) LMIC",Armenia,47.2
2001,"6,85$ в день (ППС 2017) UMIC",Armenia,83.8
2002,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,10.0
2002,"3,65$ в день (ППС 2017) LMIC",Armenia,43.7
2002,"6,85$ в день (ППС 2017) UMIC",Armenia,82.9
2003,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,7.5
2003,"3,65$ в день (ППС 2017) LMIC",Armenia,39.7
2003,"6,85$ в день (ППС 2017) UMIC",Armenia,82.6
2004,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,5.3
2004,"3,65$ в день (ППС 2017) LMIC",Armenia,28.9
2004,"6,85$ в день (ППС 2017) UMIC",Armenia,73.5
2005,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,2.6
2005,"3,65$ в день (ППС 2017) LMIC",Armenia,19.4
