Year,SeriesCode,Country,Hazard type,Value
2015,VC_DSR_MMHN,Armenia,,430
2016,VC_DSR_MMHN,Armenia,,333
2017,VC_DSR_MMHN,Armenia,,356
2017,VC_DSR_MMHN,Norway,,230
2018,VC_DSR_MMHN,Poland,,0
2015,VC_DSR_MMHN,Portugal,,59
2016,VC_DSR_MMHN,Portugal,,42
2017,VC_DSR_MMHN,Portugal,,135
2018,VC_DSR_MMHN,Portugal,,24
2019,VC_DSR_MMHN,Portugal,,21
2020,VC_DSR_MMHN,Portugal,,7024
2021,VC_DSR_MMHN,Portugal,,12056
2005,VC_DSR_MMHN,Romania,,39
2006,VC_DSR_MMHN,Romania,,35
2007,VC_DSR_MMHN,Romania,,11
2008,VC_DSR_MMHN,Romania,,19
2009,VC_DSR_MMHN,Romania,,12
2010,VC_DSR_MMHN,Romania,,27
2011,VC_DSR_MMHN,Romania,,0
2012,VC_DSR_MMHN,Romania,,4
2013,VC_DSR_MMHN,Romania,,6
2018,VC_DSR_MMHN,Armenia,,403
2019,VC_DSR_MMHN,Armenia,,427
2020,VC_DSR_MMHN,Armenia,,3284
2021,VC_DSR_MMHN,Armenia,,5577
2017,VC_DSR_MMHN,Bosnia and Herzegovina,,0
2005,VC_DSR_MMHN,Bulgaria,,2
2014,VC_DSR_MMHN,Romania,,8
2015,VC_DSR_MMHN,Romania,,4
2016,VC_DSR_MMHN,Romania,,7
2017,VC_DSR_MMHN,Romania,,1
2018,VC_DSR_MMHN,Romania,,1239
2019,VC_DSR_MMHN,Romania,,7
2020,VC_DSR_MMHN,Romania,,8
2021,VC_DSR_MMHN,Romania,,2166
2005,VC_DSR_MMHN,Serbia,,5
2006,VC_DSR_MMHN,Serbia,,10
2007,VC_DSR_MMHN,Serbia,,12
2008,VC_DSR_MMHN,Serbia,,18
2009,VC_DSR_MMHN,Serbia,,16
2010,VC_DSR_MMHN,Serbia,,27
2011,VC_DSR_MMHN,Serbia,,36
2012,VC_DSR_MMHN,Serbia,,55
2013,VC_DSR_MMHN,Serbia,,4
2014,VC_DSR_MMHN,Serbia,,35
2016,VC_DSR_MMHN,Serbia,,1
2017,VC_DSR_MMHN,Serbia,,3
2018,VC_DSR_MMHN,Serbia,,9
2020,VC_DSR_MMHN,Serbia,,4
2021,VC_DSR_MMHN,Serbia,,1
2005,VC_DSR_MMHN,Viet Nam,,698
2006,VC_DSR_MMHN,Viet Nam,,585
2007,VC_DSR_MMHN,Viet Nam,,415
2008,VC_DSR_MMHN,Viet Nam,,640
2009,VC_DSR_MMHN,Viet Nam,,308
2010,VC_DSR_MMHN,Viet Nam,,92
2019,VC_DSR_MMHN,Viet Nam,,5
2005,VC_DSR_MMHN,Slovenia,,29
2006,VC_DSR_MMHN,Slovenia,,21
2007,VC_DSR_MMHN,Slovenia,,28
2008,VC_DSR_MMHN,Slovenia,,23
2009,VC_DSR_MMHN,Slovenia,,25
2010,VC_DSR_MMHN,Slovenia,,44
2011,VC_DSR_MMHN,Slovenia,,18
2012,VC_DSR_MMHN,Slovenia,,32
2013,VC_DSR_MMHN,Slovenia,,10
2014,VC_DSR_MMHN,Slovenia,,13
2015,VC_DSR_MMHN,Slovenia,,11
2016,VC_DSR_MMHN,Slovenia,,22
2006,VC_DSR_MMHN,Bulgaria,,0
2007,VC_DSR_MMHN,Bulgaria,,9
2008,VC_DSR_MMHN,Bulgaria,,0
2009,VC_DSR_MMHN,Bulgaria,,0
