Year,SeriesCode,Country,Age,Sex,Value
2012,VC_HTF_DETVOG,Armenia,ALLAGE,Both sexes,6
2010,VC_HTF_DETVOG,Bulgaria,ALLAGE,Both sexes,6
2009,VC_HTF_DETVOG,Moldova,ALLAGE,Both sexes,5
2015,VC_HTF_DETVOG,Moldova,18+,Male,6
2015,VC_HTF_DETVOG,Moldova,ALLAGE,Both sexes,6
2017,VC_HTF_DETVOG,Moldova,ALLAGE,Both sexes,5
2012,VC_HTF_DETVOG,Tajikistan,ALLAGE,Both sexes,9
2013,VC_HTF_DETVOG,Tajikistan,ALLAGE,Both sexes,10
2014,VC_HTF_DETVOG,Tajikistan,ALLAGE,Both sexes,8
2008,VC_HTF_DETVOG,Ukraine,ALLAGE,Both sexes,7
2011,VC_HTF_DETVOG,Ukraine,ALLAGE,Both sexes,25
2016,VC_HTF_DETVOG,Ukraine,ALLAGE,Both sexes,5
2020,VC_HTF_DETVOG,Ukraine,ALLAGE,Both sexes,25
2020,VC_HTF_DETVOG,United Kingdom of Great Britain and Northern Ireland,ALLAGE,Both sexes,5
2019,VC_HTF_DETVOG,Bulgaria,ALLAGE,Both sexes,8
2020,VC_HTF_DETVOG,Bulgaria,ALLAGE,Both sexes,5
2020,VC_HTF_DETVOG,Bulgaria,18+,Both sexes,5
2021,VC_HTF_DETVOG,Bulgaria,ALLAGE,Both sexes,8
2018,VC_HTF_DETVOG,China,ALLAGE,Both sexes,8
2013,VC_HTF_DETVOG,Costa Rica,ALLAGE,Both sexes,13
2019,VC_HTF_DETVOG,Denmark,ALLAGE,Both sexes,17
2018,VC_HTF_DETVOG,Hungary,ALLAGE,Both sexes,5
2018,VC_HTF_DETVOG,India,ALLAGE,Both sexes,6
