Year,SeriesCode,Страна ,Age,Parliamentary committees,Sex,Value
2021,SG_DMK_PARLCC_LC,Australia,_X,GEN_EQU,_X,0
2021,SG_DMK_PARLCC_LC,Australia,_X,FINANCE,_X,0
2022,SG_DMK_PARLCC_LC,Australia,_X,FINANCE,_X,0
2022,SG_DMK_PARLCC_LC,Australia,_X,GEN_EQU,_X,0
2023,SG_DMK_PARLCC_LC,Australia,46+,FINANCE,MALE,1
2023,SG_DMK_PARLCC_LC,Australia,_X,GEN_EQU,_X,0
2021,SG_DMK_PARLCC_LC,Austria,<=45Y,HUM_RIGH,MALE,1
2021,SG_DMK_PARLCC_LC,Austria,46+,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_LC,Austria,46+,FINANCE,MALE,1
2021,SG_DMK_PARLCC_LC,Austria,46+,FOR_AFF,FEMALE,1
2021,SG_DMK_PARLCC_LC,Austria,46+,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_LC,Austria,46+,FINANCE,MALE,1
2022,SG_DMK_PARLCC_LC,Austria,46+,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_LC,Austria,46+,DEFENCE,MALE,1
2022,SG_DMK_PARLCC_LC,Austria,<=45Y,HUM_RIGH,MALE,1
2022,SG_DMK_PARLCC_LC,Austria,46+,FOR_AFF,FEMALE,1
2023,SG_DMK_PARLCC_LC,Austria,<=45Y,HUM_RIGH,MALE,1
2023,SG_DMK_PARLCC_LC,Austria,46+,GEN_EQU,FEMALE,1
2023,SG_DMK_PARLCC_LC,Austria,46+,FOR_AFF,FEMALE,1
2023,SG_DMK_PARLCC_LC,Austria,46+,FINANCE,MALE,1
2023,SG_DMK_PARLCC_LC,Austria,46+,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_LC,Armenia,_X,FOR_AFF,_X,0
2021,SG_DMK_PARLCC_LC,Armenia,_X,GEN_EQU,_X,0
2021,SG_DMK_PARLCC_LC,Armenia,46+,HUM_RIGH,FEMALE,1
2021,SG_DMK_PARLCC_LC,Armenia,_X,DEFENCE,_X,0
2021,SG_DMK_PARLCC_LC,Armenia,<=45Y,FINANCE,FEMALE,1
2022,SG_DMK_PARLCC_LC,Armenia,<=45Y,FOR_AFF,MALE,1
2022,SG_DMK_PARLCC_LC,Armenia,<=45Y,FINANCE,MALE,1
2022,SG_DMK_PARLCC_LC,Armenia,<=45Y,HUM_RIGH,FEMALE,1
2022,SG_DMK_PARLCC_LC,Armenia,46+,DEFENCE,MALE,1
2022,SG_DMK_PARLCC_LC,Armenia,_X,GEN_EQU,_X,0
2023,SG_DMK_PARLCC_LC,Armenia,_X,GEN_EQU,_X,0
2023,SG_DMK_PARLCC_LC,Armenia,<=45Y,HUM_RIGH,FEMALE,1
2023,SG_DMK_PARLCC_LC,Armenia,<=45Y,FOR_AFF,MALE,1
2023,SG_DMK_PARLCC_LC,Armenia,<=45Y,FINANCE,MALE,1
2023,SG_DMK_PARLCC_LC,Armenia,46+,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_LC,Belgium,_X,HUM_RIGH,_X,0
2021,SG_DMK_PARLCC_LC,Belgium,<=45Y,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_LC,Belgium,<=45Y,FINANCE,MALE,1
2021,SG_DMK_PARLCC_LC,Belgium,46+,FOR_AFF,FEMALE,1
2021,SG_DMK_PARLCC_LC,Belgium,46+,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_LC,Belgium,<=45Y,DEFENCE,MALE,1
2022,SG_DMK_PARLCC_LC,Belgium,<=45Y,FINANCE,MALE,1
2022,SG_DMK_PARLCC_LC,Belgium,_X,HUM_RIGH,_X,0
2022,SG_DMK_PARLCC_LC,Belgium,46+,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_LC,Belgium,46+,FOR_AFF,FEMALE,1
2023,SG_DMK_PARLCC_LC,Belgium,46+,FINANCE,MALE,1
2023,SG_DMK_PARLCC_LC,Belgium,46+,GEN_EQU,FEMALE,1
2021,SG_DMK_PARLCC_LC,Spain,46+,FINANCE,FEMALE,1
2021,SG_DMK_PARLCC_LC,Spain,46+,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_LC,Spain,<=45Y,GEN_EQU,FEMALE,1
2021,SG_DMK_PARLCC_LC,Spain,46+,HUM_RIGH,MALE,2
2021,SG_DMK_PARLCC_LC,Spain,_U,HUM_RIGH,_U,1
2021,SG_DMK_PARLCC_LC,Spain,46+,FOR_AFF,MALE,1
2021,SG_DMK_PARLCC_LC,Spain,<=45Y,GEN_EQU,MALE,1
2021,SG_DMK_PARLCC_LC,Spain,46+,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_LC,India,46+,FOR_AFF,MALE,1
2022,SG_DMK_PARLCC_LC,India,46+,FINANCE,MALE,1
2022,SG_DMK_PARLCC_LC,India,46+,DEFENCE,MALE,1
2023,SG_DMK_PARLCC_LC,India,46+,FOR_AFF,MALE,1
2023,SG_DMK_PARLCC_LC,India,46+,FINANCE,MALE,1
2023,SG_DMK_PARLCC_LC,India,46+,DEFENCE,MALE,1
2023,SG_DMK_PARLCC_LC,India,_X,HUM_RIGH,_X,0
2021,SG_DMK_PARLCC_LC,Ireland,_X,HUM_RIGH,_X,0
2021,SG_DMK_PARLCC_LC,Albania,46+,FOR_AFF,FEMALE,1
2021,SG_DMK_PARLCC_LC,Albania,46+,GEN_EQU,FEMALE,1
2021,SG_DMK_PARLCC_LC,Albania,46+,HUM_RIGH,MALE,1
2021,SG_DMK_PARLCC_LC,Albania,<=45Y,DEFENCE,FEMALE,1
2021,SG_DMK_PARLCC_LC,Albania,46+,FINANCE,MALE,1
2022,SG_DMK_PARLCC_LC,Albania,46+,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_LC,Albania,<=45Y,HUM_RIGH,FEMALE,1
2022,SG_DMK_PARLCC_LC,Albania,46+,FOR_AFF,FEMALE,1
2022,SG_DMK_PARLCC_LC,Albania,46+,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_LC,Spain,<=45Y,HUM_RIGH,FEMALE,1
2022,SG_DMK_PARLCC_LC,Spain,<=45Y,GEN_EQU,MALE,1
2022,SG_DMK_PARLCC_LC,Spain,46+,HUM_RIGH,MALE,2
2022,SG_DMK_PARLCC_LC,Spain,<=45Y,HUM_RIGH,FEMALE,1
2022,SG_DMK_PARLCC_LC,Spain,46+,GEN_EQU,FEMALE,2
2022,SG_DMK_PARLCC_LC,Spain,_U,HUM_RIGH,_U,1
2022,SG_DMK_PARLCC_LC,Spain,46+,DEFENCE,MALE,1
2022,SG_DMK_PARLCC_LC,Spain,46+,FINANCE,FEMALE,1
2022,SG_DMK_PARLCC_LC,Spain,46+,FOR_AFF,MALE,1
2023,SG_DMK_PARLCC_LC,Spain,46+,FOR_AFF,MALE,1
2023,SG_DMK_PARLCC_LC,Spain,46+,FINANCE,FEMALE,1
2023,SG_DMK_PARLCC_LC,Spain,46+,HUM_RIGH,MALE,2
2023,SG_DMK_PARLCC_LC,Spain,<=45Y,HUM_RIGH,FEMALE,1
2023,SG_DMK_PARLCC_LC,Spain,_U,HUM_RIGH,_U,1
2023,SG_DMK_PARLCC_LC,Spain,46+,DEFENCE,MALE,1
2023,SG_DMK_PARLCC_LC,Spain,46+,GEN_EQU,FEMALE,2
2023,SG_DMK_PARLCC_LC,Spain,<=45Y,GEN_EQU,MALE,1
2021,SG_DMK_PARLCC_LC,Sweden,46+,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_LC,Sweden,46+,HUM_RIGH,FEMALE,1
2021,SG_DMK_PARLCC_LC,Sweden,46+,GEN_EQU,FEMALE,1
2021,SG_DMK_PARLCC_LC,Sweden,46+,FINANCE,MALE,1
2021,SG_DMK_PARLCC_LC,Sweden,46+,FOR_AFF,MALE,1
2022,SG_DMK_PARLCC_LC,Sweden,46+,DEFENCE,MALE,1
2022,SG_DMK_PARLCC_LC,Sweden,46+,FOR_AFF,MALE,1
2022,SG_DMK_PARLCC_LC,Albania,46+,FINANCE,MALE,1
2023,SG_DMK_PARLCC_LC,Albania,46+,GEN_EQU,FEMALE,1
2023,SG_DMK_PARLCC_LC,Albania,46+,FOR_AFF,FEMALE,1
2023,SG_DMK_PARLCC_LC,Albania,46+,FINANCE,MALE,1
