Value,Disaggregation combinations using this value,Number of indicators
ARSP,688,2
CMFL,639,2
COPA,681,2
EMAIL,366,2
EPRS,722,2
INST,568,2
LITE,192,4
NUME,188,4
PCPR,703,2
PRVCY,201,2
SCRTY,87,2
SKILL_MATH,835,6
SKILL_READ,791,6
SOFT,715,2
TRAF,712,2
VRFY,336,2
