Indicator,Disaggregation combinations using this value
#1-1-1,6
#1-1-1-POVLMIC,2
#1-1-1-SI_POV_LMIC,2
#1-1-1-a,2
#1-1-1-gsa,2
#16-10-1-a,1
#16-10-2-a,1
#16-3-2-a,1
#16-5-2-a,1
#16-6-2-a,1
#16-6-2-b,1
