Value,Disaggregation combinations using this value,Number of indicators
AG_FOOD_WST,252,1
AG_FOOD_WST_PC,252,1
AG_FPA_CFPI,60,1
AG_FPA_COMM,36,1
AG_LND_AGRBIO,8,1
AG_LND_AGRWAG,11,1
AG_LND_DGRD,38,1
AG_LND_FERTMG,11,1
AG_LND_FIES,10,1
AG_LND_FOVH,18,1
AG_LND_FRST,63,1
AG_LND_FRSTBIOPHA,59,1
AG_LND_FRSTCERT,63,1
AG_LND_FRSTCHG,63,1
AG_LND_FRSTMGT,53,1
AG_LND_FRSTPRCT,55,1
AG_LND_H2OAVAIL,8,1
AG_LND_LNDSTR,14,1
AG_LND_NFI,15,1
AG_LND_PSTCDSMG,9,1
AG_LND_RMM,14,1
AG_LND_SDGRD,4,1
AG_LND_SUST,1,1
AG_PRD_AGVAS,60,1
AG_PRD_FIESMS,162,1
AG_PRD_ORTIND,60,1
AG_PRD_XSUBDY,19,1
AG_XPD_AGSGB,60,1
BN_CAB_XOKA_GD_ZS,60,1
BN_KLT_PTXL_CD,60,1
BX_KLT_DINV_WD_GD_ZS,63,1
BX_TRF_PWKR,61,1
DC_ENVTECH_EXP,60,1
DC_ENVTECH_IMP,60,1
DC_ENVTECH_INV,17,1
DC_ENVTECH_REXP,15,1
DC_ENVTECH_RIMP,22,1
DC_ENVTECH_TT,60,1
DC_ODA_BDVDL,58,2
DC_ODA_BDVL,50,2
DC_ODA_LDCG,29,1
DC_ODA_LDCS,29,1
DC_ODA_LLDC,29,1
DC_ODA_LLDCG,29,1
DC_ODA_POVDLG,39,1
DC_ODA_POVLG,26,1
DC_ODA_SIDS,29,1
DC_ODA_SIDSG,29,1
DC_ODA_TOTG,28,1
DC_ODA_TOTGGE,29,1
DC_ODA_TOTL,29,1
DC_ODA_TOTLGE,29,1
DC_OSSD_GRT,24,1
DC_OSSD_MPF,24,1
DC_OSSD_OFFCL,24,1
DC_OSSD_OFFNL,24,1
DC_OSSD_PRVGRT,23,1
DC_TOF_AGRL,26,1
DC_TOF_HLTHL,25,1
DC_TOF_HLTHNT,25,1
DC_TOF_INFRAL,27,1
DC_TOF_SCHIPSL,25,1
DC_TOF_TRDCMDL,29,1
DC_TOF_TRDCML,25,1
DC_TOF_TRDDBMDL,29,1
DC_TOF_TRDDBML,25,1
DC_TOF_WASHL,26,1
DC_TRF_TOTDL,42,1
DC_TRF_TOTL,27,1
DI_ILL_IN,2,1
DI_ILL_OUT,2,1
DP_DOD_DLD2_CR_CG_Z1,36,1
DT_DOD_DECT_GN_ZS,24,1
DT_TDS_DECT,23,1
EG_ACS_ELEC,189,1
EG_EGY_CLEAN,183,1
EG_EGY_PRIM,62,1
EG_EGY_RNEW,170,2
EG_FEC_RNEW,63,1
EG_IFF_RANDN,192,1
EG_TBA_H2CO,49,1
EG_TBA_H2COAQ,45,1
EG_TBA_H2CORL,52,1
EN_ATM_CO2,124,1
EN_ATM_CO2GDP,62,1
EN_ATM_CO2MVA,62,1
EN_ATM_GHGT_AIP,39,1
EN_ATM_GHGT_NAIP,23,1
EN_ATM_PM25,313,1
EN_EWT_COLLPCAP,34,1
EN_EWT_COLLR,1,1
EN_EWT_COLLV,34,1
EN_EWT_GENPCAP,23,1
EN_EWT_GENV,23,1
EN_EWT_RCYPCAP,31,1
EN_EWT_RCYR,31,1
EN_EWT_RCYV,31,1
EN_H2O_GRAMBQ,34,1
EN_H2O_OPAMBQ,37,1
EN_H2O_RVAMBQ,39,1
EN_H2O_WBAMBQ,42,1
EN_HAZ_EXP,15,1
