Indicator,Disaggregation combinations using this value
#12-2-2-EN_MAT_DOMCMPC,61
#12-2-2-EN_MAT_DOMCMPG,62
#12-2-2-EN_MAT_DOMCMPT,62
#8-4-2-EN_MAT_DOMCMPC,61
#8-4-2-EN_MAT_DOMCMPG,62
#8-4-2-EN_MAT_DOMCMPT,62
