Value,Disaggregation combinations using this value,Number of indicators
AGR,251,5
ALP,623,11
ARM,232,5
BIM,370,6
CLO,251,5
COL,258,6
CPR,258,6
CRO,258,6
FEO,258,6
FOF,372,6
GAS,258,6
GBO,258,6
IND,251,5
MAZ,9,1
MEO,372,6
NFO,258,6
NMA,258,6
NMC,258,6
NMM,372,6
OIL,203,5
ONT,258,6
PET,258,6
RIC,10,1
TEX,251,5
WCH,258,6
WHE,17,1
WOD,258,6
