Value,Disaggregation combinations using this value,Number of indicators
INDUSTRIES,172,3
ISIC3_D,32,1
ISIC4_A,342,6
ISIC4_A01_A0210_A0322,121,2
ISIC4_B,96,4
ISIC4_C,631,13
ISIC4_C10T32X19,62,1
ISIC4_D,67,3
ISIC4_E,3,1
ISIC4_F,96,4
ISIC4_G,44,1
ISIC4_GTT,123,2
ISIC4_H,30,2
ISIC4_I,16,1
ISIC4_J,33,1
ISIC4_K,42,1
ISIC4_L,27,1
ISIC4_M,27,1
ISIC4_N,19,1
ISIC4_P,4,1
ISIC4_Q,16,1
ISIC4_R,11,1
ISIC4_S,24,3
ISIC4_T,45,1
NONAGR,262,2
PRIV_HH,21,1
SERV_HH,16,1
SERVICES,18,1
TOTAL,622,9
