Indicator,Disaggregation combinations using this value
#4-1-1,59
#4-5-1-SE_LGP_ACHI,17
#4-5-1-SE_NAP_ACHI,7
#4-5-1-SE_TOT_GPI,17
#4-5-1-SE_TOT_RUPI,17
#4-5-1-SE_TOT_SESPI,15
